ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Backscatter,DE-1588,SE-1631,DE-1631,SE-1588,Xray-La,continuum
1314,474.654,4136.077,4136.077,4066.204,2972.253,2137.121,1425.190,0.000,226.518,0.000,0.000,2.883,0.000,0.000,100.046,70.198,70.739,33.474,0.000,0.000
1315,475.021,3986.740,3986.740,4048.521,2967.733,2115.557,1430.974,0.000,224.933,0.000,0.000,2.880,0.000,0.000,99.932,70.117,70.657,33.436,0.000,0.000
1316,475.387,4006.508,4006.508,4031.066,2963.213,2093.861,1437.085,0.000,223.382,0.000,0.000,2.876,0.000,0.000,99.816,70.036,70.576,33.397,0.000,0.000
1317,475.754,4020.898,4020.898,4013.879,2958.693,2072.064,1443.534,0.000,221.865,0.000,0.000,2.873,0.000,0.000,99.701,69.955,70.494,33.358,0.000,0.000
1318,476.120,4050.304,4050.304,3997.003,2954.172,2050.196,1450.331,0.000,220.381,0.000,0.000,2.870,0.000,0.000,99.584,69.873,70.412,33.319,0.000,0.000
1319,476.487,3869.892,3869.892,3980.476,2949.652,2028.287,1457.486,0.000,218.932,0.000,0.000,2.867,0.000,0.000,99.468,69.791,70.329,33.280,0.000,0.000
1320,476.853,3913.148,3913.148,3964.339,2945.132,2006.367,1465.010,0.000,217.518,0.000,0.000,2.863,0.000,0.000,99.350,69.709,70.246,33.241,0.000,0.000
1321,477.220,4025.362,4025.362,3948.631,2940.612,1984.463,1472.911,0.000,216.138,0.000,0.000,2.860,0.000,0.000,99.232,69.626,70.163,33.201,0.000,0.000
1322,477.586,4011.729,4011.729,3933.388,2936.091,1962.605,1481.200,0.000,214.792,0.000,0.000,2.857,0.000,0.000,99.114,69.543,70.079,33.162,0.000,0.000
1323,477.953,3943.812,3943.812,3918.649,2931.571,1940.820,1489.885,0.000,213.481,0.000,0.000,2.854,0.000,0.000,98.996,69.460,69.995,33.122,0.000,0.000
1324,478.319,3952.432,3952.432,3904.448,2927.051,1919.134,1498.978,0.000,212.204,0.000,0.000,2.850,0.000,0.000,98.877,69.376,69.911,33.082,0.000,0.000
1325,478.686,3979.246,3979.246,3890.821,2922.531,1897.573,1508.486,0.000,210.962,0.000,0.000,2.847,0.000,0.000,98.757,69.292,69.826,33.042,0.000,0.000
1326,479.053,3926.975,3926.975,3877.800,2918.010,1876.161,1518.418,0.000,209.753,0.000,0.000,2.844,0.000,0.000,98.637,69.208,69.742,33.002,0.000,0.000
1327,479.419,3971.439,3971.439,3865.419,2913.490,1854.923,1528.784,0.000,208.578,0.000,0.000,2.841,0.000,0.000,98.517,69.124,69.656,32.962,0.000,0.000
1328,479.786,3965.535,3965.535,3853.707,2908.970,1833.881,1539.590,0.000,207.436,0.000,0.000,2.837,0.000,0.000,98.396,69.039,69.571,32.921,0.000,0.000
1329,480.152,4016.795,4016.795,3842.695,2904.450,1813.057,1550.846,0.000,206.326,0.000,0.000,2.834,0.000,0.000,98.276,68.954,69.486,32.881,0.000,0.000
1330,480.519,3959.048,3959.048,3832.409,2899.930,1792.472,1562.558,0.000,205.249,0.000,0.000,2.831,0.000,0.000,98.155,68.869,69.400,32.840,0.000,0.000
1331,480.885,3970.570,3970.570,3822.877,2895.409,1772.146,1574.733,0.000,204.204,0.000,0.000,2.828,0.000,0.000,98.033,68.784,69.314,32.800,0.000,0.000
1332,481.252,3978.789,3978.789,3814.123,2890.889,1752.098,1587.379,0.000,203.191,0.000,0.000,2.825,0.000,0.000,97.912,68.698,69.228,32.759,0.000,0.000
1333,481.619,3810.798,3810.798,3806.170,2886.369,1732.344,1600.500,0.000,202.208,0.000,0.000,2.821,0.000,0.000,97.790,68.613,69.141,32.718,0.000,0.000
1334,481.985,3921.679,3921.679,3799.039,2881.849,1712.902,1614.102,0.000,201.255,0.000,0.000,2.818,0.000,0.000,97.668,68.527,69.055,32.677,0.000,0.000
1335,482.352,3929.564,3929.564,3792.750,2877.328,1693.787,1628.189,0.000,200.332,0.000,0.000,2.815,0.000,0.000,97.546,68.441,68.968,32.636,0.000,0.000
1336,482.718,4002.504,4002.504,3787.320,2872.808,1675.013,1642.767,0.000,199.437,0.000,0.000,2.812,0.000,0.000,97.424,68.355,68.882,32.595,0.000,0.000
1337,483.085,3841.894,3841.894,3782.766,2868.288,1656.593,1657.838,0.000,198.571,0.000,0.000,2.809,0.000,0.000,97.301,68.269,68.795,32.554,0.000,0.000
1338,483.452,3920.937,3920.937,3779.102,2863.768,1638.538,1673.405,0.000,197.733,0.000,0.000,2.806,0.000,0.000,97.179,68.183,68.708,32.513,0.000,0.000
1339,483.818,3922.952,3922.952,3776.338,2859.248,1620.861,1689.470,0.000,196.922,0.000,0.000,2.803,0.000,0.000,97.057,68.097,68.621,32.472,0.000,0.000
1340,484.185,4081.112,4081.112,3774.487,2854.727,1603.570,1706.034,0.000,196.136,0.000,0.000,2.801,0.000,0.000,96.935,68.011,68.535,32.431,0.000,0.000
1341,484.552,3948.577,3948.577,3773.556,2850.207,1586.675,1723.097,0.000,195.377,0.000,0.000,2.798,0.000,0.000,96.813,67.925,68.448,32.390,0.000,0.000
1342,484.918,3846.280,3846.280,3773.551,2845.687,1570.182,1740.658,0.000,194.642,0.000,0.000,2.795,0.000,0.000,96.691,67.838,68.361,32.349,0.000,0.000
1343,485.285,3992.680,3992.680,3774.476,2841.167,1554.098,1758.717,0.000,193.931,0.000,0.000,2.793,0.000,0.000,96.569,67.752,68.274,32.308,0.000,0.000
1344,485.652,3915.026,3915.026,3776.334,2836.646,1538.428,1777.270,0.000,193.244,0.000,0.000,2.790,0.000,0.000,96.447,67.666,68.188,32.267,0.000,0.000
1345,486.018,3841.399,3841.399,3779.124,2832.126,1523.177,1796.313,0.000,192.579,0.000,0.000,2.788,0.000,0.000,96.325,67.580,68.101,32.226,0.000,0.000
1346,486.385,4016.173,4016.173,3782.846,2827.606,1508.348,1815.844,0.000,191.936,0.000,0.000,2.785,0.000,0.000,96.204,67.495,68.015,32.185,0.000,0.000
1347,486.752,3985.061,3985.061,3787.495,2823.086,1493.944,1835.855,0.000,191.314,0.000,0.000,2.783,0.000,0.000,96.083,67.409,67.928,32.144,0.000,0.000
