spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
G1S16_Eu152_P5,G1S16,known,Eu-152,563.986,575.228,575.315,0.087,1.379,0.0814,19.86,187,213,0,share,0.865
G1S16_Eu152_P5,G1S16,known,Eu-152,688.670,685.851,689.041,3.190,1.167,0.0969,33.90,222,252,0,share,-0.185
G1S16_Eu152_P5,G1S16,known,Eu-152,778.905,779.680,780.097,0.417,0.955,0.4871,199.60,252,284,0,share,-0.855
G1S16_Eu152_P5,G1S16,known,Eu-152,867.380,870.294,867.742,-2.552,1.164,0.2294,52.17,282,316,0,share,-1.580
G1S16_Eu152_P5,G1S16,known,Eu-152,964.057,966.260,965.734,-0.526,1.099,0.5660,201.04,312,348,1,,-2.442
G1S16_Eu152_P5,G1S16,known,Eu-152,1112.076,1102.485,1102.235,-0.249,1.192,0.7056,289.32,355,395,1,,-3.752
G1S16_Eu152_P5,G1S16,known,Eu-152,1212.948,1214.870,1220.894,6.024,2.210,0.1461,24.90,391,433,0,share,-4.676
G1S16_Eu152_P5,G1S16,known,Eu-152,1299.142,1303.360,1293.179,-10.180,1.837,0.2501,36.13,420,464,0,share,-5.496
G1S16_Eu152_P5,G1S16,known,Eu-152,1408.013,1411.463,1412.407,0.943,1.398,0.8733,250.93,454,500,1,,-6.428
G1S16_Mn54_P5,G1S16,known,Mn-54,834.848,837.610,837.617,0.007,0.968,0.9880,444.36,272,302,1,,-1.306
G1S16_Na22_P5,G1S16,known,Ann-511,511.000,511.724,512.396,0.671,0.741,0.9496,1279.78,166,192,1,,1.268
G1S16_Na22_P5,G1S16,known,Na-22,1274.537,1254.315,1253.454,-0.860,1.302,0.9523,516.88,411,455,1,,-5.258
G1S16_Th228_P5,G1S16,known,Th-228,39.857,33.523,,,,0.1007,0.00,14,20,0,z,0.000
G1S16_Th228_P5,G1S16,known,Th-228,77.108,70.608,70.929,0.321,0.222,0.6650,193.32,26,34,1,,3.819
G1S16_Th228_P5,G1S16,known,Th-228,115.183,110.568,124.520,13.951,1.285,0.0667,12.33,38,48,0,share,3.425
G1S16_Th228_P5,G1S16,known,Th-228,166.410,160.717,,,,0.0094,-14.81,54,66,0,z,0.000
G1S16_Th228_P5,G1S16,known,Th-228,238.632,234.462,237.897,3.436,0.436,0.8496,246.86,78,92,0,outlier,2.719
G1S16_Th228_P5,G1S16,known,Th-228,300.087,295.861,298.221,2.360,0.658,0.3057,34.88,97,113,0,share,2.484
G1S16_Th228_P5,G1S16,known,Th-228,452.980,451.402,447.778,-3.624,82.314,0.0667,0.25,147,169,0,z,1.649
G1S16_Th228_P5,G1S16,known,Th-228,510.770,510.232,512.807,2.575,0.764,0.5744,61.57,166,190,1,,1.270
G1S16_Th228_P5,G1S16,known,Th-228,583.187,585.077,585.478,0.401,0.782,0.8660,128.32,190,216,1,,0.707
G1S16_Th228_P5,G1S16,known,Th-228,727.330,730.764,729.758,-1.006,1.012,0.6164,45.95,237,267,1,,-0.463
G1S16_Th228_P5,G1S16,known,Th-228,860.557,864.369,863.572,-0.797,1.280,0.5279,31.92,280,314,1,,-1.522
G1S16_Th228_P5,G1S16,known,Th-228,1078.620,1084.488,1085.085,0.597,5.581,0.1265,6.03,351,389,0,share,-3.454
G1S16_Th228_P5,G1S16,known,Th-228,1512.700,1523.457,1553.715,30.257,5.830,0.0409,8.45,493,541,0,share,-7.271
G1S16_Th228_P5,G1S16,known,Th-228,1620.500,1632.590,1577.000,-55.590,11.907,0.1307,5.30,528,578,0,share,-8.165
G1S16_Th228_P5,G1S16,known,Th-228,1806.000,1820.212,1711.483,-108.729,224.216,0.0093,0.50,587,641,0,z,-9.759
G1S16_Th228_P5,G1S16,known,Th-228,2614.511,2637.341,2616.792,-20.549,2.139,0.9392,69.36,852,920,0,outlier,-17.385
G1S16_Y88_P5,G1S16,known,Ann-511,511.000,508.579,507.588,-0.991,2.850,0.1537,7.44,167,191,0,share,1.268
G1S16_Y88_P5,G1S16,known,Y-88,898.042,897.431,896.776,-0.655,1.069,0.8974,82.84,291,325,1,,-1.846
G1S16_Y88_P5,G1S16,known,Y-88,1836.063,1842.133,1843.007,0.874,1.725,0.9731,62.80,592,646,1,,-10.024
