spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
G1S24_Th228_P25,G1S24,known,Th-228,2614.511,2607.397,2611.956,4.559,2.223,0.9616,153.48,838,910,1,,-17.385
G1S24_Y88_P25,G1S24,known,Ann-511,511.000,514.109,509.398,-4.710,1.398,0.1273,21.34,166,194,0,share,1.268
G1S24_Y88_P25,G1S24,known,Y-88,898.042,899.369,899.239,-0.131,1.140,0.8694,248.32,289,327,1,,-1.846
G1S24_Y88_P25,G1S24,known,Y-88,1836.063,1834.843,1835.014,0.171,1.736,0.9742,193.78,589,647,1,,-10.024
G1S24_Am241_P5,G1S24,known,Am-241,26.345,16.533,3.584,-12.949,0.674,0.2514,21.87,8,12,0,share,2.284
G1S24_Am241_P5,G1S24,known,Am-241,59.541,56.351,56.351,0.000,0.214,0.9435,1619.68,20,28,1,,3.843
G1S24_Ba133_P5,G1S24,known,Ba-133,30.973,26.830,26.906,0.076,0.134,0.8138,1272.52,10,14,1,,2.444
G1S24_Ba133_P5,G1S24,known,Ba-133,53.162,52.409,55.861,3.452,0.202,0.1994,98.42,18,24,0,share,3.697
G1S24_Ba133_P5,G1S24,known,Ba-133,80.998,78.561,81.510,2.950,0.242,0.8207,1048.15,26,34,0,outlier,3.778
G1S24_Ba133_P5,G1S24,known,Ba-133,160.612,159.032,157.150,-1.881,0.387,0.0378,130.76,52,66,0,share,3.178
G1S24_Ba133_P5,G1S24,known,Ba-133,302.851,301.711,301.465,-0.246,0.565,0.5339,465.81,98,118,1,,2.469
G1S24_Ba133_P5,G1S24,known,Ba-133,356.013,356.043,356.239,0.197,0.630,0.7950,1037.97,116,138,1,,2.120
G1S24_Bi207_P5,G1S24,known,Bi-207,74.970,81.739,81.898,0.159,0.248,0.7588,1666.39,25,33,1,,3.836
G1S24_Bi207_P5,G1S24,known,Bi-207,569.698,570.204,569.699,-0.505,0.864,0.8998,1403.01,184,214,1,,0.819
G1S24_Bi207_P5,G1S24,known,Bi-207,1063.656,1055.116,1057.653,2.537,1.275,0.9551,923.54,342,384,1,,-3.323
G1S24_Bi207_P5,G1S24,known,Bi-207,1460.000,1443.839,,,,0.2881,-1.18,467,519,0,z,0.000
G1S24_Bi207_P5,G1S24,known,Bi-207,1770.228,1747.877,1745.192,-2.685,1.722,0.8828,218.17,567,625,1,,-9.447
G1S24_Cd109_P5,G1S24,known,Cd-109,22.163,18.953,18.881,-0.073,0.115,0.7796,136.73,7,11,1,,2.093
G1S24_Cd109_P5,G1S24,known,Cd-109,88.034,90.473,90.576,0.103,0.268,0.7435,132.13,29,39,1,,3.727
G1S24_Co60_P5,G1S24,known,Ann-511,511.000,515.939,491.742,-24.197,11.863,0.0097,2.90,166,194,0,z,1.268
G1S24_Co60_P5,G1S24,known,Co-60,1173.228,1171.647,1171.192,-0.454,1.358,0.8768,763.79,377,423,1,,-4.309
G1S24_Co60_P5,G1S24,known,Co-60,1332.492,1328.232,1328.583,0.351,1.464,0.9664,753.53,429,477,1,,-5.821
G1S24_Cs137_P5,G1S24,known,Cs-137,32.193,32.164,32.159,-0.004,0.144,0.6521,402.19,10,16,1,,2.462
G1S24_Cs137_P5,G1S24,known,Cs-137,661.657,659.018,659.008,-0.010,0.943,0.9874,1356.35,215,247,1,,0.000
G1S24_Eu152_P5,G1S24,known,Eu-152,40.117,38.912,39.110,0.198,0.162,0.7139,2361.07,13,19,1,,2.871
G1S24_Eu152_P5,G1S24,known,Eu-152,121.782,122.095,124.653,2.558,0.317,0.7939,2229.56,39,51,0,outlier,3.333
G1S24_Eu152_P5,G1S24,known,Eu-152,244.697,244.662,243.917,-0.745,0.494,0.4080,775.32,79,97,0,share,2.705
G1S24_Eu152_P5,G1S24,known,Eu-152,344.279,345.240,345.652,0.412,0.618,0.7777,1663.79,112,134,1,,2.207
G1S24_Eu152_P5,G1S24,known,Eu-152,443.961,445.250,444.402,-0.848,0.731,0.2104,221.04,144,168,0,share,1.702
G1S24_Eu152_P5,G1S24,known,Eu-152,563.986,575.822,573.907,-1.915,0.929,0.0805,69.37,187,215,0,share,0.865
G1S24_Eu152_P5,G1S24,known,Eu-152,688.670,686.558,689.467,2.909,1.002,0.0953,103.59,222,254,0,share,-0.185
G1S24_Eu152_P5,G1S24,known,Eu-152,778.905,780.600,780.037,-0.563,1.049,0.4872,588.94,253,287,0,share,-0.855
G1S24_Eu152_P5,G1S24,known,Eu-152,867.380,870.793,872.685,1.892,1.143,0.2105,163.92,281,319,0,share,-1.580
G1S24_Eu152_P5,G1S24,known,Eu-152,964.057,966.921,966.583,-0.339,1.201,0.5550,597.86,312,352,1,,-2.442
G1S24_Eu152_P5,G1S24,known,Eu-152,1112.076,1102.948,1102.184,-0.764,1.303,0.6911,834.59,355,399,1,,-3.752
G1S24_Eu152_P5,G1S24,known,Eu-152,1408.013,1411.529,1411.749,0.220,1.514,0.8772,748.08,455,505,1,,-6.428
G1S24_Na22_P5,G1S24,known,Ann-511,511.000,517.597,516.874,-0.723,0.846,0.9430,2932.76,165,195,1,,1.268
G1S24_Na22_P5,G1S24,known,Na-22,1274.537,1254.373,1255.188,0.815,1.422,0.9334,1229.84,411,459,1,,-5.258
G1S24_Th228_P5,G1S24,known,Th-228,39.857,32.306,-10.315,-42.622,2.116,0.1066,20.57,14,20,0,share,2.839
G1S24_Th228_P5,G1S24,known,Th-228,77.108,70.654,70.287,-0.367,0.236,0.6701,1944.36,27,35,1,,3.819
G1S24_Th228_P5,G1S24,known,Th-228,115.183,110.383,118.175,7.792,0.302,0.0717,243.98,39,49,0,share,3.425
G1S24_Th228_P5,G1S24,known,Th-228,166.410,161.274,,,,0.0098,-139.23,56,68,0,z,0.000
G1S24_Th228_P5,G1S24,known,Th-228,238.632,234.462,234.762,0.300,0.474,0.8342,2458.28,79,95,1,,2.719
G1S24_Th228_P5,G1S24,known,Th-228,300.087,295.312,295.074,-0.238,0.546,0.2877,363.60,97,115,0,share,2.484
G1S24_Th228_P5,G1S24,known,Th-228,510.770,510.674,510.617,-0.056,0.786,0.5312,596.17,167,193,1,,1.270
G1S24_Th228_P5,G1S24,known,Th-228,583.187,585.742,585.243,-0.499,0.859,0.8381,1258.88,191,219,1,,0.707
G1S24_Th228_P5,G1S24,known,Th-228,727.330,731.995,731.836,-0.159,0.997,0.6223,483.26,238,270,1,,-0.463
G1S24_Th228_P5,G1S24,known,Th-228,860.557,865.832,867.554,1.722,1.114,0.5174,322.40,280,316,1,,-1.522
G1S24_Th228_P5,G1S24,known,Th-228,1078.620,1086.223,1102.086,15.862,1.480,0.1193,53.55,348,390,0,share,-3.454
G1S24_Th228_P5,G1S24,known,Th-228,1620.500,1635.417,1643.009,7.592,1.818,0.1262,59.95,523,577,0,share,-8.165
G1S24_Th228_P5,G1S24,known,Th-228,1806.000,1823.603,1842.197,18.594,8.010,0.0089,6.83,583,641,0,share,-9.759
G1S24_Th228_P5,G1S24,known,Th-228,2614.511,2640.261,2640.403,0.143,2.197,0.9176,683.86,848,922,1,,-17.385
G1S24_Y88_P5,G1S24,known,Ann-511,511.000,503.509,499.993,-3.516,0.873,0.1227,55.46,167,193,0,share,1.268
G1S24_Y88_P5,G1S24,known,Y-88,898.042,894.791,894.849,0.058,1.130,0.8724,733.46,291,329,1,,-1.846
G1S24_Y88_P5,G1S24,known,Y-88,1836.063,1844.234,1844.197,-0.037,1.773,0.9647,556.84,594,652,1,,-10.024
G1S24_Zn65_P5,G1S24,known,Ann-511,511.000,512.815,514.498,1.683,1.331,0.4544,19.49,167,193,0,share,1.268
G1S24_Zn65_P5,G1S24,known,Zn-65,1115.539,1116.891,1116.909,0.018,1.355,0.9827,82.89,359,403,1,,-3.783
