spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S16_Mn54_P5,G1S16,known,Mn-54,single,99.933,246.55,1.6861,2.4826E+004,208789.2,1.2821E+001,2.6513E+001,,,0,100.000
G1S16_Na22_P5,G1S16,known,Na-22,single,27.480,116.88,3.7283,5.5634E+004,305556.7,1.4138E+002,2.9128E+002,,,0,14.773
G1S16_Na22_P5,G1S16,known,Ann-511,nuisance,72.514,188.06,3.7283,1.2761E+005,1762808.0,,,,,0,85.227
G1S16_Th228_P5,G1S16,known,Th-228,single,1.031,118.83,2.1168,1.8975E+003,3324.3,8.0545E+000,1.6353E+001,,,0,1.357
G1S16_Th228_P5,G1S16,known,Ra-224,single,2.837,118.83,2.1168,1.8975E+003,7634.8,,,,,0,3.118
G1S16_Th228_P5,G1S16,known,Rn-220,single,0.054,118.83,2.1168,1.8975E+003,82.8,,,,,0,0.034
G1S16_Th228_P5,G1S16,known,Po-216,single,0.001,118.83,2.1168,1.8975E+003,1.1,,,,,0,0.000
G1S16_Th228_P5,G1S16,known,Pb-212,single,50.559,118.83,2.1168,1.8975E+003,149289.7,,,,,0,60.960
G1S16_Th228_P5,G1S16,known,Bi-212,single,7.857,118.83,2.1168,1.8975E+003,20402.1,,,,,0,8.331
G1S16_Th228_P5,G1S16,known,Tl-208,single,37.661,118.83,2.1168,1.8975E+003,64164.8,,,,,0,26.200
G1S16_Y88_P5,G1S16,known,Y-88,single,98.428,95.06,1.1554,5.5913E+002,14202.1,2.4036E+000,4.9642E+000,,,0,97.331
G1S16_Y88_P5,G1S16,known,Ann-511,nuisance,1.572,5.85,1.1554,1.4114E+001,389.5,,,,,0,2.669
