spectrum,peak_kev,fwhm_kev,winner,cand_name,cand_kev,cand_intensity_pct,cand_miss_kev,cand_miss_fwhm
AS80_Charoite,1171.210,82.205,Co-60,Bi-214,1120.000,14.9,51.210,0.6229
AS80_Charoite,1171.210,82.205,Co-60,Co-60,1173.000,99.85,1.790,0.0218
AS80_Charoite,1171.210,82.205,Co-60,Bi-214,1238.000,5.83,66.790,0.8125
AS80_Charoite,1171.210,82.205,Co-60,Co-60,1332.000,99.9826,160.790,1.9560
AS80_Charoite,1515.997,83.892,K-40,Bi-214,1377.000,3.985,138.997,1.6569
AS80_Charoite,1515.997,83.892,K-40,K-40,1460.000,10.66,55.997,0.6675
AS80_Charoite,1515.997,83.892,K-40,Ac-228,1588.000,3.22,72.003,0.8583
AS80_Charoite,1841.824,77.232,Bi-214,Bi-214,1764.000,15.29,77.824,1.0077
AS80_Charoite,2218.848,106.172,Bi-214,Tl-208 SE,2103.000,0,115.848,1.0911
AS80_Charoite,2218.848,106.172,Bi-214,Bi-214,2204.000,4.92,14.848,0.1399
AS80_Charoite,2751.746,128.137,Tl-208,Tl-208,2614.000,35.8516,137.746,1.0750
AS80_Cs137_0cm,33.277,7.182,,Am-241,26.345,2.27,6.932,0.9653
AS80_Cs137_0cm,33.277,7.182,,Pb-210,46.539,4.25,13.262,1.8466
AS80_Cs137_0cm,64.589,8.151,W x-ray,Am-241,59.541,35.9,5.048,0.6194
AS80_Cs137_0cm,64.589,8.151,W x-ray,Am-243,74.660,67.2,10.071,1.2356
AS80_Cs137_0cm,64.589,8.151,W x-ray,Pb x-ray,74.969,100,10.380,1.2735
AS80_Cs137_0cm,64.589,8.151,W x-ray,Pb x-ray,72.804,59.5,8.215,1.0079
AS80_Cs137_0cm,64.589,8.151,W x-ray,W x-ray,59.318,100,5.271,0.6467
AS80_Cs137_0cm,64.589,8.151,W x-ray,W x-ray,57.981,57.6,6.608,0.8108
AS80_Cs137_0cm,64.589,8.151,W x-ray,W x-ray,67.244,22,2.655,0.3257
AS80_Cs137_0cm,64.589,8.151,W x-ray,W x-ray,69.067,8,4.478,0.5494
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,Am-241,59.541,35.9,23.414,1.8479
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,Am-243,74.660,67.2,8.295,0.6546
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,Np-239,106.000,25.34,23.045,1.8188
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,Pb x-ray,74.969,100,7.986,0.6302
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,Pb x-ray,72.804,59.5,10.151,0.8011
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,Pb x-ray,84.936,23,1.981,0.1564
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,Pb x-ray,87.300,8,4.345,0.3430
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,W x-ray,59.318,100,23.637,1.8655
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,W x-ray,57.981,57.6,24.974,1.9710
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,W x-ray,67.244,22,15.711,1.2399
AS80_Cs137_0cm,82.955,12.671,Pb x-ray,W x-ray,69.067,8,13.888,1.0961
AS80_Cs137_0cm,130.554,16.535,Ac-228,Np-239,106.000,25.34,24.554,1.4849
AS80_Cs137_0cm,130.554,16.535,Ac-228,Th-234,112.810,0.21,17.744,1.0731
AS80_Cs137_0cm,130.554,16.535,Ac-228,Eu-152,125.000,28.53,5.554,0.3359
AS80_Cs137_0cm,130.554,16.535,Ac-228,U-235,145.000,10.96,14.446,0.8737
AS80_Cs137_0cm,130.554,16.535,Ac-228,Pu-238,152.000,0.0009,21.446,1.2970
AS80_Cs137_0cm,130.554,16.535,Ac-228,Ac-228,129.065,2.42,1.489,0.0900
AS80_Cs137_0cm,203.654,24.084,Lu-176,Ra-226,186.211,3.64,17.443,0.7243
AS80_Cs137_0cm,203.654,24.084,Lu-176,Lu-176,202.000,77.9688,1.654,0.0687
AS80_Cs137_0cm,203.654,24.084,Lu-176,U-237,208.005,21.2,4.351,0.1807
AS80_Cs137_0cm,203.654,24.084,Lu-176,Ac-228,211.000,3.89,7.346,0.3050
AS80_Cs137_0cm,203.654,24.084,Lu-176,Np-239,228.000,10.73,24.346,1.0109
AS80_Cs137_0cm,203.654,24.084,Lu-176,Pb-212,238.000,43.6,34.346,1.4261
AS80_Cs137_0cm,203.654,24.084,Lu-176,Pb-214,241.000,7.2615,37.346,1.5507
AS80_Cs137_0cm,203.654,24.084,Lu-176,Eu-152,244.000,7.55,40.346,1.6752
AS80_Cs137_0cm,203.654,24.084,Lu-176,U-235,185.715,57,17.939,0.7448
AS80_Cs137_0cm,446.914,40.661,Ag-108m,Pu-239,375.000,0.0016,71.914,1.7686
AS80_Cs137_0cm,446.914,40.661,Ag-108m,Pu-241,400.000,0,46.914,1.1538
AS80_Cs137_0cm,446.914,40.661,Ag-108m,Ac-228,409.000,1.92,37.914,0.9325
AS80_Cs137_0cm,446.914,40.661,Ag-108m,Ag-108m,433.000,90.5,13.914,0.3422
AS80_Cs137_0cm,446.914,40.661,Ag-108m,Ac-228,463.000,4.4,16.086,0.3956
AS80_Cs137_0cm,446.914,40.661,Ag-108m,Tl-208,510.000,8.1224,63.086,1.5515
AS80_Cs137_0cm,446.914,40.661,Ag-108m,Annihilation,511.000,0,64.086,1.5761
AS80_Cs137_0cm,655.435,50.545,Cs-137,Tl-208,583.000,30.549,72.435,1.4331
AS80_Cs137_0cm,655.435,50.545,Cs-137,Bi-214,609.000,45.44,46.435,0.9187
AS80_Cs137_0cm,655.435,50.545,Cs-137,Ag-108m,614.000,89.8,41.435,0.8198
AS80_Cs137_0cm,655.435,50.545,Cs-137,I-131,636.000,7.1557,19.435,0.3845
AS80_Cs137_0cm,655.435,50.545,Cs-137,Cs-137,662.000,85.1,6.565,0.1299
AS80_Cs137_0cm,655.435,50.545,Cs-137,I-131,722.000,1.7686,66.565,1.3169
AS80_Cs137_0cm,655.435,50.545,Cs-137,Bi-212,727.330,6.67,71.895,1.4224
AS80_Cs137_0cm,655.435,50.545,Cs-137,Ac-228,726.863,0.62,71.428,1.4132
AS80_Cs137_0cm,904.298,76.269,Ac-228,Pa-234m,766.000,0.317,138.298,1.8133
AS80_Cs137_0cm,904.298,76.269,Ac-228,Eu-152,780.000,12.93,124.298,1.6297
AS80_Cs137_0cm,904.298,76.269,Ac-228,Ac-228,794.000,4.25,110.298,1.4462
AS80_Cs137_0cm,904.298,76.269,Ac-228,Cs-134,798.000,85.46,106.298,1.3937
AS80_Cs137_0cm,904.298,76.269,Ac-228,Ac-228,835.000,1.61,69.298,0.9086
AS80_Cs137_0cm,904.298,76.269,Ac-228,Ac-228,911.000,25.8,6.702,0.0879
AS80_Cs137_0cm,904.298,76.269,Ac-228,Ac-228,964.000,4.99,59.702,0.7828
AS80_Cs137_0cm,904.298,76.269,Ac-228,Ac-228,968.000,15.8,63.702,0.8352
AS80_Cs137_0cm,904.298,76.269,Ac-228,Pa-234m,1001.000,0.842,96.702,1.2679
AS80_Cs137_0cm,904.298,76.269,Ac-228,Bi-214,768.360,4.89,135.938,1.7824
AS80_Cs137_0cm,1104.800,74.127,Eu-152,Ac-228,964.000,4.99,140.800,1.8995
AS80_Cs137_0cm,1104.800,74.127,Eu-152,Ac-228,968.000,15.8,136.800,1.8455
AS80_Cs137_0cm,1104.800,74.127,Eu-152,Pa-234m,1001.000,0.842,103.800,1.4003
AS80_Cs137_0cm,1104.800,74.127,Eu-152,Eu-152,1111.000,13.67,6.200,0.0836
AS80_Cs137_0cm,1104.800,74.127,Eu-152,Bi-214,1120.000,14.9,15.200,0.2050
AS80_Cs137_0cm,1104.800,74.127,Eu-152,Co-60,1173.000,99.85,68.200,0.9200
AS80_Cs137_0cm,1104.800,74.127,Eu-152,Bi-214,1238.000,5.83,133.200,1.7969
AS80_Cs137_0cm,1456.909,100.263,K-40,Co-60,1332.000,99.9826,124.909,1.2458
AS80_Cs137_0cm,1456.909,100.263,K-40,Bi-214,1377.000,3.985,79.909,0.7970
