ch,keV,net,fit,model,continuum_raw,Bi-207,Esc-NaI,Ann-511
37,103.578,56901.521,56901.521,71198.941,7535.850,71149.182,0.000,49.759
38,106.367,35931.647,35931.647,44431.594,6701.955,44373.517,0.000,58.077
39,109.158,30773.303,30773.303,31213.185,5868.059,31148.959,0.000,64.226
40,111.950,30034.897,30034.897,25536.220,5034.164,25468.724,0.000,67.497
41,114.743,31252.646,31252.646,23160.787,4200.268,23092.432,0.000,68.355
42,117.538,32210.552,32210.552,24641.251,6028.371,24566.715,0.000,74.537
43,120.333,33060.146,33060.146,26482.467,7856.474,26402.459,0.000,80.009
44,123.130,33199.334,33199.334,28382.630,9684.576,28297.563,0.000,85.068
45,125.929,33780.115,33780.115,30238.221,11512.679,30148.456,0.000,89.765
46,128.728,34608.958,34608.958,32043.479,13340.782,31949.304,0.000,94.174
47,131.529,34885.239,34885.239,33838.025,15168.884,33739.555,0.000,98.470
48,134.332,35020.801,35020.801,35653.358,16996.987,35550.522,0.000,102.835
49,137.135,35930.989,35930.989,37485.237,18825.089,37377.866,0.000,107.371
50,139.940,36639.207,36639.207,39304.003,20653.192,39191.926,0.000,112.076
51,142.746,36451.739,36451.739,41081.307,22481.295,40964.419,0.000,116.888
52,145.553,37419.114,37419.114,42809.839,24309.397,42688.115,0.000,121.724
53,148.361,37898.864,37898.864,44507.821,26137.500,44381.306,0.000,126.515
54,151.171,38220.364,38220.364,46209.885,27965.603,46078.661,0.000,131.224
55,153.982,39383.083,39383.083,47950.570,29793.705,47814.713,0.000,135.857
56,156.794,39933.552,39933.552,49749.532,31621.808,49609.072,0.000,140.460
57,159.607,41429.520,41429.520,51606.071,33449.911,51460.969,0.000,145.102
58,162.422,42860.926,42860.926,53504.687,35278.013,53354.825,0.000,149.862
59,165.237,43655.677,43655.677,55427.321,37106.116,55272.521,0.000,154.800
60,168.054,45074.364,45074.364,57365.149,38934.218,57205.209,0.000,159.940
61,170.872,47602.426,47602.426,59323.783,40762.321,59158.528,0.000,165.255
62,173.692,50090.895,50090.895,61319.351,42590.424,61148.689,0.000,170.662
63,176.512,53927.552,53927.552,63367.411,44418.526,63191.373,0.000,176.038
64,179.334,57143.020,57143.020,62628.650,43404.963,62454.483,0.000,174.167
65,182.157,62886.926,62886.926,61926.700,42391.400,61754.652,0.000,172.048
66,184.981,67285.082,67285.082,61226.091,41377.837,61056.453,0.000,169.638
67,187.806,71970.239,71970.239,60486.072,40364.274,60319.114,0.000,166.959
68,190.632,75018.270,75018.270,59675.660,39350.711,59511.583,0.000,164.078
69,193.460,75767.927,75767.927,58783.872,38337.148,58622.790,0.000,161.082
70,196.289,77610.521,77610.521,57820.877,37323.585,57662.827,0.000,158.050
71,199.118,76345.958,76345.958,56811.111,36310.022,56656.078,0.000,155.033
72,201.949,74954.302,74954.302,55782.886,35296.459,55630.829,0.000,152.057
73,204.781,71251.677,71251.677,54759.117,34282.896,54609.993,0.000,149.123
74,207.615,69779.865,69779.865,53751.772,33269.333,53605.548,0.000,146.224
75,210.449,66139.178,66139.178,52760.583,32255.770,52617.232,0.000,143.351
76,213.284,64130.240,64130.240,51775.427,31242.207,51634.926,0.000,140.500
77,216.121,61994.240,61994.240,50781.334,30228.644,50643.658,0.000,137.676
78,218.959,60112.490,60112.490,49764.579,29215.081,49629.696,0.000,134.883
79,221.798,58224.959,58224.959,48717.879,28201.518,48585.755,0.000,132.123
80,224.637,56722.990,56722.990,47642.834,27187.955,47513.441,0.000,129.394
81,227.478,54950.615,54950.615,46548.749,26174.392,46422.066,0.000,126.683
82,230.321,53408.115,53408.115,45448.502,25160.829,45324.525,0.000,123.977
83,233.164,51774.865,51774.865,44353.455,24147.266,44232.190,0.000,121.265
84,236.008,50027.896,50027.896,43269.657,23133.703,43151.113,0.000,118.544
85,238.853,48107.146,48107.146,42196.771,22120.140,42080.950,0.000,115.821
86,241.700,46295.115,46295.115,41129.678,21106.577,41016.562,0.000,113.116
87,244.547,44168.084,44168.084,40061.576,20093.014,39951.124,0.000,110.452
88,247.396,42183.928,42183.928,38987.016,19079.451,38879.166,0.000,107.851
89,250.245,40990.772,40990.772,37903.807,18065.888,37798.480,0.000,105.328
90,253.096,38845.678,38845.678,36813.499,17052.325,36710.615,0.000,102.884
91,255.948,36708.897,36708.897,35720.779,16038.762,35620.271,0.000,100.508
92,258.800,35842.804,35842.804,35209.777,15602.690,35110.201,0.000,99.577
93,261.654,34247.805,34247.805,34710.188,15166.618,34611.532,0.000,98.656
94,264.509,33255.992,33255.992,34228.289,14730.545,34130.571,0.000,97.718
95,267.365,32042.773,32042.773,33768.063,14294.473,33671.317,0.000,96.746
96,270.222,30840.586,30840.586,33330.076,13858.401,33234.336,0.000,95.740
97,273.079,30043.930,30043.930,32910.915,13422.329,32816.197,0.000,94.717
98,275.938,29367.367,29367.367,32503.479,12986.257,32409.767,0.000,93.712
99,278.798,29015.774,29015.774,32098.213,12550.184,32005.447,0.000,92.766
100,281.659,28119.243,28119.243,31685.089,12114.112,31593.171,0.000,91.919
101,284.521,27573.211,27573.211,31255.894,11678.040,31164.694,0.000,91.200
102,287.384,27630.149,27630.149,30806.168,11241.968,30715.546,0.000,90.621
103,290.248,26767.243,26767.243,30336.209,10805.896,30246.036,0.000,90.174
104,293.113,26392.212,26392.212,29850.812,10369.823,29760.981,0.000,89.831
105,295.979,25914.305,25914.305,29357.815,9933.751,29268.261,0.000,89.554
106,298.845,25753.899,25753.899,28865.995,9497.679,28776.695,0.000,89.300
107,301.713,25344.180,25344.180,28383.030,9061.607,28294.003,0.000,89.028
108,304.582,25145.087,25145.087,27914.159,8625.535,27825.458,0.000,88.701
109,307.452,24567.493,24567.493,27461.799,8189.462,27373.512,0.000,88.287
110,310.322,24696.056,24696.056,27025.962,7753.390,26938.209,0.000,87.753
111,313.194,24188.212,24188.212,26605.040,7317.318,26517.983,0.000,87.057
112,316.066,24511.556,24511.556,26196.553,6881.246,26110.410,0.000,86.143
113,318.940,23740.869,23740.869,25797.649,6445.173,25712.708,0.000,84.940
114,321.814,24323.463,24323.463,25405.442,6009.101,25322.078,0.000,83.364
115,324.690,23836.306,23836.306,25017.367,5573.029,24936.040,0.000,81.327
116,327.566,23654.463,23654.463,24631.692,5136.957,24552.939,0.000,78.752
117,330.443,23508.275,23508.275,24248.160,4700.885,24172.568,0.000,75.592
118,333.322,23288.744,23288.744,23868.512,4264.812,23796.675,0.000,71.837
119,336.201,23837.713,23837.713,23496.615,3828.740,23429.081,0.000,67.534
120,339.081,23503.338,23503.338,23137.975,3392.668,23075.195,0.000,62.780
121,341.961,23552.869,23552.869,22798.639,2956.596,22740.924,0.000,57.715
122,344.843,23588.713,23588.713,22483.677,2520.524,22431.170,0.000,52.507
123,347.726,23857.369,23857.369,22195.581,2084.451,22148.253,0.000,47.328
124,350.610,23290.900,23290.900,21932.910,1648.379,21890.574,0.000,42.335
125,353.494,23947.682,23947.682,21689.430,1212.307,21651.779,0.000,37.651
126,356.379,23604.151,23604.151,21453.871,776.235,21420.516,0.000,33.354
127,359.266,23500.244,23500.244,21210.281,340.162,21180.800,0.000,29.481
128,362.153,23213.401,23213.401,21377.986,343.154,21350.933,0.000,27.053
129,365.041,23599.245,23599.245,21495.733,346.146,21470.715,0.000,25.018
130,367.929,23413.495,23413.495,21540.563,349.138,21517.237,0.000,23.326
131,370.819,22801.432,22801.432,21490.679,352.130,21468.756,0.000,21.924
132,373.710,22112.526,22112.526,21327.520,355.122,21306.762,0.000,20.758
133,376.601,21776.339,21776.339,21037.806,358.113,21018.025,0.000,19.781
134,379.493,20732.433,20732.433,20615.364,361.105,20596.411,0.000,18.953
135,382.386,19860.183,19860.183,20062.463,364.097,20044.220,0.000,18.243
136,385.280,18505.589,18505.589,19390.389,367.089,19372.764,0.000,17.625
137,388.175,17828.589,17828.589,18619.055,370.081,18601.975,0.000,17.080
138,391.071,17062.839,17062.839,17775.526,373.072,17758.933,0.000,16.593
139,393.967,15739.715,15739.715,16891.552,376.064,16875.399,0.000,16.153
140,396.864,15321.277,15321.277,16000.419,379.056,15984.667,0.000,15.752
141,399.762,14220.277,14220.277,15133.583,382.048,15118.198,0.000,15.386
142,402.661,13659.277,13659.277,14317.639,385.040,14302.587,0.000,15.052
143,405.561,13184.652,13184.652,13572.122,388.031,13557.370,0.000,14.751
144,408.461,12454.996,12454.996,12908.462,391.023,12893.978,0.000,14.485
145,411.363,12090.058,12090.058,12330.150,394.015,12315.896,0.000,14.254
146,414.265,11919.871,11919.871,11833.935,397.007,11819.874,0.000,14.061
147,417.167,11468.715,11468.715,11411.712,399.999,11397.808,0.000,13.904
148,420.071,11228.496,11228.496,11052.663,402.991,11038.881,0.000,13.782
149,422.976,11081.934,11081.934,10745.259,405.982,10731.570,0.000,13.689
150,425.881,10727.496,10727.496,10478.848,408.974,10465.227,0.000,13.621
151,428.787,10638.402,10638.402,10244.665,411.966,10231.094,0.000,13.571
152,431.693,10314.965,10314.965,10036.255,414.958,10022.719,0.000,13.536
153,434.601,10145.621,10145.621,9849.395,417.950,9835.880,0.000,13.514
154,437.509,10029.340,10029.340,9681.659,420.941,9668.149,0.000,13.510
155,440.418,9702.246,9702.246,9531.809,423.933,9518.271,0.000,13.537
156,443.328,9584.246,9584.246,9399.162,426.925,9385.541,0.000,13.621
157,446.238,9458.372,9458.372,9283.086,429.917,9269.278,0.000,13.808
158,449.150,9301.996,9301.996,9182.682,432.909,9168.512,0.000,14.170
159,452.062,9339.403,9339.403,9096.687,435.900,9081.863,0.000,14.824
160,454.974,9207.746,9207.746,9023.562,438.892,9007.616,0.000,15.946
161,457.888,8894.215,8894.215,8961.702,441.884,8943.904,0.000,17.797
162,460.802,8859.090,8859.090,8909.686,444.876,8888.926,0.000,20.760
163,463.717,8939.090,8939.090,8866.496,447.868,8841.129,0.000,25.367
164,466.632,8870.684,8870.684,8831.656,450.860,8799.322,0.000,32.334
165,469.549,8781.809,8781.809,8805.275,453.851,8762.697,0.000,42.579
166,472.466,8579.215,8579.215,8787.995,456.843,8730.784,0.000,57.212
167,475.383,8812.872,8812.872,8780.863,459.835,8703.377,0.000,77.486
168,478.302,8700.434,8700.434,8785.158,462.827,8680.463,0.000,104.695
169,481.221,8865.622,8865.622,8802.202,465.819,8662.195,0.000,140.007
170,484.141,8664.653,8664.653,8833.172,468.810,8648.924,0.000,184.248
171,487.061,8851.622,8851.622,8878.984,471.802,8641.333,0.000,237.651
172,489.982,8675.184,8675.184,8949.747,484.255,8650.114,0.000,299.633
173,492.904,9020.621,9020.621,9036.616,496.707,8668.077,0.000,368.539
174,495.827,8816.528,8816.528,9140.755,509.160,8699.123,0.000,441.632
175,498.750,9364.715,9364.715,9264.983,521.612,8749.829,0.000,515.154
176,501.674,9108.371,9108.371,9415.561,534.065,8830.981,0.000,584.580
177,504.598,9619.841,9619.841,9604.818,546.518,8959.763,0.000,645.055
178,507.524,9480.278,9480.278,9854.698,558.970,9162.766,0.000,691.932
179,510.449,10153.091,10153.091,10201.226,571.423,9479.867,0.000,721.359
180,513.376,10558.434,10558.434,10699.702,583.875,9968.907,0.000,730.795
181,516.303,11714.903,11714.903,11430.177,596.328,10710.814,0.000,719.363
182,519.231,12774.840,12774.840,12502.448,608.780,11814.469,0.000,687.979
183,522.159,14569.247,14569.247,14059.377,621.233,13420.155,0.000,639.222
184,525.088,16461.497,16461.497,16276.992,633.685,15700.013,0.000,576.979
185,528.018,19870.216,19870.216,19359.553,646.138,18853.628,0.000,505.925
186,530.948,23977.622,23977.622,23527.831,658.591,23096.887,0.000,430.944
187,533.879,29699.747,29699.747,28999.340,671.043,28642.761,0.000,356.579
188,536.811,36097.310,36097.310,35960.377,683.496,35673.771,0.000,286.607
189,539.743,45289.716,45289.716,44531.356,695.948,44307.583,0.000,223.773
190,542.676,54564.091,54564.091,54728.967,708.401,54559.253,0.000,169.714
191,545.609,65895.935,65895.935,66430.693,720.853,66305.664,0.000,125.029
192,548.543,78682.435,78682.435,79348.630,733.306,79259.158,0.000,89.473
193,551.478,91539.029,91539.029,93019.838,745.758,92957.644,0.000,62.194
194,554.413,106086.154,106086.154,106819.150,758.211,106777.156,0.000,41.994
195,557.348,119366.497,119366.497,119997.369,770.664,119969.826,0.000,27.543
196,560.285,131413.497,131413.497,131743.456,783.116,131725.909,0.000,17.547
197,563.222,141232.810,141232.810,141264.481,795.569,141253.622,0.000,10.859
198,566.159,147982.122,147982.122,147872.772,808.021,147866.245,0.000,6.528
199,569.097,153188.560,153188.560,151067.125,820.474,151063.314,0.000,3.811
200,572.036,153099.216,153099.216,150594.784,832.926,150592.623,0.000,2.162
201,574.975,149517.841,149517.841,146483.593,845.379,146482.402,0.000,1.191
202,577.915,141434.466,141434.466,139038.648,857.831,139038.010,0.000,0.637
203,580.855,131289.091,131289.091,128804.052,870.284,128803.721,0.000,0.331
204,583.796,118444.466,118444.466,116496.438,882.737,116496.271,0.000,0.167
205,586.738,103850.935,103850.935,102921.561,895.189,102921.479,0.000,0.082
206,589.680,87304.091,87304.091,88887.416,907.642,88887.377,0.000,0.039
207,592.622,72400.466,72400.466,75126.746,920.094,75126.728,0.000,0.018
208,595.565,58801.560,58801.560,62238.801,932.547,62238.793,0.000,0.008
209,598.509,46191.654,46191.654,50655.758,944.999,50655.755,0.000,0.004
210,601.453,35936.685,35936.685,40634.354,957.452,40634.352,0.000,0.002
211,604.398,27015.747,27015.747,32269.149,969.904,32269.149,0.000,0.001
212,607.343,20962.654,20962.654,25521.136,982.357,25521.136,0.000,0.000
213,610.288,16539.060,16539.060,20254.365,994.809,20254.365,0.000,0.000
214,613.235,12995.404,12995.404,16273.771,1007.262,16273.771,0.000,0.000
215,616.181,10669.748,10669.748,13358.943,1019.715,13358.943,0.000,0.000
216,619.129,9329.310,9329.310,11290.650,1032.167,11290.650,0.000,0.000
217,622.076,8537.998,8537.998,9868.941,1044.620,9868.941,0.000,0.000
218,625.025,8015.123,8015.123,8923.253,1057.072,8923.253,0.000,0.000
219,627.973,7692.967,7692.967,8315.975,1069.525,8315.975,0.000,0.000
220,630.923,7966.717,7966.717,7941.361,1081.977,7941.361,0.000,0.000
221,633.872,7767.404,7767.404,7721.649,1094.430,7721.649,0.000,0.000
222,636.823,7622.904,7622.904,7601.939,1106.882,7601.939,0.000,0.000
223,639.773,8044.748,8044.748,7544.941,1119.335,7544.941,0.000,0.000
224,642.724,7749.592,7749.592,7526.249,1131.788,7526.249,0.000,0.000
225,645.676,8013.904,8013.904,7500.111,1113.878,7500.111,0.000,0.000
226,648.628,8226.810,8226.810,7487.541,1095.968,7487.541,0.000,0.000
227,651.581,7958.467,7958.467,7483.086,1078.058,7483.086,0.000,0.000
228,654.534,8136.623,8136.623,7483.699,1060.148,7483.699,0.000,0.000
229,657.487,8329.998,8329.998,7487.746,1042.238,7487.746,0.000,0.000
230,660.441,7908.592,7908.592,7494.378,1024.328,7494.378,0.000,0.000
231,663.396,8423.967,8423.967,7503.133,1006.419,7503.133,0.000,0.000
232,666.351,7978.686,7978.686,7513.705,988.509,7513.705,0.000,0.000
233,669.306,8180.092,8180.092,7525.812,970.599,7525.812,0.000,0.000
234,672.262,8128.435,8128.435,7539.133,952.689,7539.133,0.000,0.000
235,675.218,7720.654,7720.654,7553.293,934.779,7553.293,0.000,0.000
236,678.175,7929.842,7929.842,7567.865,916.869,7567.865,0.000,0.000
237,681.132,7236.936,7236.936,7582.400,898.959,7582.400,0.000,0.000
238,684.089,7700.467,7700.467,7596.457,881.050,7596.457,0.000,0.000
239,687.047,7771.311,7771.311,7609.642,863.140,7609.642,0.000,0.000
240,690.006,7268.592,7268.592,7621.633,845.230,7621.633,0.000,0.000
241,692.964,7454.529,7454.529,7632.208,827.320,7632.208,0.000,0.000
242,695.923,7335.217,7335.217,7641.260,809.410,7641.260,0.000,0.000
243,698.883,7470.154,7470.154,7648.797,791.500,7648.797,0.000,0.000
244,701.843,7521.717,7521.717,7654.941,773.590,7654.941,0.000,0.000
245,704.804,7270.404,7270.404,7659.907,755.681,7659.907,0.000,0.000
246,707.764,7475.811,7475.811,7663.979,737.771,7663.979,0.000,0.000
247,710.726,7587.779,7587.779,7667.478,719.861,7667.478,0.000,0.000
248,713.687,7374.873,7374.873,7670.732,701.951,7670.732,0.000,0.000
249,716.649,7348.092,7348.092,7674.039,684.041,7674.039,0.000,0.000
250,719.611,7602.248,7602.248,7677.648,666.131,7677.648,0.000,0.000
251,722.574,7533.811,7533.811,7681.737,648.221,7681.737,0.000,0.000
252,725.537,7731.842,7731.842,7686.412,630.312,7686.412,0.000,0.000
253,728.501,7586.655,7586.655,7691.711,612.402,7691.711,0.000,0.000
254,731.465,7580.373,7580.373,7697.626,594.492,7697.626,0.000,0.000
255,734.429,7502.217,7502.217,7704.129,576.582,7704.129,0.000,0.000
256,737.394,7620.186,7620.186,7711.203,558.672,7711.203,0.000,0.000
257,740.359,7772.717,7772.717,7718.870,540.762,7718.870,0.000,0.000
258,743.324,7847.936,7847.936,7727.222,522.852,7727.222,0.000,0.000
259,746.290,7834.248,7834.248,7736.430,504.943,7736.430,0.000,0.000
260,749.256,7778.436,7778.436,7746.750,487.033,7746.750,0.000,0.000
261,752.222,7806.498,7806.498,7758.512,469.123,7758.512,0.000,0.000
262,755.189,7879.998,7879.998,7772.096,451.213,7772.096,0.000,0.000
263,758.156,8055.092,8055.092,7787.900,433.303,7787.900,0.000,0.000
264,761.123,7879.936,7879.936,7806.296,415.393,7806.296,0.000,0.000
265,764.091,7907.873,7907.873,7827.594,397.483,7827.594,0.000,0.000
266,767.059,7885.311,7885.311,7851.991,379.573,7851.991,0.000,0.000
267,770.028,7991.936,7991.936,7879.541,361.664,7879.541,0.000,0.000
268,772.996,8016.623,8016.623,7910.117,343.754,7910.117,0.000,0.000
269,775.965,8015.748,8015.748,7943.388,325.844,7943.388,0.000,0.000
270,778.935,8318.467,8318.467,7978.800,307.934,7978.800,0.000,0.000
271,781.904,8000.342,8000.342,8015.563,290.024,8015.563,0.000,0.000
272,784.874,8104.780,8104.780,8052.648,272.114,8052.648,0.000,0.000
273,787.845,8394.748,8394.748,8088.783,254.204,8088.783,0.000,0.000
274,790.815,8317.686,8317.686,8122.456,236.295,8122.456,0.000,0.000
275,793.786,8331.936,8331.936,8151.932,218.385,8151.932,0.000,0.000
276,796.758,8441.373,8441.373,8175.261,200.475,8175.261,0.000,0.000
277,799.729,8187.717,8187.717,8190.312,182.565,8190.312,0.000,0.000
278,802.701,8385.936,8385.936,8194.807,164.655,8194.807,0.000,0.000
279,805.673,8230.217,8230.217,8186.371,146.745,8186.371,0.000,0.000
280,808.645,8217.967,8217.967,8162.594,128.835,8162.594,0.000,0.000
281,811.618,8370.905,8370.905,8121.116,110.926,8121.116,0.000,0.000
282,814.591,7925.092,7925.092,8059.709,93.016,8059.709,0.000,0.000
283,817.564,7887.811,7887.811,7976.384,75.106,7976.384,0.000,0.000
284,820.538,7976.186,7976.186,7869.495,57.196,7869.495,0.000,0.000
285,823.512,7625.186,7625.186,7737.843,39.286,7737.843,0.000,0.000
286,826.486,7490.499,7490.499,7580.772,21.376,7580.772,0.000,0.000
287,829.460,7241.342,7241.342,7398.246,3.466,7398.246,0.000,0.000
288,832.434,6849.248,6849.248,7214.715,9.368,7214.715,0.000,0.000
289,835.409,6855.717,6855.717,7007.699,15.269,7007.699,0.000,0.000
290,838.384,6443.342,6443.342,6779.211,21.170,6779.211,0.000,0.000
291,841.360,6123.998,6123.998,6531.889,27.071,6531.889,0.000,0.000
292,844.335,5747.936,5747.936,6268.903,32.972,6268.903,0.000,0.000
293,847.311,5555.405,5555.405,5993.837,38.874,5993.837,0.000,0.000
294,850.287,5175.998,5175.998,5710.536,44.775,5710.536,0.000,0.000
295,853.263,4947.155,4947.155,5422.950,50.676,5422.950,0.000,0.000
296,856.240,4502.967,4502.967,5134.965,56.577,5134.965,0.000,0.000
297,859.217,4469.655,4469.655,4850.258,62.478,4850.258,0.000,0.000
298,862.194,4115.186,4115.186,4572.154,68.380,4572.154,0.000,0.000
299,865.171,3816.061,3816.061,4303.530,74.281,4303.530,0.000,0.000
300,868.149,3680.936,3680.936,4046.739,80.182,4046.739,0.000,0.000
301,871.126,3487.530,3487.530,3803.580,86.083,3803.580,0.000,0.000
302,874.104,3307.655,3307.655,3575.296,91.984,3575.296,0.000,0.000
303,877.082,3059.186,3059.186,3362.609,97.885,3362.609,0.000,0.000
304,880.061,3120.092,3120.092,3165.771,103.787,3165.771,0.000,0.000
305,883.039,2956.811,2956.811,2984.642,109.688,2984.642,0.000,0.000
306,886.018,2725.155,2725.155,2818.766,115.589,2818.766,0.000,0.000
307,888.997,2624.342,2624.342,2667.455,121.490,2667.455,0.000,0.000
308,891.976,2624.749,2624.749,2529.866,127.391,2529.866,0.000,0.000
309,894.955,2370.155,2370.155,2405.069,133.293,2405.069,0.000,0.000
310,897.935,2317.811,2317.811,2292.097,139.194,2292.097,0.000,0.000
311,900.915,2272.749,2272.749,2189.993,145.095,2189.993,0.000,0.000
312,903.894,2167.249,2167.249,2097.834,150.996,2097.834,0.000,0.000
313,906.875,2203.561,2203.561,2014.751,156.897,2014.751,0.000,0.000
314,909.855,2063.436,2063.436,1939.935,162.799,1939.935,0.000,0.000
315,912.835,1943.467,1943.467,1872.641,168.700,1872.641,0.000,0.000
316,915.816,1865.217,1865.217,1812.181,174.601,1812.181,0.000,0.000
317,918.797,1783.249,1783.249,1757.929,180.502,1757.929,0.000,0.000
318,921.778,1803.248,1803.248,1709.311,186.403,1709.311,0.000,0.000
319,924.759,1705.530,1705.530,1665.806,192.305,1665.806,0.000,0.000
320,927.740,1651.311,1651.311,1626.950,198.206,1626.950,0.000,0.000
321,930.722,1637.967,1637.967,1592.343,204.107,1592.343,0.000,0.000
322,933.703,1634.686,1634.686,1561.656,210.008,1561.656,0.000,0.000
323,936.685,1672.280,1672.280,1534.655,215.909,1534.655,0.000,0.000
324,939.667,1542.905,1542.905,1511.222,221.810,1511.222,0.000,0.000
325,942.649,1532.655,1532.655,1491.394,227.712,1491.394,0.000,0.000
326,945.632,1581.842,1581.842,1475.406,233.613,1475.406,0.000,0.000
327,948.614,1535.905,1535.905,1463.757,239.514,1463.757,0.000,0.000
328,951.597,1573.655,1573.655,1457.285,245.415,1457.285,0.000,0.000
329,954.579,1558.061,1558.061,1457.277,251.316,1457.277,0.000,0.000
330,957.562,1538.811,1538.811,1465.585,257.218,1465.585,0.000,0.000
331,960.545,1687.186,1687.186,1484.787,263.119,1484.787,0.000,0.000
332,963.528,1650.905,1650.905,1518.360,269.020,1518.360,0.000,0.000
333,966.511,1655.811,1655.811,1570.886,274.921,1570.886,0.000,0.000
334,969.495,1849.124,1849.124,1648.271,280.822,1648.271,0.000,0.000
335,972.478,1964.655,1964.655,1757.969,286.724,1757.969,0.000,0.000
336,975.462,2094.217,2094.217,1909.198,292.625,1909.198,0.000,0.000
337,978.445,2190.842,2190.842,2113.118,298.526,2113.118,0.000,0.000
338,981.429,2459.405,2459.405,2382.942,304.427,2382.942,0.000,0.000
339,984.413,2763.343,2763.343,2733.952,310.328,2733.952,0.000,0.000
340,987.397,3037.843,3037.843,3183.373,316.230,3183.373,0.000,0.000
341,990.381,3321.249,3321.249,3750.063,322.131,3750.063,0.000,0.000
342,993.366,4023.999,4023.999,4453.997,328.032,4453.997,0.000,0.000
343,996.350,4749.999,4749.999,5315.509,333.933,5315.509,0.000,0.000
344,999.335,5445.905,5445.905,6354.276,339.834,6354.276,0.000,0.000
345,1002.319,6155.874,6155.874,7588.064,345.735,7588.064,0.000,0.000
346,1005.304,7466.686,7466.686,9031.264,351.637,9031.264,0.000,0.000
347,1008.288,8894.061,8894.061,10693.289,357.538,10693.289,0.000,0.000
348,1011.273,9817.249,9817.249,12576.913,363.439,12576.913,0.000,0.000
349,1014.258,11633.092,11633.092,14676.683,369.340,14676.683,0.000,0.000
350,1017.243,13921.155,13921.155,16977.552,375.241,16977.552,0.000,0.000
351,1020.228,16045.686,16045.686,19453.864,381.143,19453.864,0.000,0.000
352,1023.214,17608.186,17608.186,22068.861,387.044,22068.861,0.000,0.000
353,1026.199,20250.311,20250.311,24774.821,392.945,24774.821,0.000,0.000
354,1029.184,23353.249,23353.249,27513.934,398.846,27513.934,0.000,0.000
355,1032.169,26423.280,26423.280,30219.937,404.747,30219.937,0.000,0.000
356,1035.155,27353.905,27353.905,32820.504,410.649,32820.504,0.000,0.000
357,1038.140,31023.093,31023.093,35240.278,416.550,35240.278,0.000,0.000
358,1041.126,34339.030,34339.030,37404.388,422.451,37404.388,0.000,0.000
359,1044.112,36131.780,36131.780,39242.238,428.352,39242.238,0.000,0.000
360,1047.097,37772.436,37772.436,40691.298,434.253,40691.298,0.000,0.000
361,1050.083,39261.749,39261.749,41693.052,432.596,41693.052,0.000,0.000
