ch,keV,net,fit,model,continuum_raw,Ce-139,Esc-NaI,continuum
441,1299.425,0.000,-2.400,0.046,0.046,0.000,0.000,0.046
442,1302.450,3.133,3.133,0.045,0.045,0.000,0.000,0.045
443,1305.476,1.933,1.933,0.044,0.044,0.000,0.000,0.044
444,1308.501,0.000,-0.433,0.043,0.043,0.000,0.000,0.043
445,1311.527,2.267,2.267,0.043,0.043,0.000,0.000,0.043
446,1314.553,2.500,2.500,0.042,0.042,0.000,0.000,0.042
447,1317.579,0.000,-1.100,0.041,0.041,0.000,0.000,0.041
448,1320.604,1.100,1.100,0.040,0.040,0.000,0.000,0.040
449,1323.630,0.000,-0.033,0.040,0.040,0.000,0.000,0.040
450,1326.656,0.000,-0.067,0.039,0.039,0.000,0.000,0.039
451,1329.682,0.133,0.133,0.038,0.038,0.000,0.000,0.038
452,1332.709,0.000,-0.733,0.038,0.038,0.000,0.000,0.038
453,1335.735,4.833,4.833,0.037,0.037,0.000,0.000,0.037
454,1338.761,4.433,4.433,0.036,0.036,0.000,0.000,0.036
455,1341.787,0.000,-1.600,0.035,0.035,0.000,0.000,0.035
456,1344.814,2.133,2.133,0.035,0.035,0.000,0.000,0.035
457,1347.840,1.633,1.633,0.034,0.034,0.000,0.000,0.034
458,1350.866,1.333,1.333,0.033,0.033,0.000,0.000,0.033
459,1353.893,0.000,-0.033,0.032,0.032,0.000,0.000,0.032
460,1356.919,1.133,1.133,0.032,0.032,0.000,0.000,0.032
461,1359.946,0.000,-0.200,0.031,0.031,0.000,0.000,0.031
462,1362.972,0.000,-0.967,0.030,0.030,0.000,0.000,0.030
463,1365.999,0.267,0.267,0.029,0.029,0.000,0.000,0.029
464,1369.026,0.433,0.433,0.029,0.029,0.000,0.000,0.029
465,1372.052,3.367,3.367,0.028,0.028,0.000,0.000,0.028
466,1375.079,1.667,1.667,0.027,0.027,0.000,0.000,0.027
467,1378.106,0.000,-0.067,0.026,0.026,0.000,0.000,0.026
468,1381.133,0.000,-0.767,0.026,0.026,0.000,0.000,0.026
469,1384.160,0.000,-0.833,0.025,0.025,0.000,0.000,0.025
470,1387.186,2.033,2.033,0.024,0.024,0.000,0.000,0.024
471,1390.213,2.267,2.267,0.024,0.024,0.000,0.000,0.024
472,1393.240,0.300,0.300,0.023,0.023,0.000,0.000,0.023
473,1396.267,0.000,-1.767,0.022,0.022,0.000,0.000,0.022
474,1399.294,0.000,-2.267,0.021,0.021,0.000,0.000,0.021
475,1402.321,0.367,0.367,0.021,0.021,0.000,0.000,0.021
476,1405.348,0.000,-2.167,0.020,0.020,0.000,0.000,0.020
477,1408.375,0.000,-3.833,0.019,0.019,0.000,0.000,0.019
478,1411.402,3.300,3.300,0.018,0.018,0.000,0.000,0.018
479,1414.429,2.667,2.667,0.018,0.018,0.000,0.000,0.018
480,1417.456,0.000,-1.200,0.017,0.017,0.000,0.000,0.017
481,1420.483,0.000,-0.733,0.016,0.016,0.000,0.000,0.016
482,1423.510,0.100,0.100,0.015,0.015,0.000,0.000,0.015
483,1426.537,0.000,-2.667,0.015,0.015,0.000,0.000,0.015
484,1429.565,2.567,2.567,0.014,0.014,0.000,0.000,0.014
485,1432.592,4.067,4.067,0.013,0.013,0.000,0.000,0.013
486,1435.619,0.000,-0.167,0.013,0.013,0.000,0.000,0.013
487,1438.646,0.000,-0.467,0.012,0.012,0.000,0.000,0.012
488,1441.673,0.100,0.100,0.011,0.011,0.000,0.000,0.011
489,1444.700,2.667,2.667,0.010,0.010,0.000,0.000,0.010
490,1447.727,0.300,0.300,0.010,0.010,0.000,0.000,0.010
491,1450.754,4.900,4.900,0.009,0.009,0.000,0.000,0.009
492,1453.781,1.600,1.600,0.008,0.008,0.000,0.000,0.008
493,1456.808,0.000,-3.067,0.007,0.007,0.000,0.000,0.007
494,1459.836,0.000,-1.700,0.007,0.007,0.000,0.000,0.007
495,1462.863,0.000,-1.167,0.006,0.006,0.000,0.000,0.006
496,1465.890,1.167,1.167,0.005,0.005,0.000,0.000,0.005
497,1468.917,0.200,0.200,0.004,0.004,0.000,0.000,0.004
498,1471.944,0.000,-3.867,0.004,0.004,0.000,0.000,0.004
499,1474.971,0.667,0.667,0.003,0.003,0.000,0.000,0.003
500,1477.998,2.067,2.067,0.002,0.002,0.000,0.000,0.002
501,1481.025,5.600,5.600,0.001,0.001,0.000,0.000,0.001
502,1484.052,8.267,8.267,0.001,0.001,0.000,0.000,0.001
503,1487.079,2.967,2.967,0.000,0.000,0.000,0.000,0.000
