ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,pile-up
96,279.440,98070.608,98070.608,112957.777,50700.529,24952.564,88046.177,199.160
97,282.226,97672.952,97672.952,110853.511,48689.396,24308.598,86654.496,192.010
98,285.012,94207.389,94207.389,109034.921,46678.264,23664.977,85287.846,184.803
99,287.800,93883.796,93883.796,106938.202,44667.131,23024.226,83977.210,177.540
100,290.589,91341.264,91341.264,105062.785,42655.999,22387.258,82750.051,170.219
101,293.378,91271.233,91271.233,103450.019,40644.866,21754.006,81624.541,162.842
102,296.169,89848.170,89848.170,101635.530,38633.734,21123.957,80605.962,155.408
103,298.960,88916.264,88916.264,100132.373,36622.601,20496.504,79686.054,147.917
104,301.753,87887.232,87887.232,98778.547,34611.468,19871.108,78845.142,140.369
105,304.546,87801.326,87801.326,97361.861,32600.336,19247.397,78055.941,132.763
106,307.340,87554.919,87554.919,95859.382,30589.203,18625.246,77287.504,125.099
107,310.136,86472.201,86472.201,94390.155,28578.071,18004.874,76507.858,117.374
108,312.932,86655.106,86655.106,93114.853,26566.938,17386.901,75684.507,109.587
109,315.729,86246.513,86246.513,91461.021,24555.806,16772.313,74782.869,101.736
110,318.527,85250.075,85250.075,89818.563,22544.673,16162.272,73763.606,93.819
111,321.326,85049.230,85049.230,88166.494,20533.541,15557.800,72580.236,85.834
112,324.126,85128.575,85128.575,86006.011,18522.408,14959.389,71178.490,77.777
113,326.927,82229.886,82229.886,83776.104,16511.276,14366.660,69498.403,69.647
114,329.729,81776.480,81776.480,81274.687,14500.143,13778.172,67479.422,61.442
115,332.532,78695.324,78695.324,78276.917,12489.011,13191.474,65067.979,53.160
116,335.335,76708.480,76708.480,74752.391,10477.878,12603.408,62226.308,44.799
117,338.140,72477.292,72477.292,70822.390,8466.745,12010.622,58940.778,36.360
118,340.945,69253.761,69253.761,66657.324,6455.613,11410.179,55227.918,27.842
119,343.751,64036.730,64036.730,63819.696,6403.634,11400.367,52487.031,27.732
120,346.559,60560.355,60560.355,60768.291,6351.654,11382.506,49444.206,27.617
121,349.367,56005.886,56005.886,57611.592,6299.675,11357.004,46201.460,53.128
122,352.176,51943.730,51943.730,54166.200,6247.695,11325.395,42873.247,27.354
123,354.986,48880.386,48880.386,50873.212,6195.716,11289.871,39574.328,27.218
124,357.796,46143.917,46143.917,47740.884,6143.737,11252.743,36408.272,79.869
125,360.608,43980.698,43980.698,44758.257,6091.757,11215.906,33458.394,83.958
126,363.420,41279.167,41279.167,42000.453,6039.778,11180.475,30782.411,37.568
127,366.233,39376.260,39376.260,39582.531,5987.799,11146.686,28411.262,26.552
128,369.048,38393.416,38393.416,37567.081,5935.819,11114.040,26351.487,101.553
129,371.863,37195.260,37195.260,35717.184,5883.840,11081.610,24590.041,45.534
130,374.678,35452.509,35452.509,34207.726,5831.860,11048.387,23100.180,59.159
131,377.495,34797.447,34797.447,32975.700,5779.881,11013.687,21847.512,114.501
132,380.313,33732.540,33732.540,31893.252,5727.902,10977.352,20794.959,120.941
133,383.131,32538.353,32538.353,30932.414,5675.922,10939.804,19906.494,86.116
134,385.950,32704.446,32704.446,30114.106,5623.943,10901.981,19149.557,62.567
135,388.770,31046.196,31046.196,29492.086,5571.964,10865.132,18496.331,130.623
136,391.591,31296.602,31296.602,28840.682,5519.984,10830.582,17924.144,85.955
