ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,pile-up
715,2060.880,21.719,21.719,28.697,17.422,0.000,0.000,28.697
716,2063.720,26.532,26.532,28.416,17.266,0.000,0.000,28.416
717,2066.561,32.688,32.688,28.386,17.110,0.000,0.000,28.386
718,2069.401,28.750,28.750,27.816,16.953,0.000,0.000,27.816
719,2072.241,16.438,16.438,27.597,16.797,0.000,0.000,27.597
720,2075.081,24.813,24.813,27.482,16.641,0.000,0.000,27.482
721,2077.920,19.813,19.813,27.166,16.484,0.000,0.000,27.166
722,2080.759,17.875,17.875,26.729,16.328,0.000,0.000,26.729
723,2083.598,22.500,22.500,26.420,16.171,0.000,0.000,26.420
724,2086.436,24.063,24.063,26.480,16.015,0.000,0.000,26.480
725,2089.275,32.750,32.750,25.996,15.859,0.000,0.000,25.996
726,2092.113,21.594,21.594,25.673,15.702,0.000,0.000,25.673
727,2094.951,24.875,24.875,25.396,15.546,0.000,0.000,25.396
728,2097.788,17.469,17.469,25.280,15.389,0.000,0.000,25.280
729,2100.625,31.813,31.813,24.902,15.233,0.000,0.000,24.902
730,2103.462,21.750,21.750,24.560,15.077,0.000,0.000,24.560
731,2106.299,18.063,18.063,24.525,14.920,0.000,0.000,24.525
732,2109.136,16.907,16.907,24.215,14.764,0.000,0.000,24.215
733,2111.972,15.719,15.719,23.894,14.608,0.000,0.000,23.894
734,2114.808,16.907,16.907,23.493,14.451,0.000,0.000,23.493
735,2117.644,17.250,17.250,23.403,14.295,0.000,0.000,23.403
736,2120.479,18.813,18.813,23.166,14.138,0.000,0.000,23.166
737,2123.315,27.750,27.750,22.896,13.982,0.000,0.000,22.896
738,2126.150,23.625,23.625,22.564,13.826,0.000,0.000,22.564
739,2128.984,29.782,29.782,22.369,13.669,0.000,0.000,22.369
740,2131.819,20.813,20.813,22.119,13.513,0.000,0.000,22.119
741,2134.653,22.750,22.750,21.709,13.356,0.000,0.000,21.709
742,2137.487,18.750,18.750,21.671,13.200,0.000,0.000,21.671
743,2140.321,19.625,19.625,21.528,13.044,0.000,0.000,21.528
744,2143.154,15.063,15.063,21.349,12.887,0.000,0.000,21.349
745,2145.988,15.782,15.782,20.764,12.731,0.000,0.000,20.764
746,2148.821,10.594,10.594,20.698,12.575,0.000,0.000,20.698
747,2151.653,22.407,22.407,20.590,12.418,0.000,0.000,20.590
748,2154.486,20.031,20.031,20.270,12.262,0.000,0.000,20.270
749,2157.318,13.625,13.625,20.043,12.105,0.000,0.000,20.043
750,2160.150,23.782,23.782,19.898,11.949,0.000,0.000,19.898
751,2162.982,20.250,20.250,19.821,11.793,0.000,0.000,19.821
752,2165.814,22.000,22.000,19.234,11.636,0.000,0.000,19.234
753,2168.645,25.844,25.844,19.211,11.480,0.000,0.000,19.211
754,2171.476,21.000,21.000,19.239,11.323,0.000,0.000,19.239
755,2174.307,14.719,14.719,19.070,11.167,0.000,0.000,19.070
756,2177.137,16.094,16.094,18.641,11.011,0.000,0.000,18.641
757,2179.968,22.219,22.219,18.425,10.854,0.000,0.000,18.425
758,2182.798,23.219,23.219,18.524,10.698,0.000,0.000,18.524
759,2185.628,17.156,17.156,18.167,10.542,0.000,0.000,18.167
760,2188.458,15.938,15.938,17.992,10.385,0.000,0.000,17.992
761,2191.287,26.094,26.094,17.868,10.229,0.000,0.000,17.868
762,2194.116,8.375,8.375,17.936,10.072,0.000,0.000,17.936
763,2196.945,14.969,14.969,17.535,9.916,0.000,0.000,17.535
764,2199.774,17.875,17.875,17.267,9.760,0.000,0.000,17.267
765,2202.603,13.281,13.281,17.466,9.603,0.000,0.000,17.466
766,2205.431,15.063,15.063,17.308,9.447,0.000,0.000,17.308
767,2208.259,20.000,20.000,17.068,9.290,0.000,0.000,17.068
768,2211.087,22.063,22.063,16.741,9.134,0.000,0.000,16.741
769,2213.915,17.188,17.188,16.908,8.978,0.000,0.000,16.908
770,2216.742,21.907,21.907,16.755,8.821,0.000,0.000,16.755
771,2219.569,17.188,17.188,16.575,8.665,0.000,0.000,16.575
772,2222.396,19.969,19.969,16.509,8.509,0.000,0.000,16.509
773,2225.223,18.313,18.313,16.550,8.352,0.000,0.000,16.550
774,2228.050,18.281,18.281,16.435,8.196,0.000,0.000,16.435
775,2230.876,22.406,22.406,16.086,8.039,0.000,0.000,16.086
776,2233.702,17.531,17.531,16.287,7.883,0.000,0.000,16.287
777,2236.528,16.125,16.125,16.305,7.727,0.000,0.000,16.305
778,2239.354,15.875,15.875,16.292,7.570,0.000,0.000,16.292
779,2242.179,28.031,28.031,15.860,7.414,0.000,0.000,15.860
780,2245.004,13.344,13.344,16.068,7.257,0.000,0.000,16.068
781,2247.829,11.219,11.219,16.186,7.101,0.000,0.000,16.186
782,2250.654,15.188,15.188,15.979,6.945,0.000,0.000,15.979
783,2253.479,25.000,25.000,15.892,6.788,0.000,0.000,15.892
784,2256.303,21.406,21.406,15.930,6.632,0.000,0.000,15.930
785,2259.128,23.125,23.125,16.259,6.583,0.000,0.000,16.259
786,2261.952,19.125,19.125,15.848,6.534,0.000,0.000,15.848
787,2264.776,22.219,22.219,16.127,6.486,0.000,0.000,16.127
788,2267.599,17.250,17.250,16.501,6.437,0.000,0.000,16.501
789,2270.423,15.406,15.406,16.537,6.388,0.000,0.000,16.537
790,2273.246,19.438,19.438,16.276,6.339,0.000,0.000,16.276
791,2276.069,15.438,15.438,16.243,6.291,0.000,0.000,16.243
792,2278.892,15.219,15.219,16.720,6.242,0.000,0.000,16.720
793,2281.714,15.156,15.156,16.304,6.193,0.000,0.000,16.304
794,2284.537,17.281,17.281,16.337,6.144,0.000,0.000,16.337
795,2287.359,10.406,10.406,16.590,6.095,0.000,0.000,16.590
796,2290.181,13.188,13.188,16.584,6.047,0.000,0.000,16.584
797,2293.003,11.125,11.125,16.179,5.998,0.000,0.000,16.179
798,2295.825,15.188,15.188,15.863,5.949,0.000,0.000,15.863
799,2298.646,15.188,15.188,16.210,5.900,0.000,0.000,16.210
800,2301.468,14.438,14.438,15.762,5.852,0.000,0.000,15.762
801,2304.289,11.219,11.219,15.517,5.803,0.000,0.000,15.517
802,2307.110,17.344,17.344,15.424,5.754,0.000,0.000,15.424
803,2309.931,9.313,9.313,15.259,5.705,0.000,0.000,15.259
804,2312.751,15.375,15.375,14.825,5.657,0.000,0.000,14.825
805,2315.572,18.656,18.656,14.287,5.608,0.000,0.000,14.287
806,2318.392,14.344,14.344,14.334,5.559,0.000,0.000,14.334
807,2321.212,13.250,13.250,13.897,5.510,0.000,0.000,13.897
808,2324.032,18.313,18.313,13.491,5.462,0.000,0.000,13.491
809,2326.852,16.250,16.250,13.027,5.413,0.000,0.000,13.027
810,2329.671,10.219,10.219,12.818,5.364,0.000,0.000,12.818
811,2332.491,8.469,8.469,12.452,5.315,0.000,0.000,12.452
812,2335.310,11.406,11.406,11.848,5.267,0.000,0.000,11.848
813,2338.129,9.031,9.031,11.559,5.218,0.000,0.000,11.559
814,2340.948,15.188,15.188,11.277,5.169,0.000,0.000,11.277
815,2343.767,9.250,9.250,10.967,5.120,0.000,0.000,10.967
816,2346.585,9.344,9.344,10.317,5.071,0.000,0.000,10.317
817,2349.403,10.313,10.313,10.144,5.023,0.000,0.000,10.144
818,2352.222,10.500,10.500,9.915,4.974,0.000,0.000,9.915
819,2355.040,7.031,7.031,9.458,4.925,0.000,0.000,9.458
820,2357.858,8.375,8.375,9.104,4.876,0.000,0.000,9.104
821,2360.675,10.656,10.656,8.901,4.828,0.000,0.000,8.901
822,2363.493,15.469,15.469,8.728,4.779,0.000,0.000,8.728
823,2366.311,7.375,7.375,8.267,4.730,0.000,0.000,8.267
824,2369.128,12.188,12.188,8.095,4.681,0.000,0.000,8.095
825,2371.945,13.125,13.125,7.937,4.633,0.000,0.000,7.937
826,2374.762,17.313,17.313,7.697,4.584,0.000,0.000,7.697
827,2377.579,7.344,7.344,7.454,4.535,0.000,0.000,7.454
828,2380.396,14.313,14.313,7.312,4.486,0.000,0.000,7.312
829,2383.212,7.500,7.500,7.268,4.438,0.000,0.000,7.268
830,2386.029,5.500,5.500,7.052,4.389,0.000,0.000,7.052
831,2388.845,9.375,9.375,6.909,4.340,0.000,0.000,6.909
832,2391.661,17.719,17.719,6.774,4.291,0.000,0.000,6.774
833,2394.477,9.563,9.563,6.746,4.242,0.000,0.000,6.746
834,2397.293,9.344,9.344,6.630,4.194,0.000,0.000,6.630
835,2400.109,6.281,6.281,6.533,4.145,0.000,0.000,6.533
836,2402.924,3.406,3.406,6.529,4.096,0.000,0.000,6.529
837,2405.740,8.625,8.625,6.461,4.047,0.000,0.000,6.461
838,2408.555,16.438,16.438,6.392,3.999,0.000,0.000,6.392
839,2411.370,11.313,11.313,6.310,3.950,0.000,0.000,6.310
840,2414.186,7.500,7.500,6.374,3.901,0.000,0.000,6.374
841,2417.001,18.438,18.438,6.389,3.852,0.000,0.000,6.389
842,2419.815,8.406,8.406,6.399,3.804,0.000,0.000,6.399
843,2422.630,9.438,9.438,6.356,3.755,0.000,0.000,6.356
844,2425.445,13.125,13.125,6.422,3.706,0.000,0.000,6.422
845,2428.259,13.281,13.281,6.472,3.657,0.000,0.000,6.472
846,2431.074,9.531,9.531,6.512,3.609,0.000,0.000,6.512
847,2433.888,10.531,10.531,6.596,3.560,0.000,0.000,6.596
848,2436.702,15.375,15.375,6.693,3.511,0.000,0.000,6.693
849,2439.516,12.406,12.406,6.860,3.462,0.000,0.000,6.860
850,2442.330,13.250,13.250,6.830,3.413,0.000,0.000,6.830
851,2445.144,9.344,9.344,7.025,3.365,0.000,0.000,7.025
852,2447.958,12.094,12.094,7.266,3.316,0.000,0.000,7.266
853,2450.771,17.156,17.156,7.485,3.267,0.000,0.000,7.485
854,2453.585,10.313,10.313,7.507,3.218,0.000,0.000,7.507
855,2456.398,16.438,16.438,7.622,3.170,0.000,0.000,7.622
856,2459.212,22.313,22.313,8.085,3.121,0.000,0.000,8.085
857,2462.025,15.188,15.188,8.187,3.072,0.000,0.000,8.187
858,2464.838,14.250,14.250,8.361,3.023,0.000,0.000,8.361
859,2467.651,14.281,14.281,8.657,2.975,0.000,0.000,8.657
860,2470.464,11.938,11.938,9.110,2.926,0.000,0.000,9.110
861,2473.277,19.031,19.031,9.160,2.877,0.000,0.000,9.160
862,2476.090,9.094,9.094,9.222,2.828,0.000,0.000,9.222
863,2478.903,13.938,13.938,10.004,2.780,0.000,0.000,10.004
864,2481.715,12.500,12.500,10.196,2.731,0.000,0.000,10.196
865,2484.528,15.719,15.719,10.300,2.682,0.000,0.000,10.300
866,2487.340,18.000,18.000,10.311,2.633,0.000,0.000,10.311
867,2490.153,10.938,10.938,10.945,2.584,0.000,0.000,10.945
868,2492.965,11.688,11.688,11.117,2.536,0.000,0.000,11.117
869,2495.777,12.063,12.063,11.132,2.487,0.000,0.000,11.132
870,2498.589,18.719,18.719,11.481,2.438,0.000,0.000,11.481
871,2501.402,15.500,15.500,11.709,2.389,0.000,0.000,11.709
872,2504.214,11.782,11.782,11.877,2.341,0.000,0.000,11.877
873,2507.026,2.594,2.594,11.562,2.292,0.000,0.000,11.562
874,2509.837,12.938,12.938,11.976,2.243,0.000,0.000,11.976
875,2512.649,17.875,17.875,12.175,2.194,0.000,0.000,12.175
876,2515.461,21.625,21.625,12.149,2.146,0.000,0.000,12.149
877,2518.273,12.063,12.063,11.731,2.097,0.000,0.000,11.731
878,2521.085,6.625,6.625,11.778,2.048,0.000,0.000,11.778
879,2523.896,6.938,6.938,12.029,1.999,0.000,0.000,12.029
880,2526.708,5.625,5.625,11.466,1.951,0.000,0.000,11.466
881,2529.519,12.938,12.938,11.348,1.902,0.000,0.000,11.348
882,2532.331,13.907,13.907,11.250,1.853,0.000,0.000,11.250
883,2535.142,6.219,6.219,11.126,1.804,0.000,0.000,11.126
884,2537.954,12.469,12.469,10.460,1.756,0.000,0.000,10.460
885,2540.765,5.625,5.625,10.137,1.707,0.000,0.000,10.137
886,2543.576,8.875,8.875,10.158,1.658,0.000,0.000,10.158
887,2546.387,7.031,7.031,9.609,1.609,0.000,0.000,9.609
888,2549.199,4.782,4.782,9.185,1.560,0.000,0.000,9.185
889,2552.010,7.219,7.219,8.729,1.512,0.000,0.000,8.729
890,2554.821,7.375,7.375,8.452,1.463,0.000,0.000,8.452
891,2557.632,2.938,2.938,7.909,1.414,0.000,0.000,7.909
892,2560.443,7.063,7.063,7.426,1.365,0.000,0.000,7.426
893,2563.254,5.188,5.188,7.184,1.317,0.000,0.000,7.184
894,2566.065,6.281,6.281,6.781,1.268,0.000,0.000,6.781
895,2568.876,3.375,3.375,6.364,1.219,0.000,0.000,6.364
896,2571.688,2.406,2.406,5.734,1.170,0.000,0.000,5.734
897,2574.499,1.563,1.563,5.502,1.122,0.000,0.000,5.502
898,2577.310,2.469,2.469,5.179,1.073,0.000,0.000,5.179
899,2580.121,2.313,2.313,4.791,1.024,0.000,0.000,4.791
900,2582.931,4.594,4.594,4.376,0.975,0.000,0.000,4.376
901,2585.742,10.531,10.531,4.149,0.927,0.000,0.000,4.149
902,2588.553,0.438,0.438,3.902,0.878,0.000,0.000,3.902
903,2591.364,0.406,0.406,3.446,0.829,0.000,0.000,3.446
904,2594.175,3.406,3.406,3.282,0.780,0.000,0.000,3.282
905,2596.986,2.531,2.531,3.111,0.731,0.000,0.000,3.111
906,2599.797,2.438,2.438,2.870,0.683,0.000,0.000,2.870
907,2602.608,1.719,1.719,2.581,0.634,0.000,0.000,2.581
908,2605.419,0.719,0.719,2.451,0.585,0.000,0.000,2.451
909,2608.230,2.594,2.594,2.348,0.536,0.000,0.000,2.348
910,2611.041,1.563,1.563,2.081,0.488,0.000,0.000,2.081
911,2613.852,3.531,3.531,1.982,0.439,0.000,0.000,1.982
912,2616.663,0.563,0.563,1.886,0.390,0.000,0.000,1.886
913,2619.474,2.750,2.750,1.776,0.341,0.000,0.000,1.776
914,2622.285,7.719,7.719,1.599,0.293,0.000,0.000,1.599
915,2625.097,3.563,3.563,1.512,0.244,0.000,0.000,1.512
916,2627.908,2.594,2.594,1.483,0.195,0.000,0.000,1.483
917,2630.719,2.750,2.750,1.372,0.146,0.000,0.000,1.372
918,2633.530,1.625,1.625,1.287,0.098,0.000,0.000,1.287
919,2636.341,0.813,0.813,1.206,0.049,0.000,0.000,1.206
920,2639.152,1.625,1.625,1.174,0.000,0.000,0.000,1.174
921,2641.964,2.781,2.781,1.130,0.000,0.000,0.000,1.130
922,2644.775,2.594,2.594,1.108,0.000,0.000,0.000,1.108
923,2647.586,0.688,0.688,1.126,0.000,0.000,0.000,1.126
924,2650.398,1.656,1.656,1.126,0.000,0.000,0.000,1.126
925,2653.209,0.781,0.781,1.107,0.000,0.000,0.000,1.107
926,2656.021,1.813,1.813,1.073,0.000,0.000,0.000,1.073
927,2658.832,0.750,0.750,1.120,0.000,0.000,0.000,1.120
928,2661.644,0.594,0.594,1.113,0.000,0.000,0.000,1.113
929,2664.456,3.719,3.719,1.101,0.001,0.000,0.000,1.101
930,2667.268,2.813,2.813,1.081,0.001,0.000,0.000,1.081
931,2670.079,4.875,4.875,1.103,0.001,0.000,0.000,1.103
932,2672.891,1.750,1.750,1.106,0.001,0.000,0.000,1.106
933,2675.703,2.656,2.656,1.083,0.001,0.000,0.000,1.083
934,2678.515,0.656,0.656,1.114,0.001,0.000,0.000,1.114
935,2681.327,0.000,-0.219,1.125,0.001,0.000,0.000,1.125
936,2684.139,1.625,1.625,1.132,0.001,0.000,0.000,1.132
937,2686.952,1.688,1.688,1.084,0.001,0.000,0.000,1.084
938,2689.764,0.594,0.594,1.112,0.001,0.000,0.000,1.112
939,2692.576,2.719,2.719,1.132,0.001,0.000,0.000,1.132
940,2695.389,1.719,1.719,1.117,0.001,0.000,0.000,1.117
941,2698.201,1.656,1.656,1.110,0.001,0.000,0.000,1.110
942,2701.014,0.000,-0.344,1.116,0.001,0.000,0.000,1.116
943,2703.827,3.719,3.719,1.136,0.001,0.000,0.000,1.136
944,2706.640,3.688,3.688,1.079,0.001,0.000,0.000,1.079
945,2709.453,2.500,2.500,1.098,0.002,0.000,0.000,1.098
946,2712.266,2.781,2.781,1.130,0.002,0.000,0.000,1.130
947,2715.079,0.000,-0.156,1.133,0.002,0.000,0.000,1.133
948,2717.892,0.813,0.813,1.091,0.002,0.000,0.000,1.091
949,2720.705,3.719,3.719,1.077,0.002,0.000,0.000,1.077
950,2723.519,0.719,0.719,1.122,0.002,0.000,0.000,1.122
951,2726.333,0.844,0.844,1.087,0.002,0.000,0.000,1.087
952,2729.146,1.719,1.719,1.079,0.002,0.000,0.000,1.079
953,2731.960,0.875,0.875,1.084,0.002,0.000,0.000,1.084
954,2734.774,1.656,1.656,1.095,0.002,0.000,0.000,1.095
955,2737.588,0.656,0.656,1.063,0.002,0.000,0.000,1.063
956,2740.402,0.875,0.875,1.036,0.002,0.000,0.000,1.036
957,2743.217,2.719,2.719,1.068,0.002,0.000,0.000,1.068
958,2746.031,2.719,2.719,1.057,0.002,0.000,0.000,1.057
959,2748.846,0.000,-0.219,1.041,0.002,0.000,0.000,1.041
960,2751.660,0.000,-0.187,1.010,0.002,0.000,0.000,1.010
961,2754.475,0.000,-0.250,1.032,0.002,0.000,0.000,1.032
962,2757.290,0.719,0.719,1.014,0.003,0.000,0.000,1.014
963,2760.105,1.813,1.813,0.984,0.003,0.000,0.000,0.984
964,2762.921,2.750,2.750,0.986,0.003,0.000,0.000,0.986
965,2765.736,0.688,0.688,0.990,0.003,0.000,0.000,0.990
966,2768.552,0.000,-0.219,0.982,0.003,0.000,0.000,0.982
967,2771.367,1.781,1.781,0.926,0.003,0.000,0.000,0.926
968,2774.183,2.750,2.750,0.941,0.003,0.000,0.000,0.941
969,2776.999,0.719,0.719,0.939,0.003,0.000,0.000,0.939
970,2779.816,0.594,0.594,0.924,0.003,0.000,0.000,0.924
971,2782.632,0.781,0.781,0.890,0.003,0.000,0.000,0.890
972,2785.449,0.656,0.656,0.896,0.003,0.000,0.000,0.896
973,2788.265,0.000,-0.219,0.901,0.003,0.000,0.000,0.901
974,2791.082,1.813,1.813,0.840,0.003,0.000,0.000,0.840
975,2793.899,2.656,2.656,0.846,0.003,0.000,0.000,0.846
976,2796.717,0.000,-0.250,0.846,0.003,0.000,0.000,0.846
977,2799.534,0.750,0.750,0.838,0.003,0.000,0.000,0.838
978,2802.352,0.781,0.781,0.785,0.004,0.000,0.000,0.785
979,2805.170,1.875,1.875,0.782,0.004,0.000,0.000,0.782
980,2807.988,0.000,-0.406,0.798,0.004,0.000,0.000,0.798
981,2810.806,0.594,0.594,0.753,0.004,0.000,0.000,0.753
982,2813.624,0.813,0.813,0.739,0.004,0.000,0.000,0.739
983,2816.443,1.688,1.688,0.728,0.004,0.000,0.000,0.728
984,2819.262,2.781,2.781,0.724,0.004,0.000,0.000,0.724
985,2822.081,0.000,-0.344,0.688,0.004,0.000,0.000,0.688
986,2824.900,0.000,-0.219,0.677,0.004,0.000,0.000,0.677
987,2827.720,0.719,0.719,0.682,0.004,0.000,0.000,0.682
988,2830.539,0.844,0.844,0.653,0.004,0.000,0.000,0.653
989,2833.359,0.875,0.875,0.636,0.004,0.000,0.000,0.636
990,2836.179,0.000,-0.156,0.620,0.004,0.000,0.000,0.620
991,2839.000,0.000,-0.281,0.618,0.004,0.000,0.000,0.618
992,2841.820,1.750,1.750,0.584,0.004,0.000,0.000,0.584
993,2844.641,0.688,0.688,0.565,0.004,0.000,0.000,0.565
994,2847.462,1.719,1.719,0.564,0.004,0.000,0.000,0.564
995,2850.283,0.000,-0.156,0.548,0.005,0.000,0.000,0.548
996,2853.105,1.688,1.688,0.530,0.005,0.000,0.000,0.530
997,2855.927,0.719,0.719,0.508,0.005,0.000,0.000,0.508
998,2858.749,0.000,-0.219,0.507,0.005,0.000,0.000,0.507
999,2861.571,1.750,1.750,0.486,0.005,0.000,0.000,0.486
1000,2864.393,0.000,-0.125,0.468,0.005,0.000,0.000,0.468
1001,2867.216,1.875,1.875,0.459,0.005,0.000,0.000,0.459
1002,2870.039,0.000,-0.219,0.451,0.005,0.000,0.000,0.451
1003,2872.862,0.688,0.688,0.439,0.005,0.000,0.000,0.439
1004,2875.686,0.000,-0.344,0.417,0.005,0.000,0.000,0.417
1005,2878.510,1.781,1.781,0.410,0.005,0.000,0.000,0.410
1006,2881.334,0.844,0.844,0.403,0.005,0.000,0.000,0.403
1007,2884.158,0.000,-0.250,0.395,0.005,0.000,0.000,0.395
1008,2886.983,0.813,0.813,0.379,0.005,0.000,0.000,0.379
1009,2889.808,1.875,1.875,0.370,0.005,0.000,0.000,0.370
1010,2892.633,2.625,2.625,0.362,0.005,0.000,0.000,0.362
1011,2895.458,0.000,-0.250,0.355,0.006,0.000,0.000,0.355
1012,2898.284,0.656,0.656,0.348,0.006,0.000,0.000,0.348
1013,2901.110,1.781,1.781,0.345,0.006,0.000,0.000,0.345
1014,2903.936,0.000,-0.094,0.343,0.006,0.000,0.000,0.343
1015,2906.763,2.813,2.813,0.325,0.006,0.000,0.000,0.325
1016,2909.590,1.750,1.750,0.326,0.006,0.000,0.000,0.326
1017,2912.417,0.000,-0.312,0.326,0.006,0.000,0.000,0.326
1018,2915.245,0.000,-0.437,0.320,0.006,0.000,0.000,0.320
1019,2918.073,3.719,3.719,0.315,0.006,0.000,0.000,0.315
1020,2920.901,0.000,-0.281,0.315,0.006,0.000,0.000,0.315
1021,2923.729,0.719,0.719,0.319,0.006,0.000,0.000,0.319
1022,2926.558,0.844,0.844,0.316,0.006,0.000,0.000,0.316
1023,2929.387,0.813,0.813,0.399,0.006,0.000,0.000,0.399
