ch,keV,net,fit,model,continuum_raw,Mn-54,continuum
31,49.035,2049.867,2049.867,1817.452,1812.259,1817.452,0.000
32,52.040,2058.845,2058.845,1749.519,1720.338,1749.519,0.000
33,55.045,2019.123,2019.123,1740.343,1628.416,1740.343,0.000
34,58.052,1861.679,1861.679,1837.199,1536.495,1837.199,0.000
35,61.059,1815.501,1815.501,2030.199,1444.573,2030.199,0.000
36,64.067,1820.390,1820.390,2220.387,1352.652,2220.387,0.000
37,67.075,1828.278,1828.278,2308.631,1260.730,2308.631,0.000
38,70.084,1819.889,1819.889,2291.218,1168.809,2291.218,0.000
39,73.094,1922.578,1922.578,2225.259,1076.887,2225.259,0.000
40,76.105,1862.156,1862.156,2150.345,984.966,2150.345,0.000
41,79.117,1878.956,1878.956,2074.190,893.044,2074.190,0.000
42,82.129,1935.667,1935.667,1994.250,801.123,1994.250,0.000
43,85.142,2118.145,2118.145,2034.884,835.298,2034.884,0.000
44,88.155,2234.512,2234.512,2067.909,869.474,2067.909,0.000
45,91.170,2271.345,2271.345,2093.988,903.649,2093.988,0.000
46,94.185,2320.078,2320.078,2119.243,937.825,2119.243,0.000
47,97.201,2376.101,2376.101,2148.144,972.000,2148.144,0.000
48,100.217,2335.167,2335.167,2178.779,1006.176,2178.779,0.000
49,103.234,2344.534,2344.534,2207.965,1040.351,2207.965,0.000
50,106.252,2386.623,2386.623,2236.538,1074.527,2236.538,0.000
51,109.271,2293.434,2293.434,2267.336,1108.702,2267.336,0.000
52,112.290,2379.779,2379.779,2300.951,1142.878,2300.951,0.000
53,115.310,2455.601,2455.601,2335.444,1177.053,2335.444,0.000
54,118.331,2486.145,2486.145,2368.564,1211.229,2368.564,0.000
55,121.352,2520.279,2520.279,2399.407,1245.404,2399.407,0.000
56,124.374,2535.956,2535.956,2428.776,1279.579,2428.776,0.000
57,127.397,2481.756,2481.756,2458.712,1313.755,2458.712,0.000
58,130.420,2649.979,2649.979,2589.492,1445.920,2589.492,0.000
59,133.445,2683.845,2683.845,2724.315,1578.085,2724.315,0.000
60,136.469,2743.512,2743.512,2862.313,1710.251,2862.313,0.000
61,139.495,2740.634,2740.634,3001.014,1842.416,3001.014,0.000
62,142.521,2820.567,2820.567,3138.233,1974.581,3138.233,0.000
63,145.548,2900.656,2900.656,3273.904,2106.746,3273.904,0.000
64,148.576,2884.390,2884.390,3410.359,2238.911,3410.359,0.000
65,151.604,3043.423,3043.423,3551.257,2371.077,3551.257,0.000
66,154.633,3061.845,3061.845,3700.171,2503.242,3700.171,0.000
67,157.663,3306.056,3306.056,3859.091,2635.407,3859.091,0.000
68,160.693,3407.401,3407.401,4026.863,2767.572,4026.863,0.000
69,163.724,3728.056,3728.056,4198.562,2899.737,4198.562,0.000
70,166.756,4029.367,4029.367,4367.008,3031.903,4367.008,0.000
71,169.788,4484.490,4484.490,4526.059,3164.068,4526.059,0.000
72,172.821,4766.212,4766.212,4673.341,3296.233,4673.341,0.000
73,175.855,5032.923,5032.923,4810.445,3428.398,4810.445,0.000
74,178.889,5475.534,5475.534,4941.079,3560.564,4941.079,0.000
75,181.924,5647.956,5647.956,5068.918,3692.729,5068.918,0.000
76,184.960,5821.912,5821.912,5196.195,3824.894,5196.195,0.000
77,187.996,5982.345,5982.345,5053.752,3687.485,5053.752,0.000
78,191.033,5836.379,5836.379,4910.506,3550.075,4910.506,0.000
79,194.071,5674.456,5674.456,4765.991,3412.666,4765.991,0.000
80,197.109,5451.990,5451.990,4620.669,3275.257,4620.669,0.000
81,200.148,5273.212,5273.212,4475.693,3137.847,4475.693,0.000
82,203.188,5012.745,5012.745,4332.236,3000.438,4332.236,0.000
83,206.228,4679.923,4679.923,4190.970,2863.029,4190.970,0.000
84,209.269,4336.579,4336.579,4051.871,2725.619,4051.871,0.000
85,212.311,4025.334,4025.334,3914.327,2588.210,3914.327,0.000
86,215.353,3738.634,3738.634,3777.454,2450.801,3777.454,0.000
87,218.396,3447.334,3447.334,3640.474,2313.392,3640.474,0.000
88,221.439,3231.467,3231.467,3502.948,2175.982,3502.948,0.000
89,224.483,2981.656,2981.656,3364.802,2038.573,3364.802,0.000
90,227.528,2735.967,2735.967,3226.169,1901.164,3226.169,0.000
91,230.574,2737.345,2737.345,3087.205,1763.754,3087.205,0.000
92,233.620,2568.712,2568.712,2948.008,1626.345,2948.008,0.000
93,236.666,2469.478,2469.478,2808.640,1488.936,2808.640,0.000
94,239.714,2228.378,2228.378,2669.099,1351.526,2669.099,0.000
95,242.762,2267.078,2267.078,2529.220,1214.117,2529.220,0.000
96,245.810,2083.478,2083.478,2388.614,1076.708,2388.614,0.000
97,248.860,2094.889,2094.889,2246.774,939.298,2246.774,0.000
98,251.910,1989.234,1989.234,2103.305,801.889,2103.305,0.000
99,254.960,2046.867,2046.867,1958.133,664.480,1958.133,0.000
100,258.011,1909.145,1909.145,1811.574,527.070,1811.574,0.000
101,261.063,1998.434,1998.434,1792.041,517.431,1792.041,0.000
102,264.115,1774.689,1774.689,1772.578,507.791,1772.578,0.000
103,267.168,1800.323,1800.323,1754.000,498.152,1754.000,0.000
104,270.222,1912.856,1912.856,1736.937,488.512,1736.937,0.000
105,273.276,1864.456,1864.456,1721.709,478.873,1721.709,0.000
106,276.331,1720.534,1720.534,1708.279,469.233,1708.279,0.000
107,279.387,1782.956,1782.956,1696.359,459.594,1696.359,0.000
108,282.443,1727.023,1727.023,1685.626,449.954,1685.626,0.000
109,285.499,1692.489,1692.489,1675.907,440.314,1675.907,0.000
110,288.557,1758.712,1758.712,1667.192,430.675,1667.192,0.000
111,291.615,1655.034,1655.034,1659.451,421.035,1659.451,0.000
112,294.673,1631.134,1631.134,1652.416,411.396,1652.416,0.000
113,297.732,1647.345,1647.345,1645.544,401.756,1645.544,0.000
114,300.792,1626.367,1626.367,1638.240,392.117,1638.240,0.000
115,303.852,1647.623,1647.623,1630.219,382.477,1630.219,0.000
116,306.913,1662.312,1662.312,1621.742,372.837,1621.742,0.000
117,309.975,1615.245,1615.245,1613.553,363.198,1613.553,0.000
118,313.037,1545.867,1545.867,1606.529,353.558,1606.529,0.000
119,316.100,1596.523,1596.523,1601.242,343.919,1601.242,0.000
120,319.163,1650.278,1650.278,1597.667,334.279,1597.667,0.000
121,322.227,1633.556,1633.556,1595.158,324.640,1595.158,0.000
122,325.292,1685.489,1685.489,1592.671,315.000,1592.671,0.000
123,328.357,1586.723,1586.723,1589.098,305.361,1589.098,0.000
124,331.422,1597.134,1597.134,1583.582,295.721,1583.582,0.000
125,334.489,1587.345,1587.345,1575.714,286.081,1575.714,0.000
126,337.555,1626.167,1626.167,1565.586,276.442,1565.586,0.000
127,340.623,1675.367,1675.367,1553.705,266.802,1553.705,0.000
128,343.691,1585.134,1585.134,1540.808,257.163,1540.808,0.000
129,346.759,1600.889,1600.889,1527.644,247.523,1527.644,0.000
130,349.829,1549.634,1549.634,1521.316,244.395,1521.316,0.000
131,352.898,1624.367,1624.367,1515.666,241.266,1515.666,0.000
132,355.969,1529.034,1529.034,1510.837,238.137,1510.837,0.000
133,359.040,1478.845,1478.845,1506.842,235.009,1506.842,0.000
134,362.111,1514.911,1514.911,1503.630,231.880,1503.630,0.000
135,365.183,1441.800,1441.800,1501.102,228.752,1501.102,0.000
136,368.256,1499.600,1499.600,1499.093,225.623,1499.093,0.000
137,371.329,1464.034,1464.034,1497.338,222.495,1497.338,0.000
138,374.403,1481.711,1481.711,1495.489,219.366,1495.489,0.000
139,377.477,1441.356,1441.356,1493.164,216.237,1493.164,0.000
140,380.552,1369.645,1369.645,1490.044,213.109,1490.044,0.000
141,383.627,1450.134,1450.134,1485.947,209.980,1485.947,0.000
142,386.703,1426.867,1426.867,1480.881,206.852,1480.881,0.000
143,389.780,1410.534,1410.534,1475.042,203.723,1475.042,0.000
144,392.857,1313.756,1313.756,1468.781,200.594,1468.781,0.000
145,395.934,1394.223,1394.223,1462.543,197.466,1462.543,0.000
146,399.013,1413.145,1413.145,1456.799,194.337,1456.799,0.000
147,402.091,1416.989,1416.989,1451.965,191.209,1451.965,0.000
148,405.171,1383.200,1383.200,1448.330,188.080,1448.330,0.000
149,408.250,1418.223,1418.223,1445.989,184.952,1445.989,0.000
150,411.331,1410.645,1410.645,1444.807,181.823,1444.807,0.000
151,414.412,1356.856,1356.856,1444.416,178.694,1444.416,0.000
152,417.493,1382.634,1382.634,1444.278,175.566,1444.278,0.000
153,420.575,1432.011,1432.011,1443.783,172.437,1443.783,0.000
154,423.658,1441.078,1441.078,1442.399,169.309,1442.399,0.000
155,426.741,1412.889,1412.889,1439.802,166.180,1439.802,0.000
156,429.824,1390.278,1390.278,1435.964,163.051,1435.964,0.000
157,432.909,1450.178,1450.178,1431.171,159.923,1431.171,0.000
158,435.993,1393.934,1393.934,1425.947,156.794,1425.947,0.000
159,439.078,1471.634,1471.634,1420.923,153.666,1420.923,0.000
160,442.164,1410.478,1410.478,1416.684,150.537,1416.684,0.000
161,445.250,1448.723,1448.723,1413.643,147.409,1413.643,0.000
162,448.337,1417.911,1417.911,1411.977,144.280,1411.977,0.000
163,451.425,1364.345,1364.345,1411.640,141.151,1411.640,0.000
164,454.512,1464.256,1464.256,1412.427,138.023,1412.427,0.000
165,457.601,1403.000,1403.000,1413.832,134.656,1413.832,0.000
166,460.690,1414.923,1414.923,1415.853,131.290,1415.853,0.000
167,463.779,1430.967,1430.967,1418.331,127.924,1418.331,0.000
168,466.869,1429.200,1429.200,1421.191,124.557,1421.191,0.000
169,469.959,1410.756,1410.756,1424.406,121.191,1424.406,0.000
170,473.050,1434.423,1434.423,1427.923,117.824,1427.923,0.000
171,476.142,1419.889,1419.889,1431.601,114.458,1431.601,0.000
172,479.234,1457.289,1457.289,1435.168,111.092,1435.168,0.000
173,482.326,1433.134,1433.134,1438.237,107.725,1438.237,0.000
174,485.419,1409.978,1409.978,1440.370,104.359,1440.370,0.000
175,488.513,1489.578,1489.578,1441.179,100.992,1441.179,0.000
176,491.607,1385.778,1385.778,1440.435,97.626,1440.435,0.000
177,494.701,1388.311,1388.311,1438.144,94.260,1438.144,0.000
178,497.796,1458.367,1458.367,1434.571,90.893,1434.571,0.000
179,500.892,1420.323,1420.323,1430.192,87.527,1430.192,0.000
180,503.988,1429.511,1429.511,1425.609,84.160,1425.609,0.000
181,507.084,1421.523,1421.523,1421.430,80.794,1421.430,0.000
182,510.181,1547.389,1547.389,1418.167,77.427,1418.167,0.000
183,513.279,1395.511,1395.511,1416.165,74.061,1416.165,0.000
184,516.377,1472.000,1472.000,1415.571,70.695,1415.571,0.000
185,519.475,1553.367,1553.367,1416.354,67.328,1416.354,0.000
186,522.574,1430.111,1430.111,1418.344,63.962,1418.344,0.000
187,525.673,1484.645,1484.645,1421.292,60.595,1421.292,0.000
188,528.773,1478.289,1478.289,1424.923,57.229,1424.923,0.000
189,531.874,1551.078,1551.078,1428.983,53.863,1428.983,0.000
190,534.974,1492.445,1492.445,1433.277,50.496,1433.277,0.000
191,538.076,1528.667,1528.667,1437.690,47.130,1437.690,0.000
192,541.178,1519.245,1519.245,1442.199,43.763,1442.199,0.000
193,544.280,1512.334,1512.334,1446.869,40.397,1446.869,0.000
194,547.383,1580.600,1580.600,1451.838,37.031,1451.838,0.000
195,550.486,1654.356,1654.356,1457.278,33.664,1457.278,0.000
196,553.590,1528.700,1528.700,1463.353,30.298,1463.353,0.000
197,556.694,1606.278,1606.278,1470.172,26.931,1470.172,0.000
198,559.799,1599.500,1599.500,1477.748,23.565,1477.748,0.000
199,562.904,1567.334,1567.334,1485.984,20.198,1485.984,0.000
200,566.009,1685.656,1685.656,1494.674,16.832,1494.674,0.000
201,569.115,1561.122,1561.122,1503.536,13.466,1503.536,0.000
202,572.222,1704.900,1704.900,1512.254,10.099,1512.254,0.000
203,575.329,1696.178,1696.178,1520.518,6.733,1520.518,0.000
204,578.436,1722.611,1722.611,1528.039,3.366,1528.039,0.000
205,581.544,1669.200,1669.200,1534.537,0.000,1534.537,0.000
206,584.652,1744.111,1744.111,1543.143,0.079,1543.143,0.000
207,587.761,1667.145,1667.145,1549.995,0.158,1549.995,0.000
208,590.870,1667.000,1667.000,1554.501,0.237,1554.501,0.000
209,593.980,1639.367,1639.367,1555.850,0.316,1555.850,0.000
210,597.090,1625.034,1625.034,1553.002,0.395,1553.002,0.000
211,600.201,1482.511,1482.511,1544.736,0.475,1544.736,0.000
212,603.312,1447.711,1447.711,1529.751,0.554,1529.751,0.000
213,606.423,1414.589,1414.589,1506.815,0.633,1506.815,0.000
214,609.535,1305.900,1305.900,1474.929,0.712,1474.929,0.000
215,612.648,1315.011,1315.011,1433.492,0.791,1433.492,0.000
216,615.760,1147.378,1147.378,1382.429,0.870,1382.429,0.000
217,618.874,1204.956,1204.956,1322.262,0.949,1322.262,0.000
218,621.987,943.056,943.056,1254.116,1.028,1254.116,0.000
219,625.101,960.667,960.667,1179.641,1.107,1179.641,0.000
220,628.216,860.334,860.334,1100.881,1.186,1100.881,0.000
221,631.331,797.522,797.522,1020.090,1.265,1020.090,0.000
222,634.446,775.600,775.600,939.534,1.345,939.534,0.000
223,637.562,654.467,654.467,861.292,1.424,861.292,0.000
224,640.678,643.189,643.189,787.112,1.503,787.112,0.000
225,643.795,561.467,561.467,718.297,1.582,718.297,0.000
226,646.912,543.500,543.500,655.670,1.661,655.670,0.000
227,650.030,525.600,525.600,599.587,1.740,599.587,0.000
228,653.148,478.545,478.545,550.004,1.819,550.004,0.000
229,656.266,450.900,450.900,506.563,1.898,506.563,0.000
230,659.385,447.689,447.689,468.703,1.977,468.703,0.000
231,662.504,419.778,419.778,435.750,2.056,435.750,0.000
232,665.624,400.511,400.511,407.006,2.135,407.006,0.000
233,668.744,390.589,390.589,381.802,2.215,381.802,0.000
234,671.864,324.156,324.156,359.539,2.294,359.539,0.000
235,674.985,323.367,323.367,339.700,2.373,339.700,0.000
236,678.106,348.189,348.189,321.858,2.452,321.858,0.000
237,681.228,293.411,293.411,305.668,2.531,305.668,0.000
238,684.350,283.689,283.689,290.859,2.610,290.859,0.000
239,687.472,262.756,262.756,277.225,2.689,277.225,0.000
240,690.595,277.867,277.867,264.617,2.768,264.617,0.000
241,693.718,226.956,226.956,252.934,2.847,252.934,0.000
242,696.842,217.878,217.878,242.118,2.926,242.118,0.000
243,699.966,191.556,191.556,232.139,3.005,232.139,0.000
244,703.090,182.878,182.878,222.988,3.085,222.988,0.000
245,706.215,213.722,213.722,214.667,3.164,214.667,0.000
246,709.340,212.934,212.934,207.172,3.243,207.172,0.000
247,712.466,192.834,192.834,200.491,3.322,200.491,0.000
248,715.592,179.222,179.222,194.594,3.401,194.594,0.000
249,718.718,189.456,189.456,189.431,3.480,189.431,0.000
250,721.845,178.778,178.778,184.933,3.559,184.933,0.000
251,724.972,152.689,152.689,181.020,3.638,181.020,0.000
252,728.100,166.822,166.822,177.597,3.717,177.597,0.000
253,731.228,183.878,183.878,174.573,3.796,174.573,0.000
254,734.356,144.734,144.734,171.803,3.822,171.803,0.000
255,737.485,167.056,167.056,169.267,3.847,169.267,0.000
256,740.614,175.100,175.100,166.913,3.873,166.913,0.000
257,743.743,170.600,170.600,164.731,3.898,164.731,0.000
258,746.873,175.022,175.022,162.767,3.924,162.767,0.000
259,750.003,170.000,170.000,161.155,3.949,161.155,0.000
260,753.134,180.934,180.934,160.164,3.975,160.164,0.000
261,756.264,181.089,181.089,160.256,4.000,160.256,0.000
262,759.396,180.145,180.145,162.189,4.026,162.189,0.000
263,762.527,219.056,219.056,167.145,4.051,167.145,0.000
264,765.659,237.667,237.667,176.915,4.077,176.915,0.000
265,768.792,295.278,295.278,194.138,4.102,194.138,0.000
266,771.924,336.133,336.133,222.590,4.128,222.590,0.000
267,775.057,372.033,372.033,267.520,4.153,267.520,0.000
268,778.191,547.045,547.045,335.989,4.179,335.989,0.000
269,781.324,699.033,699.033,437.158,4.204,437.158,0.000
270,784.459,843.111,843.111,582.452,4.230,582.452,0.000
271,787.593,1109.045,1109.045,785.476,4.255,785.476,0.000
272,790.728,1431.078,1431.078,1061.579,4.281,1061.579,0.000
273,793.863,1829.267,1829.267,1426.958,4.306,1426.958,0.000
274,796.998,2384.089,2384.089,1897.227,4.332,1897.227,0.000
275,800.134,2905.156,2905.156,2485.465,4.357,2485.465,0.000
276,803.270,3567.033,3567.033,3199.854,4.383,3199.854,0.000
277,806.407,4492.267,4492.267,4041.129,4.408,4041.129,0.000
278,809.544,5184.256,5184.256,5000.203,4.434,5000.203,0.000
279,812.681,6189.067,6189.067,6056.382,4.459,6056.382,0.000
280,815.819,7361.633,7361.633,7176.626,4.485,7176.626,0.000
281,818.956,8255.122,8255.122,8316.220,4.510,8316.220,0.000
282,822.095,9010.500,9010.500,9421.060,4.536,9421.060,0.000
283,825.233,9988.578,9988.578,10431.529,4.561,10431.529,0.000
284,828.372,10682.511,10682.511,11287.621,4.587,11287.621,0.000
285,831.511,10993.367,10993.367,11934.754,4.612,11934.754,0.000
286,834.651,11764.722,11764.722,12329.474,4.638,12329.474,0.000
287,837.791,11828.156,11828.156,12444.253,4.663,12444.253,0.000
288,840.931,11950.311,11950.311,12270.627,4.689,12270.627,0.000
289,844.071,11272.211,11272.211,11820.179,4.714,11820.179,0.000
290,847.212,10835.111,10835.111,11123.225,4.740,11123.225,0.000
291,850.353,10117.400,10117.400,10225.393,4.765,10225.393,0.000
292,853.494,9321.667,9321.667,9182.646,4.791,9182.646,0.000
293,856.636,8124.667,8124.667,8055.501,4.816,8055.501,0.000
294,859.778,7344.433,7344.433,6903.269,4.842,6903.269,0.000
295,862.921,6072.389,6072.389,5779.065,4.867,5779.065,0.000
296,866.063,5179.633,5179.633,4726.144,4.893,4726.144,0.000
297,869.206,4181.600,4181.600,3775.833,4.918,3775.833,0.000
298,872.350,3242.056,3242.056,2947.068,4.944,2947.068,0.000
299,875.493,2551.478,2551.478,2247.309,4.969,2247.309,0.000
300,878.637,1948.578,1948.578,1674.429,4.995,1674.429,0.000
301,881.781,1416.600,1416.600,1219.154,5.020,1219.154,0.000
302,884.926,991.445,991.445,867.618,5.046,867.618,0.000
303,888.071,731.733,731.733,603.702,5.071,603.702,0.000
304,891.216,460.445,460.445,410.940,5.097,410.940,0.000
305,894.361,330.900,330.900,273.903,5.122,273.903,0.000
306,897.507,197.756,197.756,179.040,5.148,179.040,0.000
307,900.653,137.833,137.833,115.075,5.173,115.075,0.000
308,903.799,74.678,74.678,73.054,5.199,73.054,0.000
309,906.946,57.778,57.778,46.151,5.224,46.151,0.000
310,910.093,30.422,30.422,29.284,5.168,29.284,0.000
311,913.240,21.522,21.522,18.995,5.113,18.995,0.000
312,916.387,9.678,9.678,12.864,5.057,12.864,0.000
313,919.535,6.633,6.633,9.291,5.002,9.291,0.000
314,922.683,4.600,4.600,7.248,4.946,7.248,0.000
315,925.831,1.256,1.256,6.098,4.891,6.098,0.000
316,928.980,5.689,5.689,5.453,4.835,5.453,0.000
317,932.128,2.567,2.567,5.089,4.780,5.089,0.000
318,935.278,4.456,4.456,4.875,4.724,4.875,0.000
319,938.427,3.367,3.367,4.741,4.668,4.741,0.000
320,941.577,1.656,1.656,4.647,4.613,4.647,0.000
321,944.726,4.733,4.733,4.573,4.557,4.573,0.000
322,947.877,1.667,1.667,4.509,4.502,4.509,0.000
323,951.027,8.911,8.911,4.449,4.446,4.449,0.000
324,954.178,7.456,7.456,4.392,4.391,4.392,0.000
325,957.329,12.156,12.156,4.335,4.335,4.335,0.000
326,960.480,14.878,14.878,4.280,4.279,4.280,0.000
327,963.631,13.000,13.000,4.224,4.224,4.224,0.000
328,966.783,0.756,0.756,4.168,4.168,4.168,0.000
329,969.935,0.178,0.178,4.113,4.113,4.113,0.000
330,973.088,10.745,10.745,4.057,4.057,4.057,0.000
331,976.240,4.500,4.500,4.002,4.002,4.002,0.000
332,979.393,3.700,3.700,3.946,3.946,3.946,0.000
333,982.546,10.200,10.200,3.890,3.890,3.890,0.000
334,985.699,12.056,12.056,3.835,3.835,3.835,0.000
335,988.853,3.345,3.345,3.779,3.779,3.779,0.000
336,992.006,2.589,2.589,3.724,3.724,3.724,0.000
337,995.160,6.867,6.867,3.668,3.668,3.668,0.000
338,998.315,4.911,4.911,3.613,3.613,3.613,0.000
339,1001.469,3.978,3.978,3.557,3.557,3.557,0.000
340,1004.624,1.022,1.022,3.501,3.501,3.501,0.000
341,1007.779,5.967,5.967,3.446,3.446,3.446,0.000
342,1010.934,3.878,3.878,3.390,3.390,0.000,3.390
343,1014.089,6.156,6.156,3.335,3.335,0.000,3.335
344,1017.245,7.122,7.122,3.279,3.279,0.000,3.279
345,1020.401,6.389,6.389,3.224,3.224,0.000,3.224
346,1023.557,2.089,2.089,3.168,3.168,0.000,3.168
347,1026.713,3.167,3.167,3.113,3.113,0.000,3.113
348,1029.870,2.222,2.222,3.057,3.057,0.000,3.057
349,1033.027,0.422,0.422,3.001,3.001,0.000,3.001
350,1036.184,8.467,8.467,2.946,2.946,0.000,2.946
351,1039.341,4.033,4.033,2.890,2.890,0.000,2.890
352,1042.499,9.122,9.122,2.835,2.835,0.000,2.835
353,1045.656,4.322,4.322,2.779,2.779,0.000,2.779
354,1048.814,1.278,1.278,2.724,2.724,0.000,2.724
355,1051.972,4.111,4.111,2.668,2.668,0.000,2.668
356,1055.131,0.478,0.478,2.612,2.612,0.000,2.612
357,1058.289,0.489,0.489,2.557,2.557,0.000,2.557
358,1061.448,4.267,4.267,2.501,2.501,0.000,2.501
359,1064.607,1.222,1.222,2.446,2.446,0.000,2.446
360,1067.766,4.467,4.467,2.390,2.390,0.000,2.390
361,1070.925,2.167,2.167,2.335,2.335,0.000,2.335
362,1074.085,3.222,3.222,2.279,2.279,0.000,2.279
363,1077.245,1.267,1.267,2.223,2.223,0.000,2.223
364,1080.405,2.045,2.045,2.168,2.168,0.000,2.168
365,1083.565,0.711,0.711,2.112,2.112,0.000,2.112
366,1086.725,3.367,3.367,2.057,2.057,0.000,2.057
367,1089.886,6.600,6.600,2.001,2.001,0.000,2.001
368,1093.047,5.322,5.322,1.946,1.946,0.000,1.946
369,1096.208,4.200,4.200,1.890,1.890,0.000,1.890
370,1099.369,9.278,9.278,1.834,1.834,0.000,1.834
371,1102.530,0.000,-0.733,1.779,1.779,0.000,1.779
372,1105.692,5.422,5.422,1.723,1.723,0.000,1.723
373,1108.853,2.333,2.333,1.668,1.668,0.000,1.668
374,1112.015,10.256,10.256,1.656,1.656,0.000,1.656
375,1115.177,7.133,7.133,1.644,1.644,0.000,1.644
376,1118.340,2.222,2.222,1.633,1.633,0.000,1.633
377,1121.502,2.511,2.511,1.621,1.621,0.000,1.621
378,1124.665,2.311,2.311,1.610,1.610,0.000,1.610
379,1127.827,6.211,6.211,1.598,1.598,0.000,1.598
380,1130.990,2.078,2.078,1.586,1.586,0.000,1.586
381,1134.153,2.389,2.389,1.575,1.575,0.000,1.575
382,1137.317,2.056,2.056,1.563,1.563,0.000,1.563
383,1140.480,4.389,4.389,1.551,1.551,0.000,1.551
384,1143.644,3.511,3.511,1.540,1.540,0.000,1.540
385,1146.808,0.611,0.611,1.528,1.528,0.000,1.528
386,1149.972,0.000,-1.055,1.516,1.516,0.000,1.516
387,1153.136,3.256,3.256,1.505,1.505,0.000,1.505
388,1156.300,1.578,1.578,1.493,1.493,0.000,1.493
389,1159.465,0.000,-0.489,1.481,1.481,0.000,1.481
390,1162.629,2.445,2.445,1.470,1.470,0.000,1.470
391,1165.794,4.445,4.445,1.458,1.458,0.000,1.458
392,1168.959,5.500,5.500,1.446,1.446,0.000,1.446
393,1172.124,1.145,1.145,1.435,1.435,0.000,1.435
394,1175.289,2.511,2.511,1.423,1.423,0.000,1.423
395,1178.455,1.378,1.378,1.411,1.411,0.000,1.411
396,1181.620,0.356,0.356,1.400,1.400,0.000,1.400
397,1184.786,0.000,-0.222,1.388,1.388,0.000,1.388
398,1187.952,0.756,0.756,1.377,1.377,0.000,1.377
399,1191.118,1.600,1.600,1.365,1.365,0.000,1.365
400,1194.284,2.689,2.689,1.353,1.353,0.000,1.353
401,1197.450,0.889,0.889,1.342,1.342,0.000,1.342
402,1200.616,0.000,-1.233,1.330,1.330,0.000,1.330
403,1203.783,1.556,1.556,1.318,1.318,0.000,1.318
404,1206.950,7.722,7.722,1.307,1.307,0.000,1.307
405,1210.116,1.622,1.622,1.295,1.295,0.000,1.295
406,1213.283,3.656,3.656,1.283,1.283,0.000,1.283
407,1216.450,2.056,2.056,1.272,1.272,0.000,1.272
408,1219.618,0.878,0.878,1.260,1.260,0.000,1.260
409,1222.785,0.000,-0.355,1.248,1.248,0.000,1.248
410,1225.952,0.667,0.667,1.237,1.237,0.000,1.237
411,1229.120,0.800,0.800,1.225,1.225,0.000,1.225
412,1232.288,2.700,2.700,1.213,1.213,0.000,1.213
413,1235.456,0.000,-0.655,1.202,1.202,0.000,1.202
414,1238.623,0.956,0.956,1.190,1.190,0.000,1.190
415,1241.792,0.000,-0.178,1.178,1.178,0.000,1.178
416,1244.960,0.000,0.000,1.167,1.167,0.000,1.167
417,1248.128,2.956,2.956,1.155,1.155,0.000,1.155
418,1251.296,4.178,4.178,1.144,1.144,0.000,1.144
419,1254.465,0.000,-0.844,1.132,1.132,0.000,1.132
420,1257.634,2.011,2.011,1.120,1.120,0.000,1.120
421,1260.802,1.000,1.000,1.109,1.109,0.000,1.109
422,1263.971,2.078,2.078,1.097,1.097,0.000,1.097
423,1267.140,5.311,5.311,1.085,1.085,0.000,1.085
424,1270.309,3.189,3.189,1.074,1.074,0.000,1.074
425,1273.478,3.311,3.311,1.062,1.062,0.000,1.062
