ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
703,2071.191,0.000,-0.925,0.073,0.073,0.000,0.000
704,2074.173,1.135,1.135,0.065,0.065,0.000,0.000
705,2077.156,0.000,-3.980,0.057,0.057,0.000,0.000
706,2080.138,1.131,1.131,0.048,0.048,0.000,0.000
707,2083.121,0.000,-3.759,0.040,0.040,0.000,0.000
708,2086.104,1.526,1.526,0.032,0.032,0.000,0.000
709,2089.088,0.000,-3.257,0.024,0.024,0.000,0.000
710,2092.071,2.743,2.743,0.016,0.016,0.000,0.000
711,2095.055,2.577,2.577,0.008,0.008,0.000,0.000
712,2098.039,2.301,2.301,0.000,0.000,0.000,0.000
713,2101.022,1.356,1.356,0.000,0.000,0.000,0.000
714,2104.007,0.854,0.854,0.000,0.000,0.000,0.000
715,2106.991,1.799,1.799,0.000,0.000,0.000,0.000
716,2109.975,2.356,2.356,0.000,0.000,0.000,0.000
717,2112.960,0.000,-1.423,0.000,0.000,0.000,0.000
718,2115.945,0.000,-0.146,0.000,0.000,0.000,0.000
719,2118.930,0.000,-2.755,0.000,0.000,0.000,0.000
720,2121.915,2.245,2.245,0.000,0.000,0.000,0.000
721,2124.901,1.633,1.633,0.000,0.000,0.000,0.000
722,2127.887,3.079,3.079,0.000,0.000,0.000,0.000
723,2130.873,0.000,-1.257,0.000,0.000,0.000,0.000
724,2133.859,0.577,0.577,0.000,0.000,0.000,0.000
725,2136.845,0.000,-2.533,0.000,0.000,0.000,0.000
726,2139.832,0.000,-4.806,0.000,0.000,0.000,0.000
727,2142.818,2.799,2.799,0.000,0.000,0.000,0.000
728,2145.806,0.352,0.352,0.000,0.000,0.000,0.000
729,2148.793,0.965,0.965,0.000,0.000,0.000,0.000
730,2151.780,2.297,2.297,0.000,0.000,0.000,0.000
731,2154.768,0.633,0.633,0.000,0.000,0.000,0.000
732,2157.756,0.000,-1.478,0.000,0.000,0.000,0.000
733,2160.744,2.083,2.083,0.000,0.000,0.000,0.000
734,2163.733,0.000,-1.976,0.000,0.000,0.000,0.000
735,2166.722,0.000,-1.478,0.000,0.000,0.000,0.000
736,2169.711,0.075,0.075,0.000,0.000,0.000,0.000
