ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
827,2465.755,0.644,0.644,0.466,0.466,0.466,0.000
828,2468.712,0.689,0.689,0.460,0.460,0.460,0.000
829,2471.667,0.000,-0.444,0.454,0.454,0.454,0.000
830,2474.622,1.533,1.533,0.447,0.447,0.447,0.000
831,2477.577,1.622,1.622,0.441,0.441,0.441,0.000
832,2480.531,0.578,0.578,0.435,0.435,0.435,0.000
833,2483.485,0.000,-0.467,0.429,0.429,0.429,0.000
834,2486.438,0.778,0.778,0.423,0.423,0.423,0.000
835,2489.390,0.689,0.689,0.416,0.416,0.416,0.000
836,2492.342,1.667,1.667,0.410,0.410,0.410,0.000
837,2495.293,0.556,0.556,0.404,0.404,0.404,0.000
838,2498.244,3.600,3.600,0.398,0.398,0.398,0.000
839,2501.195,1.667,1.667,0.391,0.391,0.391,0.000
840,2504.144,0.000,-0.444,0.385,0.385,0.385,0.000
841,2507.094,0.711,0.711,0.379,0.379,0.379,0.000
842,2510.042,2.533,2.533,0.373,0.373,0.373,0.000
843,2512.990,0.644,0.644,0.367,0.367,0.367,0.000
844,2515.938,0.733,0.733,0.360,0.360,0.360,0.000
845,2518.885,0.000,-0.289,0.354,0.354,0.354,0.000
846,2521.831,0.000,-0.378,0.348,0.348,0.348,0.000
847,2524.777,3.511,3.511,0.342,0.342,0.342,0.000
848,2527.723,0.511,0.511,0.336,0.336,0.336,0.000
849,2530.667,2.711,2.711,0.329,0.329,0.329,0.000
850,2533.612,2.644,2.644,0.323,0.323,0.323,0.000
851,2536.555,0.533,0.533,0.317,0.317,0.317,0.000
852,2539.498,0.378,0.378,0.311,0.311,0.311,0.000
853,2542.441,0.556,0.556,0.304,0.304,0.304,0.000
854,2545.383,1.533,1.533,0.298,0.298,0.298,0.000
855,2548.324,0.000,-0.489,0.292,0.292,0.292,0.000
856,2551.265,1.289,1.289,0.286,0.286,0.286,0.000
857,2554.206,0.422,0.422,0.280,0.280,0.280,0.000
858,2557.145,0.489,0.489,0.273,0.273,0.273,0.000
859,2560.084,1.178,1.178,0.267,0.267,0.267,0.000
860,2563.023,1.533,1.533,0.261,0.261,0.261,0.000
861,2565.961,0.000,-0.444,0.255,0.255,0.255,0.000
862,2568.898,0.378,0.378,0.249,0.249,0.249,0.000
863,2571.835,1.289,1.289,0.243,0.242,0.243,0.000
864,2574.771,0.000,-0.533,0.237,0.236,0.237,0.000
865,2577.707,0.222,0.222,0.230,0.230,0.230,0.000
866,2580.642,0.222,0.222,0.224,0.224,0.224,0.000
867,2583.577,0.133,0.133,0.218,0.217,0.218,0.000
868,2586.510,0.044,0.044,0.212,0.211,0.212,0.000
869,2589.444,0.000,-0.733,0.206,0.205,0.206,0.000
870,2592.377,0.867,0.867,0.201,0.199,0.201,0.000
871,2595.309,0.000,-0.689,0.195,0.193,0.195,0.000
872,2598.240,0.022,0.022,0.189,0.186,0.189,0.000
873,2601.171,1.267,1.267,0.184,0.180,0.184,0.000
874,2604.101,0.311,0.311,0.179,0.174,0.179,0.000
875,2607.031,0.000,-0.822,0.174,0.168,0.174,0.000
876,2609.960,0.000,-0.778,0.169,0.162,0.169,0.000
877,2612.889,0.133,0.133,0.164,0.155,0.164,0.000
878,2615.817,0.000,-0.800,0.160,0.149,0.160,0.000
879,2618.744,0.000,-0.867,0.157,0.143,0.157,0.000
880,2621.671,1.111,1.111,0.153,0.137,0.153,0.000
881,2624.597,1.200,1.200,0.151,0.130,0.151,0.000
882,2627.523,0.156,0.156,0.149,0.124,0.149,0.000
883,2630.447,0.244,0.244,0.148,0.118,0.148,0.000
884,2633.372,0.156,0.156,0.147,0.112,0.147,0.000
885,2636.295,1.156,1.156,0.148,0.106,0.148,0.000
886,2639.218,2.333,2.333,0.150,0.099,0.150,0.000
887,2642.141,1.400,1.400,0.153,0.093,0.153,0.000
888,2645.063,0.556,0.556,0.157,0.087,0.157,0.000
889,2647.984,1.222,1.222,0.163,0.081,0.163,0.000
890,2650.905,0.000,-0.489,0.171,0.075,0.171,0.000
891,2653.825,0.000,-0.756,0.180,0.068,0.180,0.000
892,2656.744,0.000,-0.467,0.192,0.062,0.192,0.000
893,2659.663,2.533,2.533,0.205,0.056,0.205,0.000
894,2662.581,1.511,1.511,0.221,0.050,0.221,0.000
895,2665.498,0.511,0.511,0.240,0.043,0.240,0.000
896,2668.415,0.000,-0.533,0.260,0.037,0.260,0.000
897,2671.331,0.000,-0.489,0.284,0.031,0.284,0.000
898,2674.247,0.000,-0.289,0.310,0.025,0.310,0.000
899,2677.162,0.667,0.667,0.338,0.019,0.338,0.000
900,2680.076,5.689,5.689,0.370,0.012,0.370,0.000
901,2682.990,0.689,0.689,0.404,0.006,0.404,0.000
902,2685.903,0.000,-0.400,0.441,0.000,0.441,0.000
903,2688.815,1.756,1.756,0.487,0.001,0.487,0.000
904,2691.727,0.711,0.711,0.535,0.002,0.535,0.000
905,2694.638,1.711,1.711,0.586,0.003,0.586,0.000
906,2697.548,2.622,2.622,0.639,0.004,0.639,0.000
907,2700.458,0.000,-0.200,0.692,0.005,0.692,0.000
908,2703.367,1.667,1.667,0.748,0.006,0.748,0.000
909,2706.276,0.000,-0.333,0.803,0.007,0.803,0.000
910,2709.183,0.000,-0.311,0.859,0.008,0.859,0.000
911,2712.091,0.778,0.778,0.915,0.009,0.915,0.000
912,2714.997,0.000,-0.178,0.970,0.010,0.970,0.000
913,2717.903,3.822,3.822,1.024,0.011,1.024,0.000
914,2720.808,0.644,0.644,1.076,0.012,1.076,0.000
915,2723.713,0.711,0.711,1.126,0.012,1.126,0.000
916,2726.617,1.822,1.822,1.172,0.013,1.172,0.000
