ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
127,359.236,299.100,299.100,286.401,69.124,1.325,244.918,39.563,0.000,0.000,0.588
128,362.202,257.400,257.400,281.285,62.357,1.879,240.232,38.611,0.000,0.000,0.556
129,365.169,318.667,318.667,276.332,55.590,2.545,235.537,37.724,0.000,0.000,0.519
130,368.135,301.900,301.900,271.297,48.823,3.278,230.664,36.871,0.000,0.000,0.478
131,371.101,317.100,317.100,273.383,49.510,4.015,231.948,36.969,0.000,0.000,0.444
132,374.068,283.100,283.100,274.873,50.197,4.666,232.715,37.076,0.000,0.000,0.409
133,377.034,326.533,326.533,275.496,50.884,5.145,232.779,37.188,0.000,0.000,0.376
134,380.001,277.733,277.733,274.995,51.570,5.388,231.952,37.304,0.000,0.000,0.345
135,382.967,322.400,322.400,273.154,52.257,5.363,230.050,37.417,0.000,0.000,0.317
136,385.934,281.800,281.800,269.835,52.944,5.085,226.929,37.520,0.000,0.000,0.294
137,388.901,275.100,275.100,265.001,53.631,4.605,222.509,37.607,0.000,0.000,0.274
138,391.868,251.133,251.133,258.742,54.318,4.000,216.806,37.671,0.000,0.000,0.258
139,394.835,231.067,231.067,251.272,55.005,3.358,209.952,37.711,0.000,0.000,0.245
140,397.802,274.933,274.933,242.915,55.692,2.754,202.188,37.732,0.000,0.000,0.234
141,400.769,203.400,203.400,234.070,56.379,2.244,193.849,37.744,0.000,0.000,0.225
142,403.737,234.600,234.600,225.165,57.066,1.854,185.319,37.767,0.000,0.000,0.218
143,406.704,193.600,193.600,216.610,57.753,1.586,176.980,37.825,0.000,0.000,0.212
144,409.672,195.267,195.267,208.755,58.440,1.419,169.168,37.954,0.000,0.000,0.207
145,412.639,220.667,220.667,201.863,59.126,1.322,162.130,38.201,0.000,0.000,0.202
146,415.607,179.433,179.433,196.103,59.813,1.259,156.008,38.631,0.000,0.000,0.198
147,418.575,173.967,173.967,191.563,60.500,1.201,150.839,39.322,0.000,0.000,0.194
148,421.543,181.600,181.600,188.265,61.187,1.125,146.574,40.369,0.000,0.000,0.191
149,424.510,166.667,166.667,186.190,61.874,1.022,143.104,41.870,0.000,0.000,0.187
150,427.479,165.933,165.933,185.282,62.561,0.893,140.295,43.902,0.000,0.000,0.185
151,430.447,175.567,175.567,185.449,63.248,0.747,138.012,46.501,0.000,0.000,0.182
152,433.415,188.900,188.900,186.543,63.935,0.596,136.136,49.624,0.000,0.000,0.180
153,436.383,177.033,177.033,188.346,64.622,0.454,134.577,53.130,0.000,0.000,0.179
154,439.352,200.233,200.233,190.562,65.309,0.329,133.274,56.775,0.000,0.000,0.178
155,442.320,192.667,192.667,192.837,65.996,0.227,132.196,60.230,0.000,0.000,0.177
156,445.289,174.833,174.833,194.795,66.683,0.149,131.335,63.128,0.000,0.000,0.176
157,448.257,186.533,186.533,196.109,67.369,0.093,130.704,65.130,0.000,0.000,0.176
158,451.226,166.800,166.800,196.566,68.056,0.055,130.335,65.992,0.000,0.000,0.176
159,454.195,169.900,169.900,196.124,68.743,0.031,130.289,65.620,0.000,0.000,0.176
160,457.164,181.433,181.433,194.955,69.430,0.017,130.663,64.092,0.000,0.000,0.176
161,460.133,202.167,202.167,193.445,70.117,0.009,131.616,61.636,0.000,0.000,0.177
162,463.102,181.733,181.733,192.184,70.804,0.004,133.408,58.588,0.000,0.000,0.177
163,466.071,189.033,189.033,191.948,71.491,0.002,136.444,55.317,0.000,0.000,0.177
164,469.041,200.767,200.767,193.677,72.178,0.001,141.330,52.162,0.000,0.000,0.177
165,472.010,181.000,181.000,198.470,72.865,0.000,148.905,49.380,0.000,0.000,0.178
166,474.980,186.767,186.767,207.560,73.552,0.000,160.249,47.125,0.000,0.000,0.178
167,477.949,209.900,209.900,222.257,74.239,0.000,176.621,45.449,0.000,0.000,0.179
168,480.919,235.600,235.600,243.819,74.925,0.000,199.309,44.322,0.000,0.000,0.181
169,483.889,248.267,248.267,271.681,74.061,0.000,228.010,43.483,0.000,0.000,0.181
170,486.859,285.267,285.267,307.816,73.196,0.000,264.623,43.004,0.000,0.000,0.181
171,489.828,330.667,330.667,351.751,72.331,0.000,308.783,42.777,0.000,0.000,0.183
