ch,keV,net,fit,model,continuum_raw,Am-241,continuum
74,199.931,0.000,-0.734,0.000,0.000,0.000,0.000
75,202.834,0.000,-1.522,0.000,0.000,0.000,0.000
76,205.738,0.000,-0.545,0.000,0.000,0.000,0.000
77,208.643,1.672,1.672,0.000,0.000,0.000,0.000
78,211.548,0.000,-1.811,0.000,0.000,0.000,0.000
79,214.454,1.228,1.228,0.000,0.000,0.000,0.000
80,217.360,3.994,3.994,0.000,0.000,0.000,0.000
81,220.267,0.000,-2.895,0.000,0.000,0.000,0.000
82,223.174,0.000,-1.128,0.000,0.000,0.000,0.000
83,226.083,1.461,1.461,0.000,0.000,0.000,0.000
84,228.992,0.000,-0.211,0.000,0.000,0.000,0.000
85,231.901,0.000,-7.334,0.000,0.000,0.000,0.000
86,234.811,3.816,3.816,0.000,0.000,0.000,0.000
87,237.722,1.666,1.666,0.000,0.000,0.000,0.000
88,240.633,5.233,5.233,0.000,0.000,0.000,0.000
89,243.545,0.000,-4.172,0.000,0.000,0.000,0.000
90,246.458,5.983,5.983,0.000,0.000,0.000,0.000
91,249.371,0.000,-3.828,0.000,0.000,0.000,0.000
92,252.285,2.355,2.355,0.000,0.000,0.000,0.000
93,255.199,0.000,-1.261,0.000,0.000,0.000,0.000
94,258.114,0.689,0.689,0.000,0.000,0.000,0.000
95,261.030,1.039,1.039,0.000,0.000,0.000,0.000
96,263.946,0.000,-2.261,0.000,0.000,0.000,0.000
97,266.863,0.000,-0.056,0.000,0.000,0.000,0.000
98,269.780,5.116,5.116,0.000,0.000,0.000,0.000
99,272.698,0.000,-0.067,0.000,0.000,0.000,0.000
100,275.617,0.572,0.572,0.000,0.000,0.000,0.000
101,278.536,0.000,-0.784,0.000,0.000,0.000,0.000
102,281.456,2.344,2.344,0.000,0.000,0.000,0.000
103,284.376,0.161,0.161,0.000,0.000,0.000,0.000
104,287.297,0.428,0.428,0.000,0.000,0.000,0.000
105,290.219,0.000,-1.772,0.000,0.000,0.000,0.000
106,293.141,0.000,-1.734,0.000,0.000,0.000,0.000
107,296.064,0.000,-1.522,0.000,0.000,0.000,0.000
108,298.987,4.511,4.511,0.000,0.000,0.000,0.000
109,301.911,0.000,-0.256,0.000,0.000,0.000,0.000
110,304.835,5.855,5.855,0.000,0.000,0.000,0.000
111,307.760,2.016,2.016,0.000,0.000,0.000,0.000
112,310.686,0.000,-2.934,0.000,0.000,0.000,0.000
113,313.612,2.172,2.172,0.000,0.000,0.000,0.000
114,316.539,0.183,0.183,0.000,0.000,0.000,0.000
115,319.467,6.311,6.311,0.000,0.000,0.000,0.000
116,322.395,0.155,0.155,0.000,0.000,0.000,0.000
117,325.323,7.122,7.122,0.000,0.000,0.000,0.000
118,328.252,0.000,-4.067,0.000,0.000,0.000,0.000
119,331.182,0.000,-0.739,0.000,0.000,0.000,0.000
120,334.112,1.139,1.139,0.000,0.000,0.000,0.000
121,337.043,0.000,-2.722,0.000,0.000,0.000,0.000
122,339.974,0.244,0.244,0.000,0.000,0.000,0.000
123,342.906,0.000,-0.639,0.000,0.000,0.000,0.000
124,345.839,0.066,0.066,0.000,0.000,0.000,0.000
125,348.772,0.000,-2.828,0.000,0.000,0.000,0.000
126,351.706,2.083,2.083,0.000,0.000,0.000,0.000
127,354.640,0.683,0.683,0.000,0.000,0.000,0.000
128,357.574,0.067,0.067,0.000,0.000,0.000,0.000
129,360.510,1.944,1.944,0.000,0.000,0.000,0.000
130,363.446,0.000,-0.683,0.000,0.000,0.000,0.000
131,366.382,0.000,-2.817,0.000,0.000,0.000,0.000
132,369.319,1.517,1.517,0.000,0.000,0.000,0.000
133,372.256,0.000,-1.578,0.000,0.000,0.000,0.000
134,375.195,0.000,-0.545,0.000,0.000,0.000,0.000
135,378.133,0.000,-2.600,0.000,0.000,0.000,0.000
136,381.072,0.000,-1.200,0.000,0.000,0.000,0.000
137,384.012,0.000,-0.483,0.000,0.000,0.000,0.000
138,386.952,0.000,-1.145,0.000,0.000,0.000,0.000
139,389.893,0.000,-0.322,0.000,0.000,0.000,0.000
140,392.834,3.822,3.822,0.000,0.000,0.000,0.000
141,395.776,0.000,-0.933,0.000,0.000,0.000,0.000
142,398.718,1.933,1.933,0.000,0.000,0.000,0.000
143,401.661,0.000,-1.233,0.000,0.000,0.000,0.000
144,404.605,0.878,0.878,0.000,0.000,0.000,0.000
145,407.549,6.111,6.111,0.000,0.000,0.000,0.000
146,410.493,3.072,3.072,0.000,0.000,0.000,0.000
147,413.438,0.000,-2.006,0.000,0.000,0.000,0.000
148,416.384,0.000,-3.900,0.000,0.000,0.000,0.000
149,419.330,3.111,3.111,0.000,0.000,0.000,0.000
150,422.276,0.000,-1.178,0.000,0.000,0.000,0.000
151,425.223,1.428,1.428,0.000,0.000,0.000,0.000
152,428.171,0.000,-0.683,0.000,0.000,0.000,0.000
153,431.119,0.000,-0.995,0.000,0.000,0.000,0.000
154,434.068,1.039,1.039,0.000,0.000,0.000,0.000
155,437.017,0.000,-0.556,0.000,0.000,0.000,0.000
156,439.967,0.000,-2.861,0.000,0.000,0.000,0.000
157,442.917,0.589,0.589,0.000,0.000,0.000,0.000
158,445.867,0.000,-1.533,0.000,0.000,0.000,0.000
159,448.819,3.317,3.317,0.000,0.000,0.000,0.000
160,451.770,0.239,0.239,0.000,0.000,0.000,0.000
161,454.723,0.000,-1.639,0.000,0.000,0.000,0.000
162,457.675,0.000,-0.545,0.000,0.000,0.000,0.000
163,460.629,0.000,-2.328,0.000,0.000,0.000,0.000
164,463.582,0.000,-0.372,0.000,0.000,0.000,0.000
165,466.536,0.000,-0.500,0.000,0.000,0.000,0.000
166,469.491,0.000,-2.539,0.000,0.000,0.000,0.000
167,472.446,1.483,1.483,0.000,0.000,0.000,0.000
168,475.402,0.600,0.600,0.000,0.000,0.000,0.000
169,478.358,0.000,-2.622,0.000,0.000,0.000,0.000
170,481.315,0.211,0.211,0.000,0.000,0.000,0.000
171,484.272,0.000,-1.556,0.000,0.000,0.000,0.000
172,487.230,0.000,-0.856,0.000,0.000,0.000,0.000
173,490.188,0.000,-1.933,0.000,0.000,0.000,0.000
174,493.147,2.989,2.989,0.000,0.000,0.000,0.000
175,496.106,0.000,-1.711,0.000,0.000,0.000,0.000
176,499.065,1.889,1.889,0.000,0.000,0.000,0.000
177,502.025,1.155,1.155,0.000,0.000,0.000,0.000
178,504.986,0.000,-0.817,0.000,0.000,0.000,0.000
179,507.947,2.161,2.161,0.000,0.000,0.000,0.000
180,510.908,0.000,-1.745,0.000,0.000,0.000,0.000
181,513.870,0.261,0.261,0.000,0.000,0.000,0.000
182,516.833,0.000,-0.806,0.000,0.000,0.000,0.000
183,519.796,0.000,-1.745,0.000,0.000,0.000,0.000
184,522.759,0.500,0.500,0.000,0.000,0.000,0.000
185,525.723,0.000,-0.317,0.000,0.000,0.000,0.000
186,528.687,2.055,2.055,0.000,0.000,0.000,0.000
187,531.652,0.822,0.822,0.000,0.000,0.000,0.000
188,534.617,0.000,-0.856,0.000,0.000,0.000,0.000
189,537.583,1.039,1.039,0.000,0.000,0.000,0.000
190,540.549,0.222,0.222,0.000,0.000,0.000,0.000
191,543.516,0.833,0.833,0.000,0.000,0.000,0.000
192,546.483,0.122,0.122,0.000,0.000,0.000,0.000
193,549.450,1.167,1.167,0.000,0.000,0.000,0.000
194,552.418,0.300,0.300,0.000,0.000,0.000,0.000
195,555.387,0.000,-1.822,0.000,0.000,0.000,0.000
196,558.356,0.000,-1.650,0.000,0.000,0.000,0.000
197,561.325,0.000,-0.861,0.000,0.000,0.000,0.000
198,564.295,0.000,-0.750,0.000,0.000,0.000,0.000
199,567.265,0.000,-0.833,0.000,0.000,0.000,0.000
200,570.236,0.828,0.828,0.000,0.000,0.000,0.000
201,573.207,0.000,-1.939,0.000,0.000,0.000,0.000
202,576.179,0.000,-1.050,0.000,0.000,0.000,0.000
203,579.151,0.000,-1.911,0.000,0.000,0.000,0.000
204,582.123,0.000,-0.695,0.000,0.000,0.000,0.000
205,585.096,3.100,3.100,0.000,0.000,0.000,0.000
206,588.069,0.000,-1.945,0.000,0.000,0.000,0.000
207,591.043,0.072,0.072,0.000,0.000,0.000,0.000
208,594.017,0.000,-1.000,0.000,0.000,0.000,0.000
209,596.992,0.000,-0.817,0.000,0.000,0.000,0.000
210,599.967,0.000,-0.983,0.000,0.000,0.000,0.000
211,602.942,1.255,1.255,0.000,0.000,0.000,0.000
212,605.918,0.355,0.355,0.000,0.000,0.000,0.000
213,608.895,0.000,-0.706,0.000,0.000,0.000,0.000
214,611.871,0.000,-0.550,0.000,0.000,0.000,0.000
215,614.848,3.505,3.505,0.000,0.000,0.000,0.000
216,617.826,0.000,-0.811,0.000,0.000,0.000,0.000
217,620.804,0.478,0.478,0.000,0.000,0.000,0.000
218,623.782,0.000,-2.472,0.000,0.000,0.000,0.000
219,626.761,0.000,-1.167,0.000,0.000,0.000,0.000
220,629.741,0.000,-0.333,0.000,0.000,0.000,0.000
221,632.720,2.761,2.761,0.000,0.000,0.000,0.000
222,635.700,0.000,-1.200,0.000,0.000,0.000,0.000
223,638.681,2.733,2.733,0.000,0.000,0.000,0.000
224,641.662,3.594,3.594,0.000,0.000,0.000,0.000
225,644.643,0.000,-1.267,0.000,0.000,0.000,0.000
226,647.625,1.750,1.750,0.000,0.000,0.000,0.000
227,650.607,0.000,-1.200,0.000,0.000,0.000,0.000
228,653.589,0.772,0.772,0.000,0.000,0.000,0.000
229,656.572,0.000,-0.550,0.000,0.000,0.000,0.000
230,659.555,1.844,1.844,0.000,0.000,0.000,0.000
231,662.539,0.000,-2.111,0.000,0.000,0.000,0.000
232,665.523,0.000,-0.245,0.000,0.000,0.000,0.000
233,668.508,0.000,-0.206,0.000,0.000,0.000,0.000
234,671.493,0.000,-0.422,0.000,0.000,0.000,0.000
235,674.478,5.683,5.683,0.000,0.000,0.000,0.000
236,677.463,0.000,-0.406,0.000,0.000,0.000,0.000
237,680.450,0.705,0.705,0.000,0.000,0.000,0.000
238,683.436,0.844,0.844,0.000,0.000,0.000,0.000
239,686.423,0.000,-1.122,0.000,0.000,0.000,0.000
240,689.410,1.933,1.933,0.000,0.000,0.000,0.000
241,692.398,0.978,0.978,0.000,0.000,0.000,0.000
242,695.386,2.939,2.939,0.000,0.000,0.000,0.000
243,698.374,0.000,-1.222,0.000,0.000,0.000,0.000
244,701.363,0.939,0.939,0.000,0.000,0.000,0.000
245,704.352,0.000,-0.139,0.000,0.000,0.000,0.000
246,707.341,0.000,-0.033,0.000,0.000,0.000,0.000
247,710.331,0.000,-2.083,0.000,0.000,0.000,0.000
248,713.321,4.111,4.111,0.000,0.000,0.000,0.000
249,716.312,0.000,-0.272,0.000,0.000,0.000,0.000
250,719.303,0.000,-0.111,0.000,0.000,0.000,0.000
251,722.294,0.000,-1.156,0.000,0.000,0.000,0.000
252,725.286,0.000,-1.089,0.000,0.000,0.000,0.000
253,728.278,1.939,1.939,0.000,0.000,0.000,0.000
254,731.270,0.000,-1.133,0.000,0.000,0.000,0.000
255,734.263,0.000,-1.972,0.000,0.000,0.000,0.000
256,737.256,0.050,0.050,0.000,0.000,0.000,0.000
257,740.249,0.000,-1.200,0.000,0.000,0.000,0.000
258,743.243,0.011,0.011,0.000,0.000,0.000,0.000
259,746.237,0.000,0.000,0.000,0.000,0.000,0.000
260,749.232,0.000,-1.033,0.000,0.000,0.000,0.000
261,752.227,0.000,-0.956,0.000,0.000,0.000,0.000
262,755.222,0.072,0.072,0.000,0.000,0.000,0.000
263,758.218,0.028,0.028,0.000,0.000,0.000,0.000
264,761.214,0.000,-0.167,0.000,0.000,0.000,0.000
265,764.210,3.139,3.139,0.000,0.000,0.000,0.000
266,767.206,0.067,0.067,0.000,0.000,0.000,0.000
267,770.203,0.000,-1.983,0.000,0.000,0.000,0.000
268,773.201,0.000,-1.978,0.000,0.000,0.000,0.000
269,776.198,0.017,0.017,0.000,0.000,0.000,0.000
270,779.196,0.055,0.055,0.000,0.000,0.000,0.000
271,782.195,2.022,2.022,0.000,0.000,0.000,0.000
272,785.193,1.039,1.039,0.000,0.000,0.000,0.000
273,788.192,0.000,-1.867,0.000,0.000,0.000,0.000
274,791.191,0.000,-0.956,0.000,0.000,0.000,0.000
275,794.191,0.078,0.078,0.000,0.000,0.000,0.000
276,797.191,0.000,-1.983,0.000,0.000,0.000,0.000
277,800.191,0.000,-1.867,0.000,0.000,0.000,0.000
278,803.192,0.128,0.128,0.000,0.000,0.000,0.000
279,806.193,0.000,-1.967,0.000,0.000,0.000,0.000
280,809.194,0.000,-0.683,0.000,0.000,0.000,0.000
281,812.196,4.061,4.061,0.000,0.000,0.000,0.000
282,815.197,0.250,0.250,0.000,0.000,0.000,0.000
283,818.200,0.000,-0.711,0.000,0.000,0.000,0.000
284,821.202,0.000,-1.744,0.000,0.000,0.000,0.000
285,824.205,0.000,-1.817,0.000,0.000,0.000,0.000
286,827.208,2.361,2.361,0.000,0.000,0.000,0.000
287,830.212,0.000,-1.922,0.000,0.000,0.000,0.000
288,833.215,3.156,3.156,0.000,0.000,0.000,0.000
289,836.219,0.000,-0.895,0.000,0.000,0.000,0.000
290,839.224,0.000,-1.945,0.000,0.000,0.000,0.000
291,842.228,2.200,2.200,0.000,0.000,0.000,0.000
292,845.233,0.000,-0.667,0.000,0.000,0.000,0.000
293,848.239,0.333,0.333,0.000,0.000,0.000,0.000
294,851.244,0.000,-0.783,0.000,0.000,0.000,0.000
295,854.250,0.194,0.194,0.000,0.000,0.000,0.000
296,857.256,2.317,2.317,0.000,0.000,0.000,0.000
297,860.263,0.000,-0.700,0.000,0.000,0.000,0.000
298,863.270,0.000,-0.972,0.000,0.000,0.000,0.000
299,866.277,4.239,4.239,0.000,0.000,0.000,0.000
300,869.284,0.289,0.289,0.000,0.000,0.000,0.000
301,872.292,0.300,0.300,0.000,0.000,0.000,0.000
302,875.300,0.000,-0.778,0.000,0.000,0.000,0.000
303,878.308,0.367,0.367,0.000,0.000,0.000,0.000
304,881.316,0.000,-0.778,0.000,0.000,0.000,0.000
305,884.325,0.000,-0.550,0.000,0.000,0.000,0.000
306,887.334,0.378,0.378,0.000,0.000,0.000,0.000
307,890.343,0.000,-1.583,0.000,0.000,0.000,0.000
308,893.353,0.000,-0.661,0.000,0.000,0.000,0.000
309,896.363,1.389,1.389,0.000,0.000,0.000,0.000
310,899.373,0.211,0.211,0.000,0.000,0.000,0.000
311,902.383,0.000,-0.739,0.000,0.000,0.000,0.000
312,905.394,0.000,-0.661,0.000,0.000,0.000,0.000
313,908.405,0.000,-0.683,0.000,0.000,0.000,0.000
314,911.416,0.300,0.300,0.000,0.000,0.000,0.000
315,914.428,0.128,0.128,0.000,0.000,0.000,0.000
316,917.440,2.344,2.344,0.000,0.000,0.000,0.000
317,920.452,0.000,-0.717,0.000,0.000,0.000,0.000
318,923.464,0.000,-0.772,0.000,0.000,0.000,0.000
319,926.477,0.000,-1.817,0.000,0.000,0.000,0.000
320,929.489,0.000,-1.672,0.000,0.000,0.000,0.000
321,932.503,0.000,-0.633,0.000,0.000,0.000,0.000
322,935.516,1.333,1.333,0.000,0.000,0.000,0.000
323,938.529,0.000,-1.544,0.000,0.000,0.000,0.000
324,941.543,1.228,1.228,0.000,0.000,0.000,0.000
325,944.557,0.578,0.578,0.000,0.000,0.000,0.000
326,947.572,0.000,-1.561,0.000,0.000,0.000,0.000
327,950.586,0.500,0.500,0.000,0.000,0.000,0.000
328,953.601,0.378,0.378,0.000,0.000,0.000,0.000
329,956.616,0.589,0.589,0.000,0.000,0.000,0.000
330,959.632,0.000,-1.628,0.000,0.000,0.000,0.000
331,962.647,2.250,2.250,0.000,0.000,0.000,0.000
332,965.663,1.350,1.350,0.000,0.000,0.000,0.000
333,968.679,1.600,1.600,0.000,0.000,0.000,0.000
334,971.695,0.000,-0.472,0.000,0.000,0.000,0.000
335,974.712,0.000,-1.328,0.000,0.000,0.000,0.000
336,977.729,0.000,-1.706,0.000,0.000,0.000,0.000
337,980.746,0.433,0.433,0.000,0.000,0.000,0.000
338,983.763,0.456,0.456,0.000,0.000,0.000,0.000
339,986.780,0.000,-0.511,0.000,0.000,0.000,0.000
340,989.798,0.511,0.511,0.000,0.000,0.000,0.000
341,992.816,0.000,-0.517,0.000,0.000,0.000,0.000
342,995.834,0.000,-0.561,0.000,0.000,0.000,0.000
343,998.853,0.000,-0.422,0.000,0.000,0.000,0.000
344,1001.871,0.000,-0.439,0.000,0.000,0.000,0.000
345,1004.890,0.000,-1.306,0.000,0.000,0.000,0.000
346,1007.909,0.000,-0.456,0.000,0.000,0.000,0.000
347,1010.928,0.000,-0.417,0.000,0.000,0.000,0.000
348,1013.948,0.000,-1.389,0.000,0.000,0.000,0.000
349,1016.967,0.000,-1.289,0.000,0.000,0.000,0.000
350,1019.987,0.000,-1.267,0.000,0.000,0.000,0.000
351,1023.007,0.000,-0.483,0.000,0.000,0.000,0.000
352,1026.028,0.000,-0.439,0.000,0.000,0.000,0.000
353,1029.048,1.661,1.661,0.000,0.000,0.000,0.000
354,1032.069,0.639,0.639,0.000,0.000,0.000,0.000
355,1035.090,0.000,-0.444,0.000,0.000,0.000,0.000
356,1038.111,0.000,-0.261,0.000,0.000,0.000,0.000
357,1041.132,0.000,-0.256,0.000,0.000,0.000,0.000
358,1044.154,1.633,1.633,0.000,0.000,0.000,0.000
359,1047.176,1.611,1.611,0.000,0.000,0.000,0.000
360,1050.198,0.733,0.733,0.000,0.000,0.000,0.000
361,1053.220,0.000,-1.417,0.000,0.000,0.000,0.000
362,1056.242,0.000,-1.389,0.000,0.000,0.000,0.000
363,1059.265,0.000,-0.367,0.000,0.000,0.000,0.000
364,1062.287,0.000,-0.478,0.000,0.000,0.000,0.000
365,1065.310,0.856,0.856,0.000,0.000,0.000,0.000
366,1068.333,0.683,0.683,0.000,0.000,0.000,0.000
367,1071.357,0.000,-0.200,0.000,0.000,0.000,0.000
368,1074.380,0.000,-0.339,0.000,0.000,0.000,0.000
369,1077.404,0.000,-1.400,0.000,0.000,0.000,0.000
370,1080.427,1.639,1.639,0.000,0.000,0.000,0.000
371,1083.452,1.633,1.633,0.000,0.000,0.000,0.000
372,1086.476,0.000,-0.289,0.000,0.000,0.000,0.000
373,1089.500,0.000,-0.333,0.000,0.000,0.000,0.000
374,1092.525,0.000,-1.372,0.000,0.000,0.000,0.000
375,1095.549,0.000,-1.433,0.000,0.000,0.000,0.000
376,1098.574,0.000,-0.389,0.000,0.000,0.000,0.000
377,1101.599,2.756,2.756,0.000,0.000,0.000,0.000
378,1104.625,0.000,-0.344,0.000,0.000,0.000,0.000
379,1107.650,2.606,2.606,0.000,0.000,0.000,0.000
380,1110.676,1.539,1.539,0.000,0.000,0.000,0.000
381,1113.701,0.000,-0.306,0.000,0.000,0.000,0.000
382,1116.727,0.528,0.528,0.000,0.000,0.000,0.000
383,1119.753,0.000,-0.306,0.000,0.000,0.000,0.000
384,1122.779,0.756,0.756,0.000,0.000,0.000,0.000
385,1125.806,1.806,1.806,0.000,0.000,0.000,0.000
386,1128.832,0.000,-1.528,0.000,0.000,0.000,0.000
387,1131.859,0.000,-0.372,0.000,0.000,0.000,0.000
388,1134.886,0.000,-1.211,0.000,0.000,0.000,0.000
389,1137.913,0.000,-0.244,0.000,0.000,0.000,0.000
390,1140.940,0.722,0.722,0.000,0.000,0.000,0.000
391,1143.967,0.000,-0.278,0.000,0.000,0.000,0.000
392,1146.995,0.000,-1.250,0.000,0.000,0.000,0.000
393,1150.022,0.000,-0.428,0.000,0.000,0.000,0.000
394,1153.050,0.000,-1.244,0.000,0.000,0.000,0.000
395,1156.078,0.000,-1.311,0.000,0.000,0.000,0.000
396,1159.106,0.000,-1.322,0.000,0.000,0.000,0.000
397,1162.134,0.000,-1.111,0.000,0.000,0.000,0.000
398,1165.163,0.000,-1.122,0.000,0.000,0.000,0.000
399,1168.191,0.000,-0.200,0.000,0.000,0.000,0.000
400,1171.220,0.000,-1.156,0.000,0.000,0.000,0.000
401,1174.248,0.944,0.944,0.000,0.000,0.000,0.000
402,1177.277,0.883,0.883,0.000,0.000,0.000,0.000
403,1180.306,0.000,-1.222,0.000,0.000,0.000,0.000
404,1183.335,0.000,-1.139,0.000,0.000,0.000,0.000
405,1186.365,0.811,0.811,0.000,0.000,0.000,0.000
406,1189.394,0.828,0.828,0.000,0.000,0.000,0.000
407,1192.423,0.028,0.028,0.000,0.000,0.000,0.000
408,1195.453,0.000,-0.061,0.000,0.000,0.000,0.000
409,1198.483,0.000,-1.178,0.000,0.000,0.000,0.000
410,1201.513,0.833,0.833,0.000,0.000,0.000,0.000
411,1204.543,0.000,-0.100,0.000,0.000,0.000,0.000
412,1207.573,0.850,0.850,0.000,0.000,0.000,0.000
413,1210.603,0.000,-0.828,0.000,0.000,0.000,0.000
414,1213.633,0.978,0.978,0.000,0.000,0.000,0.000
415,1216.664,0.000,-1.089,0.000,0.000,0.000,0.000
416,1219.694,0.000,0.000,0.000,0.000,0.000,0.000
417,1222.725,0.000,-1.022,0.000,0.000,0.000,0.000
418,1225.756,0.089,0.089,0.000,0.000,0.000,0.000
419,1228.787,0.000,-0.922,0.000,0.000,0.000,0.000
420,1231.818,1.006,1.006,0.000,0.000,0.000,0.000
421,1234.849,2.000,2.000,0.000,0.000,0.000,0.000
422,1237.880,0.000,-0.961,0.000,0.000,0.000,0.000
423,1240.911,1.156,1.156,0.000,0.000,0.000,0.000
424,1243.943,0.000,-0.906,0.000,0.000,0.000,0.000
425,1246.974,0.156,0.156,0.000,0.000,0.000,0.000
426,1250.006,0.078,0.078,0.000,0.000,0.000,0.000
427,1253.037,1.039,1.039,0.000,0.000,0.000,0.000
428,1256.069,1.122,1.122,0.000,0.000,0.000,0.000
429,1259.101,0.000,-0.928,0.000,0.000,0.000,0.000
430,1262.133,0.022,0.022,0.000,0.000,0.000,0.000
431,1265.165,0.000,-0.878,0.000,0.000,0.000,0.000
432,1268.197,0.000,-0.789,0.000,0.000,0.000,0.000
433,1271.229,0.000,-0.800,0.000,0.000,0.000,0.000
434,1274.262,1.039,1.039,0.000,0.000,0.000,0.000
435,1277.294,0.000,-0.828,0.000,0.000,0.000,0.000
436,1280.327,0.000,-0.800,0.000,0.000,0.000,0.000
437,1283.359,1.228,1.228,0.000,0.000,0.000,0.000
438,1286.392,0.000,-0.728,0.000,0.000,0.000,0.000
439,1289.424,0.122,0.122,0.000,0.000,0.000,0.000
440,1292.457,0.272,0.272,0.000,0.000,0.000,0.000
441,1295.490,0.000,-0.733,0.000,0.000,0.000,0.000
442,1298.523,0.189,0.189,0.000,0.000,0.000,0.000
443,1301.556,0.322,0.322,0.000,0.000,0.000,0.000
444,1304.589,1.261,1.261,0.000,0.000,0.000,0.000
445,1307.622,0.000,-0.789,0.000,0.000,0.000,0.000
446,1310.655,0.250,0.250,0.000,0.000,0.000,0.000
447,1313.689,0.000,-0.683,0.000,0.000,0.000,0.000
448,1316.722,0.350,0.350,0.000,0.000,0.000,0.000
449,1319.755,0.161,0.161,0.000,0.000,0.000,0.000
450,1322.789,0.322,0.322,0.000,0.000,0.000,0.000
