ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Th-232,Rn-220,DE-2615,SE-2615,DE-1588,Xray-W,Backscatter,SE-1631,DE-1631,Xray-NaI,Esc-NaI,continuum
2374,879.484,9601.653,9601.653,7646.608,5874.121,4586.612,1407.794,0.000,174.257,0.000,0.000,0.000,0.000,783.524,507.539,0.000,0.000,0.000,186.880,0.000,0.000,0.000,0.000
2375,879.861,9660.192,9660.192,7668.770,5875.587,4612.389,1401.795,0.000,174.692,0.000,0.000,0.000,0.000,784.558,508.209,0.000,0.000,0.000,187.127,0.000,0.000,0.000,0.000
2376,880.239,9791.346,9791.346,7691.230,5877.053,4638.443,1395.799,0.000,175.120,0.000,0.000,0.000,0.000,785.604,508.886,0.000,0.000,0.000,187.376,0.000,0.000,0.000,0.000
2377,880.616,10145.288,10145.288,7713.981,5878.519,4664.765,1389.811,0.000,175.542,0.000,0.000,0.000,0.000,786.663,509.572,0.000,0.000,0.000,187.629,0.000,0.000,0.000,0.000
2378,880.994,10011.643,10011.643,7737.018,5879.985,4691.343,1383.834,0.000,175.957,0.000,0.000,0.000,0.000,787.734,510.266,0.000,0.000,0.000,187.884,0.000,0.000,0.000,0.000
2379,881.371,9948.248,9948.248,7760.334,5881.451,4718.167,1377.873,0.000,176.366,0.000,0.000,0.000,0.000,788.817,510.968,0.000,0.000,0.000,188.143,0.000,0.000,0.000,0.000
2380,881.749,10045.653,10045.653,7783.921,5882.916,4745.225,1371.932,0.000,176.767,0.000,0.000,0.000,0.000,789.914,511.678,0.000,0.000,0.000,188.404,0.000,0.000,0.000,0.000
2381,882.126,10228.739,10228.739,7807.772,5884.382,4772.507,1366.014,0.000,177.162,0.000,0.000,0.000,0.000,791.023,512.397,0.000,0.000,0.000,188.669,0.000,0.000,0.000,0.000
2382,882.504,10331.719,10331.719,7831.880,5885.848,4799.999,1360.124,0.000,177.549,0.000,0.000,0.000,0.000,792.146,513.124,0.000,0.000,0.000,188.937,0.000,0.000,0.000,0.000
2383,882.881,10365.427,10365.427,7856.235,5887.314,4827.689,1354.266,0.000,177.928,0.000,0.000,0.000,0.000,793.283,513.860,0.000,0.000,0.000,189.208,0.000,0.000,0.000,0.000
2384,883.259,10393.101,10393.101,7880.829,5888.780,4855.564,1348.443,0.000,178.300,0.000,0.000,0.000,0.000,794.433,514.606,0.000,0.000,0.000,189.482,0.000,0.000,0.000,0.000
2385,883.636,10637.023,10637.023,7905.653,5890.245,4883.612,1342.659,0.000,178.664,0.000,0.000,0.000,0.000,795.598,515.360,0.000,0.000,0.000,189.760,0.000,0.000,0.000,0.000
2386,884.014,10659.192,10659.192,7930.697,5891.711,4911.818,1336.917,0.000,179.020,0.000,0.000,0.000,0.000,796.776,516.123,0.000,0.000,0.000,190.041,0.000,0.000,0.000,0.000
2387,884.391,10767.971,10767.971,7955.950,5893.177,4940.169,1331.222,0.000,179.368,0.000,0.000,0.000,0.000,797.969,516.896,0.000,0.000,0.000,190.325,0.000,0.000,0.000,0.000
2388,884.769,10762.040,10762.040,7981.403,5894.643,4968.650,1325.576,0.000,179.707,0.000,0.000,0.000,0.000,799.177,517.678,0.000,0.000,0.000,190.613,0.000,0.000,0.000,0.000
2389,885.146,10848.802,10848.802,8007.044,5896.109,4997.247,1319.983,0.000,180.038,0.000,0.000,0.000,0.000,800.400,518.470,0.000,0.000,0.000,190.905,0.000,0.000,0.000,0.000
2390,885.524,11109.260,11109.260,8032.862,5897.574,5025.945,1314.447,0.000,180.360,0.000,0.000,0.000,0.000,801.637,519.272,0.000,0.000,0.000,191.200,0.000,0.000,0.000,0.000
2391,885.901,11233.180,11233.180,8058.845,5899.040,5054.729,1308.970,0.000,180.674,0.000,0.000,0.000,0.000,802.890,520.083,0.000,0.000,0.000,191.499,0.000,0.000,0.000,0.000
2392,886.279,11114.724,11114.724,8084.982,5900.506,5083.583,1303.555,0.000,180.979,0.000,0.000,0.000,0.000,804.158,520.905,0.000,0.000,0.000,191.802,0.000,0.000,0.000,0.000
2393,886.656,11246.111,11246.111,8111.259,5901.972,5112.492,1298.207,0.000,181.274,0.000,0.000,0.000,0.000,805.442,521.737,0.000,0.000,0.000,192.108,0.000,0.000,0.000,0.000
2394,887.034,11509.810,11509.810,8137.663,5903.438,5141.438,1292.926,0.000,181.561,0.000,0.000,0.000,0.000,806.742,522.578,0.000,0.000,0.000,192.418,0.000,0.000,0.000,0.000
2395,887.411,11192.934,11192.934,8164.183,5904.904,5170.407,1287.717,0.000,181.838,0.000,0.000,0.000,0.000,808.057,523.431,0.000,0.000,0.000,192.732,0.000,0.000,0.000,0.000
2396,887.789,11675.868,11675.868,8190.803,5906.369,5199.382,1282.583,0.000,182.107,0.000,0.000,0.000,0.000,809.389,524.293,0.000,0.000,0.000,193.049,0.000,0.000,0.000,0.000
2397,888.167,11546.018,11546.018,8217.511,5907.835,5228.345,1277.525,0.000,182.365,0.000,0.000,0.000,0.000,810.738,525.167,0.000,0.000,0.000,193.371,0.000,0.000,0.000,0.000
2398,888.544,11636.805,11636.805,8244.291,5909.301,5257.280,1272.546,0.000,182.615,0.000,0.000,0.000,0.000,812.103,526.051,0.000,0.000,0.000,193.696,0.000,0.000,0.000,0.000
2399,888.922,11802.883,11802.883,8271.130,5910.767,5286.169,1267.650,0.000,182.855,0.000,0.000,0.000,0.000,813.484,526.946,0.000,0.000,0.000,194.026,0.000,0.000,0.000,0.000
2400,889.299,12028.422,12028.422,8298.013,5912.233,5314.995,1262.837,0.000,183.086,0.000,0.000,0.000,0.000,814.883,527.852,0.000,0.000,0.000,194.359,0.000,0.000,0.000,0.000
2401,889.677,11901.412,11901.412,8324.924,5913.698,5343.741,1258.111,0.000,183.307,0.000,0.000,0.000,0.000,816.298,528.769,0.000,0.000,0.000,194.697,0.000,0.000,0.000,0.000
2402,890.054,11759.856,11759.856,8351.849,5915.164,5372.389,1253.474,0.000,183.519,0.000,0.000,0.000,0.000,817.731,529.697,0.000,0.000,0.000,195.039,0.000,0.000,0.000,0.000
2403,890.432,11960.481,11960.481,8378.772,5916.630,5400.921,1248.927,0.000,183.721,0.000,0.000,0.000,0.000,819.181,530.636,0.000,0.000,0.000,195.385,0.000,0.000,0.000,0.000
2404,890.809,12199.170,12199.170,8405.677,5918.096,5429.319,1244.473,0.000,183.913,0.000,0.000,0.000,0.000,820.649,531.587,0.000,0.000,0.000,195.735,0.000,0.000,0.000,0.000
2405,891.187,12289.108,12289.108,8432.548,5919.562,5457.566,1240.114,0.000,184.096,0.000,0.000,0.000,0.000,822.134,532.549,0.000,0.000,0.000,196.089,0.000,0.000,0.000,0.000
2406,891.565,12273.405,12273.405,8459.369,5921.028,5485.642,1235.850,0.000,184.269,0.000,0.000,0.000,0.000,823.638,533.523,0.000,0.000,0.000,196.448,0.000,0.000,0.000,0.000
2407,891.942,12465.258,12465.258,8486.125,5922.493,5513.529,1231.685,0.000,184.433,0.000,0.000,0.000,0.000,825.159,534.508,0.000,0.000,0.000,196.810,0.000,0.000,0.000,0.000
2408,892.320,12525.407,12525.407,8512.797,5923.959,5541.211,1227.618,0.000,184.588,0.000,0.000,0.000,0.000,826.698,535.505,0.000,0.000,0.000,197.178,0.000,0.000,0.000,0.000
2409,892.697,12530.258,12530.258,8539.371,5925.425,5568.667,1223.653,0.000,184.732,0.000,0.000,0.000,0.000,828.255,536.514,0.000,0.000,0.000,197.549,0.000,0.000,0.000,0.000
2410,893.075,12640.339,12640.339,8565.829,5926.891,5595.881,1219.790,0.000,184.868,0.000,0.000,0.000,0.000,829.831,537.535,0.000,0.000,0.000,197.925,0.000,0.000,0.000,0.000
2411,893.453,12532.275,12532.275,8592.155,5928.357,5622.833,1216.030,0.000,184.994,0.000,0.000,0.000,0.000,831.425,538.567,0.000,0.000,0.000,198.305,0.000,0.000,0.000,0.000
2412,893.830,12780.638,12780.638,8618.331,5929.822,5649.506,1212.375,0.000,185.111,0.000,0.000,0.000,0.000,833.037,539.612,0.000,0.000,0.000,198.690,0.000,0.000,0.000,0.000
2413,894.208,12714.800,12714.800,8644.342,5931.288,5675.882,1208.825,0.000,185.219,0.000,0.000,0.000,0.000,834.669,540.668,0.000,0.000,0.000,199.079,0.000,0.000,0.000,0.000
2414,894.585,12790.719,12790.719,8670.169,5932.754,5701.942,1205.382,0.000,185.317,0.000,0.000,0.000,0.000,836.318,541.737,0.000,0.000,0.000,199.472,0.000,0.000,0.000,0.000
2415,894.963,13217.248,13217.248,8695.797,5934.220,5727.669,1202.047,0.000,185.407,0.000,0.000,0.000,0.000,837.987,542.818,0.000,0.000,0.000,199.870,0.000,0.000,0.000,0.000
2416,895.341,13354.640,13354.640,8721.209,5935.686,5753.044,1198.819,0.000,185.487,0.000,0.000,0.000,0.000,839.674,543.911,0.000,0.000,0.000,200.273,0.000,0.000,0.000,0.000
2417,895.718,13296.537,13296.537,8746.387,5937.151,5778.050,1195.700,0.000,185.559,0.000,0.000,0.000,0.000,841.381,545.016,0.000,0.000,0.000,200.680,0.000,0.000,0.000,0.000
2418,896.096,13246.797,13246.797,8771.315,5938.617,5802.670,1192.691,0.000,185.623,0.000,0.000,0.000,0.000,843.106,546.134,0.000,0.000,0.000,201.091,0.000,0.000,0.000,0.000
2419,896.473,13222.101,13222.101,8795.976,5940.083,5826.887,1189.792,0.000,185.677,0.000,0.000,0.000,0.000,844.850,547.264,0.000,0.000,0.000,201.507,0.000,0.000,0.000,0.000
2420,896.851,13352.709,13352.709,8820.355,5941.549,5850.682,1187.002,0.000,185.724,0.000,0.000,0.000,0.000,846.613,548.406,0.000,0.000,0.000,201.928,0.000,0.000,0.000,0.000
2421,897.229,13329.466,13329.466,8844.434,5943.015,5874.040,1184.324,0.000,185.762,0.000,0.000,0.000,0.000,848.395,549.560,0.000,0.000,0.000,202.353,0.000,0.000,0.000,0.000
2422,897.606,13457.101,13457.101,8868.197,5944.481,5896.944,1181.756,0.000,185.792,0.000,0.000,0.000,0.000,850.197,550.727,0.000,0.000,0.000,202.782,0.000,0.000,0.000,0.000
2423,897.984,13732.331,13732.331,8891.629,5945.946,5919.377,1179.299,0.000,185.814,0.000,0.000,0.000,0.000,852.017,551.906,0.000,0.000,0.000,203.216,0.000,0.000,0.000,0.000
2424,898.361,13739.405,13739.405,8914.713,5947.412,5941.323,1176.952,0.000,185.828,0.000,0.000,0.000,0.000,853.857,553.098,0.000,0.000,0.000,203.655,0.000,0.000,0.000,0.000
2425,898.739,13830.336,13830.336,8937.435,5948.878,5962.768,1174.717,0.000,185.835,0.000,0.000,0.000,0.000,855.715,554.302,0.000,0.000,0.000,204.098,0.000,0.000,0.000,0.000
2426,899.117,13688.645,13688.645,8959.778,5950.344,5983.694,1172.592,0.000,185.834,0.000,0.000,0.000,0.000,857.593,555.518,0.000,0.000,0.000,204.546,0.000,0.000,0.000,0.000
2427,899.494,13860.937,13860.937,8981.728,5951.810,6004.088,1170.578,0.000,185.827,0.000,0.000,0.000,0.000,859.489,556.746,0.000,0.000,0.000,204.999,0.000,0.000,0.000,0.000
2428,899.872,13903.729,13903.729,9003.269,5953.275,6023.935,1168.674,0.000,185.812,0.000,0.000,0.000,0.000,861.405,557.987,0.000,0.000,0.000,205.456,0.000,0.000,0.000,0.000
2429,900.250,13972.018,13972.018,9024.388,5954.741,6043.220,1166.880,0.000,185.791,0.000,0.000,0.000,0.000,863.340,559.241,0.000,0.000,0.000,205.917,0.000,0.000,0.000,0.000
2430,900.627,13947.653,13947.653,9045.071,5956.207,6061.930,1165.196,0.000,185.763,0.000,0.000,0.000,0.000,865.293,560.506,0.000,0.000,0.000,206.383,0.000,0.000,0.000,0.000
2431,901.005,14147.099,14147.099,9065.303,5957.673,6080.051,1163.620,0.000,185.729,0.000,0.000,0.000,0.000,867.266,561.784,0.000,0.000,0.000,206.853,0.000,0.000,0.000,0.000
2432,901.383,14056.170,14056.170,9085.071,5959.139,6097.571,1162.153,0.000,185.689,0.000,0.000,0.000,0.000,869.257,563.073,0.000,0.000,0.000,207.328,0.000,0.000,0.000,0.000
2433,901.760,14218.493,14218.493,9104.363,5960.605,6114.477,1160.794,0.000,185.643,0.000,0.000,0.000,0.000,871.267,564.375,0.000,0.000,0.000,207.808,0.000,0.000,0.000,0.000
2434,902.138,14444.175,14444.175,9123.165,5962.070,6130.756,1159.541,0.000,185.591,0.000,0.000,0.000,0.000,873.295,565.689,0.000,0.000,0.000,208.292,0.000,0.000,0.000,0.000
2435,902.516,14352.564,14352.564,9141.466,5963.536,6146.399,1158.396,0.000,185.534,0.000,0.000,0.000,0.000,875.342,567.015,0.000,0.000,0.000,208.780,0.000,0.000,0.000,0.000
2436,902.893,14205.096,14205.096,9159.254,5965.002,6161.393,1157.355,0.000,185.472,0.000,0.000,0.000,0.000,877.408,568.353,0.000,0.000,0.000,209.272,0.000,0.000,0.000,0.000
2437,903.271,14436.939,14436.939,9176.518,5966.468,6175.729,1156.420,0.000,185.405,0.000,0.000,0.000,0.000,879.492,569.703,0.000,0.000,0.000,209.769,0.000,0.000,0.000,0.000
2438,903.649,14231.023,14231.023,9193.246,5967.934,6189.396,1155.588,0.000,185.333,0.000,0.000,0.000,0.000,881.594,571.065,0.000,0.000,0.000,210.271,0.000,0.000,0.000,0.000
2439,904.026,14373.569,14373.569,9209.430,5969.399,6202.386,1154.858,0.000,185.257,0.000,0.000,0.000,0.000,883.714,572.438,0.000,0.000,0.000,210.777,0.000,0.000,0.000,0.000
2440,904.404,14283.283,14283.283,9225.059,5970.865,6214.690,1154.231,0.000,185.178,0.000,0.000,0.000,0.000,885.852,573.823,0.000,0.000,0.000,211.286,0.000,0.000,0.000,0.000
2441,904.782,14762.405,14762.405,9240.125,5972.331,6226.299,1153.704,0.000,185.094,0.000,0.000,0.000,0.000,888.007,575.219,0.000,0.000,0.000,211.801,0.000,0.000,0.000,0.000
2442,905.159,14710.104,14710.104,9254.618,5973.797,6237.207,1153.277,0.000,185.007,0.000,0.000,0.000,0.000,890.181,576.627,0.000,0.000,0.000,212.319,0.000,0.000,0.000,0.000
2443,905.537,14471.329,14471.329,9268.531,5975.263,6247.407,1152.948,0.000,184.916,0.000,0.000,0.000,0.000,892.372,578.046,0.000,0.000,0.000,212.842,0.000,0.000,0.000,0.000
2444,905.915,14514.182,14514.182,9281.856,5976.729,6256.892,1152.716,0.000,184.823,0.000,0.000,0.000,0.000,894.580,579.477,0.000,0.000,0.000,213.368,0.000,0.000,0.000,0.000
2445,906.293,14559.329,14559.329,9294.586,5978.194,6265.657,1152.581,0.000,184.726,0.000,0.000,0.000,0.000,896.805,580.918,0.000,0.000,0.000,213.899,0.000,0.000,0.000,0.000
2446,906.670,14689.878,14689.878,9306.716,5979.660,6273.698,1152.540,0.000,184.628,0.000,0.000,0.000,0.000,899.047,582.370,0.000,0.000,0.000,214.434,0.000,0.000,0.000,0.000
2447,907.048,14641.959,14641.959,9318.240,5981.126,6281.009,1152.592,0.000,184.527,0.000,0.000,0.000,0.000,901.306,583.834,0.000,0.000,0.000,214.972,0.000,0.000,0.000,0.000
2448,907.426,14672.871,14672.871,9329.152,5982.592,6287.589,1152.736,0.000,184.424,0.000,0.000,0.000,0.000,903.581,585.307,0.000,0.000,0.000,215.515,0.000,0.000,0.000,0.000
2449,907.803,14498.464,14498.464,9339.449,5984.058,6293.433,1152.971,0.000,184.320,0.000,0.000,0.000,0.000,905.872,586.792,0.000,0.000,0.000,216.062,0.000,0.000,0.000,0.000
2450,908.181,14628.964,14628.964,9349.127,5985.523,6298.539,1153.295,0.000,184.215,0.000,0.000,0.000,0.000,908.180,588.286,0.000,0.000,0.000,216.612,0.000,0.000,0.000,0.000
2451,908.559,14619.714,14619.714,9358.182,5986.989,6302.907,1153.707,0.000,184.108,0.000,0.000,0.000,0.000,910.503,589.791,0.000,0.000,0.000,217.166,0.000,0.000,0.000,0.000
2452,908.937,14669.260,14669.260,9366.613,5988.455,6306.536,1154.205,0.000,184.000,0.000,0.000,0.000,0.000,912.842,591.306,0.000,0.000,0.000,217.724,0.000,0.000,0.000,0.000
2453,909.314,14553.549,14553.549,9374.418,5989.921,6309.425,1154.788,0.000,183.892,0.000,0.000,0.000,0.000,915.196,592.831,0.000,0.000,0.000,218.285,0.000,0.000,0.000,0.000
2454,909.692,14763.336,14763.336,9371.439,5981.230,6306.468,1153.584,0.000,183.540,0.000,0.000,0.000,0.000,916.009,593.358,0.000,0.000,0.000,218.479,0.000,0.000,0.000,0.000
2455,910.070,14678.635,14678.635,9367.832,5972.539,6302.795,1152.453,0.000,183.188,0.000,0.000,0.000,0.000,916.831,593.890,0.000,0.000,0.000,218.675,0.000,0.000,0.000,0.000
2456,910.448,14735.881,14735.881,9363.597,5963.849,6298.410,1151.394,0.000,182.835,0.000,0.000,0.000,0.000,917.659,594.427,0.000,0.000,0.000,218.873,0.000,0.000,0.000,0.000
2457,910.825,14622.356,14622.356,9358.737,5955.158,6293.315,1150.406,0.000,182.482,0.000,0.000,0.000,0.000,918.494,594.967,0.000,0.000,0.000,219.072,0.000,0.000,0.000,0.000
2458,911.203,14545.503,14545.503,9353.252,5946.467,6287.515,1149.487,0.000,182.130,0.000,0.000,0.000,0.000,919.335,595.513,0.000,0.000,0.000,219.273,0.000,0.000,0.000,0.000
2459,911.581,14743.876,14743.876,9347.144,5937.777,6281.013,1148.635,0.000,181.777,0.000,0.000,0.000,0.000,920.183,596.062,0.000,0.000,0.000,219.475,0.000,0.000,0.000,0.000
2460,911.958,14422.101,14422.101,9340.417,5929.086,6273.815,1147.848,0.000,181.426,0.000,0.000,0.000,0.000,921.036,596.614,0.000,0.000,0.000,219.678,0.000,0.000,0.000,0.000
2461,912.336,14774.890,14774.890,9333.074,5920.395,6265.926,1147.125,0.000,181.075,0.000,0.000,0.000,0.000,921.895,597.170,0.000,0.000,0.000,219.883,0.000,0.000,0.000,0.000
2462,912.714,14688.873,14688.873,9325.119,5911.705,6257.353,1146.463,0.000,180.725,0.000,0.000,0.000,0.000,922.758,597.730,0.000,0.000,0.000,220.089,0.000,0.000,0.000,0.000
2463,913.092,14785.506,14785.506,9316.559,5903.014,6248.104,1145.863,0.000,180.377,0.000,0.000,0.000,0.000,923.627,598.292,0.000,0.000,0.000,220.296,0.000,0.000,0.000,0.000
2464,913.470,14464.957,14464.957,9307.397,5894.323,6238.185,1145.321,0.000,180.030,0.000,0.000,0.000,0.000,924.499,598.858,0.000,0.000,0.000,220.504,0.000,0.000,0.000,0.000
2465,913.847,14392.878,14392.878,9297.640,5885.633,6227.605,1144.836,0.000,179.685,0.000,0.000,0.000,0.000,925.376,599.425,0.000,0.000,0.000,220.713,0.000,0.000,0.000,0.000
2466,914.225,14592.881,14592.881,9287.296,5876.942,6216.374,1144.406,0.000,179.342,0.000,0.000,0.000,0.000,926.256,599.995,0.000,0.000,0.000,220.923,0.000,0.000,0.000,0.000
2467,914.603,14561.275,14561.275,9276.372,5868.251,6204.500,1144.030,0.000,179.001,0.000,0.000,0.000,0.000,927.139,600.567,0.000,0.000,0.000,221.134,0.000,0.000,0.000,0.000
2468,914.981,14449.356,14449.356,9264.875,5859.560,6191.995,1143.706,0.000,178.663,0.000,0.000,0.000,0.000,928.025,601.141,0.000,0.000,0.000,221.345,0.000,0.000,0.000,0.000
2469,915.358,14279.805,14279.805,9252.815,5850.870,6178.869,1143.432,0.000,178.327,0.000,0.000,0.000,0.000,928.914,601.717,0.000,0.000,0.000,221.557,0.000,0.000,0.000,0.000
2470,915.736,14088.868,14088.868,9240.201,5842.179,6165.133,1143.207,0.000,177.994,0.000,0.000,0.000,0.000,929.804,602.294,0.000,0.000,0.000,221.770,0.000,0.000,0.000,0.000
2471,916.114,14488.354,14488.354,9227.043,5833.488,6150.800,1143.029,0.000,177.663,0.000,0.000,0.000,0.000,930.697,602.872,0.000,0.000,0.000,221.983,0.000,0.000,0.000,0.000
2472,916.492,14197.971,14197.971,9213.351,5824.798,6135.881,1142.896,0.000,177.336,0.000,0.000,0.000,0.000,931.590,603.451,0.000,0.000,0.000,222.196,0.000,0.000,0.000,0.000
2473,916.870,14144.964,14144.964,9199.137,5816.107,6120.391,1142.808,0.000,177.012,0.000,0.000,0.000,0.000,932.485,604.031,0.000,0.000,0.000,222.409,0.000,0.000,0.000,0.000
2474,917.247,14514.055,14514.055,9184.411,5807.416,6104.343,1142.761,0.000,176.692,0.000,0.000,0.000,0.000,933.381,604.611,0.000,0.000,0.000,222.623,0.000,0.000,0.000,0.000
2475,917.625,14196.807,14196.807,9169.186,5798.726,6087.751,1142.756,0.000,176.375,0.000,0.000,0.000,0.000,934.276,605.191,0.000,0.000,0.000,222.836,0.000,0.000,0.000,0.000
2476,918.003,14370.511,14370.511,9153.474,5790.035,6070.629,1142.789,0.000,176.062,0.000,0.000,0.000,0.000,935.172,605.771,0.000,0.000,0.000,223.050,0.000,0.000,0.000,0.000
2477,918.381,14008.802,14008.802,9137.289,5781.344,6052.993,1142.861,0.000,175.753,0.000,0.000,0.000,0.000,936.067,606.351,0.000,0.000,0.000,223.264,0.000,0.000,0.000,0.000
2478,918.759,14013.123,14013.123,9120.643,5772.654,6034.858,1142.968,0.000,175.448,0.000,0.000,0.000,0.000,936.962,606.930,0.000,0.000,0.000,223.477,0.000,0.000,0.000,0.000
2479,919.136,14064.207,14064.207,9103.552,5763.963,6016.240,1143.110,0.000,175.147,0.000,0.000,0.000,0.000,937.856,607.509,0.000,0.000,0.000,223.690,0.000,0.000,0.000,0.000
2480,919.514,13990.876,13990.876,9086.028,5755.272,5997.155,1143.286,0.000,174.850,0.000,0.000,0.000,0.000,938.748,608.087,0.000,0.000,0.000,223.903,0.000,0.000,0.000,0.000
2481,919.892,13867.819,13867.819,9068.088,5746.581,5977.620,1143.493,0.000,174.557,0.000,0.000,0.000,0.000,939.638,608.664,0.000,0.000,0.000,224.115,0.000,0.000,0.000,0.000
2482,920.270,13953.047,13953.047,9049.745,5737.891,5957.653,1143.730,0.000,174.269,0.000,0.000,0.000,0.000,940.526,609.239,0.000,0.000,0.000,224.327,0.000,0.000,0.000,0.000
2483,920.648,13667.893,13667.893,9031.016,5729.200,5937.269,1143.997,0.000,173.986,0.000,0.000,0.000,0.000,941.412,609.813,0.000,0.000,0.000,224.538,0.000,0.000,0.000,0.000
2484,921.026,13741.126,13741.126,9011.916,5720.509,5916.488,1144.291,0.000,173.707,0.000,0.000,0.000,0.000,942.296,610.385,0.000,0.000,0.000,224.749,0.000,0.000,0.000,0.000
2485,921.403,13938.513,13938.513,8992.461,5711.819,5895.326,1144.612,0.000,173.433,0.000,0.000,0.000,0.000,943.176,610.956,0.000,0.000,0.000,224.959,0.000,0.000,0.000,0.000
2486,921.781,13619.592,13619.592,8972.668,5703.128,5873.802,1144.958,0.000,173.163,0.000,0.000,0.000,0.000,944.053,611.524,0.000,0.000,0.000,225.168,0.000,0.000,0.000,0.000
2487,922.159,13677.212,13677.212,8952.554,5694.437,5851.935,1145.327,0.000,172.899,0.000,0.000,0.000,0.000,944.926,612.090,0.000,0.000,0.000,225.376,0.000,0.000,0.000,0.000
2488,922.537,13293.111,13293.111,8932.135,5685.747,5829.743,1145.719,0.000,172.639,0.000,0.000,0.000,0.000,945.796,612.653,0.000,0.000,0.000,225.584,0.000,0.000,0.000,0.000
2489,922.915,13687.668,13687.668,8911.428,5677.056,5807.245,1146.133,0.000,172.385,0.000,0.000,0.000,0.000,946.662,613.214,0.000,0.000,0.000,225.790,0.000,0.000,0.000,0.000
2490,923.293,13438.905,13438.905,8890.451,5668.365,5784.460,1146.566,0.000,172.135,0.000,0.000,0.000,0.000,947.523,613.771,0.000,0.000,0.000,225.996,0.000,0.000,0.000,0.000
2491,923.670,13505.599,13505.599,8869.221,5659.675,5761.406,1147.019,0.000,171.890,0.000,0.000,0.000,0.000,948.379,614.326,0.000,0.000,0.000,226.200,0.000,0.000,0.000,0.000
2492,924.048,13383.278,13383.278,8847.755,5650.984,5738.103,1147.489,0.000,171.651,0.000,0.000,0.000,0.000,949.231,614.878,0.000,0.000,0.000,226.403,0.000,0.000,0.000,0.000
2493,924.426,13311.729,13311.729,8826.072,5642.293,5714.570,1147.976,0.000,171.416,0.000,0.000,0.000,0.000,950.078,615.426,0.000,0.000,0.000,226.605,0.000,0.000,0.000,0.000
2494,924.804,13311.513,13311.513,8804.189,5633.602,5690.827,1148.479,0.000,171.187,0.000,0.000,0.000,0.000,950.919,615.971,0.000,0.000,0.000,226.806,0.000,0.000,0.000,0.000
2495,925.182,13128.895,13128.895,8782.124,5624.912,5666.892,1148.997,0.000,170.962,0.000,0.000,0.000,0.000,951.755,616.513,0.000,0.000,0.000,227.005,0.000,0.000,0.000,0.000
2496,925.560,13022.280,13022.280,8759.895,5616.221,5642.785,1149.528,0.000,170.743,0.000,0.000,0.000,0.000,952.585,617.051,0.000,0.000,0.000,227.203,0.000,0.000,0.000,0.000
2497,925.938,12975.533,12975.533,8737.519,5607.530,5618.524,1150.072,0.000,170.529,0.000,0.000,0.000,0.000,953.409,617.585,0.000,0.000,0.000,227.400,0.000,0.000,0.000,0.000
2498,926.315,13040.614,13040.614,8715.015,5598.840,5594.130,1150.628,0.000,170.320,0.000,0.000,0.000,0.000,954.228,618.115,0.000,0.000,0.000,227.595,0.000,0.000,0.000,0.000
2499,926.693,12969.756,12969.756,8692.401,5590.149,5569.621,1151.195,0.000,170.116,0.000,0.000,0.000,0.000,955.040,618.641,0.000,0.000,0.000,227.789,0.000,0.000,0.000,0.000
2500,927.071,12943.832,12943.832,8669.693,5581.458,5545.016,1151.772,0.000,169.916,0.000,0.000,0.000,0.000,955.845,619.162,0.000,0.000,0.000,227.981,0.000,0.000,0.000,0.000
2501,927.449,12688.067,12688.067,8646.910,5572.768,5520.333,1152.358,0.000,169.722,0.000,0.000,0.000,0.000,956.644,619.680,0.000,0.000,0.000,228.171,0.000,0.000,0.000,0.000
2502,927.827,12559.665,12559.665,8624.069,5564.077,5495.592,1152.953,0.000,169.533,0.000,0.000,0.000,0.000,957.437,620.193,0.000,0.000,0.000,228.360,0.000,0.000,0.000,0.000
2503,928.205,12653.062,12653.062,8601.187,5555.386,5470.811,1153.556,0.000,169.349,0.000,0.000,0.000,0.000,958.222,620.702,0.000,0.000,0.000,228.548,0.000,0.000,0.000,0.000
2504,928.583,12641.748,12641.748,8578.282,5546.695,5446.007,1154.165,0.000,169.170,0.000,0.000,0.000,0.000,959.001,621.207,0.000,0.000,0.000,228.733,0.000,0.000,0.000,0.000
2505,928.961,12654.133,12654.133,8555.371,5538.005,5421.199,1154.781,0.000,168.995,0.000,0.000,0.000,0.000,959.773,621.706,0.000,0.000,0.000,228.918,0.000,0.000,0.000,0.000
2506,929.339,12344.273,12344.273,8532.470,5529.314,5396.404,1155.402,0.000,168.825,0.000,0.000,0.000,0.000,960.538,622.202,0.000,0.000,0.000,229.100,0.000,0.000,0.000,0.000
2507,929.716,12512.199,12512.199,8509.596,5520.623,5371.640,1156.028,0.000,168.660,0.000,0.000,0.000,0.000,961.295,622.693,0.000,0.000,0.000,229.281,0.000,0.000,0.000,0.000
2508,930.094,12274.981,12274.981,8486.764,5511.933,5346.923,1156.659,0.000,168.499,0.000,0.000,0.000,0.000,962.046,623.179,0.000,0.000,0.000,229.460,0.000,0.000,0.000,0.000
2509,930.472,12320.148,12320.148,8463.992,5503.242,5322.271,1157.293,0.000,168.343,0.000,0.000,0.000,0.000,962.789,623.660,0.000,0.000,0.000,229.637,0.000,0.000,0.000,0.000
2510,930.850,12246.052,12246.052,8441.295,5494.551,5297.700,1157.931,0.000,168.191,0.000,0.000,0.000,0.000,963.525,624.137,0.000,0.000,0.000,229.812,0.000,0.000,0.000,0.000
