ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Th-232,Rn-220,DE-2615,SE-2615,DE-1588,Xray-W,Backscatter,SE-1631,DE-1631,Xray-NaI,Esc-NaI,continuum
54,13.404,46.436,46.436,0.095,0.095,0.024,0.012,0.033,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.002,0.008,0.004,0.000,0.000,0.002,0.001,0.000
55,13.772,196.085,196.085,0.098,0.097,0.025,0.013,0.034,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.002,0.008,0.004,0.000,0.000,0.003,0.001,0.000
56,14.141,508.221,508.221,0.101,0.099,0.025,0.013,0.035,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.002,0.008,0.004,0.000,0.000,0.004,0.001,0.000
57,14.510,1130.463,1130.463,0.105,0.100,0.026,0.013,0.035,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.003,0.008,0.004,0.000,0.000,0.007,0.001,0.000
58,14.879,2178.938,2178.938,0.112,0.102,0.026,0.013,0.036,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.003,0.008,0.004,0.000,0.000,0.012,0.001,0.000
59,15.248,3501.759,3501.759,0.125,0.104,0.026,0.014,0.037,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.003,0.008,0.004,0.000,0.000,0.023,0.001,0.000
60,15.617,4761.095,4761.095,0.148,0.106,0.027,0.014,0.037,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.003,0.009,0.004,0.000,0.000,0.045,0.002,0.000
61,15.985,6153.435,6153.435,0.193,0.107,0.027,0.014,0.038,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.003,0.009,0.004,0.000,0.000,0.088,0.002,0.000
62,16.354,7260.612,7260.612,0.279,0.109,0.028,0.014,0.038,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.003,0.009,0.004,0.000,0.000,0.171,0.002,0.000
63,16.723,8367.266,8367.266,0.438,0.111,0.028,0.014,0.039,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.003,0.009,0.004,0.000,0.000,0.329,0.002,0.000
64,17.092,9468.665,9468.665,208.910,208.290,53.002,27.189,73.394,4.585,3.953,1.624,0.250,0.052,3.548,2.298,5.200,16.905,7.784,0.846,0.880,4.588,2.810,0.000
65,17.461,10262.501,10262.501,417.619,416.468,105.976,54.364,146.748,9.168,7.904,3.247,0.501,0.104,7.094,4.595,10.398,33.801,15.563,1.692,1.759,9.084,5.619,0.000
66,17.830,10817.027,10817.027,626.739,624.647,158.950,81.538,220.102,13.751,11.855,4.870,0.751,0.155,10.640,6.892,15.596,50.697,23.343,2.538,2.639,13.990,8.429,0.000
67,18.199,11130.837,11130.837,836.553,832.826,211.924,108.713,293.457,18.334,15.806,6.494,1.002,0.207,14.186,9.189,20.793,67.593,31.122,3.384,3.518,19.588,11.241,0.000
68,18.567,11406.337,11406.337,1047.513,1041.004,264.898,135.887,366.811,22.917,19.757,8.117,1.252,0.259,17.732,11.486,25.991,84.488,38.902,4.229,4.398,26.327,14.057,0.000
69,18.936,11425.403,11425.403,1260.319,1249.183,317.873,163.062,440.166,27.500,23.708,9.740,1.502,0.311,21.278,13.783,31.189,101.384,46.681,5.075,5.277,34.905,16.880,0.000
70,19.305,11812.066,11812.066,1476.031,1457.362,370.847,190.237,513.521,32.083,27.659,11.363,1.753,0.362,24.824,16.080,36.386,118.280,54.461,5.921,6.157,46.379,19.713,0.000
71,19.674,12028.958,12028.958,1696.214,1665.540,423.822,217.412,586.877,36.666,31.610,12.986,2.003,0.414,28.370,18.377,41.584,135.176,62.241,6.767,7.036,62.304,22.563,0.000
72,20.043,12060.241,12060.241,1923.103,1873.719,476.797,244.587,660.233,41.249,35.562,14.610,2.253,0.466,31.916,20.674,46.782,152.073,70.020,7.612,7.916,84.909,25.438,0.000
73,20.412,12323.655,12323.655,2159.811,2081.898,529.773,271.763,733.590,45.832,39.513,16.233,2.504,0.518,35.463,22.971,51.980,168.969,77.800,8.458,8.795,117.289,28.353,0.000
74,20.781,12621.706,12621.706,2410.537,2290.076,582.752,298.939,806.950,50.415,43.464,17.856,2.754,0.569,39.009,25.269,57.178,185.866,85.581,9.304,9.675,163.624,31.324,0.000
75,21.150,12555.665,12555.665,2680.770,2498.255,635.732,326.117,880.314,54.999,47.416,19.480,3.004,0.621,42.555,27.566,62.376,202.764,93.362,10.150,10.555,229.372,34.378,0.000
76,21.519,13362.422,13362.422,2977.436,2706.434,688.717,353.297,953.684,59.583,51.368,21.103,3.255,0.673,46.102,29.863,67.575,219.664,101.144,10.996,11.434,321.422,37.548,0.000
77,21.887,13517.939,13517.939,3308.958,2914.613,741.709,380.481,1027.063,64.167,55.320,22.727,3.505,0.725,49.649,32.161,72.774,236.565,108.928,11.842,12.314,448.143,40.876,0.000
78,22.256,13401.699,13401.699,3685.161,3122.791,794.710,407.670,1100.455,68.752,59.273,24.351,3.756,0.776,53.197,34.459,77.975,253.470,116.714,12.688,13.194,619.297,44.414,0.000
79,22.625,13840.265,13840.265,4116.963,3330.970,847.726,434.865,1173.867,73.339,63.227,25.975,4.006,0.828,56.746,36.758,83.176,270.379,124.505,13.535,14.074,845.720,48.226,0.000
80,22.994,13826.766,13826.766,4615.815,3539.149,900.761,462.072,1247.306,77.928,67.183,27.600,4.257,0.880,60.296,39.058,88.380,287.295,132.303,14.381,14.955,1138.769,52.382,0.000
81,23.363,14206.415,14206.415,5192.854,3747.327,953.825,489.292,1320.785,82.519,71.140,29.226,4.508,0.932,63.848,41.359,93.586,304.219,140.109,15.229,15.836,1509.472,56.958,0.000
82,23.732,14900.753,14900.753,5857.780,3955.506,1006.925,516.532,1394.315,87.114,75.101,30.853,4.759,0.984,67.403,43.661,98.796,321.155,147.930,16.076,16.717,1967.415,62.032,0.000
83,24.101,15177.390,15177.390,6617.528,4163.685,1060.075,543.796,1467.913,91.714,79.065,32.482,5.010,1.036,70.961,45.966,104.011,338.107,155.772,16.925,17.600,2519.408,67.675,0.000
84,24.470,15399.870,15399.870,7474.828,4371.863,1113.288,571.094,1541.598,96.322,83.034,34.112,5.261,1.088,74.523,48.273,109.232,355.079,163.642,17.775,18.483,3168.065,73.945,0.000
85,24.839,15597.303,15597.303,8426.833,4580.042,1166.580,598.431,1615.392,100.939,87.009,35.745,5.513,1.140,78.090,50.584,114.461,372.076,171.554,18.625,19.368,3910.437,80.876,0.000
86,25.208,16309.842,16309.842,9464.020,4788.221,1219.966,625.817,1689.318,105.569,90.990,37.381,5.766,1.192,81.664,52.899,119.699,389.104,179.521,19.478,20.254,4736.920,88.467,0.000
87,25.577,16476.567,16476.567,10569.560,4996.399,1273.466,653.261,1763.400,110.218,94.981,39.021,6.018,1.244,85.245,55.219,124.949,406.167,187.566,20.332,21.142,5630.638,96.677,0.000
88,25.946,16895.516,16895.516,11719.370,5204.578,1327.097,680.773,1837.664,114.891,98.981,40.664,6.272,1.296,88.835,57.544,130.211,423.273,195.714,21.188,22.033,6567.502,105.418,0.000
89,26.315,16780.063,16780.063,12882.949,5412.757,1380.874,708.359,1912.130,119.598,102.992,42.312,6.526,1.349,92.435,59.876,135.487,440.425,203.999,22.047,22.925,7517.051,114.549,0.000
90,26.684,16702.833,16702.833,14025.041,5620.935,1434.811,736.028,1986.818,124.354,107.014,43.964,6.781,1.402,96.045,62.215,140.779,457.628,212.461,22.908,23.821,8444.112,123.883,0.000
91,27.053,16830.874,16830.874,15108.025,5829.114,1488.917,763.783,2061.741,129.177,111.050,45.622,7.037,1.455,99.667,64.561,146.088,474.885,221.150,23.772,24.719,9311.186,133.198,0.000
92,27.422,16690.663,16690.663,16094.813,6037.293,1543.199,791.629,2136.906,134.099,115.099,47.285,7.293,1.508,103.300,66.914,151.414,492.198,230.124,24.638,25.620,10081.326,142.243,0.000
93,27.791,17025.012,17025.012,16951.936,6245.471,1597.655,819.563,2212.312,139.160,119.160,48.954,7.551,1.561,106.946,69.276,156.757,509.566,239.447,25.508,26.524,10721.212,150.766,0.000
94,28.160,16885.818,16885.818,17652.435,6453.650,1652.278,847.584,2287.951,144.421,123.234,50.628,7.809,1.614,110.602,71.644,162.117,526.988,249.193,26.380,27.431,11204.010,158.532,0.000
95,28.529,16775.012,16775.012,18178.194,6661.829,1707.058,875.685,2363.805,149.969,127.320,52.306,8.068,1.668,114.269,74.019,167.491,544.460,259.437,27.255,28.341,11511.680,165.343,0.000
96,28.898,16447.240,16447.240,18521.376,6870.008,1761.976,903.857,2439.852,155.921,131.416,53.989,8.327,1.721,117.945,76.401,172.880,561.976,270.256,28.131,29.253,11636.392,171.062,0.000
97,29.267,16363.547,16363.547,18684.798,7078.186,1817.012,932.089,2516.061,162.441,135.521,55.675,8.587,1.775,121.629,78.787,178.280,579.529,281.722,29.010,30.166,11580.868,175.623,0.000
98,29.636,16120.856,16120.856,18681.188,7286.365,1872.140,960.369,2592.399,169.745,139.632,57.365,8.848,1.829,125.320,81.178,183.689,597.112,293.892,29.890,31.082,11357.633,179.043,0.000
99,30.005,16376.800,16376.800,18531.470,7494.544,1927.337,988.683,2668.831,178.119,143.749,59.056,9.109,1.883,129.014,83.571,189.104,614.717,306.808,30.772,31.998,10987.280,181.415,0.000
100,30.374,15905.261,15905.261,18262.331,7702.722,1982.576,1017.020,2745.322,187.931,147.869,60.749,9.370,1.937,132.712,85.966,194.524,632.336,320.482,31.653,32.915,10496.044,182.900,0.000
101,30.743,16033.881,16033.881,17903.436,7910.901,2037.835,1045.367,2821.840,199.640,151.991,62.442,9.631,1.991,136.411,88.362,199.946,649.960,334.891,32.536,33.832,9913.024,183.713,0.000
102,31.112,15821.538,15821.538,17484.682,8119.080,2093.092,1073.712,2898.356,213.814,156.112,64.135,9.892,2.045,140.110,90.758,205.368,667.584,349.971,33.418,34.750,9267.448,184.092,0.000
103,31.481,15731.264,15731.264,17033.829,8327.258,2148.330,1102.048,2974.846,231.128,160.232,65.827,10.153,2.099,143.807,93.153,210.788,685.202,365.613,34.300,35.667,8586.326,184.285,0.000
104,31.850,15764.210,15764.210,16574.765,8535.437,2203.535,1130.367,3051.290,252.370,164.349,67.519,10.414,2.153,147.503,95.547,216.204,702.810,381.657,35.181,36.583,7892.740,184.516,0.000
105,32.219,15421.306,15421.306,16126.530,8743.616,2258.698,1158.665,3127.675,278.427,168.464,69.209,10.675,2.207,151.195,97.939,221.617,720.404,397.900,36.062,37.499,7204.894,184.974,0.000
106,32.588,15433.186,15433.186,15703.095,8951.794,2313.811,1186.937,3203.992,310.267,172.574,70.898,10.935,2.260,154.885,100.329,227.024,737.982,414.098,36.942,38.414,6535.920,185.799,0.000
107,32.957,15414.105,15414.105,15313.774,9159.973,2368.871,1215.181,3280.235,348.902,176.681,72.585,11.195,2.314,158.570,102.716,232.426,755.543,429.977,37.821,39.328,5894.320,187.079,0.000
108,33.326,15467.791,15467.791,14964.069,9368.152,2423.876,1243.398,3356.401,395.337,180.783,74.270,11.455,2.368,162.252,105.101,237.823,773.087,445.250,38.699,40.242,5284.841,188.856,0.000
109,33.695,15384.348,15384.348,14656.720,9576.330,2478.826,1271.585,3432.491,450.506,184.882,75.954,11.715,2.422,165.931,107.484,243.215,790.612,459.632,39.576,41.154,4709.566,191.140,0.000
