ch,keV,net,fit,model,continuum_raw,Y-88
707,2105.124,0.000,-1.600,0.000,0.000,0.000
708,2108.121,0.533,0.533,0.000,0.000,0.000
709,2111.116,1.067,1.067,0.000,0.000,0.000
710,2114.112,0.000,-0.600,0.000,0.000,0.000
711,2117.107,2.000,2.000,0.000,0.000,0.000
712,2120.101,0.000,-0.133,0.000,0.000,0.000
713,2123.095,2.933,2.933,0.000,0.000,0.000
714,2126.089,2.267,2.267,0.000,0.000,0.000
715,2129.082,0.000,-0.733,0.000,0.000,0.000
716,2132.075,0.000,-2.733,0.000,0.000,0.000
717,2135.067,0.000,-1.067,0.000,0.000,0.000
718,2138.059,2.933,2.933,0.000,0.000,0.000
719,2141.050,2.467,2.467,0.000,0.000,0.000
720,2144.041,0.000,-1.533,0.000,0.000,0.000
721,2147.032,1.000,1.000,0.000,0.000,0.000
722,2150.022,3.467,3.467,0.000,0.000,0.000
723,2153.012,0.000,0.000,0.000,0.000,0.000
724,2156.001,1.200,1.200,0.000,0.000,0.000
725,2158.990,0.000,-0.600,0.000,0.000,0.000
726,2161.978,0.000,-0.067,0.000,0.000,0.000
727,2164.966,2.133,2.133,0.000,0.000,0.000
728,2167.953,0.000,-1.600,0.000,0.000,0.000
729,2170.940,0.000,-1.867,0.000,0.000,0.000
730,2173.927,0.200,0.200,0.000,0.000,0.000
731,2176.913,0.000,-1.000,0.000,0.000,0.000
732,2179.898,4.000,4.000,0.000,0.000,0.000
733,2182.883,0.000,-0.267,0.000,0.000,0.000
734,2185.868,0.600,0.600,0.000,0.000,0.000
735,2188.852,0.000,-1.667,0.000,0.000,0.000
736,2191.835,0.000,-1.933,0.000,0.000,0.000
737,2194.819,2.067,2.067,0.000,0.000,0.000
738,2197.801,0.000,-1.667,0.000,0.000,0.000
739,2200.783,2.533,2.533,0.000,0.000,0.000
740,2203.765,0.733,0.733,0.000,0.000,0.000
741,2206.746,0.000,-0.533,0.000,0.000,0.000
742,2209.727,1.133,1.133,0.000,0.000,0.000
743,2212.707,1.533,1.533,0.000,0.000,0.000
744,2215.687,0.133,0.133,0.000,0.000,0.000
745,2218.667,0.000,-1.000,0.000,0.000,0.000
746,2221.645,2.667,2.667,0.000,0.000,0.000
747,2224.624,0.000,-3.267,0.000,0.000,0.000
748,2227.601,0.000,-0.467,0.000,0.000,0.000
749,2230.579,1.733,1.733,0.000,0.000,0.000
750,2233.556,0.333,0.333,0.000,0.000,0.000
751,2236.532,3.267,3.267,0.000,0.000,0.000
752,2239.508,0.867,0.867,0.000,0.000,0.000
753,2242.483,0.000,-0.600,0.000,0.000,0.000
754,2245.458,0.000,-2.400,0.000,0.000,0.000
755,2248.432,0.000,-1.200,0.000,0.000,0.000
756,2251.406,0.000,-1.933,0.000,0.000,0.000
757,2254.379,0.000,-2.800,0.000,0.000,0.000
758,2257.352,2.067,2.067,0.000,0.000,0.000
759,2260.324,1.667,1.667,0.000,0.000,0.000
760,2263.296,0.000,-1.667,0.000,0.000,0.000
761,2266.267,0.267,0.267,0.000,0.000,0.000
762,2269.238,2.867,2.867,0.000,0.000,0.000
763,2272.208,0.000,-2.800,0.000,0.000,0.000
764,2275.177,2.267,2.267,0.000,0.000,0.000
765,2278.147,2.733,2.733,0.000,0.000,0.000
766,2281.115,0.000,-1.867,0.000,0.000,0.000
767,2284.083,0.000,-0.467,0.000,0.000,0.000
768,2287.051,0.467,0.467,0.000,0.000,0.000
769,2290.018,4.467,4.467,0.000,0.000,0.000
770,2292.984,0.000,-1.333,0.000,0.000,0.000
771,2295.950,0.000,-0.067,0.000,0.000,0.000
772,2298.915,0.000,-2.267,0.000,0.000,0.000
773,2301.880,0.000,-3.733,0.000,0.000,0.000
774,2304.845,0.000,-0.533,0.000,0.000,0.000
775,2307.808,0.000,-3.400,0.000,0.000,0.000
776,2310.772,0.200,0.200,0.000,0.000,0.000
777,2313.734,0.467,0.467,0.000,0.000,0.000
778,2316.696,0.000,-0.333,0.000,0.000,0.000
779,2319.658,0.600,0.600,0.000,0.000,0.000
780,2322.619,0.000,-1.467,0.000,0.000,0.000
781,2325.579,0.000,-0.067,0.000,0.000,0.000
782,2328.539,0.067,0.067,0.000,0.000,0.000
783,2331.498,0.000,-1.067,0.000,0.000,0.000
784,2334.457,0.000,-2.667,0.000,0.000,0.000
785,2337.415,0.000,-0.333,0.000,0.000,0.000
786,2340.373,1.133,1.133,0.000,0.000,0.000
787,2343.330,0.000,-0.800,0.000,0.000,0.000
788,2346.287,0.467,0.467,0.000,0.000,0.000
789,2349.243,0.000,-2.133,0.000,0.000,0.000
790,2352.198,0.000,-1.667,0.000,0.000,0.000
791,2355.153,0.000,-1.067,0.000,0.000,0.000
792,2358.107,0.000,-0.067,0.000,0.000,0.000
793,2361.060,0.000,-0.733,0.000,0.000,0.000
794,2364.014,0.000,-0.200,0.000,0.000,0.000
795,2366.966,1.333,1.333,0.000,0.000,0.000
796,2369.918,0.000,-0.333,0.000,0.000,0.000
797,2372.869,2.000,2.000,0.000,0.000,0.000
798,2375.820,0.000,-1.067,0.000,0.000,0.000
799,2378.770,0.733,0.733,0.000,0.000,0.000
800,2381.720,0.000,-0.267,0.000,0.000,0.000
801,2384.669,0.000,-0.867,0.000,0.000,0.000
802,2387.617,0.000,-0.133,0.000,0.000,0.000
803,2390.565,0.000,-1.333,0.000,0.000,0.000
804,2393.512,1.267,1.267,0.000,0.000,0.000
805,2396.458,0.867,0.867,0.000,0.000,0.000
806,2399.404,1.200,1.200,0.000,0.000,0.000
807,2402.350,0.000,-0.933,0.000,0.000,0.000
808,2405.294,0.867,0.867,0.000,0.000,0.000
809,2408.239,0.000,-0.600,0.000,0.000,0.000
810,2411.182,0.000,-1.467,0.000,0.000,0.000
811,2414.125,0.000,-2.533,0.000,0.000,0.000
812,2417.067,1.467,1.467,0.000,0.000,0.000
813,2420.009,0.000,-1.400,0.000,0.000,0.000
814,2422.950,0.000,-0.733,0.000,0.000,0.000
815,2425.891,0.000,-0.667,0.000,0.000,0.000
816,2428.830,0.000,-0.867,0.000,0.000,0.000
817,2431.770,0.000,-0.933,0.000,0.000,0.000
818,2434.708,1.333,1.333,0.000,0.000,0.000
819,2437.646,0.000,-0.133,0.000,0.000,0.000
820,2440.584,1.600,1.600,0.000,0.000,0.000
821,2443.520,0.000,-1.133,0.000,0.000,0.000
822,2446.456,3.333,3.333,0.000,0.000,0.000
823,2449.392,0.000,-1.000,0.000,0.000,0.000
824,2452.327,0.000,-1.733,0.000,0.000,0.000
825,2455.261,0.000,-1.533,0.000,0.000,0.000
826,2458.194,1.133,1.133,0.000,0.000,0.000
827,2461.127,1.067,1.067,0.000,0.000,0.000
828,2464.060,0.000,-0.133,0.000,0.000,0.000
829,2466.991,0.000,-1.133,0.000,0.000,0.000
830,2469.922,0.000,-2.067,0.000,0.000,0.000
831,2472.853,0.867,0.867,0.000,0.000,0.000
832,2475.782,0.000,-0.733,0.000,0.000,0.000
833,2478.711,1.133,1.133,0.000,0.000,0.000
834,2481.640,0.000,-0.333,0.000,0.000,0.000
835,2484.568,3.067,3.067,0.000,0.000,0.000
836,2487.495,2.200,2.200,0.000,0.000,0.000
837,2490.421,0.000,-0.267,0.000,0.000,0.000
838,2493.347,1.933,1.933,0.000,0.000,0.000
839,2496.272,0.200,0.200,0.000,0.000,0.000
840,2499.196,0.000,-0.467,0.000,0.000,0.000
841,2502.120,1.000,1.000,0.000,0.000,0.000
842,2505.043,0.000,-0.400,0.000,0.000,0.000
843,2507.966,1.400,1.400,0.000,0.000,0.000
844,2510.887,0.267,0.267,0.000,0.000,0.000
845,2513.809,5.600,5.600,0.000,0.000,0.000
846,2516.729,1.933,1.933,0.000,0.000,0.000
847,2519.649,0.000,-0.067,0.000,0.000,0.000
848,2522.568,1.933,1.933,0.000,0.000,0.000
849,2525.486,0.000,-0.667,0.000,0.000,0.000
