ch,keV,net,fit,model,continuum_raw,Lu-176,Xray-Lu
38,9.185,2170.365,2170.365,459.115,459.115,452.330,6.785
39,9.553,2205.661,2205.661,508.844,508.844,501.325,7.519
40,9.922,2255.257,2255.257,566.675,566.675,558.301,8.374
41,10.291,2352.789,2352.789,633.558,633.558,624.196,9.362
42,10.660,2418.391,2418.391,710.457,710.457,699.958,10.499
43,11.029,2290.879,2290.879,798.326,798.326,786.528,11.797
44,11.397,2257.090,2257.090,898.085,898.085,884.813,13.271
45,11.766,2267.908,2267.908,1010.592,1010.592,995.658,14.934
46,12.135,2296.127,2296.127,1136.604,1136.604,1119.808,16.796
47,12.504,2193.692,2193.692,1276.730,1276.730,1257.863,18.867
48,12.873,2095.618,2095.618,1431.372,1431.371,1410.220,21.152
49,13.242,2162.883,2162.883,1600.654,1600.654,1577.001,23.654
50,13.611,2083.277,2083.277,1784.352,1784.352,1757.984,26.368
51,13.980,2049.257,2049.257,1981.808,1981.807,1952.522,29.286
52,14.349,2070.149,2070.149,2191.859,2191.858,2159.469,32.390
53,14.718,2005.919,2005.919,2412.775,2412.773,2377.120,35.655
54,15.086,2189.637,2189.637,2642.220,2642.216,2603.174,39.046
55,15.455,2281.024,2281.024,2877.246,2877.239,2834.726,42.520
56,15.824,2367.242,2367.242,3114.321,3114.311,3068.298,46.024
57,16.193,2451.879,2451.879,3349.411,3349.395,3299.912,49.499
58,16.563,2476.031,2476.031,3578.085,3578.060,3525.205,52.880
59,16.932,2662.769,2662.769,3795.677,3795.639,3739.580,56.098
60,17.301,2862.908,2862.908,3997.469,3997.411,3938.385,59.083
61,17.670,2986.712,2986.712,4178.884,4178.796,4117.115,61.769
62,18.039,3171.877,3171.877,4335.702,4335.570,4271.608,64.094
63,18.408,3316.314,3316.314,4464.245,4464.051,4398.242,66.004
64,18.777,3508.914,3508.914,4565.841,4565.555,4498.322,67.519
65,19.146,3683.699,3683.699,4634.112,4633.695,4565.564,68.548
66,19.515,3978.538,3978.538,4667.913,4667.313,4598.840,69.074
67,19.884,3983.380,3983.380,4667.107,4666.249,4598.009,69.097
68,20.254,4220.539,4220.539,4632.553,4631.338,4563.919,68.634
69,20.623,4225.461,4225.461,4566.065,4564.361,4498.351,67.714
70,20.992,4522.739,4522.739,4470.314,4467.945,4403.934,66.380
71,21.361,4521.778,4521.778,4348.698,4345.436,4284.011,64.686
72,21.730,4581.534,4581.534,4205.185,4200.734,4142.488,62.697
73,22.100,4639.996,4639.996,4044.134,4038.116,3983.652,60.482
74,22.469,4710.336,4710.336,3870.107,3862.043,3811.993,58.114
75,22.838,4539.804,4539.804,3687.683,3676.975,3632.016,55.668
76,23.208,4525.901,4525.901,3501.285,3487.193,3448.070,53.215
77,23.577,4505.077,4505.077,3315.020,3296.640,3264.198,50.822
78,23.946,4420.310,4420.310,3132.553,3108.794,3084.004,48.550
79,24.316,4345.428,4345.428,2957.009,2926.567,2910.559,46.449
80,24.685,4290.888,4290.888,2790.904,2752.242,2746.342,44.561
81,25.054,4066.699,4066.699,2636.124,2587.452,2593.207,42.916
82,25.424,3895.470,3895.470,2493.926,2433.183,2452.394,41.532
83,25.793,3896.347,3896.347,2364.978,2289.823,2324.561,40.417
84,26.162,3788.870,3788.870,2249.418,2157.226,2209.852,39.566
85,26.532,3587.286,3587.286,2146.938,2034.805,2107.970,38.967
86,26.901,3494.809,3494.809,2056.878,1921.637,2018.279,38.599
87,27.271,3291.286,3291.286,1978.328,1816.572,1939.896,38.432
88,27.640,3224.338,3224.338,1910.220,1718.342,1871.787,38.433
89,28.010,2938.044,2938.044,1851.427,1625.667,1812.862,38.565
90,28.379,3064.395,3064.395,1800.834,1537.338,1762.044,38.790
91,28.749,2989.451,2989.451,1757.405,1452.297,1718.335,39.070
92,29.118,2837.569,2837.569,1720.226,1369.681,1680.858,39.368
93,29.488,2810.277,2810.277,1688.533,1288.861,1648.880,39.653
94,29.857,2694.273,2694.273,1661.718,1209.449,1621.822,39.896
95,30.227,2665.919,2665.919,1639.331,1131.293,1599.254,40.077
96,30.597,2698.215,2698.215,1621.056,1054.454,1580.875,40.182
97,30.966,2619.328,2619.328,1606.693,979.176,1566.491,40.202
98,31.336,2507.978,2507.978,1596.124,905.834,1555.985,40.139
99,31.705,2480.387,2480.387,1589.285,834.901,1549.285,40.000
100,32.075,2399.505,2399.505,1586.140,766.888,1546.338,39.802
101,32.445,2322.389,2322.389,1586.658,702.310,1547.090,39.567
102,32.814,2292.330,2292.330,1590.793,641.643,1551.468,39.325
103,33.184,2266.684,2266.684,1598.479,585.294,1559.370,39.109
104,33.554,2202.747,2202.747,1609.626,533.580,1570.666,38.960
105,33.923,2138.029,2138.029,1624.125,486.709,1585.205,38.921
106,34.293,2059.156,2059.156,1641.860,444.782,1602.821,39.039
107,34.663,2028.679,2028.679,1662.719,407.788,1623.355,39.364
108,35.033,1989.033,1989.033,1686.614,375.617,1646.666,39.949
109,35.403,1958.448,1958.448,1713.499,348.069,1672.652,40.847
110,35.772,2001.512,2001.512,1743.386,324.873,1701.269,42.116
111,36.142,1957.503,1957.503,1776.361,305.703,1732.546,43.815
112,36.512,1881.864,1881.864,1812.602,290.195,1766.597,46.005
113,36.882,1810.681,1810.681,1852.384,277.966,1803.631,48.753
114,37.252,1868.626,1868.626,1896.090,268.628,1843.960,52.130
115,37.621,1913.154,1913.154,1944.211,261.801,1888.001,56.210
116,37.991,1882.806,1882.806,1997.353,257.124,1936.276,61.077
117,38.361,1905.158,1905.158,2056.230,254.262,1989.410,66.821
118,38.731,1973.571,1973.571,2121.661,252.911,2048.122,73.539
119,39.101,1852.508,1852.508,2194.561,252.801,2113.221,81.340
120,39.471,1872.046,1872.046,2275.937,253.696,2185.597,90.340
121,39.841,1866.809,1866.809,2366.870,255.396,2266.206,100.664
122,40.211,1993.453,1993.453,2468.507,257.730,2356.060,112.447
123,40.581,1942.101,1942.101,2582.040,260.560,2456.210,125.830
124,40.951,1924.927,1924.927,2708.693,263.771,2567.733,140.959
125,41.321,2005.516,2005.516,2849.695,267.272,2691.709,157.986
126,41.691,2071.873,2071.873,3006.259,270.991,2829.200,177.059
127,42.061,2065.815,2065.815,3179.554,274.871,2981.231,198.324
128,42.431,2192.284,2192.284,3370.673,278.869,3148.756,221.916
129,42.801,2223.055,2223.055,3580.597,282.952,3332.638,247.959
130,43.171,2300.991,2300.991,3810.163,287.097,3533.610,276.553
131,43.541,2305.461,2305.461,4060.022,291.285,3752.248,307.775
132,43.911,2472.281,2472.281,4330.601,295.504,3988.934,341.667
133,44.282,2656.697,2656.697,4622.058,299.743,4243.825,378.232
134,44.652,2695.644,2695.644,4934.250,303.996,4516.819,417.431
135,45.022,2894.758,2894.758,5266.695,308.259,4807.525,459.170
136,45.392,3083.112,3083.112,5618.537,312.528,5115.235,503.302
137,45.762,3389.760,3389.760,5988.524,316.802,5438.905,549.620
138,46.132,3497.462,3497.462,6377.612,323.698,5779.719,597.892
139,46.503,3907.760,3907.760,6781.090,330.595,6133.336,647.754
140,46.873,4089.292,4089.292,7196.450,337.494,6497.633,698.817
141,47.243,4518.648,4518.648,7620.776,344.394,6870.140,750.636
142,47.613,4890.292,4890.292,8050.772,351.294,7248.055,802.717
143,47.984,5331.938,5331.938,8482.801,358.194,7628.279,854.522
144,48.354,5832.466,5832.466,8912.935,365.094,8007.452,905.483
145,48.724,6405.171,6405.171,9337.022,371.995,8382.013,955.008
146,49.095,6944.167,6944.167,9750.753,378.895,8748.253,1002.500
147,49.465,7364.461,7364.461,10149.754,385.796,9102.386,1047.369
148,49.835,8231.818,8231.818,10529.667,392.696,9440.622,1089.044
149,50.206,8847.050,8847.050,10886.245,399.597,9759.251,1126.994
150,50.576,9543.695,9543.695,11215.450,406.497,10054.714,1160.736
151,50.946,10160.578,10160.578,11513.542,413.398,10323.687,1189.855
152,51.317,10877.464,10877.464,11777.166,420.299,10563.158,1214.009
153,51.687,11359.927,11359.927,12003.433,427.199,10770.491,1232.943
154,52.058,12118.991,12118.991,12189.987,434.100,10943.492,1246.495
155,52.428,12880.459,12880.459,12335.058,441.000,11080.458,1254.600
156,52.799,13425.272,13425.272,12437.505,447.901,11180.214,1257.291
157,53.169,13958.046,13958.046,12496.831,454.802,11242.135,1254.696
158,53.540,14291.637,14291.637,12513.196,461.702,11266.161,1247.035
159,53.910,14832.218,14832.218,12487.392,468.603,11252.784,1234.608
160,54.281,14887.574,14887.574,12420.822,475.503,11203.034,1217.787
161,54.651,15217.455,15217.455,12315.442,482.404,11118.438,1197.005
162,55.022,15346.283,15346.283,12173.708,489.305,11000.973,1172.734
163,55.392,15498.283,15498.283,11998.493,496.205,10853.013,1145.480
164,55.763,15296.402,15296.402,11793.011,503.106,10677.253,1115.758
165,56.134,15281.695,15281.695,11560.723,510.006,10476.641,1084.081
166,56.504,15224.279,15224.279,11305.244,516.907,10254.298,1050.946
167,56.875,14807.040,14807.040,11030.258,523.808,10013.440,1016.818
168,57.245,14605.633,14605.633,10739.424,530.708,9757.303,982.121
169,57.616,14283.631,14283.631,10436.298,537.609,9489.069,947.230
170,57.987,13724.398,13724.398,10124.264,544.509,9211.801,912.462
171,58.357,13434.050,13434.050,9806.466,551.410,8928.389,878.077
172,58.728,13049.281,13049.281,9485.770,558.311,8641.500,844.271
173,59.099,12444.516,12444.516,9164.724,565.211,8353.541,811.182
174,59.470,11937.690,11937.690,8845.536,572.112,8066.641,778.895
175,59.840,11612.750,11612.750,8530.071,579.012,7782.629,747.442
176,60.211,10974.932,10974.932,8219.853,585.913,7503.037,716.816
177,60.582,10608.875,10608.875,7916.081,592.814,7229.107,686.973
178,60.953,10020.875,10020.875,7619.653,599.714,6961.806,657.848
179,61.324,9693.407,9693.407,7331.202,606.615,6701.846,629.356
180,61.694,9401.642,9401.642,7051.126,613.515,6449.720,601.407
181,62.065,8934.701,8934.701,6779.636,620.416,6205.725,573.911
182,62.436,8442.178,8442.178,6516.792,627.317,5970.005,546.787
183,62.807,8232.765,8232.765,6262.544,634.217,5742.577,519.966
184,63.178,7736.347,7736.347,6016.771,641.118,5523.372,493.399
185,63.549,7406.879,7406.879,5779.315,648.018,5312.260,467.056
186,63.920,7043.829,7043.829,5550.007,654.919,5109.078,440.929
187,64.290,6871.714,6871.714,5328.691,661.820,4913.656,415.035
188,64.661,6481.892,6481.892,5115.244,668.720,4725.834,389.410
189,65.032,6205.127,6205.127,4909.584,675.621,4545.473,364.111
190,65.403,6085.661,6085.661,4711.677,682.521,4372.468,339.209
191,65.774,5632.899,5632.899,4521.537,689.422,4206.748,314.788
192,66.145,5411.956,5411.956,4339.223,696.323,4048.282,290.942
193,66.516,5201.899,5201.899,4164.833,703.223,3897.068,267.765
194,66.887,4841.495,4841.495,3998.492,710.124,3753.136,245.356
195,67.258,4655.607,4655.607,3840.340,717.024,3616.534,223.806
196,67.629,4661.734,4661.734,3690.524,723.925,3487.323,203.200
197,68.001,4267.321,4267.321,3549.181,730.826,3365.566,183.615
198,68.372,4020.738,4020.738,3416.430,737.726,3251.318,165.112
199,68.743,3990.035,3990.035,3292.362,744.627,3144.622,147.740
200,69.114,3695.982,3695.982,3177.028,751.527,3045.496,131.532
201,69.485,3571.108,3571.108,3070.438,758.428,2953.931,116.507
202,69.856,3466.807,3466.807,2972.553,765.329,2869.886,102.667
203,70.227,3262.358,3262.358,2883.286,772.229,2793.284,90.001
204,70.598,3280.538,3280.538,2802.499,779.130,2724.015,78.485
205,70.970,3019.062,3019.062,2730.010,786.030,2661.930,68.080
206,71.341,3110.558,3110.558,2665.593,792.931,2606.852,58.740
207,71.712,2919.606,2919.606,2608.982,799.832,2558.571,50.411
208,72.083,2822.380,2822.380,2559.882,806.732,2516.852,43.030
209,72.455,2796.752,2796.752,2517.972,813.633,2481.440,36.532
210,72.826,2846.508,2846.508,2482.913,820.533,2452.065,30.847
211,73.197,2814.628,2814.628,2454.352,827.434,2428.447,25.905
212,73.568,2677.822,2677.822,2431.934,834.335,2410.297,21.637
213,73.940,2709.466,2709.466,2415.303,841.235,2397.330,17.973
214,74.311,2714.123,2714.123,2404.108,848.136,2389.261,14.848
215,74.682,2653.595,2653.595,2398.009,855.036,2385.811,12.198
216,75.054,2653.894,2653.894,2396.679,861.937,2386.712,9.967
217,75.425,2683.189,2683.189,2399.804,868.838,2391.705,8.099
218,75.796,2645.560,2645.560,2407.087,875.738,2400.542,6.545
219,76.168,2643.365,2643.365,2418.247,882.639,2412.987,5.260
220,76.539,2685.677,2685.677,2433.018,889.539,2428.815,4.204
221,76.911,2524.969,2524.969,2451.148,896.440,2447.807,3.341
222,77.282,2632.200,2632.200,2472.396,903.341,2469.755,2.641
223,77.654,2641.440,2641.440,2496.528,910.241,2494.453,2.076
224,78.025,2583.389,2583.389,2523.319,917.142,2521.696,1.623
225,78.397,2521.378,2521.378,2552.543,924.042,2551.282,1.261
226,78.768,2526.193,2526.193,2583.976,930.943,2583.001,0.975
227,79.140,2495.848,2495.848,2617.387,937.843,2616.638,0.750
228,79.511,2610.435,2610.435,2652.542,944.744,2651.969,0.573
229,79.883,2679.382,2679.382,2689.193,951.645,2688.758,0.436
230,80.254,2657.138,2657.138,2727.086,958.545,2726.756,0.329
231,80.626,2653.138,2653.138,2765.949,965.446,2765.702,0.248
232,80.997,2669.426,2669.426,2805.501,972.346,2805.316,0.185
233,81.369,2705.246,2705.246,2845.446,979.247,2845.308,0.138
234,81.741,2655.257,2655.257,2885.473,986.148,2885.371,0.102
235,82.112,2756.650,2756.650,2925.263,993.048,2925.188,0.075
236,82.484,2848.055,2848.055,2964.487,999.949,2964.432,0.055
237,82.855,2864.765,2864.765,3002.808,1006.849,3002.769,0.040
238,83.227,2958.057,2958.057,3039.889,1013.750,3039.860,0.029
239,83.599,2961.121,2961.121,3075.391,1020.651,3075.370,0.021
240,83.971,2968.349,2968.349,3108.983,1027.551,3108.968,0.015
241,84.342,3091.989,3091.989,3140.342,1034.452,3140.331,0.011
242,84.714,3235.523,3235.523,3169.161,1041.352,3169.154,0.007
243,85.086,3175.158,3175.158,3195.155,1048.253,3195.150,0.005
244,85.457,3360.747,3360.747,3218.060,1055.154,3218.056,0.004
245,85.829,3418.745,3418.745,3237.645,1062.054,3237.642,0.003
246,86.201,3440.745,3440.745,3253.711,1068.955,3253.709,0.002
247,86.573,3500.152,3500.152,3266.097,1075.855,3266.096,0.001
248,86.945,3384.855,3384.855,3260.634,1068.707,3260.633,0.001
249,87.317,3506.571,3506.571,3251.294,1061.558,3251.294,0.001
250,87.688,3620.798,3620.798,3238.046,1054.409,3238.046,0.000
251,88.060,3594.084,3594.084,3220.904,1047.260,3220.904,0.000
252,88.432,3622.795,3622.795,3199.929,1040.112,3199.929,0.000
253,88.804,3662.550,3662.550,3175.225,1032.963,3175.225,0.000
254,89.176,3520.431,3520.431,3146.941,1025.814,3146.941,0.000
255,89.548,3623.314,3623.314,3115.266,1018.665,3115.266,0.000
256,89.920,3618.853,3618.853,3080.428,1011.516,3080.428,0.000
257,90.292,3457.549,3457.549,3042.686,1004.368,3042.686,0.000
258,90.664,3579.613,3579.613,3002.330,997.219,3002.330,0.000
259,91.036,3529.901,3529.901,2959.673,990.070,2959.673,0.000
260,91.408,3396.899,3396.899,2915.047,982.921,2915.047,0.000
261,91.780,3349.130,3349.130,2868.795,975.773,2868.795,0.000
262,92.152,3301.947,3301.947,2821.270,968.624,2821.270,0.000
263,92.524,3180.072,3180.072,2772.825,961.475,2772.825,0.000
264,92.896,3142.894,3142.894,2723.811,954.326,2723.811,0.000
265,93.268,3076.888,3076.888,2674.569,947.177,2674.569,0.000
266,93.640,2990.299,2990.299,2625.427,940.029,2625.427,0.000
267,94.012,2798.360,2798.360,2576.696,932.880,2576.696,0.000
268,94.384,2681.945,2681.945,2528.666,925.731,2528.666,0.000
269,94.756,2548.938,2548.938,2481.603,918.582,2481.603,0.000
270,95.128,2410.995,2410.995,2435.746,911.434,2435.746,0.000
271,95.501,2403.053,2403.053,2391.308,904.285,2391.308,0.000
272,95.873,2278.872,2278.872,2348.470,897.136,2348.470,0.000
273,96.245,2223.121,2223.121,2307.387,889.987,2307.387,0.000
274,96.617,2045.048,2045.048,2268.182,882.838,2268.182,0.000
275,96.989,2049.290,2049.290,2230.951,875.690,2230.951,0.000
276,97.362,1950.578,1950.578,2195.763,868.541,2195.763,0.000
277,97.734,1909.286,1909.286,2162.660,861.392,2162.660,0.000
278,98.106,1827.750,1827.750,2131.662,854.243,2131.662,0.000
279,98.478,1794.930,1794.930,2102.765,847.095,2102.765,0.000
280,98.851,1681.040,1681.040,2075.947,839.946,2075.947,0.000
281,99.223,1508.459,1508.459,2051.171,832.797,2051.171,0.000
282,99.595,1603.626,1603.626,2028.383,825.648,2028.383,0.000
283,99.968,1592.332,1592.332,2007.518,818.499,2007.518,0.000
284,100.340,1523.215,1523.215,1988.502,811.351,1988.502,0.000
285,100.712,1473.749,1473.749,1971.253,804.202,1971.253,0.000
286,101.085,1354.747,1354.747,1955.686,797.053,1955.686,0.000
287,101.457,1362.571,1362.571,1941.710,789.904,1941.710,0.000
288,101.830,1331.042,1331.042,1929.236,782.756,1929.236,0.000
289,102.202,1362.622,1362.622,1918.173,775.607,1918.173,0.000
290,102.574,1397.149,1397.149,1908.431,768.458,1908.431,0.000
291,102.947,1347.446,1347.446,1899.923,761.309,1899.923,0.000
292,103.319,1378.330,1378.330,1892.567,754.161,1892.567,0.000
293,103.692,1401.501,1401.501,1886.283,747.012,1886.283,0.000
294,104.064,1382.391,1382.391,1880.996,739.863,1880.996,0.000
295,104.437,1375.149,1375.149,1876.636,732.714,1876.636,0.000
296,104.809,1314.861,1314.861,1873.136,725.565,1873.136,0.000
297,105.182,1394.035,1394.035,1870.435,718.417,1870.435,0.000
298,105.554,1351.384,1351.384,1868.478,711.268,1868.478,0.000
299,105.927,1332.039,1332.039,1867.212,704.119,1867.212,0.000
300,106.300,1454.620,1454.620,1866.588,696.970,1866.588,0.000
301,106.672,1413.204,1413.204,1866.563,689.822,1866.563,0.000
302,107.045,1449.031,1449.031,1867.096,682.673,1867.096,0.000
303,107.417,1422.560,1422.560,1868.149,675.524,1868.149,0.000
304,107.790,1409.505,1409.505,1869.686,668.375,1869.686,0.000
305,108.163,1501.967,1501.967,1871.674,661.226,1871.674,0.000
306,108.535,1470.028,1470.028,1874.083,654.078,1874.083,0.000
307,108.908,1471.207,1471.207,1876.883,646.929,1876.883,0.000
308,109.281,1585.976,1585.976,1880.047,639.780,1880.047,0.000
309,109.654,1508.215,1508.215,1883.546,632.631,1883.546,0.000
310,110.026,1657.088,1657.088,1887.356,625.483,1887.356,0.000
311,110.399,1582.031,1582.031,1891.452,618.334,1891.452,0.000
312,110.772,1614.972,1614.972,1895.808,611.185,1895.808,0.000
313,111.145,1627.793,1627.793,1900.401,604.036,1900.401,0.000
314,111.517,1645.798,1645.798,1905.207,596.887,1905.207,0.000
315,111.890,1691.795,1691.795,1910.204,589.739,1910.204,0.000
316,112.263,1674.965,1674.965,1915.368,582.590,1915.368,0.000
317,112.636,1730.323,1730.323,1920.677,575.441,1920.677,0.000
318,113.009,1741.145,1741.145,1926.110,568.292,1926.110,0.000
319,113.381,1795.912,1795.912,1931.646,561.144,1931.646,0.000
320,113.754,1790.914,1790.914,1937.263,553.995,1937.263,0.000
321,114.127,1886.385,1886.385,1942.942,546.846,1942.942,0.000
322,114.500,1858.204,1858.204,1948.663,539.697,1948.663,0.000
323,114.873,1914.679,1914.679,1954.409,532.548,1954.409,0.000
324,115.246,1909.677,1909.677,1960.159,525.400,1960.159,0.000
325,115.619,1962.969,1962.969,1965.899,518.251,1965.899,0.000
326,115.992,1888.916,1888.916,1971.612,511.102,1971.612,0.000
327,116.365,1975.916,1975.916,1977.282,503.953,1977.282,0.000
328,116.738,1993.497,1993.497,1982.896,496.805,1982.896,0.000
329,117.111,2015.149,2015.149,1988.441,489.656,1988.441,0.000
330,117.484,2011.262,2011.262,1993.904,482.507,1993.904,0.000
331,117.857,2005.917,2005.917,1999.275,475.358,1999.275,0.000
332,118.230,2066.384,2066.384,2004.544,468.209,2004.544,0.000
333,118.603,2095.560,2095.560,2009.702,461.061,2009.702,0.000
334,118.976,2004.273,2004.273,2014.742,453.912,2014.742,0.000
335,119.349,2030.158,2030.158,2019.657,446.763,2019.657,0.000
336,119.722,2088.620,2088.620,2024.442,439.614,2024.442,0.000
337,120.096,2197.976,2197.976,2029.094,432.466,2029.094,0.000
338,120.469,2199.029,2199.029,2033.608,425.317,2033.608,0.000
339,120.842,2073.793,2073.793,2037.984,418.168,2037.984,0.000
340,121.215,2107.264,2107.264,2042.220,411.019,2042.220,0.000
341,121.588,2221.859,2221.859,2046.318,403.870,2046.318,0.000
342,121.961,2117.154,2117.154,2050.278,396.722,2050.278,0.000
343,122.335,2156.031,2156.031,2054.103,389.573,2054.103,0.000
344,122.708,2214.914,2214.914,2057.797,382.424,2057.797,0.000
345,123.081,2184.912,2184.912,2061.365,375.275,2061.365,0.000
346,123.454,2225.327,2225.327,2064.812,368.127,2064.812,0.000
347,123.828,2145.037,2145.037,2068.146,360.978,2068.146,0.000
348,124.201,2164.143,2164.143,2071.373,353.829,2071.373,0.000
349,124.574,2124.026,2124.026,2074.503,346.680,2074.503,0.000
350,124.948,2178.971,2178.971,2077.544,339.531,2077.544,0.000
351,125.321,2150.914,2150.914,2080.508,332.383,2080.508,0.000
352,125.694,2150.268,2150.268,2083.405,325.234,2083.405,0.000
353,126.068,2112.376,2112.376,2086.246,318.085,2086.246,0.000
354,126.441,2210.325,2210.325,2089.045,310.936,2089.045,0.000
355,126.814,2163.207,2163.207,2091.813,303.788,2091.813,0.000
356,127.188,2193.739,2193.739,2094.564,296.639,2094.564,0.000
357,127.561,2146.264,2146.264,2097.311,289.490,2097.311,0.000
358,127.935,2194.626,2194.626,2100.068,282.341,2100.068,0.000
359,128.308,2170.510,2170.510,2102.848,275.192,2102.848,0.000
360,128.682,2134.791,2134.791,2105.665,268.044,2105.665,0.000
361,129.055,2089.916,2089.916,2108.533,260.895,2108.533,0.000
362,129.429,2174.321,2174.321,2111.463,253.746,2111.463,0.000
363,129.802,2161.272,2161.272,2114.470,246.597,2114.470,0.000
364,130.176,2223.851,2223.851,2117.565,239.449,2117.565,0.000
365,130.549,2160.323,2160.323,2120.759,232.300,2120.759,0.000
366,130.923,2093.683,2093.683,2124.064,225.151,2124.064,0.000
367,131.296,2208.910,2208.910,2127.489,218.002,2127.489,0.000
368,131.670,2150.088,2150.088,2131.042,210.853,2131.042,0.000
369,132.043,2260.793,2260.793,2134.733,203.705,2134.733,0.000
370,132.417,2170.440,2170.440,2138.566,196.556,2138.566,0.000
371,132.791,2246.385,2246.385,2142.547,189.407,2142.547,0.000
372,133.164,2176.732,2176.732,2146.680,182.258,2146.680,0.000
373,133.538,2216.450,2216.450,2150.968,175.110,2150.968,0.000
374,133.912,2155.673,2155.673,2155.411,167.961,2155.411,0.000
375,134.285,2214.439,2214.439,2160.010,160.812,2160.010,0.000
376,134.659,2148.266,2148.266,2164.761,153.663,2164.761,0.000
377,135.033,2267.969,2267.969,2169.662,146.515,2169.662,0.000
378,135.406,2240.207,2240.207,2174.707,139.366,2174.707,0.000
379,135.780,2246.492,2246.492,2179.890,132.217,2179.890,0.000
380,136.154,2256.321,2256.321,2185.204,125.068,2185.204,0.000
381,136.528,2295.268,2295.268,2190.638,117.919,2190.638,0.000
382,136.902,2335.081,2335.081,2196.181,110.771,2196.181,0.000
383,137.275,2233.444,2233.444,2201.823,103.622,2201.823,0.000
384,137.649,2335.914,2335.914,2207.550,96.473,2207.550,0.000
385,138.023,2391.202,2391.202,2213.347,89.324,2213.347,0.000
386,138.397,2290.628,2290.628,2219.199,82.176,2219.199,0.000
387,138.771,2266.202,2266.202,2225.091,75.027,2225.091,0.000
388,139.145,2322.736,2322.736,2231.006,67.878,2231.006,0.000
389,139.518,2394.385,2394.385,2236.925,60.729,2236.925,0.000
390,139.892,2320.851,2320.851,2242.832,53.580,2242.832,0.000
391,140.266,2388.435,2388.435,2248.709,46.432,2248.709,0.000
392,140.640,2439.673,2439.673,2254.537,39.283,2254.537,0.000
393,141.014,2483.736,2483.736,2260.299,32.134,2260.299,0.000
394,141.388,2458.384,2458.384,2265.978,24.985,2265.978,0.000
395,141.762,2623.972,2623.972,2278.569,24.851,2278.569,0.000
396,142.136,2498.561,2498.561,2291.043,24.717,2291.043,0.000
397,142.510,2437.029,2437.029,2303.383,24.582,2303.383,0.000
398,142.884,2598.022,2598.022,2315.575,24.448,2315.575,0.000
399,143.258,2439.200,2439.200,2327.604,24.314,2327.604,0.000
400,143.632,2591.617,2591.617,2339.458,24.179,2339.458,0.000
401,144.006,2554.084,2554.084,2351.127,24.045,2351.127,0.000
402,144.380,2593.209,2593.209,2362.599,23.911,2362.599,0.000
403,144.754,2564.556,2564.556,2373.868,23.776,2373.868,0.000
404,145.129,2575.784,2575.784,2384.926,23.642,2384.926,0.000
405,145.503,2622.264,2622.264,2395.768,23.508,2395.768,0.000
406,145.877,2591.846,2591.846,2406.392,23.373,2406.392,0.000
407,146.251,2649.732,2649.732,2416.796,23.239,2416.796,0.000
408,146.625,2675.081,2675.081,2426.980,23.105,2426.980,0.000
409,146.999,2679.380,2679.380,2436.948,22.970,2436.948,0.000
