ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI
380,1117.824,912.133,912.133,951.998,12.480,951.998,0.000
381,1120.862,923.533,923.533,904.348,12.160,904.348,0.000
382,1123.900,913.000,913.000,851.443,11.841,851.443,0.000
383,1126.939,799.067,799.067,794.668,11.521,794.668,0.000
384,1129.978,779.600,779.600,735.444,11.202,735.444,0.000
385,1133.016,744.133,744.133,675.173,10.882,675.173,0.000
386,1136.055,585.667,585.667,615.180,10.563,615.180,0.000
387,1139.095,541.267,541.267,556.670,10.244,556.670,0.000
388,1142.134,482.067,482.067,500.686,9.924,500.686,0.000
389,1145.173,420.467,420.467,448.083,9.605,448.083,0.000
390,1148.213,414.800,414.800,399.513,9.285,399.513,0.000
391,1151.253,340.733,340.733,355.419,8.966,355.419,0.000
392,1154.293,274.400,274.400,316.044,8.646,316.044,0.000
393,1157.333,238.533,238.533,281.449,8.327,281.449,0.000
394,1160.373,235.467,235.467,251.536,8.007,251.536,0.000
395,1163.413,202.933,202.933,226.079,7.688,226.079,0.000
396,1166.454,191.533,191.533,204.752,7.368,204.752,0.000
397,1169.495,166.933,166.933,187.161,7.049,187.161,0.000
398,1172.535,161.333,161.333,172.875,6.730,172.875,0.000
399,1175.576,138.733,138.733,161.445,6.410,161.445,0.000
400,1178.618,133.467,133.467,152.424,6.091,152.424,0.000
401,1181.659,129.267,129.267,145.387,5.771,145.387,0.000
402,1184.700,145.067,145.067,139.935,5.452,139.935,0.000
403,1187.742,99.600,99.600,135.703,5.132,135.703,0.000
404,1190.783,111.400,111.400,132.365,4.813,132.365,0.000
405,1193.825,104.533,104.533,129.971,4.833,129.971,0.000
406,1196.867,122.267,122.267,127.932,4.854,127.932,0.000
407,1199.909,151.200,151.200,126.033,4.874,126.033,0.000
408,1202.951,99.733,99.733,124.098,4.894,124.098,0.000
409,1205.993,114.400,114.400,121.984,4.915,121.984,0.000
410,1209.036,129.800,129.800,119.584,4.935,119.584,0.000
411,1212.078,96.933,96.933,116.825,4.955,116.825,0.000
412,1215.121,107.000,107.000,113.666,4.976,113.666,0.000
413,1218.163,94.400,94.400,110.098,4.996,110.098,0.000
414,1221.206,120.933,120.933,106.143,5.016,106.143,0.000
415,1224.249,121.400,121.400,101.850,5.037,101.850,0.000
416,1227.292,88.133,88.133,97.290,5.057,97.290,0.000
417,1230.335,83.267,83.267,92.556,5.077,92.556,0.000
418,1233.379,82.533,82.533,87.753,5.098,87.753,0.000
419,1236.422,77.533,77.533,82.993,5.118,82.993,0.000
420,1239.465,85.333,85.333,78.395,5.138,78.395,0.000
421,1242.509,66.800,66.800,74.069,5.159,74.069,0.000
422,1245.553,58.867,58.867,70.121,5.179,70.121,0.000
423,1248.596,77.733,77.733,66.640,5.199,66.640,0.000
424,1251.640,80.733,80.733,63.701,5.220,63.701,0.000
425,1254.684,63.000,63.000,61.354,5.240,61.354,0.000
426,1257.728,65.333,65.333,59.630,5.260,59.630,0.000
427,1260.772,61.667,61.667,58.536,5.281,58.536,0.000
428,1263.816,71.067,71.067,58.052,5.301,58.052,0.000
429,1266.861,49.933,49.933,58.138,5.321,58.138,0.000
430,1269.905,73.733,73.733,58.734,5.342,58.734,0.000
431,1272.949,76.867,76.867,59.758,5.362,59.758,0.000
432,1275.994,76.200,76.200,61.115,5.382,61.115,0.000
433,1279.039,78.400,78.400,62.699,5.403,62.699,0.000
434,1282.083,74.067,74.067,64.396,5.423,64.396,0.000
435,1285.128,90.467,90.467,66.091,5.443,66.091,0.000
436,1288.173,76.733,76.733,67.674,5.464,67.674,0.000
437,1291.218,67.000,67.000,69.041,5.484,69.041,0.000
438,1294.263,72.400,72.400,70.105,5.504,70.105,0.000
439,1297.308,75.133,75.133,70.795,5.525,70.795,0.000
440,1300.353,86.600,86.600,71.065,5.545,71.065,0.000
441,1303.398,78.400,78.400,70.896,5.565,70.896,0.000
442,1306.443,87.867,87.867,70.298,5.586,70.298,0.000
443,1309.488,72.533,72.533,69.312,5.606,69.312,0.000
444,1312.534,57.800,57.800,68.011,5.626,68.011,0.000
445,1315.579,71.000,71.000,66.502,5.647,66.502,0.000
446,1318.625,69.600,69.600,64.922,5.667,64.922,0.000
447,1321.670,71.600,71.600,63.438,5.688,63.438,0.000
448,1324.716,63.867,63.867,62.245,5.708,62.245,0.000
449,1327.761,84.600,84.600,61.562,5.728,61.562,0.000
450,1330.807,75.067,75.067,61.633,5.749,61.633,0.000
451,1333.852,68.867,68.867,62.715,5.769,62.715,0.000
452,1336.898,64.533,64.533,65.081,5.789,65.081,0.000
453,1339.944,76.067,76.067,69.012,5.810,69.012,0.000
454,1342.990,78.267,78.267,74.790,5.830,74.790,0.000
455,1346.036,81.000,81.000,82.689,5.850,82.689,0.000
456,1349.081,91.067,91.067,92.966,5.871,92.966,0.000
457,1352.127,128.400,128.400,105.853,5.891,105.853,0.000
458,1355.173,114.267,114.267,121.538,5.911,121.538,0.000
459,1358.219,125.200,125.200,140.157,5.932,140.157,0.000
460,1361.265,140.800,140.800,161.774,5.952,161.774,0.000
461,1364.311,197.867,197.867,186.370,5.972,186.370,0.000
462,1367.357,212.667,212.667,213.828,5.993,213.828,0.000
463,1370.403,240.000,240.000,243.924,6.013,243.924,0.000
464,1373.449,276.333,276.333,276.315,6.033,276.315,0.000
465,1376.496,294.733,294.733,310.542,6.054,310.542,0.000
466,1379.542,325.067,325.067,346.026,6.074,346.026,0.000
467,1382.588,377.933,377.933,382.086,6.094,382.086,0.000
468,1385.634,419.733,419.733,417.949,6.115,417.949,0.000
469,1388.680,450.000,450.000,452.777,6.135,452.777,0.000
470,1391.726,476.733,476.733,485.696,6.155,485.696,0.000
471,1394.772,566.533,566.533,515.828,6.176,515.828,0.000
472,1397.819,566.600,566.600,542.331,6.196,542.331,0.000
473,1400.865,563.267,563.267,564.437,6.216,564.437,0.000
474,1403.911,557.200,557.200,581.484,6.237,581.484,0.000
475,1406.957,620.333,620.333,592.954,6.257,592.954,0.000
476,1410.003,609.267,609.267,598.496,6.277,598.496,0.000
477,1413.050,609.267,609.267,597.941,6.298,597.941,0.000
478,1416.096,636.667,636.667,591.315,6.318,591.315,0.000
479,1419.142,635.533,635.533,578.836,6.338,578.836,0.000
480,1422.188,604.200,604.200,560.899,6.359,560.899,0.000
481,1425.234,579.667,579.667,538.058,6.379,538.058,0.000
482,1428.280,549.267,549.267,510.997,6.399,510.997,0.000
483,1431.327,548.000,548.000,480.495,6.420,480.495,0.000
484,1434.373,464.200,464.200,447.390,6.440,447.390,0.000
485,1437.419,410.733,410.733,412.540,6.460,412.540,0.000
486,1440.465,441.733,441.733,376.785,6.481,376.785,0.000
487,1443.511,369.400,369.400,340.829,6.411,340.829,0.000
488,1446.557,308.933,308.933,305.478,6.341,305.478,0.000
489,1449.603,254.867,254.867,271.350,6.272,271.350,0.000
490,1452.649,263.200,263.200,238.956,6.202,238.956,0.000
491,1455.695,180.000,180.000,208.686,6.132,208.686,0.000
492,1458.741,201.333,201.333,180.816,6.063,180.816,0.000
493,1461.787,162.067,162.067,155.510,5.993,155.510,0.000
494,1464.833,123.800,123.800,132.832,5.923,132.832,0.000
495,1467.878,100.867,100.867,112.760,5.854,112.760,0.000
496,1470.924,106.333,106.333,95.201,5.784,95.201,0.000
497,1473.970,83.333,83.333,80.009,5.714,80.009,0.000
498,1477.016,68.933,68.933,66.998,5.645,66.998,0.000
499,1480.061,40.933,40.933,55.961,5.575,55.961,0.000
500,1483.107,41.067,41.067,46.678,5.505,46.678,0.000
501,1486.153,48.333,48.333,38.932,5.435,38.932,0.000
502,1489.198,31.933,31.933,32.512,5.366,32.512,0.000
503,1492.244,41.267,41.267,27.221,5.296,27.221,0.000
504,1495.289,21.333,21.333,22.883,5.226,22.883,0.000
505,1498.334,26.267,26.267,19.339,5.157,19.339,0.000
506,1501.380,24.667,24.667,16.451,5.087,16.451,0.000
507,1504.425,33.800,33.800,14.103,5.017,14.103,0.000
508,1507.470,16.133,16.133,12.196,4.948,12.196,0.000
