ch,keV,net,fit,model,continuum_raw,Am-241
252,725.769,0.000,-0.956,0.000,0.000,0.000
253,728.766,1.878,1.878,0.000,0.000,0.000
254,731.764,0.222,0.222,0.000,0.000,0.000
255,734.763,0.000,-2.867,0.000,0.000,0.000
256,737.762,0.000,-1.811,0.000,0.000,0.000
257,740.761,0.000,-3.456,0.000,0.000,0.000
258,743.761,0.000,-5.433,0.000,0.000,0.000
259,746.761,0.000,-0.367,0.000,0.000,0.000
260,749.761,1.067,1.067,0.000,0.000,0.000
261,752.762,1.278,1.278,0.000,0.000,0.000
262,755.763,0.000,-2.044,0.000,0.000,0.000
263,758.765,0.000,-7.100,0.000,0.000,0.000
264,761.767,6.900,6.900,0.000,0.000,0.000
265,764.769,0.000,-0.833,0.000,0.000,0.000
266,767.772,5.422,5.422,0.000,0.000,0.000
267,770.775,1.178,1.178,0.000,0.000,0.000
268,773.778,0.000,-0.578,0.000,0.000,0.000
269,776.782,3.700,3.700,0.000,0.000,0.000
270,779.787,0.000,-6.767,0.000,0.000,0.000
271,782.791,0.000,-3.056,0.000,0.000,0.000
272,785.796,0.000,-1.356,0.000,0.000,0.000
273,788.802,3.733,3.733,0.000,0.000,0.000
274,791.807,0.000,-1.767,0.000,0.000,0.000
275,794.813,0.000,-5.800,0.000,0.000,0.000
276,797.820,0.000,-2.411,0.000,0.000,0.000
277,800.827,2.433,2.433,0.000,0.000,0.000
278,803.834,0.000,-0.267,0.000,0.000,0.000
279,806.841,0.000,-0.078,0.000,0.000,0.000
280,809.849,0.889,0.889,0.000,0.000,0.000
281,812.858,0.000,-1.967,0.000,0.000,0.000
282,815.866,1.978,1.978,0.000,0.000,0.000
283,818.875,0.000,-3.033,0.000,0.000,0.000
284,821.884,5.089,5.089,0.000,0.000,0.000
285,824.894,0.000,-2.522,0.000,0.000,0.000
286,827.904,0.000,-3.289,0.000,0.000,0.000
287,830.914,0.000,-6.567,0.000,0.000,0.000
288,833.925,0.000,-0.322,0.000,0.000,0.000
289,836.936,0.000,-3.878,0.000,0.000,0.000
290,839.947,0.000,-2.489,0.000,0.000,0.000
291,842.959,2.622,2.622,0.000,0.000,0.000
292,845.971,0.000,-2.978,0.000,0.000,0.000
293,848.983,2.244,2.244,0.000,0.000,0.000
294,851.996,0.000,-7.411,0.000,0.000,0.000
295,855.009,0.000,-0.211,0.000,0.000,0.000
296,858.022,1.567,1.567,0.000,0.000,0.000
297,861.036,2.444,2.444,0.000,0.000,0.000
298,864.050,0.000,-1.844,0.000,0.000,0.000
299,867.064,3.767,3.767,0.000,0.000,0.000
300,870.079,0.000,-0.767,0.000,0.000,0.000
301,873.094,0.922,0.922,0.000,0.000,0.000
302,876.109,0.000,-2.300,0.000,0.000,0.000
303,879.125,0.000,-0.189,0.000,0.000,0.000
304,882.141,0.000,-4.756,0.000,0.000,0.000
305,885.157,1.356,1.356,0.000,0.000,0.000
306,888.173,0.000,-2.156,0.000,0.000,0.000
307,891.190,0.000,-1.933,0.000,0.000,0.000
308,894.207,0.000,-2.133,0.000,0.000,0.000
309,897.224,0.000,-4.878,0.000,0.000,0.000
310,900.242,0.000,-7.533,0.000,0.000,0.000
311,903.260,0.000,-5.422,0.000,0.000,0.000
312,906.278,0.000,-1.600,0.000,0.000,0.000
313,909.297,4.522,4.522,0.000,0.000,0.000
314,912.316,0.000,-4.989,0.000,0.000,0.000
315,915.335,2.600,2.600,0.000,0.000,0.000
316,918.354,0.000,-1.178,0.000,0.000,0.000
317,921.374,3.244,3.244,0.000,0.000,0.000
318,924.394,8.322,8.322,0.000,0.000,0.000
319,927.415,0.000,-4.267,0.000,0.000,0.000
320,930.435,1.400,1.400,0.000,0.000,0.000
321,933.456,0.000,-4.589,0.000,0.000,0.000
322,936.477,2.833,2.833,0.000,0.000,0.000
323,939.499,3.689,3.689,0.000,0.000,0.000
324,942.520,0.000,-4.178,0.000,0.000,0.000
325,945.542,0.000,-4.056,0.000,0.000,0.000
326,948.565,0.000,-0.322,0.000,0.000,0.000
327,951.587,2.211,2.211,0.000,0.000,0.000
328,954.610,0.000,-0.144,0.000,0.000,0.000
329,957.633,0.000,-1.067,0.000,0.000,0.000
330,960.656,0.000,-5.189,0.000,0.000,0.000
331,963.680,0.000,-8.933,0.000,0.000,0.000
332,966.704,5.411,5.411,0.000,0.000,0.000
333,969.728,4.067,4.067,0.000,0.000,0.000
334,972.752,0.000,-3.678,0.000,0.000,0.000
335,975.777,0.000,-3.467,0.000,0.000,0.000
336,978.802,0.000,-1.300,0.000,0.000,0.000
337,981.827,0.000,-1.544,0.000,0.000,0.000
338,984.852,1.100,1.100,0.000,0.000,0.000
339,987.878,0.000,-1.433,0.000,0.000,0.000
340,990.904,0.000,-2.356,0.000,0.000,0.000
341,993.930,0.000,-3.744,0.000,0.000,0.000
342,996.956,0.722,0.722,0.000,0.000,0.000
343,999.983,0.000,-0.289,0.000,0.000,0.000
344,1003.010,1.933,1.933,0.000,0.000,0.000
345,1006.037,0.000,-0.322,0.000,0.000,0.000
346,1009.064,0.000,-0.056,0.000,0.000,0.000
347,1012.091,0.000,-3.344,0.000,0.000,0.000
348,1015.119,1.844,1.844,0.000,0.000,0.000
349,1018.147,1.711,1.711,0.000,0.000,0.000
350,1021.175,0.000,-4.233,0.000,0.000,0.000
351,1024.204,2.300,2.300,0.000,0.000,0.000
352,1027.233,0.000,-2.689,0.000,0.000,0.000
353,1030.261,2.278,2.278,0.000,0.000,0.000
354,1033.291,0.000,-0.100,0.000,0.000,0.000
355,1036.320,0.000,-2.456,0.000,0.000,0.000
356,1039.349,0.000,-2.211,0.000,0.000,0.000
357,1042.379,0.189,0.189,0.000,0.000,0.000
358,1045.409,7.156,7.156,0.000,0.000,0.000
359,1048.439,0.744,0.744,0.000,0.000,0.000
360,1051.470,0.233,0.233,0.000,0.000,0.000
361,1054.500,0.789,0.789,0.000,0.000,0.000
362,1057.531,0.000,-2.189,0.000,0.000,0.000
363,1060.562,4.811,4.811,0.000,0.000,0.000
364,1063.593,2.567,2.567,0.000,0.000,0.000
365,1066.625,0.000,-1.189,0.000,0.000,0.000
366,1069.656,0.000,-2.478,0.000,0.000,0.000
367,1072.688,0.000,-1.122,0.000,0.000,0.000
368,1075.720,2.756,2.756,0.000,0.000,0.000
369,1078.752,0.000,-0.978,0.000,0.000,0.000
370,1081.785,0.000,-0.556,0.000,0.000,0.000
371,1084.817,1.522,1.522,0.000,0.000,0.000
372,1087.850,0.822,0.822,0.000,0.000,0.000
373,1090.883,0.000,-1.844,0.000,0.000,0.000
374,1093.916,3.933,3.933,0.000,0.000,0.000
375,1096.950,0.489,0.489,0.000,0.000,0.000
376,1099.983,0.000,-5.678,0.000,0.000,0.000
377,1103.017,0.000,-3.822,0.000,0.000,0.000
378,1106.051,0.000,-1.933,0.000,0.000,0.000
379,1109.085,0.000,-6.667,0.000,0.000,0.000
380,1112.119,0.000,-3.144,0.000,0.000,0.000
381,1115.153,0.000,-0.744,0.000,0.000,0.000
382,1118.188,0.000,-0.333,0.000,0.000,0.000
383,1121.223,2.344,2.344,0.000,0.000,0.000
384,1124.258,0.000,-0.733,0.000,0.000,0.000
385,1127.293,0.000,-0.311,0.000,0.000,0.000
386,1130.328,5.778,5.778,0.000,0.000,0.000
387,1133.363,0.000,-1.622,0.000,0.000,0.000
388,1136.399,1.178,1.178,0.000,0.000,0.000
389,1139.434,4.411,4.411,0.000,0.000,0.000
390,1142.470,0.000,-1.533,0.000,0.000,0.000
391,1145.506,0.000,-0.211,0.000,0.000,0.000
392,1148.542,2.733,2.733,0.000,0.000,0.000
393,1151.579,0.089,0.089,0.000,0.000,0.000
394,1154.615,2.911,2.911,0.000,0.000,0.000
395,1157.652,0.000,-0.511,0.000,0.000,0.000
396,1160.688,10.089,10.089,0.000,0.000,0.000
397,1163.725,0.000,-0.678,0.000,0.000,0.000
398,1166.762,2.722,2.722,0.000,0.000,0.000
399,1169.800,0.289,0.289,0.000,0.000,0.000
400,1172.837,4.078,4.078,0.000,0.000,0.000
401,1175.874,0.000,-0.789,0.000,0.000,0.000
402,1178.912,3.011,3.011,0.000,0.000,0.000
403,1181.950,2.933,2.933,0.000,0.000,0.000
404,1184.987,0.067,0.067,0.000,0.000,0.000
405,1188.025,0.000,-0.411,0.000,0.000,0.000
406,1191.063,4.544,4.544,0.000,0.000,0.000
407,1194.102,1.200,1.200,0.000,0.000,0.000
408,1197.140,0.000,-4.044,0.000,0.000,0.000
409,1200.178,0.000,-2.933,0.000,0.000,0.000
410,1203.217,4.133,4.133,0.000,0.000,0.000
411,1206.256,0.000,-0.844,0.000,0.000,0.000
412,1209.294,3.667,3.667,0.000,0.000,0.000
413,1212.333,0.000,-1.933,0.000,0.000,0.000
414,1215.372,0.000,-1.511,0.000,0.000,0.000
415,1218.411,0.000,-1.600,0.000,0.000,0.000
416,1221.451,0.000,-1.478,0.000,0.000,0.000
417,1224.490,0.000,-0.289,0.000,0.000,0.000
418,1227.530,0.000,-0.578,0.000,0.000,0.000
419,1230.569,1.922,1.922,0.000,0.000,0.000
420,1233.609,1.556,1.556,0.000,0.000,0.000
421,1236.648,1.133,1.133,0.000,0.000,0.000
422,1239.688,0.000,-1.522,0.000,0.000,0.000
423,1242.728,2.289,2.289,0.000,0.000,0.000
424,1245.768,0.000,-0.044,0.000,0.000,0.000
425,1248.808,2.000,2.000,0.000,0.000,0.000
426,1251.849,0.389,0.389,0.000,0.000,0.000
427,1254.889,1.444,1.444,0.000,0.000,0.000
428,1257.929,0.000,-2.489,0.000,0.000,0.000
429,1260.970,2.322,2.322,0.000,0.000,0.000
430,1264.010,0.000,-0.544,0.000,0.000,0.000
431,1267.051,0.000,-1.189,0.000,0.000,0.000
432,1270.092,0.000,-4.467,0.000,0.000,0.000
433,1273.133,3.900,3.900,0.000,0.000,0.000
434,1276.173,2.011,2.011,0.000,0.000,0.000
435,1279.214,0.078,0.078,0.000,0.000,0.000
436,1282.255,0.000,-2.378,0.000,0.000,0.000
437,1285.297,0.000,-3.500,0.000,0.000,0.000
438,1288.338,0.000,-1.933,0.000,0.000,0.000
439,1291.379,1.022,1.022,0.000,0.000,0.000
440,1294.420,0.000,-0.567,0.000,0.000,0.000
441,1297.462,0.400,0.400,0.000,0.000,0.000
442,1300.503,0.478,0.478,0.000,0.000,0.000
443,1303.544,0.256,0.256,0.000,0.000,0.000
444,1306.586,1.467,1.467,0.000,0.000,0.000
445,1309.628,0.000,-0.667,0.000,0.000,0.000
446,1312.669,0.000,-0.067,0.000,0.000,0.000
447,1315.711,0.000,-2.400,0.000,0.000,0.000
448,1318.753,0.000,-1.522,0.000,0.000,0.000
449,1321.794,0.000,-0.733,0.000,0.000,0.000
450,1324.836,0.844,0.844,0.000,0.000,0.000
451,1327.878,0.000,-1.356,0.000,0.000,0.000
452,1330.920,0.922,0.922,0.000,0.000,0.000
453,1333.962,0.000,-2.489,0.000,0.000,0.000
454,1337.004,0.000,-0.622,0.000,0.000,0.000
455,1340.046,4.333,4.333,0.000,0.000,0.000
456,1343.088,0.678,0.678,0.000,0.000,0.000
457,1346.130,0.000,-2.767,0.000,0.000,0.000
458,1349.172,0.000,-1.956,0.000,0.000,0.000
459,1352.214,0.000,-1.967,0.000,0.000,0.000
460,1355.257,0.000,-2.867,0.000,0.000,0.000
461,1358.299,0.000,-1.022,0.000,0.000,0.000
462,1361.341,0.000,-3.889,0.000,0.000,0.000
463,1364.383,1.000,1.000,0.000,0.000,0.000
464,1367.426,0.000,-4.278,0.000,0.000,0.000
465,1370.468,0.000,-3.378,0.000,0.000,0.000
466,1373.510,0.678,0.678,0.000,0.000,0.000
467,1376.553,2.489,2.489,0.000,0.000,0.000
468,1379.595,0.000,-1.378,0.000,0.000,0.000
469,1382.637,0.000,-3.333,0.000,0.000,0.000
470,1385.680,2.456,2.456,0.000,0.000,0.000
471,1388.722,0.256,0.256,0.000,0.000,0.000
472,1391.765,0.000,-3.067,0.000,0.000,0.000
473,1394.807,0.000,-3.456,0.000,0.000,0.000
474,1397.849,0.000,-1.633,0.000,0.000,0.000
475,1400.892,3.889,3.889,0.000,0.000,0.000
476,1403.934,0.044,0.044,0.000,0.000,0.000
477,1406.976,1.878,1.878,0.000,0.000,0.000
478,1410.019,0.000,-0.556,0.000,0.000,0.000
479,1413.061,0.422,0.422,0.000,0.000,0.000
480,1416.104,0.533,0.533,0.000,0.000,0.000
481,1419.146,0.000,-2.389,0.000,0.000,0.000
482,1422.188,0.000,-3.289,0.000,0.000,0.000
483,1425.231,0.000,-0.833,0.000,0.000,0.000
484,1428.273,0.367,0.367,0.000,0.000,0.000
485,1431.315,0.000,-0.044,0.000,0.000,0.000
486,1434.358,0.000,-2.211,0.000,0.000,0.000
487,1437.400,0.000,-5.767,0.000,0.000,0.000
488,1440.442,1.489,1.489,0.000,0.000,0.000
489,1443.484,0.000,-7.189,0.000,0.000,0.000
490,1446.526,0.000,-1.633,0.000,0.000,0.000
491,1449.569,0.000,0.000,0.000,0.000,0.000
492,1452.611,7.222,7.222,0.000,0.000,0.000
493,1455.653,0.178,0.178,0.000,0.000,0.000
494,1458.695,0.000,-0.200,0.000,0.000,0.000
495,1461.737,1.978,1.978,0.000,0.000,0.000
496,1464.779,0.000,-3.778,0.000,0.000,0.000
497,1467.821,0.000,-4.944,0.000,0.000,0.000
498,1470.863,0.000,-3.511,0.000,0.000,0.000
499,1473.905,0.000,-4.178,0.000,0.000,0.000
500,1476.947,0.000,-1.489,0.000,0.000,0.000
501,1479.988,0.889,0.889,0.000,0.000,0.000
502,1483.030,0.989,0.989,0.000,0.000,0.000
503,1486.072,0.000,-0.956,0.000,0.000,0.000
504,1489.113,0.000,-2.278,0.000,0.000,0.000
505,1492.155,0.711,0.711,0.000,0.000,0.000
506,1495.196,2.611,2.611,0.000,0.000,0.000
507,1498.238,1.633,1.633,0.000,0.000,0.000
508,1501.279,0.022,0.022,0.000,0.000,0.000
509,1504.321,0.000,-1.900,0.000,0.000,0.000
510,1507.362,0.000,-2.100,0.000,0.000,0.000
511,1510.403,1.556,1.556,0.000,0.000,0.000
512,1513.444,2.900,2.900,0.000,0.000,0.000
513,1516.485,0.000,-1.733,0.000,0.000,0.000
514,1519.526,0.000,-0.544,0.000,0.000,0.000
