ch,keV,net,fit,model,continuum_raw,Ba-133,continuum
155,438.327,2143.369,2143.369,2001.886,76.853,2001.886,0.000
156,441.274,2360.369,2360.369,2015.841,75.341,2015.841,0.000
157,444.222,2551.511,2551.511,1976.955,73.829,1976.955,0.000
158,447.170,2540.168,2540.168,1882.677,72.318,1882.677,0.000
159,450.120,2479.255,2479.255,1738.106,70.806,1738.106,0.000
160,453.070,2469.410,2469.410,1554.340,69.294,1554.340,0.000
161,456.021,2175.986,2175.986,1346.187,67.782,1346.187,0.000
162,458.973,1958.566,1958.566,1129.597,66.270,1129.597,0.000
163,461.925,1665.927,1665.927,919.272,64.759,919.272,0.000
164,464.878,1417.562,1417.562,726.878,63.247,726.878,0.000
165,467.832,1109.343,1109.343,560.079,61.735,560.079,0.000
166,470.787,787.986,787.986,422.413,60.223,422.413,0.000
167,473.742,562.831,562.831,313.858,58.711,313.858,0.000
168,476.698,374.360,374.360,231.800,57.200,231.800,0.000
169,479.655,271.713,271.713,172.117,55.688,172.117,0.000
170,482.612,185.456,185.456,130.158,54.176,130.158,0.000
171,485.571,138.351,138.351,101.464,52.664,101.464,0.000
172,488.529,102.242,102.242,82.206,51.152,82.206,0.000
173,491.489,64.990,64.990,69.362,49.641,69.362,0.000
174,494.449,69.036,69.036,60.710,48.129,60.710,0.000
175,497.410,67.305,67.305,54.713,46.617,54.713,0.000
176,500.371,41.150,41.150,50.366,45.105,50.366,0.000
177,503.334,62.809,62.809,47.035,43.593,47.035,0.000
178,506.297,31.835,31.835,44.336,42.082,44.336,0.000
179,509.260,18.649,18.649,42.038,40.570,42.038,0.000
180,512.224,19.082,19.082,40.003,39.058,40.003,0.000
181,515.189,25.297,25.297,38.144,37.546,38.144,0.000
182,518.155,8.087,8.087,36.404,36.034,36.404,0.000
183,521.121,10.813,10.813,34.746,34.522,34.746,0.000
184,524.088,32.015,32.015,33.142,33.011,33.142,0.000
185,527.055,3.069,3.069,31.574,31.499,31.574,0.000
186,530.023,2.157,2.157,30.028,29.987,30.028,0.000
187,532.992,2.494,2.494,28.497,28.475,28.497,0.000
188,535.961,6.745,6.745,26.975,26.963,26.975,0.000
189,538.931,18.472,18.472,25.457,25.452,25.457,0.000
190,541.902,3.371,3.371,23.943,23.940,23.943,0.000
191,544.873,3.846,3.846,22.429,22.428,22.429,0.000
192,547.844,16.249,16.249,20.917,20.916,20.917,0.000
193,550.817,4.244,4.244,19.405,19.404,19.405,0.000
194,553.790,24.665,24.665,17.893,17.893,17.893,0.000
195,556.763,19.098,19.098,16.381,16.381,16.381,0.000
196,559.738,14.459,14.459,14.869,14.869,14.869,0.000
197,562.712,20.509,20.509,13.357,13.357,13.357,0.000
198,565.688,25.837,25.837,11.845,11.845,11.845,0.000
199,568.664,9.669,9.669,10.334,10.334,10.334,0.000
200,571.640,5.152,5.152,8.822,8.822,8.822,0.000
201,574.617,10.253,10.253,7.310,7.310,7.310,0.000
202,577.595,3.271,3.271,5.798,5.798,5.798,0.000
203,580.573,12.732,12.732,5.803,5.803,5.803,0.000
204,583.552,37.993,37.993,5.808,5.808,5.808,0.000
205,586.531,13.568,13.568,5.813,5.813,5.813,0.000
206,589.511,19.455,19.455,5.818,5.818,5.818,0.000
207,592.491,9.354,9.354,5.823,5.823,5.823,0.000
208,595.472,12.308,12.308,5.828,5.828,5.828,0.000
209,598.454,4.623,4.623,5.833,5.833,5.833,0.000
210,601.436,0.000,-1.633,5.839,5.839,5.839,0.000
211,604.419,0.000,-2.062,5.844,5.844,5.844,0.000
212,607.402,8.984,8.984,5.849,5.849,5.849,0.000
213,610.385,15.349,15.349,5.854,5.854,5.854,0.000
214,613.370,0.000,-1.495,5.859,5.859,0.000,5.859
215,616.354,13.660,13.660,5.864,5.864,0.000,5.864
216,619.340,0.000,-6.171,5.869,5.869,0.000,5.869
217,622.325,0.000,-0.861,5.874,5.874,0.000,5.874
218,625.311,15.282,15.282,5.879,5.879,0.000,5.879
219,628.298,16.757,16.757,5.884,5.884,0.000,5.884
220,631.285,5.916,5.916,5.889,5.889,0.000,5.889
221,634.273,0.000,-9.773,5.894,5.894,0.000,5.894
222,637.261,15.546,15.546,5.899,5.899,0.000,5.899
223,640.250,13.382,13.382,5.904,5.904,0.000,5.904
224,643.239,14.218,14.218,5.909,5.909,0.000,5.909
225,646.229,0.000,-5.092,5.914,5.914,0.000,5.914
226,649.219,11.592,11.592,5.919,5.919,0.000,5.919
227,652.210,20.798,20.798,5.924,5.924,0.000,5.924
228,655.201,12.962,12.962,5.929,5.929,0.000,5.929
229,658.192,22.223,22.223,5.934,5.934,0.000,5.934
230,661.185,11.218,11.218,5.939,5.939,0.000,5.939
231,664.177,8.118,8.118,5.945,5.945,0.000,5.945
232,667.170,25.533,25.533,5.950,5.950,0.000,5.950
233,670.163,19.538,19.538,5.955,5.955,0.000,5.955
234,673.157,9.693,9.693,5.960,5.960,0.000,5.960
235,676.152,13.428,13.428,5.965,5.965,0.000,5.965
236,679.146,11.059,11.059,5.970,5.970,0.000,5.970
237,682.141,15.735,15.735,5.975,5.975,0.000,5.975
238,685.137,7.159,7.159,5.980,5.980,0.000,5.980
239,688.133,5.634,5.634,5.985,5.985,0.000,5.985
240,691.130,17.218,17.218,5.990,5.990,0.000,5.990
241,694.126,15.369,15.369,5.995,5.995,0.000,5.995
242,697.124,3.958,3.958,6.000,6.000,0.000,6.000
243,700.121,0.000,-5.252,6.005,6.005,0.000,6.005
244,703.120,3.277,3.277,6.010,6.010,0.000,6.010
245,706.118,0.000,-0.051,6.015,6.015,0.000,6.015
246,709.117,9.954,9.954,6.020,6.020,0.000,6.020
247,712.116,3.210,3.210,6.025,6.025,0.000,6.025
248,715.116,10.525,10.525,6.030,6.030,0.000,6.030
249,718.116,15.260,15.260,6.035,6.035,0.000,6.035
250,721.117,10.785,10.785,6.040,6.040,0.000,6.040
251,724.118,20.315,20.315,6.046,6.046,0.000,6.046
252,727.119,11.420,11.420,6.051,6.051,0.000,6.051
253,730.121,17.151,17.151,6.056,6.056,0.000,6.056
254,733.123,18.844,18.844,6.061,6.061,0.000,6.061
255,736.125,0.000,-7.320,6.066,6.066,0.000,6.066
256,739.128,20.936,20.936,6.071,6.071,0.000,6.071
257,742.131,2.361,2.361,6.076,6.076,0.000,6.076
258,745.135,0.000,-1.265,6.081,6.081,0.000,6.081
259,748.139,7.785,7.785,6.086,6.086,0.000,6.086
260,751.143,12.776,12.776,5.995,5.995,0.000,5.995
261,754.148,22.625,22.625,5.904,5.904,0.000,5.904
262,757.153,8.945,8.945,5.813,5.813,0.000,5.813
263,760.158,0.000,-0.740,5.723,5.723,0.000,5.723
264,763.164,9.096,9.096,5.632,5.632,0.000,5.632
265,766.170,14.886,14.886,5.541,5.541,0.000,5.541
266,769.176,0.000,-14.366,5.450,5.450,0.000,5.450
267,772.183,0.000,-10.904,5.359,5.359,0.000,5.359
268,775.190,0.046,0.046,5.268,5.268,0.000,5.268
269,778.197,0.000,-0.173,5.178,5.178,0.000,5.178
270,781.204,4.881,4.881,5.087,5.087,0.000,5.087
271,784.212,12.461,12.461,4.996,4.996,0.000,4.996
272,787.221,0.000,-0.429,4.905,4.905,0.000,4.905
273,790.229,11.466,11.466,4.814,4.814,0.000,4.814
274,793.238,2.256,2.256,4.723,4.723,0.000,4.723
275,796.247,3.457,3.457,4.633,4.633,0.000,4.633
276,799.257,0.000,-4.795,4.542,4.542,0.000,4.542
277,802.267,0.722,0.722,4.451,4.451,0.000,4.451
278,805.277,17.457,17.457,4.360,4.360,0.000,4.360
279,808.287,3.402,3.402,4.269,4.269,0.000,4.269
280,811.298,0.000,-15.799,4.178,4.178,0.000,4.178
281,814.309,2.352,2.352,4.088,4.088,0.000,4.088
282,817.320,5.621,5.621,3.997,3.997,0.000,3.997
283,820.332,0.037,0.037,3.906,3.906,0.000,3.906
284,823.343,10.297,10.297,3.815,3.815,0.000,3.815
285,826.356,9.297,9.297,3.724,3.724,0.000,3.724
286,829.368,0.000,-1.652,3.633,3.633,0.000,3.633
287,832.381,6.183,6.183,3.543,3.543,0.000,3.543
288,835.393,0.000,-5.854,3.452,3.452,0.000,3.452
289,838.407,0.722,0.722,3.361,3.361,0.000,3.361
290,841.420,3.822,3.822,3.270,3.270,0.000,3.270
291,844.434,0.000,-3.333,3.179,3.179,0.000,3.179
292,847.448,0.000,-4.182,3.088,3.088,0.000,3.088
293,850.462,18.394,18.394,2.998,2.998,0.000,2.998
294,853.476,4.667,4.667,2.907,2.907,0.000,2.907
295,856.491,4.192,4.192,2.816,2.816,0.000,2.816
296,859.506,0.000,-4.438,2.725,2.725,0.000,2.725
297,862.521,3.873,3.873,2.634,2.634,0.000,2.634
298,865.536,14.658,14.658,2.543,2.543,0.000,2.543
299,868.552,0.000,-0.762,2.453,2.453,0.000,2.453
300,871.568,7.818,7.818,2.362,2.362,0.000,2.362
301,874.584,7.814,7.814,2.271,2.271,0.000,2.271
302,877.600,0.000,-3.127,2.180,2.180,0.000,2.180
303,880.616,1.658,1.658,2.089,2.089,0.000,2.089
304,883.633,0.000,-3.657,1.998,1.998,0.000,1.998
305,886.650,0.000,-1.602,1.908,1.908,0.000,1.908
306,889.667,0.000,-10.169,1.817,1.817,0.000,1.817
307,892.684,12.822,12.822,1.726,1.726,0.000,1.726
308,895.702,0.000,-9.812,1.635,1.635,0.000,1.635
309,898.720,0.000,-2.808,1.544,1.544,0.000,1.544
310,901.738,13.398,13.398,1.453,1.453,0.000,1.453
311,904.756,0.000,-0.812,1.363,1.363,0.000,1.363
312,907.774,7.868,7.868,1.272,1.272,0.000,1.272
313,910.793,0.000,-1.442,1.181,1.181,0.000,1.181
314,913.811,7.137,7.137,1.090,1.090,0.000,1.090
315,916.830,6.243,6.243,0.999,0.999,0.000,0.999
316,919.849,7.763,7.763,0.908,0.908,0.000,0.908
317,922.868,0.000,-6.132,0.818,0.818,0.000,0.818
318,925.888,14.507,14.507,0.727,0.727,0.000,0.727
319,928.907,4.453,4.453,0.636,0.636,0.000,0.636
320,931.927,0.000,-1.283,0.545,0.545,0.000,0.545
321,934.947,0.000,-6.077,0.454,0.454,0.000,0.454
322,937.967,1.978,1.978,0.363,0.363,0.000,0.363
323,940.987,0.000,-4.027,0.273,0.273,0.000,0.273
324,944.008,0.000,-3.926,0.182,0.182,0.000,0.182
325,947.028,4.234,4.234,0.091,0.091,0.000,0.091
326,950.049,0.000,-9.497,0.000,0.000,0.000,0.000
327,953.070,0.000,-2.287,0.024,0.024,0.000,0.024
328,956.091,3.873,3.873,0.048,0.048,0.000,0.048
329,959.112,8.599,8.599,0.073,0.073,0.000,0.073
330,962.133,8.759,8.759,0.097,0.097,0.000,0.097
331,965.154,0.000,-5.342,0.121,0.121,0.000,0.121
332,968.176,0.000,-1.926,0.145,0.145,0.000,0.145
333,971.198,1.759,1.759,0.169,0.169,0.000,0.169
334,974.219,0.000,-4.552,0.193,0.193,0.000,0.193
335,977.241,2.234,2.234,0.218,0.218,0.000,0.218
336,980.263,4.124,4.124,0.242,0.242,0.000,0.242
337,983.286,0.000,-0.136,0.266,0.266,0.000,0.266
338,986.308,0.755,0.755,0.290,0.290,0.000,0.290
339,989.330,0.000,-1.455,0.314,0.314,0.000,0.314
340,992.353,10.225,10.225,0.338,0.338,0.000,0.338
341,995.375,1.229,1.229,0.363,0.363,0.000,0.363
342,998.398,12.750,12.750,0.387,0.387,0.000,0.387
343,1001.421,0.000,-7.611,0.411,0.411,0.000,0.411
344,1004.444,8.796,8.796,0.435,0.435,0.000,0.435
345,1007.467,2.330,2.330,0.459,0.459,0.000,0.459
346,1010.490,1.700,1.700,0.484,0.484,0.000,0.484
