ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-Pb,pile-up
3367,1330.816,300.897,300.897,268.601,37.896,0.000,0.000,0.000,268.601
3368,1331.227,257.601,257.601,268.479,37.770,0.000,0.000,0.000,268.479
3369,1331.639,292.885,292.885,268.357,37.644,0.000,0.000,0.000,268.357
3370,1332.051,274.317,274.317,262.022,37.518,0.000,0.000,0.000,262.022
3371,1332.463,276.194,276.194,258.162,37.392,0.000,0.000,0.000,258.162
3372,1332.875,327.736,327.736,258.040,37.266,0.000,0.000,0.000,258.040
3373,1333.287,306.614,306.614,257.917,37.140,0.000,0.000,0.000,257.917
3374,1333.699,316.181,316.181,257.795,37.014,0.000,0.000,0.000,257.795
3375,1334.111,288.452,288.452,257.673,36.888,0.000,0.000,0.000,257.673
3376,1334.523,296.601,296.601,257.551,36.762,0.000,0.000,0.000,257.551
3377,1334.935,279.749,279.749,257.428,36.636,0.000,0.000,0.000,257.428
3378,1335.347,278.181,278.181,257.306,36.510,0.000,0.000,0.000,257.306
3379,1335.758,291.330,291.330,257.184,36.384,0.000,0.000,0.000,257.184
3380,1336.170,319.194,319.194,243.923,36.258,0.000,0.000,0.000,243.923
3381,1336.582,308.033,308.033,242.559,36.132,0.000,0.000,0.000,242.559
3382,1336.994,304.910,304.910,242.437,36.006,0.000,0.000,0.000,242.437
3383,1337.406,311.626,311.626,242.314,35.880,0.000,0.000,0.000,242.314
3384,1337.818,282.749,282.749,242.192,35.754,0.000,0.000,0.000,242.192
3385,1338.230,289.033,289.033,242.069,35.628,0.000,0.000,0.000,242.069
3386,1338.642,305.194,305.194,241.947,35.502,0.000,0.000,0.000,241.947
3387,1339.054,321.897,321.897,241.824,35.376,0.000,0.000,0.000,241.824
3388,1339.466,327.059,327.059,241.701,35.250,0.000,0.000,0.000,241.701
3389,1339.878,291.762,291.762,237.899,35.124,0.000,0.000,0.000,237.899
3390,1340.290,318.330,318.330,223.467,34.998,0.000,0.000,0.000,223.467
3391,1340.702,293.194,293.194,223.344,34.872,0.000,0.000,0.000,223.344
3392,1341.114,336.033,336.033,223.221,34.746,0.000,0.000,0.000,223.221
3393,1341.526,269.330,269.330,223.098,34.620,0.000,0.000,0.000,223.098
3394,1341.938,313.317,313.317,222.976,34.494,0.000,0.000,0.000,222.976
3395,1342.350,313.181,313.181,222.853,34.368,0.000,0.000,0.000,222.853
3396,1342.763,330.194,330.194,222.730,34.242,0.000,0.000,0.000,222.730
3397,1343.175,306.465,306.465,222.607,34.116,0.000,0.000,0.000,222.607
3398,1343.587,313.601,313.601,222.484,33.990,0.000,0.000,0.000,222.484
3399,1343.999,308.775,308.775,212.221,33.864,0.000,0.000,0.000,212.221
3400,1344.411,302.736,302.736,201.838,33.738,0.000,0.000,0.000,201.838
3401,1344.823,296.885,296.885,201.714,33.612,0.000,0.000,0.000,201.714
3402,1345.235,298.872,298.872,201.591,33.486,0.000,0.000,0.000,201.591
3403,1345.647,297.330,297.330,201.468,33.360,0.000,0.000,0.000,201.468
3404,1346.059,268.478,268.478,201.345,33.234,0.000,0.000,0.000,201.345
3405,1346.471,263.452,263.452,201.222,33.108,0.000,0.000,0.000,201.222
3406,1346.884,312.749,312.749,201.098,32.982,0.000,0.000,0.000,201.098
3407,1347.296,337.317,337.317,200.975,32.856,0.000,0.000,0.000,200.975
3408,1347.708,316.343,316.343,200.852,32.730,0.000,0.000,0.000,200.852
3409,1348.120,285.626,285.626,183.420,32.604,0.000,0.000,0.000,183.420
3410,1348.532,296.897,296.897,178.725,32.478,0.000,0.000,0.000,178.725
3411,1348.944,308.614,308.614,178.602,32.352,0.000,0.000,0.000,178.602
3412,1349.356,323.614,323.614,178.478,32.226,0.000,0.000,0.000,178.478
3413,1349.769,312.194,312.194,178.355,32.100,0.000,0.000,0.000,178.355
