ch,keV,net,fit,model,continuum_raw,Cs-137,pile-up
547,1599.773,2.844,2.844,0.027,0.000,0.000,0.027
548,1602.735,0.000,-0.844,0.029,0.000,0.000,0.029
549,1605.697,3.000,3.000,0.026,0.000,0.000,0.026
550,1608.658,0.813,0.813,0.026,0.000,0.000,0.026
551,1611.620,0.000,-1.062,0.027,0.000,0.000,0.027
552,1614.581,0.000,-0.250,0.028,0.000,0.000,0.028
553,1617.541,1.531,1.531,0.026,0.000,0.000,0.026
554,1620.502,0.031,0.031,0.026,0.000,0.000,0.026
555,1623.462,0.000,-1.781,0.026,0.000,0.000,0.026
556,1626.422,0.000,-0.750,0.027,0.000,0.000,0.027
557,1629.382,0.063,0.063,0.025,0.000,0.000,0.025
558,1632.342,0.000,-0.187,0.024,0.000,0.000,0.024
559,1635.301,0.906,0.906,0.024,0.000,0.000,0.024
560,1638.260,2.125,2.125,0.024,0.000,0.000,0.024
561,1641.218,3.594,3.594,0.021,0.000,0.000,0.021
562,1644.177,0.000,-0.906,0.023,0.000,0.000,0.023
563,1647.135,0.188,0.188,0.024,0.000,0.000,0.024
564,1650.093,1.406,1.406,0.023,0.000,0.000,0.023
565,1653.051,0.531,0.531,0.023,0.000,0.000,0.023
566,1656.008,0.000,-0.187,0.022,0.000,0.000,0.022
567,1658.965,0.156,0.156,0.022,0.000,0.000,0.022
568,1661.922,0.000,-0.844,0.023,0.000,0.000,0.023
569,1664.878,1.031,1.031,0.022,0.000,0.000,0.022
570,1667.835,0.000,-2.031,0.022,0.000,0.000,0.022
571,1670.791,2.094,2.094,0.021,0.000,0.000,0.021
572,1673.746,1.844,1.844,0.021,0.000,0.000,0.021
573,1676.702,0.000,-1.344,0.020,0.000,0.000,0.020
574,1679.657,1.563,1.563,0.021,0.000,0.000,0.021
575,1682.612,1.125,1.125,0.022,0.000,0.000,0.022
576,1685.567,0.000,-2.125,0.023,0.000,0.000,0.023
577,1688.521,0.000,-0.312,0.020,0.000,0.000,0.020
578,1691.475,1.781,1.781,0.019,0.000,0.000,0.019
579,1694.429,0.875,0.875,0.021,0.000,0.000,0.021
580,1697.382,0.000,-1.312,0.022,0.000,0.000,0.022
581,1700.336,0.000,-0.625,0.020,0.000,0.000,0.020
582,1703.288,0.031,0.031,0.020,0.000,0.000,0.020
583,1706.241,1.031,1.031,0.021,0.000,0.000,0.021
584,1709.194,0.563,0.563,0.020,0.000,0.000,0.020
585,1712.146,0.000,-2.969,0.020,0.000,0.000,0.020
586,1715.098,1.844,1.844,0.019,0.000,0.000,0.019
587,1718.049,1.875,1.875,0.019,0.000,0.000,0.019
588,1721.000,0.656,0.656,0.019,0.000,0.000,0.019
589,1723.951,0.000,0.000,0.019,0.000,0.000,0.019
590,1726.902,0.000,-0.750,0.020,0.000,0.000,0.020
591,1729.853,0.938,0.938,0.020,0.000,0.000,0.020
592,1732.803,1.719,1.719,0.018,0.000,0.000,0.018
593,1735.753,0.000,-0.562,0.018,0.000,0.000,0.018
594,1738.702,0.719,0.719,0.018,0.000,0.000,0.018
595,1741.651,1.375,1.375,0.018,0.000,0.000,0.018
596,1744.600,0.000,-0.250,0.018,0.000,0.000,0.018
597,1747.549,0.000,-0.031,0.017,0.000,0.000,0.017
598,1750.498,0.125,0.125,0.017,0.000,0.000,0.017
599,1753.446,2.813,2.813,0.016,0.000,0.000,0.016
600,1756.394,2.125,2.125,0.016,0.000,0.000,0.016
601,1759.341,0.000,-1.187,0.016,0.000,0.000,0.016
602,1762.288,0.000,-0.094,0.016,0.000,0.000,0.016
603,1765.235,0.000,-2.187,0.018,0.000,0.000,0.018
604,1768.182,0.750,0.750,0.016,0.000,0.000,0.016
605,1771.129,0.000,-0.812,0.015,0.000,0.000,0.015
606,1774.075,0.875,0.875,0.015,0.000,0.000,0.015
607,1777.021,0.000,-0.750,0.016,0.000,0.000,0.016
608,1779.966,0.000,-2.344,0.016,0.000,0.000,0.016
609,1782.911,0.000,-0.406,0.015,0.000,0.000,0.015
