ch,keV,net,fit,model,continuum_raw,Zn-65,Ann-511
0,-4.986,0.000,0.000,0.000,0.000,0.000,0.000
1,-2.214,0.000,0.000,0.006,0.006,0.005,0.000
2,0.560,0.000,0.000,0.206,0.206,0.190,0.016
3,3.335,0.000,0.000,0.323,0.323,0.297,0.025
4,6.111,0.000,0.000,0.270,0.270,0.249,0.021
5,8.889,0.000,-0.007,0.320,0.320,0.295,0.025
6,11.669,1.417,1.417,0.318,0.318,0.293,0.025
7,14.450,0.834,0.834,0.316,0.316,0.291,0.025
8,17.232,6.338,6.338,8.663,8.663,7.983,0.680
9,20.016,22.071,22.071,16.963,16.963,15.631,1.332
10,22.802,42.337,42.337,25.293,25.293,23.306,1.987
11,25.589,42.344,42.344,33.628,33.628,30.986,2.641
12,28.377,38.610,38.610,41.949,41.949,38.654,3.295
13,31.167,59.646,59.646,50.277,50.277,46.328,3.949
14,33.958,57.502,57.502,58.599,58.599,53.996,4.603
15,36.751,56.502,56.502,59.139,59.139,54.494,4.645
16,39.546,54.063,54.063,59.685,59.685,54.997,4.688
17,42.341,70.991,70.991,60.228,60.228,55.497,4.731
18,45.138,64.602,64.602,60.771,60.771,55.997,4.773
19,47.937,54.430,54.430,61.314,61.314,56.498,4.816
20,50.737,33.861,33.861,61.859,61.859,57.000,4.859
21,53.539,44.501,44.501,62.405,62.405,57.503,4.902
22,56.342,55.444,55.444,62.950,62.950,58.005,4.945
23,59.146,48.371,48.371,63.496,63.496,58.509,4.988
24,61.952,64.803,64.803,64.045,64.045,59.015,5.031
25,64.759,69.839,69.839,61.175,61.175,56.370,4.805
26,67.567,67.422,67.422,58.302,58.302,53.723,4.580
27,70.377,65.666,65.666,55.427,55.426,51.073,4.354
28,73.188,56.788,56.788,52.552,52.547,48.424,4.128
29,76.001,43.255,43.255,49.698,49.669,45.793,3.906
30,78.815,52.083,52.083,46.935,46.792,43.240,3.695
31,81.631,76.903,76.903,44.476,43.915,40.949,3.527
32,84.447,70.500,70.500,42.807,41.033,39.339,3.468
33,87.266,69.493,69.493,42.713,38.139,39.086,3.627
34,90.085,60.292,60.292,44.925,35.227,40.820,4.104
35,92.906,66.737,66.737,49.439,32.296,44.542,4.898
36,95.728,62.522,62.522,55.093,29.356,49.249,5.844
37,98.552,45.824,45.824,60.045,26.423,53.358,6.687
38,101.377,51.421,51.421,62.897,23.505,55.661,7.236
39,104.203,54.025,54.025,63.379,20.606,55.919,7.460
40,107.030,75.558,75.558,66.923,22.561,59.098,7.825
41,109.859,66.119,66.119,69.454,24.524,61.389,8.066
42,112.690,71.406,71.406,71.514,26.489,63.260,8.254
43,115.521,50.090,50.090,73.412,28.455,64.996,8.417
44,118.354,75.457,75.457,75.341,30.422,66.778,8.563
45,121.188,51.903,51.903,77.408,32.388,68.707,8.701
46,124.023,75.874,75.874,79.618,34.355,70.780,8.838
47,126.860,90.442,90.442,81.879,36.321,72.898,8.981
48,129.698,97.787,97.787,84.077,38.288,74.944,9.133
49,132.537,92.852,92.852,86.148,40.255,76.855,9.293
50,135.377,76.802,76.802,88.094,42.221,78.633,9.461
51,138.219,83.262,83.262,89.940,44.188,80.306,9.634
52,141.062,82.694,82.694,91.686,46.154,81.880,9.806
53,143.906,77.708,77.708,93.323,48.121,83.354,9.969
54,146.752,104.982,104.982,94.877,50.087,84.757,10.120
55,149.599,77.960,77.960,96.424,52.054,86.163,10.262
56,152.447,99.651,99.651,98.069,54.021,87.663,10.407
57,155.296,92.464,92.464,99.887,55.987,89.319,10.568
58,158.146,51.780,51.780,101.893,57.954,91.137,10.755
59,160.998,92.097,92.097,104.041,59.920,93.068,10.973
60,163.851,117.737,117.737,106.702,62.330,95.456,11.246
61,166.705,105.507,105.507,109.370,64.741,97.841,11.529
62,169.560,121.047,121.047,112.014,67.151,100.210,11.804
63,172.417,132.802,132.802,114.630,69.561,102.575,12.056
64,175.274,111.190,111.190,117.226,71.971,104.953,12.273
65,178.133,123.931,123.931,119.802,74.382,107.344,12.457
66,180.993,119.809,119.809,122.347,76.792,109.734,12.614
67,183.855,118.744,118.744,124.854,79.202,112.103,12.751
68,186.717,138.629,138.629,127.336,81.612,114.458,12.878
69,189.581,149.385,149.385,129.836,84.023,116.836,13.000
70,192.445,114.917,114.917,132.428,86.433,119.308,13.120
71,195.311,149.874,149.874,135.197,88.843,121.955,13.241
72,198.178,134.816,134.816,138.207,91.253,124.841,13.366
73,201.047,160.701,160.701,141.474,93.664,127.979,13.495
74,203.916,192.917,192.917,144.945,96.074,131.315,13.630
75,206.787,157.579,157.579,148.502,98.484,134.734,13.768
76,209.658,196.500,196.500,151.997,100.894,138.089,13.908
77,212.531,188.500,188.500,155.290,103.305,141.243,14.047
78,215.405,207.788,207.788,158.293,105.715,144.107,14.185
79,218.280,231.327,231.327,160.986,108.125,146.665,14.321
80,221.156,205.363,205.363,163.413,110.535,148.956,14.457
81,224.033,215.781,215.781,165.653,112.945,151.060,14.593
82,226.912,226.205,226.205,167.791,115.356,153.059,14.731
83,229.791,246.068,246.068,169.894,117.766,155.023,14.872
84,232.672,216.651,216.651,172.010,120.176,156.996,15.014
85,235.553,212.939,212.939,174.162,122.586,159.003,15.159
86,238.436,213.356,213.356,170.278,118.915,155.408,14.871
87,241.320,163.320,163.320,166.438,115.243,151.851,14.588
88,244.205,174.349,174.349,162.633,111.571,148.322,14.311
89,247.091,171.472,171.472,158.847,107.899,144.807,14.040
90,249.978,149.062,149.062,155.061,104.228,141.286,13.775
91,252.866,133.616,133.616,151.255,100.556,137.740,13.514
92,255.755,133.508,133.508,147.413,96.884,134.158,13.255
93,258.645,106.414,106.414,143.529,93.212,130.535,12.994
94,261.536,107.479,107.479,139.608,89.540,126.877,12.731
95,264.429,100.530,100.530,135.669,85.869,123.204,12.464
96,267.322,86.314,86.314,131.741,82.197,119.544,12.197
97,270.216,128.012,128.012,127.858,78.525,115.926,11.931
98,273.112,88.515,88.515,124.051,74.853,112.377,11.674
99,276.008,78.681,78.681,120.338,71.181,108.910,11.428
100,278.906,93.523,93.523,116.719,67.510,105.519,11.199
101,281.804,93.184,93.184,113.174,63.838,102.185,10.988
102,284.703,86.415,86.415,109.667,60.166,98.873,10.794
103,287.604,79.674,79.674,106.159,56.494,95.547,10.612
104,290.505,78.091,78.091,102.614,52.823,92.176,10.438
105,293.408,88.048,88.048,99.010,49.151,88.744,10.266
106,296.311,83.580,83.580,95.343,45.479,85.253,10.091
107,299.215,70.904,70.904,91.626,41.807,81.717,9.909
108,302.121,51.098,51.098,87.878,38.135,78.159,9.718
109,305.027,72.113,72.113,84.118,34.464,74.601,9.517
110,307.934,67.213,67.213,80.362,30.792,71.060,9.302
111,310.843,67.847,67.847,76.616,27.120,67.545,9.070
112,313.752,80.638,80.638,72.874,23.448,64.060,8.815
113,316.662,47.904,47.904,69.129,19.776,60.603,8.526
114,319.573,67.437,67.437,65.367,16.105,57.172,8.195
115,322.485,38.955,38.955,61.572,12.433,53.762,7.810
116,325.398,84.135,84.135,57.731,8.761,50.365,7.366
117,328.312,61.221,61.221,53.831,5.089,46.974,6.857
118,331.227,77.761,77.761,49.865,1.418,43.579,6.287
119,334.143,51.573,51.573,49.627,1.540,43.712,5.915
120,337.060,78.293,78.293,49.327,1.662,43.824,5.502
121,339.977,52.753,52.753,48.979,1.784,43.910,5.069
122,342.896,63.725,63.725,48.601,1.906,43.969,4.633
123,345.815,45.329,45.329,48.218,2.028,44.005,4.213
124,348.736,70.940,70.940,47.853,2.150,44.029,3.824
125,351.657,58.991,58.991,47.531,2.272,44.055,3.476
126,354.579,67.530,67.530,47.271,2.394,44.097,3.174
127,357.502,47.638,47.638,47.088,2.516,44.169,2.919
128,360.426,58.120,58.120,46.985,2.638,44.278,2.707
129,363.351,64.092,64.092,46.959,2.760,44.425,2.534
130,366.277,48.531,48.531,46.994,2.882,44.601,2.392
131,369.203,53.459,53.459,47.068,3.004,44.791,2.278
132,372.131,54.869,54.869,47.158,3.126,44.974,2.183
133,375.059,49.502,49.502,47.235,3.248,45.131,2.105
134,377.988,59.063,59.063,47.281,3.371,45.242,2.039
135,380.918,55.926,55.926,47.282,3.493,45.300,1.982
136,383.849,39.243,39.243,47.235,3.615,45.303,1.932
137,386.781,46.243,46.243,47.148,3.737,45.261,1.888
138,389.713,54.531,54.531,47.036,3.859,45.188,1.848
139,392.647,43.840,43.840,46.918,3.981,45.106,1.812
140,395.581,73.186,73.186,46.814,4.103,45.035,1.779
141,398.516,71.337,71.337,46.741,4.225,44.991,1.750
142,401.452,55.337,55.337,46.712,4.347,44.987,1.725
143,404.388,43.768,43.768,46.731,4.469,45.028,1.703
144,407.326,42.164,42.164,46.799,4.591,45.114,1.685
145,410.264,39.085,39.085,46.911,4.713,45.239,1.672
146,413.203,56.171,56.171,47.059,4.835,45.397,1.662
147,416.143,38.294,38.294,47.233,4.957,45.577,1.656
148,419.084,38.740,38.740,47.425,5.079,45.772,1.653
149,422.025,57.545,57.545,47.627,5.201,45.973,1.654
150,424.968,67.891,67.891,47.832,5.323,46.176,1.656
151,427.911,39.934,39.934,48.035,5.446,46.376,1.659
152,430.854,42.430,42.430,48.234,5.568,46.571,1.664
153,433.799,73.186,73.186,48.427,5.690,46.758,1.669
154,436.744,58.164,58.164,48.611,5.812,46.935,1.676
155,439.690,30.905,30.905,48.788,5.934,47.103,1.685
156,442.637,46.905,46.905,48.959,6.056,47.259,1.701
157,445.585,56.351,56.351,49.130,6.178,47.404,1.726
158,448.533,43.466,43.466,49.309,6.300,47.541,1.768
159,451.483,41.236,41.236,49.512,6.422,47.672,1.840
160,454.432,52.632,52.632,49.592,6.374,47.644,1.947
161,457.383,38.171,38.171,49.751,6.326,47.623,2.129
162,460.334,56.028,56.028,50.036,6.279,47.612,2.424
163,463.286,46.179,46.179,50.508,6.231,47.617,2.892
164,466.239,62.711,62.711,51.247,6.183,47.638,3.609
165,469.193,56.006,56.006,52.354,6.135,47.675,4.679
166,472.147,39.171,39.171,53.950,6.088,47.723,6.227
167,475.102,60.776,60.776,56.174,6.040,47.777,8.397
168,478.058,36.272,36.272,59.168,5.992,47.829,11.339
169,481.014,57.790,57.790,63.062,5.944,47.873,15.189
170,483.971,68.675,68.675,67.948,5.896,47.904,20.044
171,486.929,69.639,69.639,73.849,5.849,47.919,25.929
172,489.887,91.287,91.287,80.690,5.801,47.919,32.771
173,492.846,73.488,73.488,88.276,5.753,47.905,40.371
174,495.806,105.531,105.531,96.283,5.705,47.881,48.402
175,498.767,103.596,103.596,104.267,5.657,47.851,56.416
176,501.728,93.200,93.200,111.702,5.610,47.821,63.881
177,504.690,108.193,108.193,118.030,5.562,47.797,70.233
178,507.652,114.092,114.092,122.732,5.514,47.781,74.951
179,510.615,150.481,150.481,125.397,5.466,47.779,77.618
180,513.579,132.574,132.574,125.777,5.419,47.789,77.987
181,516.544,137.963,137.963,123.829,5.371,47.812,76.017
182,519.509,131.891,131.891,119.719,5.323,47.844,71.875
183,522.475,125.510,125.510,113.798,5.275,47.879,65.918
184,525.441,110.949,110.949,106.548,5.227,47.911,58.637
185,528.408,82.625,82.625,98.521,5.180,47.932,50.588
186,531.376,101.395,101.395,90.264,5.132,47.935,42.329
187,534.344,84.085,84.085,82.265,5.084,47.914,34.351
188,537.313,71.884,71.884,74.902,5.036,47.868,27.034
189,540.283,61.503,61.503,68.430,4.989,47.796,20.634
190,543.253,75.783,75.783,62.976,4.941,47.702,15.274
191,546.224,66.603,66.603,58.558,4.893,47.593,10.964
