ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI,continuum
395,1156.358,17689.329,17689.329,18170.715,1830.089,18170.715,0.000,0.000
396,1159.373,16074.355,16074.355,16621.239,1814.911,16621.239,0.000,0.000
397,1162.388,14662.632,14662.632,15235.466,1799.732,15235.466,0.000,0.000
398,1165.403,13281.210,13281.210,14009.790,1784.554,14009.790,0.000,0.000
399,1168.418,12201.342,12201.342,12936.940,1769.375,12936.940,0.000,0.000
400,1171.433,11335.342,11335.342,12006.818,1754.197,12006.818,0.000,0.000
401,1174.448,10457.776,10457.776,11207.300,1739.018,11207.300,0.000,0.000
402,1177.463,9708.921,9708.921,10524.982,1723.840,10524.982,0.000,0.000
403,1180.477,9226.585,9226.585,9945.837,1708.661,9945.837,0.000,0.000
404,1183.492,8744.414,8744.414,9455.758,1693.483,9455.758,0.000,0.000
405,1186.507,8236.645,8236.645,9041.002,1678.304,9041.002,0.000,0.000
406,1189.521,7845.414,7845.414,8688.518,1663.126,8688.518,0.000,0.000
407,1192.536,7607.730,7607.730,8386.194,1647.947,8386.194,0.000,0.000
408,1195.551,7201.645,7201.645,8123.012,1632.769,8123.012,0.000,0.000
409,1198.565,7094.961,7094.961,7889.152,1617.590,7889.152,0.000,0.000
410,1201.580,6940.250,6940.250,7676.045,1602.412,7676.045,0.000,0.000
411,1204.594,6553.671,6553.671,7476.392,1587.233,7476.392,0.000,0.000
412,1207.608,6406.500,6406.500,7284.162,1572.055,7284.162,0.000,0.000
413,1210.623,6217.309,6217.309,7094.571,1556.876,7094.571,0.000,0.000
414,1213.637,6285.441,6285.441,6904.045,1541.698,6904.045,0.000,0.000
415,1216.651,5920.007,5920.007,6710.173,1526.519,6710.173,0.000,0.000
416,1219.665,6036.382,6036.382,6511.637,1511.341,6511.637,0.000,0.000
417,1222.679,5724.961,5724.961,6311.488,1499.517,6311.488,0.000,0.000
418,1225.693,5631.395,5631.395,6106.978,1487.693,6106.978,0.000,0.000
419,1228.707,5607.322,5607.322,5899.505,1475.869,5899.505,0.000,0.000
420,1231.721,5625.934,5625.934,5691.120,1464.045,5691.120,0.000,0.000
421,1234.734,5147.092,5147.092,5484.370,1452.222,5484.370,0.000,0.000
422,1237.748,5259.033,5259.033,5282.138,1440.398,5282.138,0.000,0.000
423,1240.761,4884.803,4884.803,5087.468,1428.574,5087.468,0.000,0.000
424,1243.775,4825.684,4825.684,4903.393,1416.750,4903.393,0.000,0.000
425,1246.788,4624.684,4624.684,4732.778,1404.926,4732.778,0.000,0.000
426,1249.802,4626.599,4626.599,4578.161,1393.103,4578.161,0.000,0.000
427,1252.815,4545.467,4545.467,4441.627,1381.279,4441.627,0.000,0.000
428,1255.828,4447.480,4447.480,4324.696,1369.455,4324.696,0.000,0.000
429,1258.841,4547.901,4547.901,4228.247,1357.631,4228.247,0.000,0.000
430,1261.854,4332.132,4332.132,4152.464,1345.807,4152.464,0.000,0.000
431,1264.867,4316.612,4316.612,4096.822,1333.983,4096.822,0.000,0.000
432,1267.879,4224.757,4224.757,4060.104,1322.160,4060.104,0.000,0.000
433,1270.892,4382.770,4382.770,4040.444,1310.336,4040.444,0.000,0.000
434,1273.904,4284.638,4284.638,4035.411,1298.512,4035.411,0.000,0.000
435,1276.917,4292.612,4292.612,4042.113,1286.688,4042.113,0.000,0.000
436,1279.929,4235.671,4235.671,4057.328,1274.864,4057.328,0.000,0.000
437,1282.941,4333.553,4333.553,4077.655,1263.040,4077.655,0.000,0.000
438,1285.953,4197.651,4197.651,4099.679,1251.217,4099.679,0.000,0.000
439,1288.965,4299.289,4299.289,4120.142,1239.393,4120.142,0.000,0.000
440,1291.977,4437.164,4437.164,4136.126,1227.569,4136.126,0.000,0.000
441,1294.989,4209.987,4209.987,4145.214,1215.745,4145.214,0.000,0.000
442,1298.001,4338.276,4338.276,4145.660,1203.921,4145.660,0.000,0.000
443,1301.012,4335.625,4335.625,4136.530,1192.098,4136.530,0.000,0.000
444,1304.024,4280.974,4280.974,4117.823,1180.274,4117.823,0.000,0.000
445,1307.035,4319.480,4319.480,4090.570,1168.450,4090.570,0.000,0.000
446,1310.046,4192.072,4192.072,4056.901,1156.626,4056.901,0.000,0.000
447,1313.057,4104.987,4104.987,4020.079,1144.802,4020.079,0.000,0.000
448,1316.068,4244.987,4244.987,3984.508,1132.978,3984.508,0.000,0.000
449,1319.079,4186.507,4186.507,3955.695,1121.155,3955.695,0.000,0.000
450,1322.089,3992.507,3992.507,3940.194,1109.331,3940.194,0.000,0.000
451,1325.100,4040.434,4040.434,3945.502,1097.507,3945.502,0.000,0.000
452,1328.110,4048.000,4048.000,3979.935,1085.683,3979.935,0.000,0.000
453,1331.120,4077.651,4077.651,4052.454,1073.859,4052.454,0.000,0.000
454,1334.130,4241.072,4241.072,4172.476,1062.036,4172.476,0.000,0.000
455,1337.140,4607.118,4607.118,4349.630,1050.212,4349.630,0.000,0.000
456,1340.150,4708.974,4708.974,4593.493,1038.388,4593.493,0.000,0.000
457,1343.160,4995.770,4995.770,4913.280,1026.564,4913.280,0.000,0.000
458,1346.169,5466.013,5466.013,5317.505,1014.740,5317.505,0.000,0.000
459,1349.179,5666.191,5666.191,5813.614,1002.916,5813.614,0.000,0.000
460,1352.188,6505.059,6505.059,6407.591,991.093,6407.591,0.000,0.000
461,1355.197,7118.349,7118.349,7103.558,979.269,7103.558,0.000,0.000
462,1358.206,7786.349,7786.349,7903.377,967.445,7903.377,0.000,0.000
463,1361.215,8607.638,8607.638,8806.275,955.621,8806.275,0.000,0.000
464,1364.223,9766.178,9766.178,9808.511,943.797,9808.511,0.000,0.000
465,1367.232,10726.033,10726.033,10903.114,931.973,10903.114,0.000,0.000
466,1370.240,11652.322,11652.322,12079.719,920.150,12079.719,0.000,0.000
467,1373.248,13236.625,13236.625,13324.509,908.326,13324.509,0.000,0.000
468,1376.256,13980.684,13980.684,14620.304,896.502,14620.304,0.000,0.000
469,1379.264,15584.974,15584.974,15946.801,884.678,15946.801,0.000,0.000
470,1382.271,17155.020,17155.020,17280.973,872.854,17280.973,0.000,0.000
471,1385.279,18245.033,18245.033,18597.621,861.031,18597.621,0.000,0.000
472,1388.286,19880.684,19880.684,19870.079,849.207,19870.079,0.000,0.000
473,1391.293,20956.309,20956.309,21071.040,837.383,21071.040,0.000,0.000
474,1394.300,22063.224,22063.224,22173.467,825.559,22173.467,0.000,0.000
475,1397.307,23342.053,23342.053,23151.554,813.735,23151.554,0.000,0.000
476,1400.314,24052.908,24052.908,23981.693,801.911,23981.693,0.000,0.000
477,1403.320,24695.789,24695.789,24643.383,790.088,24643.383,0.000,0.000
478,1406.327,25441.546,25441.546,25120.043,778.264,25120.043,0.000,0.000
479,1409.333,25850.026,25850.026,25399.677,766.440,25399.677,0.000,0.000
480,1412.339,26139.895,26139.895,25475.351,754.616,25475.351,0.000,0.000
481,1415.344,25639.145,25639.145,25345.456,742.792,25345.456,0.000,0.000
482,1418.350,25897.303,25897.303,25013.746,730.969,25013.746,0.000,0.000
483,1421.355,25367.132,25367.132,24489.136,719.145,24489.136,0.000,0.000
484,1424.360,24502.566,24502.566,23785.284,707.321,23785.284,0.000,0.000
485,1427.365,23753.539,23753.539,22919.982,695.497,22919.982,0.000,0.000
486,1430.370,22362.263,22362.263,21914.389,683.673,21914.389,0.000,0.000
487,1433.375,21480.020,21480.020,20792.149,671.849,20792.149,0.000,0.000
488,1436.379,20181.250,20181.250,19578.457,660.026,19578.457,0.000,0.000
489,1439.384,18969.974,18969.974,18299.104,648.202,18299.104,0.000,0.000
490,1442.388,17272.599,17272.599,16979.571,636.378,16979.571,0.000,0.000
491,1445.391,15538.888,15538.888,15644.204,624.554,15644.204,0.000,0.000
492,1448.395,14334.132,14334.132,14315.504,612.730,14315.504,0.000,0.000
493,1451.399,13266.770,13266.770,13013.568,600.906,13013.568,0.000,0.000
494,1454.402,11706.204,11706.204,11755.678,589.083,11755.678,0.000,0.000
495,1457.405,10633.974,10633.974,10556.065,577.259,10556.065,0.000,0.000
496,1460.408,9373.237,9373.237,9425.819,565.435,9425.819,0.000,0.000
497,1463.410,8499.553,8499.553,8372.940,553.611,8372.940,0.000,0.000
498,1466.413,7361.230,7361.230,7402.517,541.787,7402.517,0.000,0.000
499,1469.415,6435.750,6435.750,6516.991,529.964,6516.991,0.000,0.000
500,1472.417,5818.895,5818.895,5716.490,518.140,5716.490,0.000,0.000
501,1475.419,4907.099,4907.099,4999.204,506.316,4999.204,0.000,0.000
502,1478.421,4339.717,4339.717,4361.770,494.492,4361.770,0.000,0.000
503,1481.422,3937.184,3937.184,3799.656,482.668,3799.656,0.000,0.000
504,1484.423,3446.947,3446.947,3307.512,470.844,3307.512,0.000,0.000
505,1487.424,2965.105,2965.105,2879.493,459.021,2879.493,0.000,0.000
506,1490.425,2678.454,2678.454,2509.524,447.197,2509.524,0.000,0.000
507,1493.426,2334.408,2334.408,2191.527,435.373,2191.527,0.000,0.000
508,1496.426,2086.480,2086.480,1927.456,431.411,1927.456,0.000,0.000
509,1499.426,1935.289,1935.289,1703.834,427.448,1703.834,0.000,0.000
510,1502.426,1836.638,1836.638,1515.426,423.486,1515.426,0.000,0.000
511,1505.426,1661.217,1661.217,1357.425,419.523,1357.425,0.000,0.000
512,1508.425,1509.388,1509.388,1225.477,415.561,1225.477,0.000,0.000
513,1511.424,1467.737,1467.737,1115.676,411.598,1115.676,0.000,0.000
514,1514.423,1353.895,1353.895,1024.552,407.636,1024.552,0.000,0.000
515,1517.422,1337.750,1337.750,949.046,403.673,949.046,0.000,0.000
516,1520.421,1400.197,1400.197,886.479,399.711,886.479,0.000,0.000
517,1523.419,1354.632,1354.632,834.520,395.748,834.520,0.000,0.000
518,1526.417,1364.428,1364.428,791.153,391.786,791.153,0.000,0.000
519,1529.415,1286.849,1286.849,754.648,387.823,754.648,0.000,0.000
520,1532.413,1341.704,1341.704,723.532,383.861,723.532,0.000,0.000
521,1535.410,1251.355,1251.355,696.563,379.898,696.563,0.000,0.000
522,1538.407,1252.776,1252.776,672.708,375.936,672.708,0.000,0.000
523,1541.404,1234.342,1234.342,651.120,371.973,651.120,0.000,0.000
524,1544.401,1241.717,1241.717,631.122,368.011,631.122,0.000,0.000
525,1547.398,1211.368,1211.368,612.185,364.048,612.185,0.000,0.000
526,1550.394,1184.283,1184.283,593.912,360.086,593.912,0.000,0.000
527,1553.390,1199.849,1199.849,576.020,356.123,576.020,0.000,0.000
528,1556.386,1180.355,1180.355,558.325,352.161,558.325,0.000,0.000
529,1559.381,1131.138,1131.138,540.726,348.199,540.726,0.000,0.000
530,1562.377,1047.849,1047.849,523.188,344.236,523.188,0.000,0.000
531,1565.372,1049.704,1049.704,505.727,340.274,505.727,0.000,0.000
532,1568.366,940.789,940.789,488.398,336.311,488.398,0.000,0.000
533,1571.361,944.355,944.355,471.284,332.349,471.284,0.000,0.000
534,1574.355,863.428,863.428,454.479,328.386,454.479,0.000,0.000
535,1577.349,839.717,839.717,438.084,324.424,438.084,0.000,0.000
536,1580.343,709.211,709.211,422.198,320.461,422.198,0.000,0.000
537,1583.337,698.572,698.572,406.911,316.499,406.911,0.000,0.000
538,1586.330,672.224,672.224,392.297,312.536,392.297,0.000,0.000
539,1589.323,605.066,605.066,378.416,308.574,378.416,0.000,0.000
540,1592.316,487.007,487.007,365.310,304.611,365.310,0.000,0.000
541,1595.309,521.500,521.500,353.002,300.649,353.002,0.000,0.000
542,1598.301,427.632,427.632,341.497,296.686,341.497,0.000,0.000
543,1601.293,438.645,438.645,330.785,292.724,330.785,0.000,0.000
544,1604.285,403.441,403.441,320.841,288.761,320.841,0.000,0.000
545,1607.276,342.500,342.500,311.627,284.799,311.627,0.000,0.000
546,1610.268,277.151,277.151,303.100,280.836,303.100,0.000,0.000
547,1613.259,265.007,265.007,295.205,276.874,295.205,0.000,0.000
548,1616.250,248.730,248.730,287.888,272.911,287.888,0.000,0.000
549,1619.240,215.368,215.368,281.089,268.949,281.089,0.000,0.000
550,1622.230,235.934,235.934,274.751,264.987,274.751,0.000,0.000
551,1625.221,209.224,209.224,268.816,261.024,268.816,0.000,0.000
552,1628.210,218.789,218.789,263.231,257.062,263.231,0.000,0.000
553,1631.200,202.599,202.599,257.946,253.099,257.946,0.000,0.000
554,1634.189,169.441,169.441,252.915,249.137,252.915,0.000,0.000
555,1637.178,177.875,177.875,248.096,245.174,248.096,0.000,0.000
556,1640.167,169.947,169.947,243.454,241.212,243.454,0.000,0.000
557,1643.155,183.513,183.513,238.956,237.249,238.956,0.000,0.000
558,1646.143,179.934,179.934,234.576,233.287,234.576,0.000,0.000
559,1649.131,188.151,188.151,230.290,229.324,230.290,0.000,0.000
560,1652.119,136.658,136.658,226.080,225.362,226.080,0.000,0.000
561,1655.106,188.428,188.428,221.929,221.399,221.929,0.000,0.000
562,1658.093,174.586,174.586,217.825,217.437,217.825,0.000,0.000
563,1661.080,178.803,178.803,213.756,213.474,213.756,0.000,0.000
564,1664.067,182.309,182.309,209.715,209.512,209.715,0.000,0.000
565,1667.053,154.599,154.599,205.695,205.549,205.695,0.000,0.000
566,1670.039,147.934,147.934,201.690,201.587,201.690,0.000,0.000
567,1673.025,139.730,139.730,197.697,197.624,197.697,0.000,0.000
568,1676.010,156.730,156.730,193.713,193.662,193.713,0.000,0.000
569,1678.996,163.441,163.441,189.735,189.700,189.735,0.000,0.000
570,1681.980,140.296,140.296,185.761,185.737,185.761,0.000,0.000
571,1684.965,152.586,152.586,181.791,181.775,181.791,0.000,0.000
572,1687.949,159.007,159.007,177.823,177.812,177.823,0.000,0.000
573,1690.934,139.572,139.572,173.857,173.850,173.857,0.000,0.000
574,1693.917,132.355,132.355,169.892,169.887,169.892,0.000,0.000
575,1696.901,141.658,141.658,165.928,165.925,165.928,0.000,0.000
576,1699.884,120.079,120.079,161.964,161.962,161.964,0.000,0.000
577,1702.867,118.645,118.645,158.001,158.000,158.001,0.000,0.000
578,1705.850,116.862,116.862,154.038,154.037,154.038,0.000,0.000
579,1708.832,102.079,102.079,150.075,150.075,150.075,0.000,0.000
580,1711.815,107.645,107.645,146.113,146.112,146.113,0.000,0.000
581,1714.796,103.921,103.921,142.150,142.150,142.150,0.000,0.000
582,1717.778,85.441,85.441,138.187,138.187,138.187,0.000,0.000
583,1720.759,92.441,92.441,134.225,134.225,134.225,0.000,0.000
584,1723.740,71.355,71.355,130.262,130.262,130.262,0.000,0.000
585,1726.721,52.125,52.125,126.300,126.300,126.300,0.000,0.000
586,1729.702,61.007,61.007,122.337,122.337,122.337,0.000,0.000
