P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=0 killesc=0
RESULT decays=4000000
RESULT any=404226 eps_total=1.010565e-01
RESULT window=1460.820 counts=123161 eps=3.079025e-02
HISTBEGIN bins=1462 bin_kev=1.000000 decays=4000000
HIST 579 193
HIST 580 214
HIST 581 198
HIST 582 154
HIST 583 204
HIST 584 170
HIST 585 191
HIST 586 189
HIST 587 179
HIST 588 172
HIST 589 198
HIST 590 185
HIST 591 188
HIST 592 203
HIST 593 194
HIST 594 183
HIST 595 199
HIST 596 214
HIST 597 165
HIST 598 182
HIST 599 186
HIST 600 210
HIST 601 181
HIST 602 199
HIST 603 185
HIST 604 164
HIST 605 183
HIST 606 176
HIST 607 168
HIST 608 177
HIST 609 177
HIST 610 184
HIST 611 182
HIST 612 201
HIST 613 169
HIST 614 177
HIST 615 182
HIST 616 167
HIST 617 202
HIST 618 172
HIST 619 194
HIST 620 180
HIST 621 179
HIST 622 158
HIST 623 202
HIST 624 158
HIST 625 165
HIST 626 180
HIST 627 168
HIST 628 192
HIST 629 198
HIST 630 196
HIST 631 187
HIST 632 166
HIST 633 182
HIST 634 187
HIST 635 224
HIST 636 163
HIST 637 199
HIST 638 171
HIST 639 181
HIST 640 191
HIST 641 173
HIST 642 208
HIST 643 214
HIST 644 171
HIST 645 186
HIST 646 185
HIST 647 160
HIST 648 197
HIST 649 197
HIST 650 188
HIST 651 154
HIST 652 188
HIST 653 185
HIST 654 183
HIST 655 180
HIST 656 191
HIST 657 173
HIST 658 214
HIST 659 183
HIST 660 185
HIST 661 159
HIST 662 199
HIST 663 154
HIST 664 195
HIST 665 164
HIST 666 196
HIST 667 183
HIST 668 195
HIST 669 185
HIST 670 158
HIST 671 174
HIST 672 196
HIST 673 195
HIST 674 200
HIST 675 172
HIST 676 188
HIST 677 193
HIST 678 164
HIST 679 173
HIST 680 193
HIST 681 195
HIST 682 165
HIST 683 197
HIST 684 166
HIST 685 151
HIST 686 177
HIST 687 174
HIST 688 176
HIST 689 183
HIST 690 165
HIST 691 201
HIST 692 200
HIST 693 161
HIST 694 166
HIST 695 170
HIST 696 198
HIST 697 203
HIST 698 178
HIST 699 217
HIST 700 183
HIST 701 192
HIST 702 181
