P55 flags: vacuum=1 nofluct=0 nodelta=1 lowcut=0 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_4
RESULT decays=8000000
RESULT any=702273 eps_total=8.778413e-02
RESULT window=2614.511 counts=124478 eps=1.555975e-02
HISTBEGIN bins=2616 bin_kev=1.000000 decays=8000000
HIST 826 141
HIST 827 172
HIST 828 127
HIST 829 152
HIST 830 171
HIST 831 155
HIST 832 173
HIST 833 156
HIST 834 160
HIST 835 154
HIST 836 182
HIST 837 186
HIST 838 155
HIST 839 175
HIST 840 150
HIST 841 141
HIST 842 147
HIST 843 143
HIST 844 151
HIST 845 146
HIST 846 130
HIST 847 149
HIST 848 167
HIST 849 180
HIST 850 152
HIST 851 157
HIST 852 169
HIST 853 148
HIST 854 145
HIST 855 143
HIST 856 141
HIST 857 144
HIST 858 154
HIST 859 129
HIST 860 164
HIST 861 181
HIST 862 155
HIST 863 122
HIST 864 157
HIST 865 152
HIST 866 153
HIST 867 143
HIST 868 160
HIST 869 144
HIST 870 146
HIST 871 150
HIST 872 161
HIST 873 162
HIST 874 159
HIST 875 156
HIST 876 141
HIST 877 140
HIST 878 151
HIST 879 138
HIST 880 151
HIST 881 156
HIST 882 175
HIST 883 146
HIST 884 132
HIST 885 150
HIST 886 150
HIST 887 159
HIST 888 147
HIST 889 137
HIST 890 159
HIST 891 152
HIST 892 140
HIST 893 147
HIST 894 160
HIST 895 136
HIST 896 142
HIST 897 143
HIST 898 144
HIST 899 145
HIST 900 160
HIST 901 154
HIST 902 137
HIST 903 151
HIST 904 160
HIST 905 166
HIST 906 172
HIST 907 166
HIST 908 149
HIST 909 157
HIST 910 156
HIST 911 331
HIST 912 152
HIST 913 146
HIST 914 174
HIST 915 152
HIST 916 148
HIST 917 129
HIST 918 136
HIST 919 154
HIST 920 157
HIST 921 163
HIST 922 177
HIST 923 156
HIST 924 143
HIST 925 154
HIST 926 163
HIST 927 144
HIST 928 151
HIST 929 152
HIST 930 133
HIST 931 143
HIST 932 144
HIST 933 151
HIST 934 164
HIST 935 153
HIST 936 147
HIST 937 135
HIST 938 149
HIST 939 149
HIST 940 140
HIST 941 151
HIST 942 145
HIST 943 135
HIST 944 147
HIST 945 150
HIST 946 146
HIST 947 143
HIST 948 174
HIST 949 145
HIST 950 160
HIST 951 153
HIST 952 146
HIST 953 165
HIST 954 150
HIST 955 151
HIST 956 165
HIST 957 132
HIST 958 161
HIST 959 171
HIST 960 159
HIST 961 135
HIST 962 142
HIST 963 129
HIST 964 144
HIST 965 169
HIST 966 179
HIST 967 148
HIST 968 152
HIST 969 268
HIST 970 140
HIST 971 150
HIST 972 151
HIST 973 165
HIST 974 152
HIST 975 152
HIST 976 157
HIST 977 163
HIST 978 153
HIST 979 151
HIST 980 184
HIST 981 143
HIST 982 136
HIST 983 135
HIST 984 168
HIST 985 130
HIST 986 156
HIST 987 153
HIST 988 151
HIST 989 132
HIST 990 154
HIST 991 149
HIST 992 134
HIST 993 143
HIST 994 170
HIST 995 147
HIST 996 157
HIST 997 134
HIST 998 143
HIST 999 131
HIST 1000 148
HIST 1001 148
HIST 1002 136
HIST 1003 121
HIST 1004 138
HIST 1005 133
HIST 1006 159
HIST 1007 153
HIST 1008 148
HIST 1009 142
HIST 1010 129
HIST 1011 126
HIST 1012 159
HIST 1013 148
HIST 1014 170
HIST 1015 148
HIST 1016 147
HIST 1017 156
HIST 1018 155
HIST 1019 158
HIST 1020 147
HIST 1021 131
HIST 1022 192
HIST 1023 156
HIST 1024 140
HIST 1025 166
HIST 1026 145
HIST 1027 142
HIST 1028 142
HIST 1029 139
HIST 1030 163
HIST 1031 117
HIST 1032 141
HIST 1033 150
HIST 1034 135
HIST 1035 163
HIST 1036 137
HIST 1037 131
HIST 1038 150
HIST 1039 155
HIST 1040 145
HIST 1041 139
HIST 1042 167
HIST 1043 142
HIST 1044 151
HIST 1045 153
HIST 1046 142
HIST 1047 160
HIST 1048 129
HIST 1049 133
HIST 1050 140
HIST 1051 140
HIST 1052 119
HIST 1053 147
HIST 1054 154
HIST 1055 161
HIST 1056 134
HIST 1057 153
HIST 1058 162
HIST 1059 145
HIST 1060 131
HIST 1061 144
HIST 1062 144
HIST 1063 147
HIST 1064 141
HIST 1065 131
HIST 1066 134
HIST 1067 141
HIST 1068 140
HIST 1069 174
HIST 1070 148
HIST 1071 140
HIST 1072 157
HIST 1073 142
HIST 1074 157
HIST 1075 128
HIST 1076 139
HIST 1077 144
HIST 1078 167
HIST 1079 151
HIST 1080 126
HIST 1081 140
HIST 1082 145
HIST 1083 123
HIST 1084 129
HIST 1085 175
HIST 1086 148
HIST 1087 139
HIST 1088 135
HIST 1089 150
HIST 1090 165
HIST 1091 150
HIST 1092 152
HIST 1093 149
HIST 1094 174
HIST 1095 143
HIST 1096 144
HIST 1097 143
HIST 1098 135
HIST 1099 132
HIST 1100 155
HIST 1101 141
HIST 1102 146
HIST 1103 148
HIST 1104 134
HIST 1105 160
HIST 1106 155
HIST 1107 129
HIST 1108 130
HIST 1109 140
HIST 1110 133
HIST 1111 151
HIST 1112 144
HIST 1113 134
HIST 1114 144
HIST 1115 137
HIST 1116 140
HIST 1117 140
HIST 1118 148
HIST 1119 122
HIST 1120 136
HIST 1121 144
HIST 1122 131
HIST 1123 128
HIST 1124 164
HIST 1125 137
HIST 1126 140
HIST 1127 133
HIST 1128 135
HIST 1129 159
HIST 1130 141
HIST 1131 150
HIST 1132 127
HIST 1133 129
HIST 1134 138
HIST 1135 136
HIST 1136 139
HIST 1137 139
HIST 1138 154
HIST 1139 138
HIST 1140 138
HIST 1141 125
HIST 1142 143
HIST 1143 139
HIST 1144 152
HIST 1145 133
HIST 1146 133
HIST 1147 154
HIST 1148 155
HIST 1149 149
HIST 1150 152
HIST 1151 145
HIST 1152 143
HIST 1153 151
HIST 1154 136
HIST 1155 158
HIST 1156 167
HIST 1157 146
HIST 1158 168
HIST 1159 143
HIST 1160 154
HIST 1161 127
HIST 1162 147
HIST 1163 139
HIST 1164 133
HIST 1165 153
HIST 1166 144
HIST 1167 156
HIST 1168 121
HIST 1169 135
HIST 1170 152
HIST 1171 135
HIST 1172 151
HIST 1173 161
HIST 1174 142
HIST 1175 130
HIST 1176 161
HIST 1177 149
HIST 1178 133
HIST 1179 157
HIST 1180 133
HIST 1181 157
HIST 1182 136
HIST 1183 167
HIST 1184 135
HIST 1185 147
HIST 1186 163
HIST 1187 143
HIST 1188 141
HIST 1189 145
HIST 1190 127
HIST 1191 146
HIST 1192 136
HIST 1193 150
HIST 1194 148
HIST 1195 147
HIST 1196 132
HIST 1197 148
HIST 1198 131
HIST 1199 126
HIST 1200 164
HIST 1201 150
HIST 1202 138
HIST 1203 164
HIST 1204 144
HIST 1205 152
HIST 1206 145
HIST 1207 172
HIST 1208 140
HIST 1209 160
HIST 1210 139
HIST 1211 135
HIST 1212 132
HIST 1213 151
HIST 1214 133
HIST 1215 148
HIST 1216 152
HIST 1217 150
HIST 1218 152
HIST 1219 140
HIST 1220 138
HIST 1221 150
HIST 1222 151
HIST 1223 135
HIST 1224 157
HIST 1225 166
HIST 1226 146
HIST 1227 152
HIST 1228 155
HIST 1229 146
HIST 1230 120
HIST 1231 138
HIST 1232 129
HIST 1233 142
HIST 1234 144
HIST 1235 135
HIST 1236 148
HIST 1237 136
HIST 1238 140
HIST 1239 144
HIST 1240 141
HIST 1241 142
HIST 1242 146
HIST 1243 153
HIST 1244 144
HIST 1245 144
HIST 1246 158
HIST 1247 157
HIST 1248 129
HIST 1249 147
HIST 1250 151
HIST 1251 143
HIST 1252 137
HIST 1253 134
HIST 1254 149
HIST 1255 151
HIST 1256 146
HIST 1257 155
HIST 1258 149
HIST 1259 156
HIST 1260 159
HIST 1261 163
HIST 1262 133
HIST 1263 132
HIST 1264 133
HIST 1265 124
HIST 1266 154
HIST 1267 140
HIST 1268 141
HIST 1269 140
HIST 1270 135
HIST 1271 143
HIST 1272 138
HIST 1273 150
HIST 1274 169
HIST 1275 147
HIST 1276 152
HIST 1277 132
HIST 1278 142
HIST 1279 125
HIST 1280 134
HIST 1281 127
HIST 1282 138
HIST 1283 163
HIST 1284 123
HIST 1285 136
HIST 1286 132
HIST 1287 142
