P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=1 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_5
RESULT decays=8000000
RESULT any=335985 eps_total=4.199812e-02
RESULT window=1460.820 counts=46886 eps=5.860750e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=8000000
HIST 626 197
HIST 627 172
HIST 628 185
HIST 629 180
HIST 630 171
HIST 631 180
HIST 632 196
HIST 633 177
HIST 634 173
HIST 635 173
HIST 636 200
HIST 637 170
HIST 638 196
HIST 639 172
HIST 640 164
HIST 641 175
HIST 642 193
HIST 643 161
HIST 644 158
HIST 645 185
HIST 646 164
HIST 647 184
HIST 648 186
HIST 649 155
HIST 650 186
HIST 651 172
HIST 652 177
HIST 653 174
HIST 654 182
HIST 655 189
HIST 656 159
HIST 657 195
HIST 658 157
HIST 659 172
HIST 660 168
HIST 661 178
HIST 662 209
HIST 663 185
HIST 664 187
HIST 665 177
HIST 666 182
HIST 667 188
HIST 668 193
HIST 669 187
HIST 670 195
HIST 671 168
HIST 672 195
HIST 673 182
HIST 674 158
HIST 675 194
HIST 676 173
HIST 677 183
HIST 678 170
HIST 679 164
HIST 680 194
HIST 681 175
HIST 682 176
HIST 683 196
HIST 684 208
HIST 685 187
HIST 686 200
HIST 687 176
HIST 688 158
HIST 689 166
HIST 690 190
HIST 691 189
HIST 692 210
HIST 693 172
HIST 694 161
HIST 695 169
HIST 696 191
HIST 697 174
HIST 698 158
HIST 699 184
HIST 700 156
HIST 701 181
HIST 702 178
HIST 703 182
HIST 704 179
HIST 705 198
HIST 706 151
HIST 707 192
HIST 708 160
HIST 709 165
HIST 710 212
HIST 711 176
HIST 712 162
HIST 713 184
HIST 714 152
HIST 715 198
HIST 716 192
HIST 717 181
HIST 718 184
HIST 719 160
HIST 720 173
HIST 721 173
HIST 722 176
HIST 723 170
HIST 724 190
HIST 725 170
HIST 726 164
HIST 727 161
HIST 728 184
HIST 729 183
HIST 730 169
HIST 731 175
HIST 732 148
HIST 733 181
HIST 734 159
HIST 735 173
HIST 736 177
HIST 737 187
HIST 738 199
HIST 739 183
HIST 740 179
HIST 741 180
HIST 742 190
HIST 743 170
HIST 744 169
HIST 745 181
HIST 746 172
HIST 747 175
HIST 748 203
HIST 749 172
HIST 750 163
HIST 751 186
HIST 752 180
HIST 753 169
HIST 754 175
HIST 755 172
HIST 756 176
HIST 757 174
HIST 758 157
HIST 759 172
HIST 760 171
HIST 761 179
HIST 762 164
HIST 763 207
HIST 764 158
HIST 765 183
HIST 766 170
HIST 767 169
HIST 768 175
HIST 769 175
HIST 770 179
HIST 771 168
HIST 772 193
HIST 773 182
HIST 774 174
HIST 775 152
HIST 776 195
HIST 777 182
HIST 778 176
HIST 779 179
HIST 780 169
HIST 781 176
HIST 782 175
HIST 783 157
HIST 784 190
HIST 785 172
HIST 786 170
HIST 787 208
HIST 788 176
HIST 789 197
HIST 790 192
HIST 791 185
HIST 792 168
HIST 793 174
HIST 794 180
HIST 795 175
HIST 796 170
HIST 797 183
HIST 798 179
HIST 799 153
HIST 800 153
HIST 801 149
HIST 802 171
HIST 803 170
HIST 804 194
HIST 805 207
HIST 806 173
HIST 807 190
HIST 808 149
HIST 809 154
HIST 810 209
HIST 811 185
HIST 812 169
HIST 813 179
HIST 814 165
HIST 815 188
HIST 816 177
HIST 817 203
HIST 818 198
HIST 819 188
HIST 820 174
HIST 821 171
HIST 822 182
HIST 823 134
HIST 824 181
HIST 825 170
HIST 826 146
HIST 827 190
HIST 828 189
HIST 829 170
HIST 830 188
HIST 831 155
HIST 832 199
HIST 833 180
HIST 834 171
HIST 835 184
HIST 836 180
HIST 837 201
HIST 838 153
HIST 839 169
HIST 840 179
HIST 841 163
HIST 842 174
HIST 843 190
HIST 844 188
HIST 845 181
HIST 846 187
HIST 847 182
HIST 848 185
HIST 849 178
HIST 850 167
HIST 851 176
HIST 852 171
HIST 853 167
HIST 854 190
HIST 855 176
HIST 856 177
HIST 857 174
HIST 858 176
HIST 859 156
HIST 860 181
HIST 861 176
HIST 862 171
HIST 863 180
HIST 864 193
HIST 865 166
HIST 866 192
HIST 867 190
HIST 868 190
HIST 869 199
HIST 870 199
HIST 871 175
HIST 872 174
HIST 873 192
HIST 874 187
HIST 875 200
HIST 876 185
HIST 877 167
HIST 878 186
HIST 879 196
HIST 880 181
HIST 881 200
HIST 882 187
HIST 883 171
HIST 884 189
HIST 885 185
HIST 886 179
HIST 887 184
HIST 888 161
HIST 889 179
HIST 890 168
HIST 891 174
HIST 892 181
HIST 893 178
HIST 894 186
HIST 895 169
HIST 896 198
HIST 897 162
HIST 898 193
HIST 899 161
HIST 900 174
HIST 901 181
HIST 902 168
HIST 903 178
HIST 904 193
HIST 905 201
HIST 906 175
HIST 907 171
HIST 908 194
HIST 909 208
HIST 910 179
HIST 911 178
HIST 912 182
HIST 913 195
HIST 914 196
HIST 915 180
HIST 916 177
HIST 917 194
HIST 918 167
HIST 919 213
HIST 920 179
HIST 921 177
HIST 922 174
HIST 923 169
HIST 924 190
HIST 925 198
HIST 926 187
HIST 927 202
HIST 928 191
HIST 929 170
HIST 930 173
HIST 931 201
HIST 932 196
HIST 933 175
HIST 934 197
HIST 935 192
HIST 936 165
HIST 937 179
HIST 938 174
HIST 939 190
HIST 940 172
HIST 941 176
HIST 942 193
HIST 943 176
HIST 944 173
HIST 945 200
HIST 946 192
HIST 947 202
HIST 948 182
HIST 949 198
HIST 950 1237
HIST 951 188
HIST 952 188
HIST 953 161
HIST 954 189
HIST 955 179
HIST 956 192
HIST 957 187
HIST 958 194
HIST 959 215
HIST 960 219
HIST 961 189
HIST 962 188
HIST 963 189
HIST 964 197
HIST 965 192
HIST 966 208
HIST 967 192
HIST 968 196
HIST 969 182
HIST 970 177
HIST 971 184
HIST 972 201
HIST 973 184
HIST 974 216
HIST 975 167
HIST 976 192
HIST 977 189
HIST 978 167
HIST 979 156
HIST 980 180
HIST 981 195
HIST 982 181
HIST 983 197
HIST 984 185
HIST 985 211
HIST 986 213
HIST 987 196
HIST 988 215
HIST 989 213
HIST 990 199
HIST 991 179
HIST 992 178
HIST 993 208
HIST 994 207
HIST 995 212
HIST 996 222
HIST 997 194
HIST 998 217
HIST 999 198
HIST 1000 213
HIST 1001 191
HIST 1002 193
HIST 1003 182
HIST 1004 200
HIST 1005 168
HIST 1006 187
HIST 1007 211
HIST 1008 188
HIST 1009 185
HIST 1010 179
HIST 1011 203
HIST 1012 197
HIST 1013 174
HIST 1014 243
HIST 1015 214
HIST 1016 194
HIST 1017 189
HIST 1018 182
HIST 1019 192
HIST 1020 192
HIST 1021 221
HIST 1022 211
HIST 1023 205
HIST 1024 204
HIST 1025 201
HIST 1026 236
HIST 1027 209
HIST 1028 183
HIST 1029 204
HIST 1030 181
HIST 1031 198
HIST 1032 182
HIST 1033 167
HIST 1034 166
HIST 1035 170
HIST 1036 188
HIST 1037 187
HIST 1038 204
HIST 1039 208
HIST 1040 206
HIST 1041 191
HIST 1042 201
HIST 1043 224
HIST 1044 199
HIST 1045 187
HIST 1046 192
HIST 1047 212
HIST 1048 219
HIST 1049 219
HIST 1050 211
HIST 1051 195
HIST 1052 219
HIST 1053 172
HIST 1054 201
HIST 1055 214
HIST 1056 200
HIST 1057 210
HIST 1058 213
HIST 1059 225
HIST 1060 199
HIST 1061 203
HIST 1062 200
HIST 1063 194
HIST 1064 199
HIST 1065 232
HIST 1066 225
HIST 1067 191
HIST 1068 192
HIST 1069 204
HIST 1070 208
HIST 1071 204
HIST 1072 215
HIST 1073 240
HIST 1074 231
HIST 1075 198
HIST 1076 226
HIST 1077 186
HIST 1078 209
HIST 1079 248
HIST 1080 251
HIST 1081 200
HIST 1082 213
HIST 1083 224
HIST 1084 210
HIST 1085 206
HIST 1086 234
HIST 1087 206
HIST 1088 212
HIST 1089 215
HIST 1090 213
HIST 1091 231
HIST 1092 230
HIST 1093 218
HIST 1094 190
HIST 1095 202
HIST 1096 191
HIST 1097 207
HIST 1098 218
HIST 1099 217
HIST 1100 244
HIST 1101 203
HIST 1102 196
HIST 1103 201
HIST 1104 242
HIST 1105 217
HIST 1106 218
HIST 1107 211
HIST 1108 222
HIST 1109 236
HIST 1110 241
HIST 1111 221
HIST 1112 218
HIST 1113 204
HIST 1114 189
HIST 1115 238
HIST 1116 234
HIST 1117 213
HIST 1118 245
HIST 1119 230
HIST 1120 199
HIST 1121 218
HIST 1122 204
HIST 1123 219
HIST 1124 216
HIST 1125 230
HIST 1126 244
HIST 1127 200
HIST 1128 221
HIST 1129 233
HIST 1130 205
HIST 1131 208
HIST 1132 218
HIST 1133 237
HIST 1134 223
HIST 1135 251
HIST 1136 248
HIST 1137 217
HIST 1138 233
HIST 1139 244
HIST 1140 237
HIST 1141 247
HIST 1142 241
HIST 1143 242
HIST 1144 203
HIST 1145 238
HIST 1146 236
HIST 1147 263
HIST 1148 220
HIST 1149 210
HIST 1150 238
HIST 1151 243
HIST 1152 235
HIST 1153 236
HIST 1154 220
HIST 1155 248
HIST 1156 210
HIST 1157 243
HIST 1158 250
HIST 1159 266
HIST 1160 240
HIST 1161 251
HIST 1162 231
HIST 1163 214
HIST 1164 243
HIST 1165 228
HIST 1166 232
HIST 1167 214
HIST 1168 226
