P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=1 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_3
RESULT decays=40000000
RESULT any=2230596 eps_total=5.576490e-02
RESULT window=661.657 counts=493975 eps=1.234937e-02
HISTBEGIN bins=663 bin_kev=1.000000 decays=40000000
HIST 485 1151
HIST 486 1176
HIST 487 1107
HIST 488 1038
HIST 489 953
HIST 490 918
HIST 491 958
HIST 492 914
HIST 493 915
HIST 494 855
HIST 495 819
HIST 496 797
HIST 497 809
HIST 498 718
HIST 499 727
HIST 500 700
HIST 501 701
HIST 502 697
HIST 503 648
HIST 504 615
HIST 505 637
HIST 506 593
HIST 507 603
HIST 508 584
HIST 509 572
HIST 510 581
HIST 511 526
HIST 512 549
HIST 513 519
HIST 514 517
HIST 515 479
HIST 516 477
HIST 517 511
HIST 518 459
HIST 519 440
HIST 520 458
HIST 521 420
HIST 522 450
HIST 523 413
HIST 524 429
HIST 525 436
HIST 526 409
HIST 527 376
HIST 528 394
HIST 529 420
HIST 530 384
HIST 531 360
HIST 532 356
HIST 533 354
HIST 534 356
HIST 535 355
HIST 536 335
HIST 537 319
HIST 538 337
HIST 539 298
HIST 540 307
HIST 541 284
HIST 542 275
HIST 543 274
HIST 544 293
HIST 545 297
HIST 546 290
HIST 547 273
HIST 548 263
HIST 549 268
HIST 550 242
HIST 551 246
HIST 552 255
HIST 553 241
HIST 554 229
HIST 555 216
HIST 556 212
HIST 557 212
HIST 558 221
HIST 559 200
HIST 560 214
HIST 561 239
HIST 562 220
HIST 563 219
HIST 564 195
HIST 565 214
HIST 566 226
HIST 567 206
HIST 568 234
HIST 569 201
HIST 570 216
HIST 571 197
HIST 572 206
HIST 573 187
HIST 574 193
HIST 575 193
HIST 576 200
HIST 577 211
HIST 578 206
HIST 579 218
HIST 580 253
HIST 581 209
HIST 582 219
HIST 583 222
HIST 584 210
HIST 585 211
HIST 586 199
HIST 587 180
HIST 588 195
HIST 589 211
HIST 590 178
HIST 591 191
HIST 592 180
HIST 593 157
HIST 594 189
HIST 595 170
HIST 596 148
HIST 597 161
HIST 598 160
HIST 599 152
HIST 600 152
HIST 601 146
HIST 602 162
HIST 603 152
HIST 604 164
HIST 605 160
HIST 606 139
HIST 607 134
HIST 608 139
HIST 609 164
HIST 610 108
HIST 611 108
HIST 612 134
HIST 613 121
HIST 614 120
HIST 615 119
HIST 616 117
HIST 617 130
HIST 618 110
HIST 619 110
HIST 620 120
HIST 621 103
HIST 622 100
HIST 623 102
HIST 624 103
HIST 625 83
HIST 626 175
HIST 627 376
HIST 628 107
HIST 629 1212
HIST 630 88
HIST 631 4747
HIST 632 108
HIST 633 3497
HIST 634 97
HIST 635 96
HIST 636 88
HIST 637 91
HIST 638 86
HIST 639 76
HIST 640 97
HIST 641 76
HIST 642 94
HIST 643 79
HIST 644 86
HIST 645 79
HIST 646 70
HIST 647 88
HIST 648 81
HIST 649 88
HIST 650 65
HIST 651 58
HIST 652 77
HIST 653 62
HIST 654 75
HIST 655 68
HIST 656 81
HIST 657 94
HIST 658 116
HIST 659 191
HIST 660 163
HIST 661 94
HIST 662 493950
HISTEND
