P55 flags: vacuum=1 nofluct=0 nodelta=1 lowcut=0 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_3
RESULT decays=40000000
RESULT any=1564548 eps_total=3.911370e-02
RESULT window=1460.820 counts=120553 eps=3.013825e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=40000000
HIST 474 1038
HIST 475 994
HIST 476 1008
HIST 477 965
HIST 478 1037
HIST 479 1003
HIST 480 947
HIST 481 964
HIST 482 990
HIST 483 1019
HIST 484 979
HIST 485 1027
HIST 486 1028
HIST 487 981
HIST 488 982
HIST 489 1016
HIST 490 988
HIST 491 940
HIST 492 1002
HIST 493 989
HIST 494 984
HIST 495 1063
HIST 496 1053
HIST 497 965
HIST 498 1006
HIST 499 967
HIST 500 1022
HIST 501 998
HIST 502 1022
HIST 503 1059
HIST 504 942
HIST 505 1055
HIST 506 980
HIST 507 954
HIST 508 972
HIST 509 940
HIST 510 1047
HIST 511 1092
HIST 512 985
HIST 513 979
HIST 514 996
HIST 515 949
HIST 516 1030
HIST 517 1017
HIST 518 950
HIST 519 986
HIST 520 981
HIST 521 948
HIST 522 1013
HIST 523 975
HIST 524 1037
HIST 525 1005
HIST 526 977
HIST 527 956
HIST 528 994
HIST 529 982
HIST 530 993
HIST 531 1007
HIST 532 1004
HIST 533 1000
HIST 534 954
HIST 535 981
HIST 536 980
HIST 537 944
HIST 538 949
HIST 539 980
HIST 540 943
HIST 541 938
HIST 542 1041
HIST 543 996
HIST 544 966
HIST 545 951
HIST 546 922
HIST 547 989
HIST 548 942
HIST 549 956
HIST 550 977
HIST 551 962
HIST 552 930
HIST 553 968
HIST 554 969
HIST 555 957
HIST 556 994
HIST 557 948
HIST 558 920
HIST 559 970
HIST 560 1002
HIST 561 953
HIST 562 926
HIST 563 967
HIST 564 961
HIST 565 1039
HIST 566 1006
HIST 567 953
HIST 568 991
HIST 569 943
HIST 570 948
HIST 571 972
HIST 572 973
HIST 573 935
HIST 574 968
HIST 575 959
HIST 576 981
HIST 577 975
HIST 578 912
HIST 579 1017
HIST 580 950
HIST 581 939
HIST 582 986
HIST 583 954
HIST 584 1008
HIST 585 902
HIST 586 967
HIST 587 1005
HIST 588 923
HIST 589 980
HIST 590 931
HIST 591 968
HIST 592 987
HIST 593 1017
HIST 594 953
HIST 595 903
HIST 596 949
HIST 597 914
HIST 598 943
HIST 599 1016
HIST 600 988
HIST 601 981
HIST 602 941
HIST 603 916
HIST 604 987
HIST 605 870
HIST 606 983
HIST 607 953
HIST 608 932
HIST 609 920
HIST 610 944
HIST 611 906
HIST 612 895
HIST 613 935
HIST 614 890
HIST 615 988
HIST 616 961
HIST 617 1011
HIST 618 864
HIST 619 920
HIST 620 965
HIST 621 933
HIST 622 969
HIST 623 958
HIST 624 921
HIST 625 900
HIST 626 952
HIST 627 891
HIST 628 977
HIST 629 907
HIST 630 938
HIST 631 907
HIST 632 968
HIST 633 936
HIST 634 958
HIST 635 929
HIST 636 926
HIST 637 884
HIST 638 917
HIST 639 926
HIST 640 943
HIST 641 907
HIST 642 913
HIST 643 935
HIST 644 928
HIST 645 929
HIST 646 909
HIST 647 862
HIST 648 921
HIST 649 919
HIST 650 938
HIST 651 976
HIST 652 932
HIST 653 982
HIST 654 925
HIST 655 869
HIST 656 963
HIST 657 955
HIST 658 927
HIST 659 908
HIST 660 985
HIST 661 892
HIST 662 943
HIST 663 869
HIST 664 969
HIST 665 906
HIST 666 915
HIST 667 919
HIST 668 966
HIST 669 957
HIST 670 889
HIST 671 931
HIST 672 876
HIST 673 918
HIST 674 952
HIST 675 970
HIST 676 835
HIST 677 884
HIST 678 893
HIST 679 899
HIST 680 937
HIST 681 903
HIST 682 949
HIST 683 904
HIST 684 870
HIST 685 1010
HIST 686 877
HIST 687 940
HIST 688 949
HIST 689 915
HIST 690 897
HIST 691 890
HIST 692 875
HIST 693 939
HIST 694 870
HIST 695 958
HIST 696 895
HIST 697 898
HIST 698 882
HIST 699 981
HIST 700 902
HIST 701 886
HIST 702 883
HIST 703 894
HIST 704 890
HIST 705 960
HIST 706 918
HIST 707 909
HIST 708 965
HIST 709 916
HIST 710 920
HIST 711 955
HIST 712 897
HIST 713 913
HIST 714 918
HIST 715 887
HIST 716 932
HIST 717 972
HIST 718 922
HIST 719 906
HIST 720 935
HIST 721 895
HIST 722 928
HIST 723 868
HIST 724 892
HIST 725 914
HIST 726 914
HIST 727 924
HIST 728 876
HIST 729 907
HIST 730 855
HIST 731 939
HIST 732 907
HIST 733 963
HIST 734 907
HIST 735 927
HIST 736 908
HIST 737 954
HIST 738 879
HIST 739 965
HIST 740 960
HIST 741 890
HIST 742 862
HIST 743 910
HIST 744 886
HIST 745 895
HIST 746 890
HIST 747 849
HIST 748 898
HIST 749 924
HIST 750 877
HIST 751 951
HIST 752 919
HIST 753 921
HIST 754 899
HIST 755 860
HIST 756 995
HIST 757 898
HIST 758 974
HIST 759 923
HIST 760 945
HIST 761 912
HIST 762 922
HIST 763 913
HIST 764 918
HIST 765 945
HIST 766 949
HIST 767 863
HIST 768 944
HIST 769 883
HIST 770 902
HIST 771 886
HIST 772 890
HIST 773 961
HIST 774 894
HIST 775 910
HIST 776 918
HIST 777 885
HIST 778 896
HIST 779 991
HIST 780 867
HIST 781 914
HIST 782 897
HIST 783 834
HIST 784 917
HIST 785 878
HIST 786 899
HIST 787 885
HIST 788 838
HIST 789 890
HIST 790 881
HIST 791 912
HIST 792 943
HIST 793 887
HIST 794 871
HIST 795 850
HIST 796 915
HIST 797 885
HIST 798 897
HIST 799 926
HIST 800 846
HIST 801 854
HIST 802 923
HIST 803 882
HIST 804 880
HIST 805 935
HIST 806 908
HIST 807 870
HIST 808 928
HIST 809 912
HIST 810 955
HIST 811 888
HIST 812 902
HIST 813 911
HIST 814 898
HIST 815 886
HIST 816 931
HIST 817 891
HIST 818 934
HIST 819 908
HIST 820 906
HIST 821 869
HIST 822 919
HIST 823 928
HIST 824 924
HIST 825 950
HIST 826 919
HIST 827 908
HIST 828 892
HIST 829 928
HIST 830 896
HIST 831 938
HIST 832 875
HIST 833 881
HIST 834 895
HIST 835 899
HIST 836 956
HIST 837 926
HIST 838 878
HIST 839 927
HIST 840 903
HIST 841 870
HIST 842 896
HIST 843 995
HIST 844 905
HIST 845 906
HIST 846 874
HIST 847 944
HIST 848 933
HIST 849 911
HIST 850 878
HIST 851 842
HIST 852 899
HIST 853 879
HIST 854 938
HIST 855 967
HIST 856 886
HIST 857 918
HIST 858 884
HIST 859 920
HIST 860 910
HIST 861 907
HIST 862 920
HIST 863 908
HIST 864 947
HIST 865 913
HIST 866 922
HIST 867 965
HIST 868 941
HIST 869 960
HIST 870 915
HIST 871 917
HIST 872 906
HIST 873 909
HIST 874 950
HIST 875 921
HIST 876 947
HIST 877 891
HIST 878 884
HIST 879 900
HIST 880 903
HIST 881 950
HIST 882 936
HIST 883 947
HIST 884 932
HIST 885 889
HIST 886 919
HIST 887 909
HIST 888 908
HIST 889 891
HIST 890 931
HIST 891 909
HIST 892 875
HIST 893 911
HIST 894 921
HIST 895 927
HIST 896 886
HIST 897 934
HIST 898 932
HIST 899 954
HIST 900 960
HIST 901 898
HIST 902 948
HIST 903 884
HIST 904 901
HIST 905 909
HIST 906 928
HIST 907 922
HIST 908 913
HIST 909 923
HIST 910 961
HIST 911 926
HIST 912 904
HIST 913 963
HIST 914 951
HIST 915 917
HIST 916 940
HIST 917 893
HIST 918 961
HIST 919 983
HIST 920 868
HIST 921 907
HIST 922 886
HIST 923 910
HIST 924 897
HIST 925 936
HIST 926 909
HIST 927 984
HIST 928 904
HIST 929 925
HIST 930 970
HIST 931 899
HIST 932 946
HIST 933 969
HIST 934 900
HIST 935 960
HIST 936 940
HIST 937 956
HIST 938 903
HIST 939 900
HIST 940 914
HIST 941 930
HIST 942 951
HIST 943 948
HIST 944 946
HIST 945 982
HIST 946 960
HIST 947 945
HIST 948 919
HIST 949 948
HIST 950 3148
HIST 951 999
HIST 952 951
HIST 953 940
HIST 954 966
HIST 955 922
HIST 956 964
HIST 957 925
HIST 958 940
HIST 959 909
HIST 960 964
HIST 961 973
HIST 962 874
HIST 963 912
HIST 964 942
HIST 965 925
HIST 966 914
HIST 967 946
HIST 968 993
