contact_cal0809__AS80_p67_contact_r42__eq                код 0     214 с  chi2/ndf 2.111, невязка модели 17.7 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r42__asis           код 0     217 с  chi2/ndf 3.670, невязка модели 29.7 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r42__noeqasis       код 0     220 с  chi2/ndf 3.419, невязка модели 28.8 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_r42__eq             код 0     224 с  chi2/ndf 2.147, невязка модели 26.9 %, суммирование да
edge93__AS80_p67_edge93_r42__asis                        код 0     227 с  chi2/ndf 1.313, невязка модели 10.5 %, суммирование да
edge93__AS80_p67_edge93_r42__noeqasis                    код 0     231 с  chi2/ndf 1.215, невязка модели 8.1 %, суммирование да
edge93__AS80_p67_edge93_r42__eq                          код 0     234 с  chi2/ndf 1.334, невязка модели 54.5 %, суммирование да
edge93_s1__AS80_p67_edge93_r42__asis                     код 0     238 с  chi2/ndf 4.436, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p67_edge93_r42__noeqasis                 код 0     241 с  chi2/ndf 4.307, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p67_edge93_r42__eq                       код 0     244 с  chi2/ndf 1.489, невязка модели 54.6 %, суммирование да
edge1709__AS80_p67_edge93_r42__asis                      код 0     248 с  chi2/ndf 1.897, невязка модели 12.7 %, суммирование да
edge1709__AS80_p67_edge93_r42__noeqasis                  код 0     252 с  chi2/ndf 1.713, невязка модели 9.6 %, суммирование да
edge1709__AS80_p67_edge93_r42__eq                        код 0     255 с  chi2/ndf 1.900, невязка модели 13.2 %, суммирование да
edge1709_s1__AS80_p67_edge93_r42__asis                   код 0     259 с  chi2/ndf 7.967, невязка модели 48.3 %, суммирование да
edge1709_s1__AS80_p67_edge93_r42__noeqasis               код 0     263 с  chi2/ndf 7.609, невязка модели 47.9 %, суммирование да
edge1709_s1__AS80_p67_edge93_r42__eq                     код 0     267 с  chi2/ndf 1.988, невязка модели 11.0 %, суммирование да
edge93__AS80_p67_edge93_r33_ring05__asis                 код 0     271 с  chi2/ndf 1.174, невязка модели 7.3 %, суммирование да
edge93__AS80_p67_edge93_r33_ring05__noeqasis             код 0     275 с  chi2/ndf 1.153, невязка модели 6.9 %, суммирование да
edge93__AS80_p67_edge93_r33_ring05__eq                   код 0     279 с  chi2/ndf 1.228, невязка модели 54.3 %, суммирование да
edge93_s1__AS80_p67_edge93_r33_ring05__asis              код 0     282 с  chi2/ndf 4.324, невязка модели 64.1 %, суммирование да
edge93_s1__AS80_p67_edge93_r33_ring05__noeqasis          код 0     286 с  chi2/ndf 4.268, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p67_edge93_r33_ring05__eq                код 0     290 с  chi2/ndf 1.429, невязка модели 54.4 %, суммирование да
edge1709__AS80_p67_edge93_r33_ring05__asis               код 0     294 с  chi2/ndf 1.647, невязка модели 8.9 %, суммирование да
edge1709__AS80_p67_edge93_r33_ring05__noeqasis           код 0     298 с  chi2/ndf 1.681, невязка модели 8.8 %, суммирование да
edge1709__AS80_p67_edge93_r33_ring05__eq                 код 0     302 с  chi2/ndf 1.622, невязка модели 8.5 %, суммирование да
edge1709_s1__AS80_p67_edge93_r33_ring05__asis            код 0     306 с  chi2/ndf 7.695, невязка модели 47.9 %, суммирование да
edge1709_s1__AS80_p67_edge93_r33_ring05__noeqasis        код 0     309 с  chi2/ndf 7.517, невязка модели 47.8 %, суммирование да
edge1709_s1__AS80_p67_edge93_r33_ring05__eq              код 0     313 с  chi2/ndf 1.802, невязка модели 9.4 %, суммирование да
edge93__AS80_p67_edge93_r33_ring20__asis                 код 0     316 с  chi2/ndf 1.205, невязка модели 8.0 %, суммирование да
edge93__AS80_p67_edge93_r33_ring20__noeqasis             код 0     319 с  chi2/ndf 1.183, невязка модели 7.5 %, суммирование да
edge93__AS80_p67_edge93_r33_ring20__eq                   код 0     323 с  chi2/ndf 1.253, невязка модели 54.3 %, суммирование да
edge93_s1__AS80_p67_edge93_r33_ring20__asis              код 0     326 с  chi2/ndf 4.360, невязка модели 64.1 %, суммирование да
edge93_s1__AS80_p67_edge93_r33_ring20__noeqasis          код 0     329 с  chi2/ndf 4.272, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p67_edge93_r33_ring20__eq                код 0     332 с  chi2/ndf 1.431, невязка модели 54.4 %, суммирование да
edge1709__AS80_p67_edge93_r33_ring20__asis               код 0     335 с  chi2/ndf 1.739, невязка модели 9.7 %, суммирование да
edge1709__AS80_p67_edge93_r33_ring20__noeqasis           код 0     338 с  chi2/ndf 1.550, невязка модели 8.7 %, суммирование да
edge1709__AS80_p67_edge93_r33_ring20__eq                 код 0     341 с  chi2/ndf 1.715, невязка модели 9.4 %, суммирование да
edge1709_s1__AS80_p67_edge93_r33_ring20__asis            код 0     344 с  chi2/ndf 7.721, невязка модели 48.0 %, суммирование да
edge1709_s1__AS80_p67_edge93_r33_ring20__noeqasis        код 0     347 с  chi2/ndf 7.531, невязка модели 47.8 %, суммирование да
edge1709_s1__AS80_p67_edge93_r33_ring20__eq              код 0     350 с  chi2/ndf 1.855, невязка модели 9.9 %, суммирование да
contact52k__AS80_p67_contact_p13__asis                   код 0     353 с  chi2/ndf 13.726, невязка модели 21.0 %, суммирование да
contact52k__AS80_p67_contact_p13__noeqasis               код 0     357 с  chi2/ndf 12.079, невязка модели 17.8 %, суммирование да
contact52k__AS80_p67_contact_p13__eq                     код 0     361 с  chi2/ndf 7.576, невязка модели 19.7 %, суммирование да
contact_cal0809__AS80_p67_contact_p13__asis              код 0     365 с  chi2/ndf 2.147, невязка модели 18.1 %, суммирование да
contact_cal0809__AS80_p67_contact_p13__noeqasis          код 0     368 с  chi2/ndf 1.999, невязка модели 17.0 %, суммирование да
contact_cal0809__AS80_p67_contact_p13__eq                код 0     372 с  chi2/ndf 2.151, невязка модели 18.2 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_p13__asis           код 0     375 с  chi2/ndf 3.704, невязка модели 30.1 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_p13__noeqasis       код 0     378 с  chi2/ndf 3.425, невязка модели 29.0 %, суммирование да
contact_cal0809_s1__AS80_p67_contact_p13__eq             код 0     381 с  chi2/ndf 2.218, невязка модели 27.3 %, суммирование да
edge93__AS80_p67_edge93_p13__asis                        код 0     384 с  chi2/ndf 1.353, невязка модели 11.7 %, суммирование да
