ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Ra-224,Bi-212,Rn-220,Xray-Pb,Xray-Th
2778,943.143,197.637,162.641,34.205,131.270,29.861,0.000,0.000,1.510,0.000,0.000,0.000
2779,943.476,186.897,162.346,34.137,130.997,29.840,0.000,0.000,1.509,0.000,0.000,0.000
2780,943.808,193.452,162.068,34.068,130.740,29.819,0.000,0.000,1.508,0.000,0.000,0.000
2781,944.140,174.379,161.804,34.000,130.499,29.798,0.000,0.000,1.507,0.000,0.000,0.000
2782,944.473,181.600,161.556,33.931,130.273,29.777,0.000,0.000,1.506,0.000,0.000,0.000
2783,944.805,190.489,161.323,33.863,130.062,29.756,0.000,0.000,1.505,0.000,0.000,0.000
2784,945.138,205.563,161.104,33.794,129.865,29.736,0.000,0.000,1.504,0.000,0.000,0.000
2785,945.470,176.563,160.900,33.726,129.684,29.714,0.000,0.000,1.502,0.000,0.000,0.000
2786,945.802,162.674,160.711,33.657,129.516,29.693,0.000,0.000,1.501,0.000,0.000,0.000
2787,946.134,203.156,160.535,33.589,129.363,29.672,0.000,0.000,1.500,0.000,0.000,0.000
2788,946.467,187.896,160.373,33.520,129.223,29.651,0.000,0.000,1.499,0.000,0.000,0.000
2789,946.799,180.748,160.225,33.452,129.097,29.630,0.000,0.000,1.498,0.000,0.000,0.000
2790,947.131,179.637,160.089,33.383,128.984,29.609,0.000,0.000,1.496,0.000,0.000,0.000
2791,947.464,190.082,159.967,33.315,128.884,29.588,0.000,0.000,1.495,0.000,0.000,0.000
2792,947.796,204.119,159.856,33.246,128.796,29.567,0.000,0.000,1.494,0.000,0.000,0.000
2793,948.128,168.342,159.758,33.177,128.720,29.546,0.000,0.000,1.492,0.000,0.000,0.000
2794,948.460,176.342,159.671,33.109,128.655,29.524,0.000,0.000,1.491,0.000,0.000,0.000
2795,948.792,185.971,159.595,33.040,128.602,29.503,0.000,0.000,1.490,0.000,0.000,0.000
2796,949.125,203.304,159.529,32.972,128.559,29.482,0.000,0.000,1.488,0.000,0.000,0.000
2797,949.457,180.416,159.474,32.903,128.526,29.461,0.000,0.000,1.487,0.000,0.000,0.000
2798,949.789,176.304,159.429,32.835,128.503,29.441,0.000,0.000,1.485,0.000,0.000,0.000
2799,950.121,174.045,159.393,32.766,128.489,29.420,0.000,0.000,1.484,0.000,0.000,0.000
2800,950.453,192.600,159.365,32.698,128.485,29.399,0.000,0.000,1.482,0.000,0.000,0.000
2801,950.785,171.267,159.346,32.629,128.488,29.378,0.000,0.000,1.480,0.000,0.000,0.000
2802,951.118,162.711,159.335,32.561,128.499,29.358,0.000,0.000,1.479,0.000,0.000,0.000
2803,951.450,186.822,159.331,32.492,128.517,29.337,0.000,0.000,1.477,0.000,0.000,0.000
