spectrum,arm,member,gate_share,gate_pair,gate_partner,gate_verdict,rate,x_eq,z,share_pct,tied_to,screen
as80,col0.5,Bi-212,0.0253,0.0143,Tl-208,free,629.8,0.728,26.8,3.36,,"Bi-212 — сумм-пик "
as80,col0.5,Tl-208,0.0007,0.0007,Pb-212,free,837.7,0.968,128.8,32.16,,"Tl-208 — сумм-пик "
as80,col0.7,Th-232,0.0037,0.0026,Th-228,free,3.45e+04,39.871,7.0,0.40,,"Th-232 0.40%"
as80,col0.7,Ac-228,0.0170,0.0144,Pb-212,free,691.3,0.799,112.0,32.41,,"Ac-228 — сумм-пик "
as80,col0.7,Th-228,0.0955,0.0553,Ra-224,free,1.215e+04,14.040,23.7,2.84,,"Th-228 2.84%"
as80,col0.7,Ra-224,0.9072,0.9063,Pb-212,tied,1113,1.286,182.6,1.86,Pb-212,"Ra-224 — по Pb-212 1.86%"
as80,col0.7,Rn-220,0.0051,0.0031,Bi-212,free,7.382e+04,85.314,42.7,3.76,,"Rn-220 3.76%"
as80,col0.7,Po-216,0.1669,0.1201,Ac-228,free,<3.986e+05,,,,,
as80,col0.7,Pb-212,,,,,1113,1.286,182.6,23.22,,"Pb-212 — сумм-пик "
as80,col0.7,Bi-212,0.0253,0.0143,Tl-208,free,629.8,0.728,26.8,3.36,,"Bi-212 — сумм-пик "
as80,col0.7,Tl-208,0.0007,0.0007,Pb-212,free,837.7,0.968,128.8,32.16,,"Tl-208 — сумм-пик "
as80,col0.8,Th-232,0.0037,0.0026,Th-228,free,3.45e+04,39.871,7.0,0.40,,"Th-232 0.40%"
as80,col0.8,Ac-228,0.0170,0.0144,Pb-212,free,691.3,0.799,112.0,32.41,,"Ac-228 — сумм-пик "
as80,col0.8,Th-228,0.0955,0.0553,Ra-224,free,1.215e+04,14.040,23.7,2.84,,"Th-228 2.84%"
as80,col0.8,Ra-224,0.9072,0.9063,Pb-212,tied,1113,1.286,182.6,1.86,Pb-212,"Ra-224 — по Pb-212 1.86%"
as80,col0.8,Rn-220,0.0051,0.0031,Bi-212,free,7.382e+04,85.314,42.7,3.76,,"Rn-220 3.76%"
as80,col0.8,Po-216,0.1669,0.1201,Ac-228,free,<3.986e+05,,,,,
as80,col0.8,Pb-212,,,,,1113,1.286,182.6,23.22,,"Pb-212 — сумм-пик "
as80,col0.8,Bi-212,0.0253,0.0143,Tl-208,free,629.8,0.728,26.8,3.36,,"Bi-212 — сумм-пик "
as80,col0.8,Tl-208,0.0007,0.0007,Pb-212,free,837.7,0.968,128.8,32.16,,"Tl-208 — сумм-пик "
as80,col0.9,Th-232,0.0037,0.0026,Th-228,free,3.45e+04,39.871,7.0,0.40,,"Th-232 0.40%"
as80,col0.9,Ac-228,0.0170,0.0144,Pb-212,free,691.3,0.799,112.0,32.41,,"Ac-228 — сумм-пик "
as80,col0.9,Th-228,0.0955,0.0553,Ra-224,free,1.215e+04,14.040,23.7,2.84,,"Th-228 2.84%"
as80,col0.9,Ra-224,0.9072,0.9063,Pb-212,tied,1113,1.286,182.6,1.86,Pb-212,"Ra-224 — по Pb-212 1.86%"
as80,col0.9,Rn-220,0.0051,0.0031,Bi-212,free,7.382e+04,85.314,42.7,3.76,,"Rn-220 3.76%"
as80,col0.9,Po-216,0.1669,0.1201,Ac-228,free,<3.986e+05,,,,,
as80,col0.9,Pb-212,,,,,1113,1.286,182.6,23.22,,"Pb-212 — сумм-пик "
as80,col0.9,Bi-212,0.0253,0.0143,Tl-208,free,629.8,0.728,26.8,3.36,,"Bi-212 — сумм-пик "
as80,col0.9,Tl-208,0.0007,0.0007,Pb-212,free,837.7,0.968,128.8,32.16,,"Tl-208 — сумм-пик "
as80,col0.95,Th-232,0.0037,0.0026,Th-228,free,<1.255e+04,,,,,"Th-232 < 0.126 %"
as80,col0.95,Ac-228,0.0176,0.0150,Pb-212,free,681.8,0.788,114.8,32.40,,"Ac-228 — сумм-пик "
as80,col0.95,Th-228,0.0955,0.0553,Ra-224,free,1.821e+04,21.039,31.3,4.30,,"Th-228 4.30%"
as80,col0.95,Ra-224,0.9072,0.9063,Pb-212,free,8571,9.906,30.8,14.42,,"Ra-224 14.42%"
as80,col0.95,Rn-220,0.0051,0.0031,Bi-212,free,6.031e+04,69.695,36.8,3.12,,"Rn-220 3.12%"
as80,col0.95,Po-216,0.1669,0.1201,Ac-228,free,<3.859e+05,,,,,
as80,col0.95,Pb-212,,,,,414.2,0.479,16.2,8.69,,"Pb-212 — сумм-пик "
as80,col0.95,Bi-212,0.0253,0.0143,Tl-208,free,655.1,0.757,28.3,3.54,,"Bi-212 — сумм-пик "
as80,col0.95,Tl-208,0.0007,0.0007,Pb-212,free,864.9,1.000,136.8,33.53,,"Tl-208 — сумм-пик "
as80,lin0.1,Th-232,0.9971,0.6455,Ac-228,tied,740.6,0.856,152.2,0.01,Ac-228,"Th-232 — по Ac-228 0.01%"
as80,lin0.1,Ac-228,0.3321,0.1940,Tl-208,tied,740.6,0.856,152.2,37.78,Tl-208,"Ac-228 — сумм-пик "
as80,lin0.1,Th-228,0.9819,0.9660,Ac-228,tied,740.6,0.856,152.2,0.18,Ac-228,"Th-228 — по Ac-228 0.18%"
as80,lin0.1,Ra-224,0.9850,0.9455,Pb-212,tied,1084,1.253,169.1,1.94,Pb-212,"Ra-224 — по Pb-212 1.94%"
as80,lin0.1,Rn-220,0.9793,0.7923,Ac-228,tied,740.6,0.856,152.2,0.04,Ac-228,"Rn-220 — по Ac-228 0.04%"
as80,lin0.1,Po-216,1.0000,0.9997,Ac-228,tied,740.6,0.856,152.2,0.00,Ac-228,
as80,lin0.1,Pb-212,,,,,1084,1.253,169.1,24.12,,"Pb-212 — сумм-пик "
as80,lin0.1,Bi-212,0.9950,0.9930,Ac-228,tied,740.6,0.856,152.2,4.74,Ac-228,"Bi-212 — сумм-пик "
as80,lin0.1,Tl-208,0.0835,0.0835,Pb-212,free,740.6,0.856,152.2,31.18,,"Tl-208 — сумм-пик "
as80,lin0.3,Th-232,0.9971,0.6455,Ac-228,tied,740.6,0.856,152.2,0.01,Ac-228,"Th-232 — по Ac-228 0.01%"
as80,lin0.3,Ac-228,0.3321,0.1940,Tl-208,tied,740.6,0.856,152.2,37.78,Tl-208,"Ac-228 — сумм-пик "
as80,lin0.3,Th-228,0.9819,0.9660,Ac-228,tied,740.6,0.856,152.2,0.18,Ac-228,"Th-228 — по Ac-228 0.18%"
as80,lin0.3,Ra-224,0.9850,0.9455,Pb-212,tied,1084,1.253,169.1,1.94,Pb-212,"Ra-224 — по Pb-212 1.94%"
as80,lin0.3,Rn-220,0.9793,0.7923,Ac-228,tied,740.6,0.856,152.2,0.04,Ac-228,"Rn-220 — по Ac-228 0.04%"
as80,lin0.3,Po-216,1.0000,0.9997,Ac-228,tied,740.6,0.856,152.2,0.00,Ac-228,
as80,lin0.3,Pb-212,,,,,1084,1.253,169.1,24.12,,"Pb-212 — сумм-пик "
as80,lin0.3,Bi-212,0.9950,0.9930,Ac-228,tied,740.6,0.856,152.2,4.74,Ac-228,"Bi-212 — сумм-пик "
as80,lin0.3,Tl-208,0.0835,0.0835,Pb-212,free,740.6,0.856,152.2,31.18,,"Tl-208 — сумм-пик "
as80,lin0.5,Th-232,0.9971,0.6455,Ac-228,tied,673.8,0.779,108.4,0.01,Ac-228,"Th-232 — по Ac-228 0.01%"
as80,lin0.5,Ac-228,0.3321,0.1940,Tl-208,free,673.8,0.779,108.4,34.18,,"Ac-228 — сумм-пик "
as80,lin0.5,Th-228,0.9819,0.9660,Ac-228,tied,673.8,0.779,108.4,0.17,Ac-228,"Th-228 — по Ac-228 0.17%"
as80,lin0.5,Ra-224,0.9850,0.9455,Pb-212,tied,1077,1.245,171.0,1.93,Pb-212,"Ra-224 — по Pb-212 1.93%"
as80,lin0.5,Rn-220,0.9793,0.7923,Ac-228,tied,673.8,0.779,108.4,0.04,Ac-228,"Rn-220 — по Ac-228 0.04%"
as80,lin0.5,Po-216,1.0000,0.9997,Ac-228,tied,673.8,0.779,108.4,0.00,Ac-228,
as80,lin0.5,Pb-212,,,,,1077,1.245,171.0,23.99,,"Pb-212 — сумм-пик "
as80,lin0.5,Bi-212,0.9950,0.9930,Ac-228,tied,673.8,0.779,108.4,4.13,Ac-228,"Bi-212 — сумм-пик "
as80,lin0.5,Tl-208,0.0038,0.0038,Pb-212,free,863.1,0.997,125.6,35.55,,"Tl-208 — сумм-пик "
as80,lin0.7,Th-232,0.9971,0.6455,Ac-228,tied,673.8,0.779,108.4,0.01,Ac-228,"Th-232 — по Ac-228 0.01%"
as80,lin0.7,Ac-228,0.3321,0.1940,Tl-208,free,673.8,0.779,108.4,34.18,,"Ac-228 — сумм-пик "
as80,lin0.7,Th-228,0.9819,0.9660,Ac-228,tied,673.8,0.779,108.4,0.17,Ac-228,"Th-228 — по Ac-228 0.17%"
as80,lin0.7,Ra-224,0.9850,0.9455,Pb-212,tied,1077,1.245,171.0,1.93,Pb-212,"Ra-224 — по Pb-212 1.93%"
as80,lin0.7,Rn-220,0.9793,0.7923,Ac-228,tied,673.8,0.779,108.4,0.04,Ac-228,"Rn-220 — по Ac-228 0.04%"
as80,lin0.7,Po-216,1.0000,0.9997,Ac-228,tied,673.8,0.779,108.4,0.00,Ac-228,
as80,lin0.7,Pb-212,,,,,1077,1.245,171.0,23.99,,"Pb-212 — сумм-пик "
as80,lin0.7,Bi-212,0.9950,0.9930,Ac-228,tied,673.8,0.779,108.4,4.13,Ac-228,"Bi-212 — сумм-пик "
as80,lin0.7,Tl-208,0.0038,0.0038,Pb-212,free,863.1,0.997,125.6,35.55,,"Tl-208 — сумм-пик "
as80,lin0.8,Th-232,0.9971,0.6455,Ac-228,tied,673.8,0.779,108.4,0.01,Ac-228,"Th-232 — по Ac-228 0.01%"
as80,lin0.8,Ac-228,0.3321,0.1940,Tl-208,free,673.8,0.779,108.4,34.18,,"Ac-228 — сумм-пик "
as80,lin0.8,Th-228,0.9819,0.9660,Ac-228,tied,673.8,0.779,108.4,0.17,Ac-228,"Th-228 — по Ac-228 0.17%"
as80,lin0.8,Ra-224,0.9850,0.9455,Pb-212,tied,1077,1.245,171.0,1.93,Pb-212,"Ra-224 — по Pb-212 1.93%"
as80,lin0.8,Rn-220,0.9793,0.7923,Ac-228,tied,673.8,0.779,108.4,0.04,Ac-228,"Rn-220 — по Ac-228 0.04%"
as80,lin0.8,Po-216,1.0000,0.9997,Ac-228,tied,673.8,0.779,108.4,0.00,Ac-228,
as80,lin0.8,Pb-212,,,,,1077,1.245,171.0,23.99,,"Pb-212 — сумм-пик "
as80,lin0.8,Bi-212,0.9950,0.9930,Ac-228,tied,673.8,0.779,108.4,4.13,Ac-228,"Bi-212 — сумм-пик "
as80,lin0.8,Tl-208,0.0038,0.0038,Pb-212,free,863.1,0.997,125.6,35.55,,"Tl-208 — сумм-пик "
as80,lin0.9,Th-232,0.9971,0.6455,Ac-228,tied,673.8,0.779,108.4,0.01,Ac-228,"Th-232 — по Ac-228 0.01%"
as80,lin0.9,Ac-228,0.3321,0.1940,Tl-208,free,673.8,0.779,108.4,34.18,,"Ac-228 — сумм-пик "
as80,lin0.9,Th-228,0.9819,0.9660,Ac-228,tied,673.8,0.779,108.4,0.17,Ac-228,"Th-228 — по Ac-228 0.17%"
as80,lin0.9,Ra-224,0.9850,0.9455,Pb-212,tied,1077,1.245,171.0,1.93,Pb-212,"Ra-224 — по Pb-212 1.93%"
as80,lin0.9,Rn-220,0.9793,0.7923,Ac-228,tied,673.8,0.779,108.4,0.04,Ac-228,"Rn-220 — по Ac-228 0.04%"
as80,lin0.9,Po-216,1.0000,0.9997,Ac-228,tied,673.8,0.779,108.4,0.00,Ac-228,
as80,lin0.9,Pb-212,,,,,1077,1.245,171.0,23.99,,"Pb-212 — сумм-пик "
as80,lin0.9,Bi-212,0.9950,0.9930,Ac-228,tied,673.8,0.779,108.4,4.13,Ac-228,"Bi-212 — сумм-пик "
as80,lin0.9,Tl-208,0.0038,0.0038,Pb-212,free,863.1,0.997,125.6,35.55,,"Tl-208 — сумм-пик "
as80,lin0.95,Th-232,0.9971,0.6455,Ac-228,tied,673.8,0.779,108.4,0.01,Ac-228,"Th-232 — по Ac-228 0.01%"
as80,lin0.95,Ac-228,0.3321,0.1940,Tl-208,free,673.8,0.779,108.4,34.18,,"Ac-228 — сумм-пик "
as80,lin0.95,Th-228,0.9819,0.9660,Ac-228,tied,673.8,0.779,108.4,0.17,Ac-228,"Th-228 — по Ac-228 0.17%"
as80,lin0.95,Ra-224,0.9850,0.9455,Pb-212,tied,1077,1.245,171.0,1.93,Pb-212,"Ra-224 — по Pb-212 1.93%"
as80,lin0.95,Rn-220,0.9793,0.7923,Ac-228,tied,673.8,0.779,108.4,0.04,Ac-228,"Rn-220 — по Ac-228 0.04%"
as80,lin0.95,Po-216,1.0000,0.9997,Ac-228,tied,673.8,0.779,108.4,0.00,Ac-228,
as80,lin0.95,Pb-212,,,,,1077,1.245,171.0,23.99,,"Pb-212 — сумм-пик "
as80,lin0.95,Bi-212,0.9950,0.9930,Ac-228,tied,673.8,0.779,108.4,4.13,Ac-228,"Bi-212 — сумм-пик "
as80,lin0.95,Tl-208,0.0038,0.0038,Pb-212,free,863.1,0.997,125.6,35.55,,"Tl-208 — сумм-пик "
as80,tie0,Th-232,,,,,<1.255e+04,,,,,"Th-232 < 0.126 %"
as80,tie0,Ac-228,,,,,681.8,0.788,114.8,32.40,,"Ac-228 — сумм-пик "
as80,tie0,Th-228,,,,,1.821e+04,21.039,31.3,4.30,,"Th-228 4.30%"
as80,tie0,Ra-224,,,,,8571,9.906,30.8,14.42,,"Ra-224 14.42%"
as80,tie0,Rn-220,,,,,6.031e+04,69.695,36.8,3.12,,"Rn-220 3.12%"
as80,tie0,Po-216,,,,,<3.859e+05,,,,,
as80,tie0,Pb-212,,,,,414.2,0.479,16.2,8.69,,"Pb-212 — сумм-пик "
as80,tie0,Bi-212,,,,,655.1,0.757,28.3,3.54,,"Bi-212 — сумм-пик "
as80,tie0,Tl-208,,,,,864.9,1.000,136.8,33.53,,"Tl-208 — сумм-пик "
radon1,col0.1,Th-232,0.2372,0.0692,Th-228,tied,10.26,,12.2,0.01,Th-228,"Th-232 — по Th-228 0.01%"
radon1,col0.1,Ac-228,0.0482,0.0294,Pb-212,free,<7.82,,,,,"Ac-228 < 1.7 %"
radon1,col0.1,Th-228,0.4799,0.0916,Pb-212,tied,10.26,,12.2,0.09,Pb-212,"Th-228 — по Pb-212 0.09%"
radon1,col0.1,Ra-224,0.7271,0.7242,Pb-212,tied,10.26,,12.2,0.22,Pb-212,"Ra-224 — по Pb-212 0.22%"
radon1,col0.1,Rn-220,0.0460,0.0238,Bi-212,free,<2176,,,,,
radon1,col0.1,Po-216,0.2611,0.1642,Bi-212,tied,<50.78,,,,Bi-212,
radon1,col0.1,Pb-212,,,,,10.26,,12.2,4.12,,"Pb-212 — сумм-пик "
radon1,col0.1,Bi-212,0.0585,0.0346,Ac-228,free,<50.78,,,,,"Bi-212 < 0.926 %"
radon1,col0.1,Tl-208,0.0006,0.0006,Pb-212,free,12.45,,5.9,2.87,,"Tl-208 — сумм-пик "
radon1,col0.1,Ra-226,0.0041,0.0035,Pb-214,free,<30.26,,,,,"Ra-226 < 0.479 %"
radon1,col0.1,Rn-222,0.0505,0.0425,Bi-214,free,<2714,,,,,
radon1,col0.1,Pb-214,,,,,136.1,,98.8,46.08,,"Pb-214 — сумм-пик "
radon1,col0.1,Bi-214,0.0019,0.0019,Pb-214,free,142,,60.1,41.30,,"Bi-214 — сумм-пик "
radon1,col0.1,Pb-210,0.0002,0.0001,Bi-214,free,<67.24,,,,,"Pb-210 < 0.807 %"
radon1,col0.3,Th-232,0.2372,0.0692,Th-228,free,2552,,14.0,3.18,,"Th-232 3.18%"
radon1,col0.3,Ac-228,0.0479,0.0291,Pb-212,free,<7.849,,,,,"Ac-228 < 1.72 %"
radon1,col0.3,Th-228,0.3982,0.0775,Pb-212,tied,10.32,,12.4,0.09,Pb-212,"Th-228 — по Pb-212 0.09%"
radon1,col0.3,Ra-224,0.7279,0.7251,Pb-212,tied,10.32,,12.4,0.21,Pb-212,"Ra-224 — по Pb-212 0.21%"
radon1,col0.3,Rn-220,0.0459,0.0238,Bi-212,free,<2153,,,,,
radon1,col0.3,Po-216,0.2611,0.1642,Bi-212,free,<1.601e+05,,,,,
radon1,col0.3,Pb-212,,,,,10.32,,12.4,3.99,,"Pb-212 — сумм-пик "
radon1,col0.3,Bi-212,0.0586,0.0346,Ac-228,free,<50.48,,,,,"Bi-212 < 0.924 %"
radon1,col0.3,Tl-208,0.0006,0.0006,Pb-212,free,11.77,,5.6,2.66,,"Tl-208 — сумм-пик "
radon1,col0.3,Ra-226,0.0041,0.0035,Pb-214,free,<29.92,,,,,"Ra-226 < 0.476 %"
radon1,col0.3,Rn-222,0.0505,0.0425,Bi-214,free,<2683,,,,,
radon1,col0.3,Pb-214,,,,,135.4,,99.4,44.74,,"Pb-214 — сумм-пик "
radon1,col0.3,Bi-214,0.0019,0.0019,Pb-214,free,142.5,,60.9,40.40,,"Bi-214 — сумм-пик "
radon1,col0.3,Pb-210,0.0002,0.0001,Bi-214,free,<95.16,,,,,"Pb-210 < 1.15 %"
radon1,col0.5,Th-232,0.2372,0.0692,Th-228,free,4199,,23.0,5.19,,"Th-232 5.19%"
radon1,col0.5,Ac-228,0.0489,0.0301,Pb-212,free,<8.332,,,,,"Ac-228 < 1.8 %"
radon1,col0.5,Th-228,0.3982,0.0775,Pb-212,free,1344,,23.1,11.20,,"Th-228 11.20%"
radon1,col0.5,Ra-224,0.7391,0.7361,Pb-212,tied,5.873,,6.6,0.11,Pb-212,"Ra-224 — по Pb-212 0.11%"
radon1,col0.5,Rn-220,0.0459,0.0238,Bi-212,free,<2150,,,,,
radon1,col0.5,Po-216,0.2611,0.1642,Bi-212,free,<1.576e+05,,,,,
radon1,col0.5,Pb-212,,,,,5.873,,6.6,2.15,,"Pb-212 — сумм-пик "
radon1,col0.5,Bi-212,0.0587,0.0346,Ac-228,free,<49.77,,,,,"Bi-212 < 0.902 %"
radon1,col0.5,Tl-208,0.0006,0.0006,Pb-212,free,11.67,,5.6,2.50,,"Tl-208 — сумм-пик "
radon1,col0.5,Ra-226,0.0041,0.0035,Pb-214,free,<30.12,,,,,"Ra-226 < 0.474 %"
radon1,col0.5,Rn-222,0.0505,0.0425,Bi-214,free,<2645,,,,,
radon1,col0.5,Pb-214,,,,,131.7,,67.6,41.05,,"Pb-214 — сумм-пик "
radon1,col0.5,Bi-214,0.0019,0.0019,Pb-214,free,141.9,,58.7,37.80,,"Bi-214 — сумм-пик "
radon1,col0.5,Pb-210,0.0002,0.0001,Bi-214,free,<92.48,,,,,"Pb-210 < 1.1 %"
radon1,col0.7,Th-232,0.2372,0.0692,Th-228,free,4199,,23.0,5.19,,"Th-232 5.19%"
radon1,col0.7,Ac-228,0.0489,0.0301,Pb-212,free,<8.332,,,,,"Ac-228 < 1.8 %"
radon1,col0.7,Th-228,0.3982,0.0775,Pb-212,free,1344,,23.1,11.20,,"Th-228 11.20%"
radon1,col0.7,Ra-224,0.7391,0.7361,Pb-212,tied,5.873,,6.6,0.11,Pb-212,"Ra-224 — по Pb-212 0.11%"
radon1,col0.7,Rn-220,0.0459,0.0238,Bi-212,free,<2150,,,,,
radon1,col0.7,Po-216,0.2611,0.1642,Bi-212,free,<1.576e+05,,,,,
radon1,col0.7,Pb-212,,,,,5.873,,6.6,2.15,,"Pb-212 — сумм-пик "
radon1,col0.7,Bi-212,0.0587,0.0346,Ac-228,free,<49.77,,,,,"Bi-212 < 0.902 %"
radon1,col0.7,Tl-208,0.0006,0.0006,Pb-212,free,11.67,,5.6,2.50,,"Tl-208 — сумм-пик "
radon1,col0.7,Ra-226,0.0041,0.0035,Pb-214,free,<30.12,,,,,"Ra-226 < 0.474 %"
radon1,col0.7,Rn-222,0.0505,0.0425,Bi-214,free,<2645,,,,,
radon1,col0.7,Pb-214,,,,,131.7,,67.6,41.05,,"Pb-214 — сумм-пик "
radon1,col0.7,Bi-214,0.0019,0.0019,Pb-214,free,141.9,,58.7,37.80,,"Bi-214 — сумм-пик "
radon1,col0.7,Pb-210,0.0002,0.0001,Bi-214,free,<92.48,,,,,"Pb-210 < 1.1 %"
radon1,col0.8,Th-232,0.2372,0.0692,Th-228,free,4184,,22.9,5.17,,"Th-232 5.17%"
radon1,col0.8,Ac-228,0.0498,0.0311,Pb-212,free,<8.325,,,,,"Ac-228 < 1.8 %"
radon1,col0.8,Th-228,0.3982,0.0775,Pb-212,free,1336,,22.8,11.13,,"Th-228 11.13%"
radon1,col0.8,Ra-224,0.7391,0.7361,Pb-212,free,<103.4,,,,,"Ra-224 < 1.39 %"
radon1,col0.8,Rn-220,0.0459,0.0238,Bi-212,free,<2150,,,,,
radon1,col0.8,Po-216,0.2611,0.1642,Bi-212,free,<1.576e+05,,,,,
radon1,col0.8,Pb-212,,,,,6.518,,6.7,2.39,,"Pb-212 — сумм-пик "
radon1,col0.8,Bi-212,0.0587,0.0346,Ac-228,free,<49.76,,,,,"Bi-212 < 0.901 %"
radon1,col0.8,Tl-208,0.0004,0.0004,Pb-212,free,11.66,,5.6,2.50,,"Tl-208 — сумм-пик "
radon1,col0.8,Ra-226,0.0041,0.0035,Pb-214,free,<30.12,,,,,"Ra-226 < 0.474 %"
radon1,col0.8,Rn-222,0.0505,0.0425,Bi-214,free,<2645,,,,,
radon1,col0.8,Pb-214,,,,,131.6,,67.4,41.01,,"Pb-214 — сумм-пик "
radon1,col0.8,Bi-214,0.0019,0.0019,Pb-214,free,141.8,,58.7,37.81,,"Bi-214 — сумм-пик "
radon1,col0.8,Pb-210,0.0002,0.0001,Bi-214,free,<92.51,,,,,"Pb-210 < 1.1 %"
radon1,col0.9,Th-232,0.2372,0.0692,Th-228,free,4184,,22.9,5.17,,"Th-232 5.17%"
radon1,col0.9,Ac-228,0.0498,0.0311,Pb-212,free,<8.325,,,,,"Ac-228 < 1.8 %"
radon1,col0.9,Th-228,0.3982,0.0775,Pb-212,free,1336,,22.8,11.13,,"Th-228 11.13%"
radon1,col0.9,Ra-224,0.7391,0.7361,Pb-212,free,<103.4,,,,,"Ra-224 < 1.39 %"
radon1,col0.9,Rn-220,0.0459,0.0238,Bi-212,free,<2150,,,,,
radon1,col0.9,Po-216,0.2611,0.1642,Bi-212,free,<1.576e+05,,,,,
radon1,col0.9,Pb-212,,,,,6.518,,6.7,2.39,,"Pb-212 — сумм-пик "
radon1,col0.9,Bi-212,0.0587,0.0346,Ac-228,free,<49.76,,,,,"Bi-212 < 0.901 %"
radon1,col0.9,Tl-208,0.0004,0.0004,Pb-212,free,11.66,,5.6,2.50,,"Tl-208 — сумм-пик "
radon1,col0.9,Ra-226,0.0041,0.0035,Pb-214,free,<30.12,,,,,"Ra-226 < 0.474 %"
radon1,col0.9,Rn-222,0.0505,0.0425,Bi-214,free,<2645,,,,,
radon1,col0.9,Pb-214,,,,,131.6,,67.4,41.01,,"Pb-214 — сумм-пик "
radon1,col0.9,Bi-214,0.0019,0.0019,Pb-214,free,141.8,,58.7,37.81,,"Bi-214 — сумм-пик "
radon1,col0.9,Pb-210,0.0002,0.0001,Bi-214,free,<92.51,,,,,"Pb-210 < 1.1 %"
radon1,col0.95,Th-232,0.2372,0.0692,Th-228,free,4184,,22.9,5.17,,"Th-232 5.17%"
radon1,col0.95,Ac-228,0.0498,0.0311,Pb-212,free,<8.325,,,,,"Ac-228 < 1.8 %"
radon1,col0.95,Th-228,0.3982,0.0775,Pb-212,free,1336,,22.8,11.13,,"Th-228 11.13%"
radon1,col0.95,Ra-224,0.7391,0.7361,Pb-212,free,<103.4,,,,,"Ra-224 < 1.39 %"
radon1,col0.95,Rn-220,0.0459,0.0238,Bi-212,free,<2150,,,,,
radon1,col0.95,Po-216,0.2611,0.1642,Bi-212,free,<1.576e+05,,,,,
radon1,col0.95,Pb-212,,,,,6.518,,6.7,2.39,,"Pb-212 — сумм-пик "
radon1,col0.95,Bi-212,0.0587,0.0346,Ac-228,free,<49.76,,,,,"Bi-212 < 0.901 %"
radon1,col0.95,Tl-208,0.0004,0.0004,Pb-212,free,11.66,,5.6,2.50,,"Tl-208 — сумм-пик "
radon1,col0.95,Ra-226,0.0041,0.0035,Pb-214,free,<30.12,,,,,"Ra-226 < 0.474 %"
radon1,col0.95,Rn-222,0.0505,0.0425,Bi-214,free,<2645,,,,,
radon1,col0.95,Pb-214,,,,,131.6,,67.4,41.01,,"Pb-214 — сумм-пик "
