сцена                            тело       клеймо    sha тела             Qk    dQmax  Q2(662)      hist fmt
G1S_mar1l_oisn06_057_p24         ПОБИТОВО   клеймо =  914d1cfeca94cb8d    142   0.0399   0.7750   3000000 9
G1S_mar1l_oisn06_062_p16         ПОБИТОВО   клеймо =  28c6d5ad46ee9ae6    140   0.0383   0.7751   3000000 9
G1S_mar1l_oisn06_062_p24         ПОБИТОВО   клеймо =  0c4587478c45d1f6    142   0.0419   0.7747   3000000 9
G1S_mar1l_oisn06_064_p24         ПОБИТОВО   клеймо =  b5e9013b38b0143c    142   0.0431   0.7749   3000000 9
G1S_mar1l_oisn06_066_p16         ПОБИТОВО   клеймо =  a58a1f67bd7a0852    140   0.0395   0.7745   3000000 9
G1S_mar1l_oisn06_066_p24         ПОБИТОВО   клеймо =  81ab2c783bf1a88b    142   0.0465   0.7747   3000000 9
G1S_mar1l_oisn16_155_p16         ПОБИТОВО   клеймо =  82bba2521fc7e8e4    142   0.0994   0.7725   3000000 9
G1S_mar1l_oisn16_155_p24         ПОБИТОВО   клеймо =  4562235aade91011    142   0.1136   0.7723   3000000 9
G1S_mar1l_oisn16_160_p16         ПОБИТОВО   клеймо =  febacf018f8dc150    142   0.1022   0.7723   3000000 9
G1S_mar1l_oisn16_160_p24         ПОБИТОВО   клеймо =  e3efc944cca1e3a7    142   0.1163   0.7725   3000000 9
G1S_mar1l_oisn16_166_p16         ПОБИТОВО   клеймо =  373c92d6d1287844    142   0.1064   0.7721   3000000 9
G1S_mar1l_oisn16_166_p24         ПОБИТОВО   клеймо =  68ebf28ed0f038b5    142   0.1183   0.7722   3000000 9
G1S_mar1l_oisn16_167_p16         ПОБИТОВО   клеймо =  b3063a939696905a    142   0.1067   0.7720   3000000 9
G1S_mar1l_oisn16_167_p24         ПОБИТОВО   клеймо =  5f1090528e71cdb7    142   0.1186   0.7721   3000000 9
G1S_mar1l_risn379_100_p16        ПОБИТОВО   клеймо =  3bee1a5fb05075dc    140   0.1101   0.7736   3000000 9
G1S_petri60_oisn06_057_p24       ПОБИТОВО   клеймо =  df0af4b04ebe5368    142   0.0414   0.5916   3000000 9
G1S_petri60_oisn06_062_p24       ПОБИТОВО   клеймо =  f88bf1f2595e99e5    142   0.0422   0.5920   3000000 9
G1S_petri60_oisn06_064_p24       ПОБИТОВО   клеймо =  464839c6d5a62fa6    142   0.0427   0.5917   3000000 9
G1S_petri60_oisn06_067_p24       ПОБИТОВО   клеймо =  f03048bfcf068d87    142   0.0227   0.5916   3000000 9
G1S_petri60_oisn10_100_p16       ПОБИТОВО   клеймо =  d7d346cdd13657c3    142   0.0346   0.5914   3000000 9
G1S_petri60_oisn16_155_p24       ПОБИТОВО   клеймо =  d64d5f1717a8752c    142   0.0280   0.5919   3000000 9
G1S_petri60_oisn16_160_p24       ПОБИТОВО   клеймо =  c834a7b097acc88e    142   0.0282   0.5923   3000000 9
G1S_petri60_oisn16_167_p24       ПОБИТОВО   клеймо =  93fbb9bb3197c3e3    142   0.0286   0.5921   3000000 9
G1S_petri60_risn379_100_p16      ПОБИТОВО   клеймо =  25ac2422dd498e50    140   0.0365   0.5915   3000000 9
G1S_point25                      ПОБИТОВО   клеймо =  e69608b62d5c6c32    140   0.0069   0.9910   3000000 9
G1S_point5                       ПОБИТОВО   клеймо =  63dbaa9b5b01aef0    140   0.0741   0.8755   3000000 9
RC103_lu_front                   ПОБИТОВО   клеймо =  fff59f9dcfc99385    142   0.0678   0.9413   3000000 9
RC103_marinelli05_kcl            ПОБИТОВО   клеймо =  0d6d6a729e0598bd    140   0.2202   0.9790   3000000 9
RC103_point0                     ПОБИТОВО   клеймо =  e866960b90b981f7    140   0.0563   0.7642   3000000 9
тел побитово 46 из 46; блок Q_k у 46 из 46
