AngularQkProbe (AMBER46, читатель-контроль): склад D:/BqMoni_Claude/p87/store
историй на узел: как у матрицы (ожидание — ДО БИТА); узлы: все; потоков 10; допуск 3.0 σ

=== AS80_point0: AS80_point0: кристалл Sodium iodide цилиндр 80.00x80.00 мм, ро 3.667; источник — точка, 0.0 мм, Air, dry; матрица формат 9, 140 узлов, клеймо phys=18;1f5aeaf1eeae43b63d6a7b0817f68eaccc4167c12243909b95293aeb63a1d205
контроль подсмотра (узел 5.0 кэВ, зерно узла): штатный Efficiency = 7.00547334970596E-14, мой обход = 7.00547334970596E-14 — ДО БИТА
   узел   E, кэВ   ист.матр  ист.пробы     Q2 матр    Q2 проба   ΔQ2/σ     Q4 матр    Q4 проба   ΔQ4/σ    Q2T матр   Q2T проба  ΔQ2T/σ   вердикт
     15      10.0    3000000    3000000     0.59735   0.59735       =     0.14744   0.14744       =     0.59619   0.59619       =   ДО БИТА
     16      10.4    3000000    3000000     0.59321   0.59321       =     0.11462   0.11462       =     0.59230   0.59230       =   ДО БИТА
     17      10.9    3000000    3000000     0.50017   0.50017       =    -0.04757  -0.04757       =     0.50482   0.50482       =   ДО БИТА
     18      11.4    3000000    3000000     0.54259   0.54259       =     0.06655   0.06655       =     0.54260   0.54260       =   ДО БИТА
     19      12.0    3000000    3000000     0.51019   0.51019       =     0.02418   0.02418       =     0.51020   0.51020       =   ДО БИТА
     20      12.6    3000000    3000000     0.52953   0.52953       =     0.04841   0.04841       =     0.52959   0.52959       =   ДО БИТА
     21      13.1    3000000    3000000     0.52768   0.52768       =     0.02370   0.02370       =     0.52727   0.52727       =   ДО БИТА
     22      13.8    3000000    3000000     0.53664   0.53664       =     0.07959   0.07959       =     0.53865   0.53865       =   ДО БИТА
     23      14.4    3000000    3000000     0.63483   0.63483       =     0.21681   0.21681       =     0.63689   0.63689       =   ДО БИТА
     24      15.1    3000000    3000000     0.66328   0.66328       =     0.25102   0.25102       =     0.66367   0.66367       =   ДО БИТА
     25      15.8    3000000    3000000     0.66559   0.66559       =     0.24781   0.24781       =     0.66537   0.66537       =   ДО БИТА
     26      16.5    3000000    3000000     0.65592   0.65592       =     0.23091   0.23091       =     0.65571   0.65571       =   ДО БИТА
     27      17.3    3000000    3000000     0.63849   0.63849       =     0.20432   0.20432       =     0.63809   0.63809       =   ДО БИТА
     28      18.1    3000000    3000000     0.61711   0.61711       =     0.17297   0.17297       =     0.61657   0.61657       =   ДО БИТА
     29      19.0    3000000    3000000     0.59670   0.59670       =     0.14463   0.14463       =     0.59584   0.59584       =   ДО БИТА
     30      19.9    3000000    3000000     0.57785   0.57785       =     0.11899   0.11899       =     0.57658   0.57658       =   ДО БИТА
     31      20.8    3000000    3000000     0.56086   0.56086       =     0.09727   0.09727       =     0.55887   0.55887       =   ДО БИТА
     32      21.8    3000000    3000000     0.54419   0.54419       =     0.07616   0.07616       =     0.54123   0.54123       =   ДО БИТА
     33      22.8    3000000    3000000     0.52979   0.52979       =     0.05796   0.05796       =     0.52559   0.52559       =   ДО БИТА
     34      23.9    3000000    3000000     0.51667   0.51667       =     0.04195   0.04195       =     0.51099   0.51099       =   ДО БИТА
     35      25.0    3000000    3000000     0.50361   0.50361       =     0.02580   0.02580       =     0.49618   0.49618       =   ДО БИТА
     36      26.2    3000000    3000000     0.49332   0.49332       =     0.01385   0.01385       =     0.48385   0.48385       =   ДО БИТА
     37      27.4    3000000    3000000     0.48419   0.48419       =     0.00273   0.00273       =     0.47240   0.47240       =   ДО БИТА
     38      28.7    3000000    3000000     0.47531   0.47531       =    -0.00786  -0.00786       =     0.46096   0.46096       =   ДО БИТА
     39      30.1    3000000    3000000     0.46807   0.46807       =    -0.01693  -0.01693       =     0.45088   0.45088       =   ДО БИТА
     40      31.5    3000000    3000000     0.46317   0.46317       =    -0.02382  -0.02382       =     0.44274   0.44274       =   ДО БИТА
     41      33.0    3000000    3000000     0.45914   0.45914       =    -0.02921  -0.02921       =     0.43529   0.43529       =   ДО БИТА
     42      34.5    3000000    3000000     0.45776   0.45776       =    -0.03055  -0.03055       =     0.42625   0.42625       =   ДО БИТА
     43      36.2    3000000    3000000     0.45346   0.45346       =    -0.03714  -0.03714       =     0.41835   0.41835       =   ДО БИТА
     44      37.9    3000000    3000000     0.45169   0.45169       =    -0.04021  -0.04021       =     0.41272   0.41272       =   ДО БИТА
     45      39.7    3000000    3000000     0.44925   0.44925       =    -0.04436  -0.04436       =     0.40634   0.40634       =   ДО БИТА
     46      41.5    3000000    3000000     0.44713   0.44713       =    -0.04809  -0.04809       =     0.40064   0.40064       =   ДО БИТА
     47      43.5    3000000    3000000     0.44630   0.44630       =    -0.05152  -0.05152       =     0.39610   0.39610       =   ДО БИТА
     48      45.5    3000000    3000000     0.44610   0.44610       =    -0.05306  -0.05306       =     0.39248   0.39248       =   ДО БИТА
     49      47.7    3000000    3000000     0.44557   0.44557       =    -0.05544  -0.05544       =     0.38797   0.38797       =   ДО БИТА
     50      49.9    3000000    3000000     0.44520   0.44520       =    -0.05760  -0.05760       =     0.38455   0.38455       =   ДО БИТА
     51      52.3    3000000    3000000     0.44505   0.44505       =    -0.05969  -0.05969       =     0.38118   0.38118       =   ДО БИТА
     52      54.7    3000000    3000000     0.44462   0.44462       =    -0.06184  -0.06184       =     0.37799   0.37799       =   ДО БИТА
     53      57.3    3000000    3000000     0.44546   0.44546       =    -0.06229  -0.06229       =     0.37658   0.37658       =   ДО БИТА
     54      60.0    3000000    3000000     0.44575   0.44575       =    -0.06372  -0.06372       =     0.37329   0.37329       =   ДО БИТА
     55      62.8    3000000    3000000     0.44595   0.44595       =    -0.06565  -0.06565       =     0.37188   0.37188       =   ДО БИТА
     56      65.8    3000000    3000000     0.44726   0.44726       =    -0.06537  -0.06537       =     0.37164   0.37164       =   ДО БИТА
     57      68.9    3000000    3000000     0.44713   0.44713       =    -0.06695  -0.06695       =     0.36992   0.36992       =   ДО БИТА
     58      72.1    3000000    3000000     0.44845   0.44845       =    -0.06677  -0.06677       =     0.36961   0.36961       =   ДО БИТА
     59      75.5    3000000    3000000     0.44927   0.44927       =    -0.06730  -0.06730       =     0.36899   0.36899       =   ДО БИТА
     60      79.1    3000000    3000000     0.45050   0.45050       =    -0.06682  -0.06682       =     0.36891   0.36891       =   ДО БИТА
     61      82.8    3000000    3000000     0.45172   0.45172       =    -0.06660  -0.06660       =     0.36918   0.36918       =   ДО БИТА
     62      86.7    3000000    3000000     0.45165   0.45165       =    -0.06801  -0.06801       =     0.36804   0.36804       =   ДО БИТА
     63      90.8    3000000    3000000     0.45347   0.45347       =    -0.06731  -0.06731       =     0.36944   0.36944       =   ДО БИТА
     64      95.1    3000000    3000000     0.45501   0.45501       =    -0.06697  -0.06697       =     0.37008   0.37008       =   ДО БИТА
     65      99.6    3000000    3000000     0.45705   0.45705       =    -0.06553  -0.06553       =     0.37144   0.37144       =   ДО БИТА
     66     104.3    3000000    3000000     0.45878   0.45878       =    -0.06474  -0.06474       =     0.37268   0.37268       =   ДО БИТА
     67     109.2    3000000    3000000     0.46081   0.46081       =    -0.06394  -0.06394       =     0.37374   0.37374       =   ДО БИТА
     68     114.3    3000000    3000000     0.46275   0.46275       =    -0.06274  -0.06274       =     0.37547   0.37547       =   ДО БИТА
     69     119.7    3000000    3000000     0.46569   0.46569       =    -0.06077  -0.06077       =     0.37791   0.37791       =   ДО БИТА
     70     125.3    3000000    3000000     0.46777   0.46777       =    -0.05996  -0.05996       =     0.37997   0.37997       =   ДО БИТА
     71     131.2    3000000    3000000     0.47175   0.47175       =    -0.05653  -0.05653       =     0.38276   0.38276       =   ДО БИТА
     72     137.4    3000000    3000000     0.47471   0.47471       =    -0.05429  -0.05429       =     0.38515   0.38515       =   ДО БИТА
     73     143.9    3000000    3000000     0.47854   0.47854       =    -0.05102  -0.05102       =     0.38822   0.38822       =   ДО БИТА
     74     150.7    3000000    3000000     0.48199   0.48199       =    -0.04796  -0.04796       =     0.39059   0.39059       =   ДО БИТА
     75     157.8    3000000    3000000     0.48667   0.48667       =    -0.04361  -0.04361       =     0.39525   0.39525       =   ДО БИТА
     76     165.2    3000000    3000000     0.49209   0.49209       =    -0.03784  -0.03784       =     0.39927   0.39927       =   ДО БИТА
     77     173.0    3000000    3000000     0.49663   0.49663       =    -0.03294  -0.03294       =     0.40251   0.40251       =   ДО БИТА
     78     181.1    3000000    3000000     0.50308   0.50308       =    -0.02655  -0.02655       =     0.40780   0.40780       =   ДО БИТА
     79     189.6    3000000    3000000     0.50797   0.50797       =    -0.02131  -0.02131       =     0.41112   0.41112       =   ДО БИТА
     80     198.6    3000000    3000000     0.51399   0.51399       =    -0.01383  -0.01383       =     0.41509   0.41509       =   ДО БИТА
     81     207.9    3000000    3000000     0.52016   0.52016       =    -0.00658  -0.00658       =     0.41990   0.41990       =   ДО БИТА
     82     217.7    3000000    3000000     0.52609   0.52609       =     0.00118   0.00118       =     0.42458   0.42458       =   ДО БИТА
     83     228.0    3000000    3000000     0.53294   0.53294       =     0.00957   0.00957       =     0.42913   0.42913       =   ДО БИТА
     84     238.7    3000000    3000000     0.53915   0.53915       =     0.01772   0.01772       =     0.43315   0.43315       =   ДО БИТА
     85     249.9    3000000    3000000     0.54529   0.54529       =     0.02592   0.02592       =     0.43772   0.43772       =   ДО БИТА
     86     261.7    3000000    3000000     0.55154   0.55154       =     0.03466   0.03466       =     0.44206   0.44206       =   ДО БИТА
     87     274.0    3000000    3000000     0.55795   0.55795       =     0.04335   0.04335       =     0.44662   0.44662       =   ДО БИТА
     88     286.9    3000000    3000000     0.56358   0.56358       =     0.05167   0.05167       =     0.45061   0.45061       =   ДО БИТА
     89     300.5    3000000    3000000     0.56955   0.56955       =     0.06002   0.06002       =     0.45405   0.45405       =   ДО БИТА
     90     314.6    3000000    3000000     0.57520   0.57520       =     0.06815   0.06815       =     0.45860   0.45860       =   ДО БИТА
     91     329.4    3000000    3000000     0.58081   0.58081       =     0.07657   0.07657       =     0.46201   0.46201       =   ДО БИТА
     92     344.9    3000000    3000000     0.58611   0.58611       =     0.08454   0.08454       =     0.46584   0.46584       =   ДО БИТА
     93     361.2    3000000    3000000     0.59130   0.59130       =     0.09188   0.09188       =     0.47027   0.47027       =   ДО БИТА
     94     378.2    3000000    3000000     0.59577   0.59577       =     0.09907   0.09907       =     0.47328   0.47328       =   ДО БИТА
     95     396.0    3000000    3000000     0.60026   0.60026       =     0.10574   0.10574       =     0.47620   0.47620       =   ДО БИТА
     96     414.7    3000000    3000000     0.60365   0.60365       =     0.11143   0.11143       =     0.47900   0.47900       =   ДО БИТА
     97     434.2    3000000    3000000     0.60805   0.60805       =     0.11793   0.11793       =     0.48238   0.48238       =   ДО БИТА
     98     454.6    3000000    3000000     0.61274   0.61274       =     0.12557   0.12557       =     0.48603   0.48603       =   ДО БИТА
     99     476.1    3000000    3000000     0.61619   0.61619       =     0.13127   0.13127       =     0.48871   0.48871       =   ДО БИТА
    100     498.5    3000000    3000000     0.61914   0.61914       =     0.13568   0.13568       =     0.49096   0.49096       =   ДО БИТА
    101     521.9    3000000    3000000     0.62257   0.62257       =     0.14097   0.14097       =     0.49349   0.49349       =   ДО БИТА
    102     546.5    3000000    3000000     0.62497   0.62497       =     0.14508   0.14508       =     0.49662   0.49662       =   ДО БИТА
    103     572.3    3000000    3000000     0.62835   0.62835       =     0.15027   0.15027       =     0.49978   0.49978       =   ДО БИТА
    104     599.2    3000000    3000000     0.63109   0.63109       =     0.15402   0.15402       =     0.50233   0.50233       =   ДО БИТА
    105     627.4    3000000    3000000     0.63271   0.63271       =     0.15721   0.15721       =     0.50416   0.50416       =   ДО БИТА
    106     657.0    3000000    3000000     0.63531   0.63531       =     0.16195   0.16195       =     0.50688   0.50688       =   ДО БИТА
    107     687.9    3000000    3000000     0.63868   0.63868       =     0.16781   0.16781       =     0.50937   0.50937       =   ДО БИТА
    108     720.3    3000000    3000000     0.64154   0.64154       =     0.17252   0.17252       =     0.51267   0.51267       =   ДО БИТА
    109     754.3    3000000    3000000     0.64341   0.64341       =     0.17541   0.17541       =     0.51398   0.51398       =   ДО БИТА
    110     789.8    3000000    3000000     0.64596   0.64596       =     0.17887   0.17887       =     0.51662   0.51662       =   ДО БИТА
    111     827.0    3000000    3000000     0.64667   0.64667       =     0.18020   0.18020       =     0.51805   0.51805       =   ДО БИТА
    112     865.9    3000000    3000000     0.64965   0.64965       =     0.18541   0.18541       =     0.52101   0.52101       =   ДО БИТА
    113     906.7    3000000    3000000     0.65084   0.65084       =     0.18741   0.18741       =     0.52312   0.52312       =   ДО БИТА
    114     949.4    3000000    3000000     0.65239   0.65239       =     0.18942   0.18942       =     0.52422   0.52422       =   ДО БИТА
    115     994.1    3000000    3000000     0.65311   0.65311       =     0.19077   0.19077       =     0.52682   0.52682       =   ДО БИТА
    116    1040.9    3000000    3000000     0.65607   0.65607       =     0.19586   0.19586       =     0.52920   0.52920       =   ДО БИТА
    117    1090.0    3000000    3000000     0.65866   0.65866       =     0.20035   0.20035       =     0.53129   0.53129       =   ДО БИТА
    118    1141.3    3000000    3000000     0.66008   0.66008       =     0.20293   0.20293       =     0.53335   0.53335       =   ДО БИТА
    119    1195.1    3000000    3000000     0.66108   0.66108       =     0.20405   0.20405       =     0.53558   0.53558       =   ДО БИТА
    120    1251.3    3000000    3000000     0.66290   0.66290       =     0.20703   0.20703       =     0.53658   0.53658       =   ДО БИТА
    121    1310.3    3000000    3000000     0.66448   0.66448       =     0.20964   0.20964       =     0.53991   0.53991       =   ДО БИТА
    122    1372.0    3000000    3000000     0.66548   0.66548       =     0.21168   0.21168       =     0.54072   0.54072       =   ДО БИТА
    123    1436.6    3000000    3000000     0.66807   0.66807       =     0.21644   0.21644       =     0.54353   0.54353       =   ДО БИТА
    124    1504.3    3000000    3000000     0.66823   0.66823       =     0.21611   0.21611       =     0.54453   0.54453       =   ДО БИТА
    125    1575.1    3000000    3000000     0.66952   0.66952       =     0.21823   0.21823       =     0.54573   0.54573       =   ДО БИТА
    126    1649.3    3000000    3000000     0.67155   0.67155       =     0.22215   0.22215       =     0.54815   0.54815       =   ДО БИТА
    127    1727.0    3000000    3000000     0.67308   0.67308       =     0.22444   0.22444       =     0.54979   0.54979       =   ДО БИТА
    128    1808.3    3000000    3000000     0.67624   0.67624       =     0.22984   0.22984       =     0.55178   0.55178       =   ДО БИТА
    129    1893.5    3000000    3000000     0.67577   0.67577       =     0.22906   0.22906       =     0.55239   0.55239       =   ДО БИТА
    130    1982.6    3000000    3000000     0.67793   0.67793       =     0.23242   0.23242       =     0.55401   0.55401       =   ДО БИТА
    131    2076.0    3000000    3000000     0.67995   0.67995       =     0.23656   0.23656       =     0.55714   0.55714       =   ДО БИТА
    132    2173.8    3000000    3000000     0.68148   0.68148       =     0.23898   0.23898       =     0.55913   0.55913       =   ДО БИТА
    133    2276.2    3000000    3000000     0.68414   0.68414       =     0.24454   0.24454       =     0.56081   0.56081       =   ДО БИТА
    134    2383.3    3000000    3000000     0.68608   0.68608       =     0.24674   0.24674       =     0.56139   0.56139       =   ДО БИТА
    135    2495.6    3000000    3000000     0.68729   0.68729       =     0.24781   0.24781       =     0.56414   0.56414       =   ДО БИТА
    136    2613.1    3000000    3000000     0.68981   0.68981       =     0.25422   0.25422       =     0.56617   0.56617       =   ДО БИТА
    137    2736.2    3000000    3000000     0.68967   0.68967       =     0.25203   0.25203       =     0.56674   0.56674       =   ДО БИТА
    138    2865.1    3000000    3000000     0.69155   0.69155       =     0.25646   0.25646       =     0.56788   0.56788       =   ДО БИТА
    139    3000.0    3000000    3000000     0.69525   0.69525       =     0.26277   0.26277       =     0.56952   0.56952       =   ДО БИТА
узлов проверено 140: до бита 140, в шуме 0, расхождений 0; 350.1 с

=== G1S_point5: G1S_point5: кристалл Sodium iodide цилиндр 63.00x63.00 мм, ро 3.667; источник — точка, 50.0 мм, Air, dry; матрица формат 9, 140 узлов, клеймо phys=18;a56b959512b93db3a9d2e8a9f15e233cc4dfbe5a5aa2b5b65f50abea644bb33c
контроль подсмотра (узел 5.0 кэВ, зерно узла): штатный Efficiency = 0, мой обход = 0 — ДО БИТА
   узел   E, кэВ   ист.матр  ист.пробы     Q2 матр    Q2 проба   ΔQ2/σ     Q4 матр    Q4 проба   ΔQ4/σ    Q2T матр   Q2T проба  ΔQ2T/σ   вердикт
      0       5.0    3000000    3000000     0.00000   0.00000       =     0.00000   0.00000       =     0.00000   0.00000       =   ДО БИТА
      1       5.2    3000000    3000000     0.00000   0.00000       =     0.00000   0.00000       =     0.00000   0.00000       =   ДО БИТА
      2       5.5    3000000    3000000     0.00000   0.00000       =     0.00000   0.00000       =     0.00000   0.00000       =   ДО БИТА
      3       5.7    3000000    3000000     0.00000   0.00000       =     0.00000   0.00000       =     0.00000   0.00000       =   ДО БИТА
      4       6.0    3000000    3000000     0.92861   0.92861       =     0.78742   0.78742       =     0.92830   0.92830       =   ДО БИТА
      5       6.3    3000000    3000000     0.95395   0.95395       =     0.85455   0.85455       =     0.95398   0.95398       =   ДО БИТА
      6       6.6    3000000    3000000     0.94187   0.94187       =     0.81953   0.81953       =     0.94189   0.94189       =   ДО БИТА
      7       6.9    3000000    3000000     0.93579   0.93579       =     0.80145   0.80145       =     0.93577   0.93577       =   ДО БИТА
      8       7.2    3000000    3000000     0.92784   0.92784       =     0.77860   0.77860       =     0.92766   0.92766       =   ДО БИТА
      9       7.6    3000000    3000000     0.91943   0.91943       =     0.75468   0.75468       =     0.91938   0.91938       =   ДО БИТА
     10       7.9    3000000    3000000     0.91086   0.91086       =     0.73065   0.73065       =     0.91085   0.91085       =   ДО БИТА
     11       8.3    3000000    3000000     0.90183   0.90183       =     0.70508   0.70508       =     0.90182   0.90182       =   ДО БИТА
     12       8.7    3000000    3000000     0.89340   0.89340       =     0.68236   0.68236       =     0.89335   0.89335       =   ДО БИТА
     13       9.1    3000000    3000000     0.88461   0.88461       =     0.65817   0.65817       =     0.88428   0.88428       =   ДО БИТА
     14       9.5    3000000    3000000     0.87612   0.87612       =     0.63536   0.63536       =     0.87607   0.87607       =   ДО БИТА
     15      10.0    3000000    3000000     0.88273   0.88273       =     0.65537   0.65537       =     0.88258   0.88258       =   ДО БИТА
     16      10.4    3000000    3000000     0.85894   0.85894       =     0.59131   0.59131       =     0.85892   0.85892       =   ДО БИТА
     17      10.9    3000000    3000000     0.85306   0.85306       =     0.57387   0.57387       =     0.85304   0.85304       =   ДО БИТА
     18      11.4    3000000    3000000     0.84692   0.84692       =     0.55784   0.55784       =     0.84690   0.84690       =   ДО БИТА
     19      12.0    3000000    3000000     0.84117   0.84117       =     0.54251   0.54251       =     0.84106   0.84106       =   ДО БИТА
     20      12.6    3000000    3000000     0.83613   0.83613       =     0.52949   0.52949       =     0.83610   0.83610       =   ДО БИТА
     21      13.1    3000000    3000000     0.83213   0.83213       =     0.51891   0.51891       =     0.83211   0.83211       =   ДО БИТА
     22      13.8    3000000    3000000     0.82791   0.82791       =     0.50793   0.50793       =     0.82786   0.82786       =   ДО БИТА
     23      14.4    3000000    3000000     0.82438   0.82438       =     0.49878   0.49878       =     0.82434   0.82434       =   ДО БИТА
     24      15.1    3000000    3000000     0.82139   0.82139       =     0.49102   0.49102       =     0.82135   0.82135       =   ДО БИТА
     25      15.8    3000000    3000000     0.81878   0.81878       =     0.48422   0.48422       =     0.81873   0.81873       =   ДО БИТА
     26      16.5    3000000    3000000     0.81652   0.81652       =     0.47837   0.47837       =     0.81648   0.81648       =   ДО БИТА
     27      17.3    3000000    3000000     0.81437   0.81437       =     0.47283   0.47283       =     0.81432   0.81432       =   ДО БИТА
     28      18.1    3000000    3000000     0.81272   0.81272       =     0.46858   0.46858       =     0.81266   0.81266       =   ДО БИТА
     29      19.0    3000000    3000000     0.81085   0.81085       =     0.46371   0.46371       =     0.81075   0.81075       =   ДО БИТА
     30      19.9    3000000    3000000     0.80977   0.80977       =     0.46095   0.46095       =     0.80966   0.80966       =   ДО БИТА
     31      20.8    3000000    3000000     0.80866   0.80866       =     0.45805   0.45805       =     0.80850   0.80850       =   ДО БИТА
     32      21.8    3000000    3000000     0.80771   0.80771       =     0.45560   0.45560       =     0.80752   0.80752       =   ДО БИТА
     33      22.8    3000000    3000000     0.80690   0.80690       =     0.45351   0.45351       =     0.80664   0.80664       =   ДО БИТА
     34      23.9    3000000    3000000     0.80642   0.80642       =     0.45222   0.45222       =     0.80610   0.80610       =   ДО БИТА
     35      25.0    3000000    3000000     0.80582   0.80582       =     0.45065   0.45065       =     0.80541   0.80541       =   ДО БИТА
     36      26.2    3000000    3000000     0.80528   0.80528       =     0.44918   0.44918       =     0.80480   0.80480       =   ДО БИТА
     37      27.4    3000000    3000000     0.80511   0.80511       =     0.44874   0.44874       =     0.80455   0.80455       =   ДО БИТА
     38      28.7    3000000    3000000     0.80469   0.80469       =     0.44760   0.44760       =     0.80403   0.80403       =   ДО БИТА
     39      30.1    3000000    3000000     0.80449   0.80449       =     0.44704   0.44704       =     0.80377   0.80377       =   ДО БИТА
     40      31.5    3000000    3000000     0.80466   0.80466       =     0.44739   0.44739       =     0.80383   0.80383       =   ДО БИТА
     41      33.0    3000000    3000000     0.80472   0.80472       =     0.44746   0.44746       =     0.80382   0.80382       =   ДО БИТА
     42      34.5    3000000    3000000     0.80347   0.80347       =     0.44455   0.44455       =     0.80153   0.80153       =   ДО БИТА
     43      36.2    3000000    3000000     0.80342   0.80342       =     0.44444   0.44444       =     0.80130   0.80130       =   ДО БИТА
     44      37.9    3000000    3000000     0.80326   0.80326       =     0.44396   0.44396       =     0.80108   0.80108       =   ДО БИТА
     45      39.7    3000000    3000000     0.80308   0.80308       =     0.44349   0.44349       =     0.80090   0.80090       =   ДО БИТА
     46      41.5    3000000    3000000     0.80321   0.80321       =     0.44379   0.44379       =     0.80094   0.80094       =   ДО БИТА
     47      43.5    3000000    3000000     0.80316   0.80316       =     0.44360   0.44360       =     0.80082   0.80082       =   ДО БИТА
     48      45.5    3000000    3000000     0.80319   0.80319       =     0.44364   0.44364       =     0.80072   0.80072       =   ДО БИТА
     49      47.7    3000000    3000000     0.80323   0.80323       =     0.44371   0.44371       =     0.80073   0.80073       =   ДО БИТА
     50      49.9    3000000    3000000     0.80340   0.80340       =     0.44410   0.44410       =     0.80086   0.80086       =   ДО БИТА
     51      52.3    3000000    3000000     0.80343   0.80343       =     0.44415   0.44415       =     0.80089   0.80089       =   ДО БИТА
     52      54.7    3000000    3000000     0.80368   0.80368       =     0.44472   0.44472       =     0.80107   0.80107       =   ДО БИТА
     53      57.3    3000000    3000000     0.80366   0.80366       =     0.44460   0.44460       =     0.80102   0.80102       =   ДО БИТА
     54      60.0    3000000    3000000     0.80391   0.80391       =     0.44520   0.44520       =     0.80124   0.80124       =   ДО БИТА
     55      62.8    3000000    3000000     0.80418   0.80418       =     0.44581   0.44581       =     0.80150   0.80150       =   ДО БИТА
     56      65.8    3000000    3000000     0.80460   0.80460       =     0.44685   0.44685       =     0.80188   0.80188       =   ДО БИТА
     57      68.9    3000000    3000000     0.80487   0.80487       =     0.44746   0.44746       =     0.80213   0.80213       =   ДО БИТА
     58      72.1    3000000    3000000     0.80517   0.80517       =     0.44812   0.44812       =     0.80239   0.80239       =   ДО БИТА
     59      75.5    3000000    3000000     0.80562   0.80562       =     0.44919   0.44919       =     0.80280   0.80280       =   ДО БИТА
     60      79.1    3000000    3000000     0.80606   0.80606       =     0.45019   0.45019       =     0.80324   0.80324       =   ДО БИТА
     61      82.8    3000000    3000000     0.80668   0.80668       =     0.45168   0.45168       =     0.80378   0.80378       =   ДО БИТА
     62      86.7    3000000    3000000     0.80722   0.80722       =     0.45293   0.45293       =     0.80427   0.80427       =   ДО БИТА
     63      90.8    3000000    3000000     0.80791   0.80791       =     0.45457   0.45457       =     0.80493   0.80493       =   ДО БИТА
     64      95.1    3000000    3000000     0.80857   0.80857       =     0.45610   0.45610       =     0.80549   0.80549       =   ДО БИТА
     65      99.6    3000000    3000000     0.80950   0.80950       =     0.45835   0.45835       =     0.80637   0.80637       =   ДО БИТА
     66     104.3    3000000    3000000     0.81050   0.81050       =     0.46071   0.46071       =     0.80730   0.80730       =   ДО БИТА
     67     109.2    3000000    3000000     0.81158   0.81158       =     0.46332   0.46332       =     0.80825   0.80825       =   ДО БИТА
     68     114.3    3000000    3000000     0.81256   0.81256       =     0.46566   0.46566       =     0.80912   0.80912       =   ДО БИТА
     69     119.7    3000000    3000000     0.81397   0.81397       =     0.46911   0.46911       =     0.81039   0.81039       =   ДО БИТА
     70     125.3    3000000    3000000     0.81510   0.81510       =     0.47186   0.47186       =     0.81137   0.81137       =   ДО БИТА
     71     131.2    3000000    3000000     0.81687   0.81687       =     0.47622   0.47622       =     0.81290   0.81290       =   ДО БИТА
     72     137.4    3000000    3000000     0.81849   0.81849       =     0.48020   0.48020       =     0.81431   0.81431       =   ДО БИТА
     73     143.9    3000000    3000000     0.82003   0.82003       =     0.48397   0.48397       =     0.81563   0.81563       =   ДО БИТА
     74     150.7    3000000    3000000     0.82190   0.82190       =     0.48865   0.48865       =     0.81721   0.81721       =   ДО БИТА
