ch,keV,net,model,continuum_raw,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
113,36.176,535738.288,521790.689,18177.266,520544.677,2338.785,0.000,124.912,30.457
114,36.553,489899.224,478510.806,18861.347,477587.637,1984.368,0.000,131.604,31.687
115,36.931,447000.669,437865.480,19551.280,437390.023,1703.316,0.000,138.669,32.926
116,37.309,408174.025,400036.209,20243.084,400156.000,1483.750,0.000,146.133,34.167
117,37.687,371745.321,366543.003,20932.388,365997.643,1315.103,0.000,154.027,35.402
118,38.064,340384.160,335726.230,21613.532,334930.599,1188.062,0.000,162.384,36.621
119,38.442,311599.792,307626.484,22281.063,306908.602,1094.565,0.000,171.251,37.816
120,38.820,286095.367,282498.839,22930.000,281837.611,1027.729,0.000,180.688,38.976
121,39.198,263639.677,260209.934,23555.521,259583.899,981.748,0.000,190.769,40.095
122,39.576,241709.728,240586.464,24153.270,239978.926,951.796,0.000,201.563,41.165
123,39.954,223624.431,223435.181,24719.422,222824.336,933.916,0.000,213.108,42.178
124,40.331,208946.109,208541.904,25250.775,207912.070,924.916,0.000,225.463,43.131
125,40.709,196015.096,195677.122,25744.991,195035.966,922.261,0.000,238.727,44.019
126,41.087,184409.871,184771.680,26200.723,183992.100,923.979,0.000,253.015,44.839
127,41.465,174479.155,175576.170,26617.729,174578.129,928.571,0.000,268.444,45.591
128,41.843,165659.884,167611.374,26996.956,166589.694,934.933,0.000,285.108,46.278
129,42.221,159054.497,160889.483,27340.624,159841.867,942.283,0.000,303.141,46.902
130,42.599,152377.303,155243.197,27652.375,154167.685,950.110,0.000,322.714,47.471
131,42.977,147347.032,150521.655,27937.248,149416.378,958.118,0.000,344.021,47.994
132,43.355,143934.232,146274.962,27892.426,145151.033,955.629,0.000,365.278,47.948
133,43.732,139749.723,142678.308,27835.154,141533.783,953.224,0.000,388.417,47.880
134,44.110,137101.485,139622.758,27774.836,138455.368,951.057,0.000,413.593,47.806
135,44.488,134932.265,137015.560,27722.322,135822.582,949.383,0.000,440.985,47.745
136,44.866,133395.388,134791.674,27689.899,133556.660,948.544,0.000,470.786,47.717
137,45.244,130940.091,132855.146,27691.282,131584.148,948.957,0.000,503.031,47.747
138,45.622,130361.858,131150.754,27741.620,129842.848,951.107,0.000,537.738,47.861
139,46.000,129331.091,129635.213,27857.510,128285.437,955.543,0.000,575.008,48.088
140,46.378,128145.188,128273.542,28057.053,126876.162,962.874,0.000,614.973,48.459
141,46.756,127920.137,127038.546,28357.988,125587.085,973.703,0.000,657.740,49.006
142,47.134,127459.188,125904.200,28772.015,124391.803,988.432,0.000,703.267,49.748
143,47.513,126797.065,124848.924,29308.769,123268.483,1007.393,0.000,751.456,50.703
144,47.891,126787.510,123862.743,29983.537,122206.565,1031.115,0.000,802.338,51.897
145,48.269,126379.104,122945.864,30812.291,121201.436,1060.153,0.000,855.961,53.359
146,48.647,125195.452,122102.194,31809.172,120251.438,1094.999,0.000,912.353,55.113
147,49.025,126298.032,121300.759,32976.901,119348.262,1135.754,0.000,971.343,57.164
148,49.403,125431.807,120550.893,34318.585,118487.866,1182.531,0.000,1032.797,59.518
149,49.781,124743.019,119856.624,35841.853,117674.011,1235.599,0.000,1096.697,62.189
150,50.159,125320.897,119233.692,37553.564,116912.928,1295.201,0.000,1163.058,65.189
151,50.537,124929.464,118670.269,39456.862,116210.297,1361.451,0.000,1231.868,68.524
152,50.915,124399.684,118167.392,41540.034,115560.224,1433.950,0.000,1302.894,72.173
153,51.294,125322.109,117727.215,43796.703,114964.367,1512.482,0.000,1376.068,76.125
154,51.672,124913.303,117354.627,46221.727,114427.773,1596.873,0.000,1451.413,80.373
155,52.050,124384.206,117070.023,48809.049,113956.561,1686.916,0.000,1529.015,84.905
156,52.428,124030.102,116864.609,51546.624,113552.810,1782.196,0.000,1608.904,89.700
157,52.806,124919.367,116712.121,54415.343,113213.297,1882.053,0.000,1691.029,94.726
158,53.184,124194.181,116629.825,57397.827,112937.480,1985.884,0.000,1775.475,99.952
159,53.563,124499.864,116619.975,60479.006,112727.932,2093.167,0.000,1862.474,105.352
160,53.941,124240.812,116685.010,63643.374,112587.344,2203.363,0.000,1952.338,110.898
161,54.319,124276.554,116822.927,66870.776,112514.160,2315.770,0.000,2045.358,116.556
162,54.697,124684.058,117025.590,70135.038,112500.971,2429.478,0.000,2141.761,122.279
163,55.076,124307.058,117289.862,73415.194,112544.956,2543.757,0.000,2242.001,128.031
164,55.454,123797.316,117615.151,76693.320,112645.561,2657.980,0.000,2346.696,133.780
165,55.832,124179.897,118024.192,79952.894,112802.561,2771.571,0.000,2456.592,139.497
166,56.210,124450.406,118497.939,83173.829,113011.130,2883.827,0.000,2572.428,145.147
167,56.589,124117.889,118984.078,86329.942,113259.266,2993.837,0.000,2694.873,150.684
168,56.967,124320.528,119511.167,89405.755,113543.623,3101.060,0.000,2824.975,156.080
169,57.345,124039.702,120077.890,92388.874,113862.114,3205.060,0.000,2963.962,161.315
170,57.724,123722.664,120684.366,95269.954,114213.783,3305.510,0.000,3113.253,166.371
171,58.102,124087.019,121323.004,98033.793,114590.240,3401.880,0.000,3274.202,171.221
172,58.480,123371.232,121985.947,100666.549,114982.616,3493.687,0.000,3448.331,175.842
173,58.859,125011.096,122671.219,103161.878,115387.281,3580.709,0.000,3637.525,180.222
174,59.237,123824.419,123379.786,105517.718,115803.101,3662.873,0.000,3843.963,184.357
175,59.616,123980.961,124132.959,107733.836,116229.055,3740.170,0.000,4070.067,188.248
176,59.994,124058.587,124917.639,109805.056,116657.893,3812.421,0.000,4318.323,191.884
177,60.372,123803.697,125686.527,111727.502,117082.283,3879.490,0.000,4591.515,195.260
178,60.751,124331.697,126471.452,113504.495,117500.623,3941.495,0.000,4892.959,198.381
179,61.129,124136.794,127277.644,115142.453,117913.296,3998.659,0.000,5226.421,201.258
180,61.508,124290.659,128108.742,116648.246,118320.356,4051.223,0.000,5595.234,203.903
181,61.886,124354.375,128960.644,118024.311,118716.953,4099.273,0.000,6000.055,206.322
182,62.264,124459.408,129828.132,119272.984,119097.698,4142.892,0.000,6440.968,208.517
183,62.643,124965.569,130714.808,120403.078,119463.205,4182.389,0.000,6920.638,210.505
184,63.021,125422.252,131625.536,121424.655,119815.151,4218.115,0.000,7441.880,212.303
185,63.400,125176.349,132564.802,122348.327,120155.777,4250.441,0.000,8007.096,213.930
186,63.778,125289.763,133516.918,123175.880,120479.031,4279.431,0.000,8610.090,215.389
187,64.157,125893.157,134485.655,123913.365,120783.204,4305.299,0.000,9247.467,216.691
188,64.535,125792.131,135466.776,124569.957,121069.972,4328.364,0.000,9917.579,217.852
189,64.914,126469.996,136460.865,125155.392,121341.800,4348.967,0.000,10618.183,218.889
190,65.292,127353.919,137466.345,125677.354,121599.809,4367.377,0.000,11346.301,219.816
191,65.671,127221.435,138474.101,126136.506,121838.831,4383.618,0.000,12097.962,220.633
192,66.050,128564.325,139478.411,126536.888,122057.439,4397.831,0.000,12868.719,221.349
193,66.428,129146.435,140476.201,126885.190,122257.253,4410.251,0.000,13653.636,221.974
194,66.807,129999.727,141464.895,127188.659,122440.932,4421.130,0.000,14447.208,222.521
195,67.185,130928.681,142438.824,127451.502,122608.708,4430.615,0.000,15243.383,222.999
196,67.564,131675.243,143309.319,127673.546,122757.107,4438.701,0.000,16035.612,223.406
197,67.942,132415.404,144202.054,127856.523,122884.862,4445.447,0.000,16817.005,223.745
198,68.321,134292.895,145080.699,128005.381,122994.176,4451.026,0.000,17580.438,224.026
199,68.700,134316.128,145917.688,128125.501,123088.100,4455.624,0.000,18318.635,224.257
200,69.078,136120.890,146707.155,128220.159,123167.971,4459.355,0.000,19024.274,224.445
201,69.457,136439.452,147437.117,128286.152,123229.211,4462.107,0.000,19690.069,224.584
202,69.836,138363.568,148100.890,128325.048,123272.079,4463.933,0.000,20309.019,224.676
203,70.214,138974.925,148694.857,128340.861,123299.418,4464.972,0.000,20874.518,224.728
204,70.593,140153.725,149216.928,128338.369,123315.053,4465.388,0.000,21380.481,224.749
205,70.972,142009.518,149662.715,128319.387,123320.008,4465.243,0.000,21821.429,224.742
206,71.350,142920.812,150002.176,128279.552,123309.676,4464.384,0.000,22192.586,224.698
207,71.729,145359.572,150244.771,128221.080,123285.851,4462.886,0.000,22490.118,224.623
208,72.108,146291.837,150429.540,128147.428,123251.639,4460.868,0.000,22711.173,224.521
209,72.487,147346.220,150529.087,128062.698,123210.876,4458.469,0.000,22853.956,224.401
210,72.865,148627.226,150542.224,127966.445,123163.126,4455.673,0.000,22917.733,224.260
211,73.244,149040.484,150467.259,127856.492,123106.380,4452.402,0.000,22902.904,224.095
212,73.623,151043.892,150306.986,127733.843,123041.791,4448.689,0.000,22811.075,223.908
213,74.002,152286.944,150067.110,127601.219,122972.177,4444.626,0.000,22645.035,223.704
214,74.380,152386.777,149754.447,127461.396,122900.497,4440.310,0.000,22408.542,223.487
215,74.759,152842.332,149372.237,127313.819,122826.628,4435.717,0.000,22104.979,223.256
216,75.138,153920.391,148920.766,127155.810,122748.459,4430.755,0.000,21737.696,223.006
217,75.517,154351.797,148376.394,126988.221,122667.347,4425.450,0.000,21311.946,222.739
218,75.896,154455.354,147811.017,126813.077,122585.861,4419.872,0.000,20833.864,222.458
219,76.274,154537.946,147201.843,126632.283,122506.535,4414.086,0.000,20310.043,222.167
220,76.653,153692.787,146554.521,126443.843,122428.305,4408.022,0.000,19747.271,221.862
221,77.032,154915.541,145871.441,126242.464,122346.889,4401.495,0.000,19152.412,221.533
222,77.411,153398.753,145160.987,126028.386,122263.578,4394.511,0.000,18532.555,221.182
223,77.790,152701.096,144432.064,125802.379,122180.241,4387.098,0.000,17894.706,220.808
224,78.169,152369.684,143693.929,125565.645,122099.299,4379.298,0.000,17245.658,220.416
225,78.548,151463.728,142949.521,125313.260,122017.424,4370.937,0.000,16591.857,219.995
226,78.927,150961.449,142201.489,125040.285,121931.436,4361.845,0.000,15939.315,219.537
227,79.306,149482.457,141444.261,124745.463,121841.865,4351.978,0.000,15293.524,219.041
228,79.684,149606.618,140700.227,124428.274,121750.183,4341.317,0.000,14659.378,218.504
229,80.063,147955.380,139977.424,124087.862,121657.652,4329.835,0.000,14041.116,217.926
230,80.442,147143.385,139269.198,123718.686,121561.334,4317.337,0.000,13442.284,217.297
231,80.821,145727.385,138576.076,123315.731,121459.056,4303.650,0.000,12865.721,216.608
232,81.200,144293.488,137902.135,122876.572,121351.409,4288.690,0.000,12313.566,215.855
233,81.579,142354.687,137247.335,122399.466,121239.959,4272.398,0.000,11787.272,215.035
234,81.958,141918.644,136614.878,121881.707,121125.692,4254.679,0.000,11287.634,214.144
235,82.337,141019.396,136002.450,121316.812,121006.350,4235.310,0.000,10814.837,213.169
236,82.716,140223.931,135406.578,120697.259,120879.101,4214.027,0.000,10368.511,212.098
237,83.095,139292.002,134835.487,120018.941,120744.923,4190.690,0.000,9947.809,210.923
238,83.474,139121.757,134316.007,119277.865,120605.282,4165.160,0.000,9551.471,209.638
239,83.853,138400.951,133769.562,118470.076,120461.625,4137.300,0.000,9177.901,208.236
240,84.232,137757.511,133436.650,117793.990,120505.572,4114.041,0.000,8825.427,207.065
241,84.611,137127.911,133110.613,117043.529,120540.254,4088.187,0.000,8491.818,205.764
242,84.991,136518.834,132790.155,116215.072,120566.642,4059.615,0.000,8174.939,204.326
243,85.370,135493.755,132474.416,115305.198,120586.168,4028.204,0.000,7872.622,202.745
244,85.749,134915.742,132162.294,114310.733,120599.984,3993.845,0.000,7582.729,201.015
245,86.128,134311.916,131848.007,113228.804,120604.463,3956.438,0.000,7303.209,199.133
246,86.507,134082.916,131528.616,112056.890,120598.671,3915.895,0.000,7032.150,197.092
247,86.886,133246.277,131203.157,110792.877,120583.458,3872.144,0.000,6767.815,194.890
248,87.265,132296.044,130862.805,109435.108,120560.225,3825.125,0.000,6508.675,192.524
249,87.644,132015.594,130519.064,107982.439,120529.193,3774.800,0.000,6253.434,189.991
250,88.023,131722.154,130168.596,106434.284,120487.432,3721.148,0.000,6001.035,187.290
251,88.403,131393.431,129804.464,104790.663,120433.465,3664.168,0.000,5750.672,184.422
252,88.782,130060.502,129426.871,103052.240,120368.035,3603.883,0.000,5501.785,181.388
253,89.161,130345.507,129036.785,101220.358,120292.384,3540.339,0.000,5254.047,178.190
254,89.540,128932.249,128634.095,99297.067,120206.433,3473.607,0.000,5007.355,174.831
255,89.919,128449.817,128216.550,97285.140,120107.735,3403.781,0.000,4761.804,171.317
256,90.299,128536.218,127783.476,95188.081,119995.215,3330.982,0.000,4517.668,167.653
257,90.678,127602.681,127336.381,93010.127,119869.806,3255.358,0.000,4275.371,163.846
258,91.057,127033.876,126882.820,90756.232,119732.896,3177.077,0.000,4035.457,159.907
259,91.436,125826.978,126455.492,88432.048,119586.418,3096.337,0.000,3798.565,155.843
260,91.816,125275.152,125981.706,86043.888,119432.922,3013.354,0.000,3565.400,151.666
261,92.195,124755.365,125505.873,83598.685,119275.014,2928.370,0.000,3336.703,147.389
262,92.574,123798.912,125026.427,81103.934,119110.103,2841.642,0.000,3113.226,143.024
263,92.953,123150.648,124539.689,78567.630,118933.479,2753.449,0.000,2895.711,138.585
264,93.333,122968.674,124046.447,75998.195,118744.917,2664.081,0.000,2684.864,134.087
265,93.712,122157.196,123548.754,73404.395,118545.491,2573.843,0.000,2481.342,129.545
266,94.091,121947.209,123048.930,70795.259,118336.605,2483.048,0.000,2285.736,124.975
267,94.471,121011.751,122549.599,68179.982,118120.034,2392.015,0.000,2098.558,120.393
268,94.850,119988.086,122053.726,65567.835,117897.978,2301.065,0.000,1920.235,115.816
269,95.229,119615.782,121558.717,62968.069,117673.152,2210.521,0.000,1751.102,111.258
270,95.609,119408.672,121075.612,60389.816,117448.676,2120.701,0.000,1591.399,106.738
271,95.988,118950.388,120611.992,57842.000,117228.403,2031.915,0.000,1441.272,102.269
272,96.367,117910.762,120162.749,55333.244,117011.474,1944.464,0.000,1300.776,97.867
273,96.747,117891.234,119724.445,52871.788,116794.183,1858.636,0.000,1169.877,93.548
274,97.126,117742.910,119297.154,50465.407,116576.433,1774.703,0.000,1048.459,89.323
275,97.506,117537.079,118882.638,48121.345,116359.910,1692.918,0.000,936.334,85.207
276,97.885,116452.181,118482.801,45846.250,116146.528,1613.515,0.000,833.244,81.210
277,98.265,117169.427,118099.761,43646.121,115938.500,1536.705,0.000,738.875,77.344
278,98.644,116574.677,117735.829,41526.271,115738.300,1462.675,0.000,652.865,73.618
279,99.023,115514.478,117393.626,39491.289,115548.782,1391.588,0.000,574.812,70.040
280,99.403,115882.606,117086.821,37545.027,115373.266,1323.580,0.000,504.285,66.618
281,99.782,115583.923,116796.329,35690.585,115214.176,1258.764,0.000,440.831,63.355
282,100.162,115664.941,116528.293,33930.313,115068.598,1197.222,0.000,383.982,60.258
283,100.541,115776.361,116280.805,32265.825,114933.013,1139.016,0.000,333.266,57.328
284,100.921,115769.928,116053.144,30698.014,114807.977,1084.179,0.000,288.212,54.568
285,101.300,115476.851,115845.876,29227.086,114694.588,1032.722,0.000,248.354,51.978
286,101.680,115756.025,115659.737,27852.592,114594.047,984.631,0.000,213.241,49.558
287,102.059,114822.877,115495.640,26573.477,114507.740,939.874,0.000,182.434,47.305
288,102.439,115265.432,115354.798,25388.120,114437.354,898.396,0.000,155.518,45.217
289,102.819,115176.289,115238.711,24294.395,114384.859,860.125,0.000,132.097,43.291
290,103.198,115163.908,115163.453,23289.721,114352.599,824.976,0.000,111.800,41.522
291,103.578,114780.141,115120.052,22371.123,114343.040,792.844,0.000,94.281,39.905
292,103.957,114816.534,115082.300,21535.291,114351.023,763.619,0.000,79.222,38.434
293,104.337,114982.205,115063.133,20778.637,114372.502,737.175,0.000,66.330,37.103
294,104.717,115464.077,115061.593,20097.353,114406.926,713.382,0.000,55.336,35.905
295,105.096,114674.908,115077.277,19487.468,114454.278,692.102,0.000,45.998,34.834
296,105.476,115353.806,115110.066,18944.901,114514.804,673.193,0.000,38.099,33.883
297,105.855,115630.128,115160.024,18465.508,114588.918,656.513,0.000,31.443,33.043
298,106.235,115640.773,115227.485,18045.131,114677.276,641.916,0.000,25.857,32.308
299,106.615,115112.780,115313.110,17679.640,114780.845,629.258,0.000,21.187,31.671
300,106.994,115351.463,115417.954,17364.967,114900.964,618.397,0.000,17.298,31.125
301,107.374,115849.972,115518.959,17097.143,115037.324,609.201,0.000,14.073,30.662
302,107.754,115816.476,115653.919,16872.322,115185.378,601.524,0.000,11.408,30.275
303,108.133,116073.921,115800.873,16686.807,115341.092,595.249,0.000,9.214,29.959
304,108.513,116273.857,115956.515,16537.068,115503.773,590.239,0.000,7.416,29.707
305,108.893,116476.282,116120.344,16419.758,115673.090,586.389,0.000,5.947,29.513
306,109.273,115922.824,116292.014,16331.721,115848.887,583.576,0.000,4.752,29.371
307,109.652,116338.624,116471.486,16270.002,116031.267,581.708,0.000,3.784,29.276
308,110.032,116536.412,116659.025,16231.847,116220.649,580.675,0.000,3.002,29.224
309,110.412,116523.928,116855.307,16214.708,116417.825,580.401,0.000,2.373,29.210
310,110.792,116332.366,117061.360,16216.235,116623.950,580.790,0.000,1.870,29.229
311,111.171,116787.476,117285.461,16234.277,116839.116,581.778,0.000,1.468,29.279
312,111.551,116890.760,117519.002,16266.874,117055.553,583.284,0.000,1.148,29.354
313,111.931,117546.959,117736.121,16312.248,117270.833,585.258,0.000,0.895,29.453
314,112.311,117567.437,117951.925,16368.794,117484.327,587.630,0.000,0.695,29.572
315,112.691,116882.785,118165.919,16435.072,117695.596,590.356,0.000,0.538,29.709
316,113.071,117569.456,118377.847,16509.795,117904.435,593.396,0.000,0.415,29.861
317,113.450,118244.230,118587.710,16591.816,118110.908,596.697,0.000,0.319,30.027
318,113.830,118239.256,118795.857,16680.123,118315.395,600.234,0.000,0.244,30.204
319,114.210,117416.218,119002.996,16773.822,118518.655,603.966,0.000,0.186,30.392
320,114.590,117819.044,119210.290,16872.129,118721.869,607.875,0.000,0.141,30.587
321,114.970,118882.599,119416.613,16974.358,118923.954,611.925,0.000,0.107,30.791
322,115.350,118156.972,119593.826,17079.915,119120.493,616.108,0.000,0.081,31.000
