ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th-L
57,11.459,23.373,151.925,0.000,150.842,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,1.078
58,11.796,50.412,153.246,0.000,151.908,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,1.332
59,12.133,84.230,154.356,0.000,152.703,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,1.645
60,12.470,132.234,155.054,0.000,153.013,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,2.032
61,12.807,160.759,155.509,0.000,152.990,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,2.509
62,13.144,207.691,155.934,0.000,152.826,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,3.097
63,13.481,240.807,156.649,0.000,152.813,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,3.821
64,13.818,297.330,167.486,9.567,156.335,2.101,1.769,0.435,0.137,0.023,0.003,0.001,1.967,4.710
65,14.155,288.630,178.385,19.134,159.796,4.203,3.538,0.860,0.275,0.045,0.007,0.003,3.935,5.719
66,14.492,317.745,189.147,28.701,163.013,6.305,5.308,1.286,0.413,0.068,0.010,0.004,5.904,6.830
67,14.830,363.376,199.816,38.268,166.039,8.409,7.079,1.712,0.550,0.090,0.013,0.005,7.874,8.037
68,15.167,315.749,210.563,47.835,169.045,10.513,8.850,2.138,0.688,0.113,0.017,0.007,9.844,9.339
69,15.504,384.897,221.646,57.401,172.282,12.618,10.623,2.566,0.826,0.135,0.020,0.008,11.815,10.742
70,15.841,329.122,233.023,66.968,175.738,14.724,12.395,2.994,0.964,0.158,0.023,0.010,13.788,12.219
71,16.178,363.898,244.235,76.535,179.026,16.831,14.169,3.424,1.101,0.181,0.027,0.011,15.760,13.694
72,16.516,378.716,255.284,86.102,182.167,18.939,15.943,3.854,1.239,0.203,0.030,0.012,17.734,15.150
73,16.853,372.714,266.215,95.669,185.205,21.047,17.719,4.286,1.377,0.226,0.033,0.014,19.709,16.586
74,17.190,376.682,277.216,105.236,188.313,23.157,19.495,4.719,1.515,0.248,0.037,0.015,21.684,18.020
75,17.528,360.754,288.484,114.803,191.654,25.267,21.271,5.154,1.654,0.271,0.040,0.016,23.660,19.483
76,17.865,394.052,299.796,124.370,194.979,27.379,23.049,5.590,1.792,0.294,0.043,0.018,25.637,21.002
77,18.202,395.830,311.026,133.937,198.111,29.491,24.827,6.029,1.930,0.316,0.047,0.019,27.615,22.628
78,18.540,387.831,322.320,143.504,201.111,31.605,26.606,6.471,2.068,0.339,0.050,0.021,29.594,24.444
79,18.877,402.016,333.882,153.070,204.077,33.719,28.386,6.915,2.207,0.362,0.053,0.022,31.574,26.557
80,19.215,378.093,345.959,162.637,207.138,35.834,30.167,7.364,2.345,0.384,0.057,0.023,33.555,29.082
81,19.552,376.460,358.545,172.204,210.320,37.951,31.949,7.816,2.484,0.407,0.060,0.025,35.537,31.989
82,19.890,374.761,371.018,181.771,213.327,40.068,33.731,8.274,2.622,0.430,0.064,0.026,37.520,34.950
83,20.227,405.317,383.149,191.338,216.121,42.187,35.515,8.738,2.761,0.452,0.067,0.027,39.504,37.771
84,20.565,406.136,394.817,200.905,218.765,44.307,37.300,9.209,2.900,0.475,0.070,0.029,41.489,40.270
85,20.902,360.432,405.970,210.472,221.389,46.428,39.085,9.689,3.038,0.498,0.074,0.030,43.475,42.260
86,21.240,414.732,416.528,220.039,224.090,48.550,40.871,10.181,3.177,0.521,0.077,0.032,45.462,43.565
87,21.578,409.253,426.214,229.606,226.727,50.673,42.659,10.685,3.316,0.543,0.080,0.033,47.450,44.045
88,21.915,429.401,434.728,239.173,229.079,52.797,44.447,11.207,3.455,0.566,0.084,0.034,49.439,43.617
89,22.253,433.553,442.073,248.739,231.161,54.922,46.236,11.751,3.594,0.589,0.087,0.036,51.428,42.266
90,22.590,408.403,448.366,258.306,233.027,57.048,48.026,12.324,3.733,0.612,0.090,0.037,53.419,40.047
91,22.928,490.184,453.836,267.873,234.777,59.175,49.816,12.935,3.873,0.635,0.094,0.039,55.411,37.080
92,23.266,433.816,458.687,277.440,236.432,61.302,51.607,13.598,4.012,0.658,0.097,0.040,57.403,33.538
93,23.604,455.223,462.890,287.007,237.745,63.430,53.398,14.327,4.151,0.680,0.101,0.041,59.395,29.619
94,23.941,534.964,466.527,296.574,238.569,65.559,55.190,15.145,4.290,0.703,0.104,0.043,61.388,25.534
95,24.279,524.113,469.791,306.141,238.866,67.688,56.982,16.082,4.430,0.726,0.107,0.044,63.382,21.482
96,24.617,555.780,472.888,315.708,238.628,69.817,58.775,17.182,4.569,0.749,0.111,0.046,65.376,17.634
97,24.955,605.222,476.020,325.275,237.861,71.947,60.568,18.507,4.708,0.772,0.114,0.047,67.371,14.123
98,25.293,592.334,479.393,334.842,236.597,74.079,62.361,20.144,4.848,0.795,0.117,0.048,69.367,11.035
99,25.630,638.259,483.216,344.408,234.882,76.209,64.154,22.220,4.987,0.817,0.121,0.050,71.362,8.412
100,25.968,583.187,487.681,353.975,232.718,78.340,65.947,24.919,5.127,0.840,0.124,0.051,73.357,6.255
101,26.306,725.704,493.012,363.542,230.088,80.473,67.742,28.508,5.266,0.863,0.128,0.053,75.353,4.537
102,26.644,727.591,499.465,373.109,226.920,82.608,69.538,33.361,5.405,0.886,0.131,0.054,77.350,3.210
103,26.982,721.219,507.244,382.676,223.022,84.742,71.334,39.940,5.545,0.909,0.134,0.055,79.346,2.215
104,27.320,780.442,516.379,392.243,218.074,86.877,73.130,48.651,5.684,0.932,0.138,0.057,81.342,1.492
105,27.658,729.442,526.874,401.810,211.869,89.018,74.930,59.749,5.824,0.955,0.141,0.058,83.340,0.988
106,27.996,828.959,538.825,411.377,204.498,91.162,76.732,73.294,5.964,0.977,0.145,0.060,85.339,0.654
107,28.334,808.257,552.289,420.944,196.340,93.305,78.533,89.026,6.103,1.000,0.148,0.061,87.338,0.432
108,28.672,771.439,567.339,430.511,188.105,95.450,80.336,106.340,6.243,1.023,0.151,0.063,89.339,0.286
109,29.010,808.996,583.866,440.078,180.643,97.604,82.146,124.291,6.383,1.046,0.155,0.064,91.341,0.189
110,29.348,815.809,601.574,449.644,174.669,99.759,83.956,141.901,6.523,1.069,0.158,0.066,93.346,0.125
111,29.686,811.810,620.266,459.211,170.594,101.912,85.765,158.575,6.663,1.092,0.161,0.068,95.351,0.083
112,30.024,853.698,639.846,468.778,168.534,104.069,87.576,174.099,6.804,1.115,0.165,0.069,97.359,0.055
113,30.363,849.737,660.246,478.345,168.258,106.235,89.397,188.626,6.944,1.138,0.168,0.071,99.370,0.036
114,30.701,847.663,681.379,487.912,169.309,108.402,91.217,202.552,7.085,1.161,0.172,0.073,101.383,0.024
115,31.039,839.886,702.793,497.479,171.328,110.570,93.037,215.781,7.226,1.184,0.175,0.074,103.398,0.016
116,31.377,800.513,723.967,507.046,174.059,112.744,94.861,228.046,7.367,1.207,0.178,0.076,105.416,0.010
117,31.715,867.737,744.659,516.613,177.333,114.930,96.697,239.251,7.509,1.230,0.182,0.079,107.439,0.007
118,32.054,777.624,764.725,526.180,181.010,117.116,98.531,249.427,7.650,1.254,0.185,0.082,109.464,0.005
119,32.392,811.661,784.101,535.747,185.016,119.306,100.367,258.574,7.792,1.277,0.189,0.084,111.491,0.003
120,32.730,802.552,802.644,545.313,189.302,121.501,102.207,266.595,7.934,1.300,0.192,0.086,113.522,0.002
121,33.069,839.033,820.005,554.880,193.848,123.711,104.060,273.140,8.077,1.323,0.196,0.088,115.558,0.001
122,33.407,762.069,835.942,564.447,198.615,125.919,105.910,278.044,8.219,1.347,0.199,0.090,117.595,0.001
123,33.745,783.293,850.420,574.014,203.600,128.133,107.763,281.258,8.362,1.370,0.202,0.093,119.636,0.001
124,34.084,847.735,863.470,583.581,208.800,130.351,109.620,282.817,8.504,1.393,0.206,0.095,121.679,0.000
125,34.422,739.550,875.204,593.148,214.225,132.585,111.491,282.799,8.648,1.417,0.209,0.098,123.729,0.000
126,34.760,743.735,885.602,602.715,219.854,134.815,113.356,281.250,8.791,1.441,0.213,0.100,125.778,0.000
127,35.099,753.773,886.080,603.745,222.931,135.148,113.623,277.756,8.810,1.444,0.213,0.101,126.050,0.000
128,35.437,759.995,885.265,604.774,226.219,135.486,113.893,272.748,8.828,1.447,0.214,0.103,126.325,0.000
129,35.776,733.442,883.345,605.804,229.720,135.833,114.174,266.391,8.848,1.450,0.214,0.104,126.607,0.000
130,36.114,742.480,880.529,606.834,233.411,136.175,114.446,258.968,8.867,1.453,0.215,0.106,126.884,0.000
131,36.453,789.666,877.070,607.864,237.292,136.519,114.719,250.708,8.886,1.456,0.215,0.108,127.164,0.000
132,36.791,764.591,873.043,608.893,241.347,136.866,114.997,241.686,8.905,1.459,0.215,0.109,127.455,0.000
133,37.130,753.666,868.567,609.923,245.559,137.222,115.288,232.000,8.924,1.463,0.216,0.111,127.782,0.000
134,37.468,752.595,863.727,610.953,249.898,137.567,115.561,221.887,8.943,1.466,0.216,0.113,128.073,0.000
135,37.807,718.222,858.751,611.982,254.340,137.912,115.834,211.533,8.961,1.469,0.217,0.114,128.366,0.000
136,38.146,763.149,853.851,613.012,258.854,138.258,116.129,201.137,8.980,1.472,0.217,0.116,128.685,0.000
137,38.484,759.708,849.174,614.042,263.414,138.607,116.456,190.843,8.999,1.475,0.218,0.118,129.041,0.000
138,38.823,719.117,844.615,615.072,268.031,138.945,116.727,180.721,9.017,1.478,0.218,0.119,129.354,0.000
139,39.162,808.226,840.278,616.101,272.684,139.281,116.995,170.785,9.036,1.481,0.218,0.121,129.673,0.000
140,39.500,773.747,836.231,617.131,277.361,139.614,117.260,161.115,9.054,1.484,0.219,0.122,129.999,0.000
141,39.839,810.562,832.548,618.161,282.053,139.946,117.530,151.782,9.073,1.487,0.219,0.124,130.332,0.000
142,40.178,722.193,829.309,619.191,286.763,140.276,117.800,142.866,9.091,1.490,0.220,0.125,130.674,0.000
143,40.517,718.861,826.485,620.220,291.497,140.600,118.059,134.350,9.109,1.493,0.220,0.127,131.025,0.000
144,40.855,841.936,824.000,621.250,296.243,140.923,118.317,126.156,9.127,1.496,0.221,0.128,131.387,0.000
145,41.194,808.159,821.880,622.280,300.987,141.243,118.612,118.279,9.145,1.499,0.221,0.129,131.760,0.000
146,41.533,759.197,820.148,623.310,305.750,141.562,118.904,110.763,9.163,1.502,0.221,0.131,132.147,0.000
147,41.872,791.678,818.819,624.339,310.553,141.877,119.157,103.639,9.181,1.505,0.222,0.132,132.549,0.000
148,42.211,828.312,817.932,625.369,315.378,142.191,119.408,96.921,9.199,1.508,0.222,0.133,132.967,0.000
149,42.549,817.608,817.372,626.399,320.007,142.509,119.662,90.701,9.217,1.511,0.223,0.135,133.405,0.000
150,42.888,854.573,817.082,627.428,324.360,142.831,119.919,84.998,9.235,1.514,0.223,0.136,133.863,0.000
151,43.227,856.724,817.071,628.458,328.456,143.160,120.180,79.798,9.253,1.517,0.224,0.138,134.343,0.000
152,43.566,893.689,817.374,629.488,332.340,143.496,120.445,75.085,9.271,1.520,0.224,0.140,134.850,0.000
153,43.905,879.428,818.025,630.518,336.061,143.844,120.719,70.834,9.289,1.523,0.224,0.142,135.385,0.000
154,44.244,874.244,819.020,631.547,339.637,144.202,120.999,67.023,9.308,1.526,0.225,0.144,135.952,0.000
155,44.583,927.208,820.208,632.577,342.938,144.574,121.288,63.623,9.326,1.529,0.225,0.147,136.555,0.000
156,44.922,859.656,821.571,633.607,345.971,144.964,121.587,60.597,9.345,1.532,0.226,0.150,137.196,0.000
157,45.261,798.472,823.120,634.637,348.773,145.372,121.899,57.912,9.364,1.535,0.226,0.153,137.882,0.000
158,45.600,870.955,824.893,635.666,351.391,145.803,122.226,55.541,9.383,1.541,0.226,0.157,138.621,0.000
159,45.939,836.326,826.917,636.696,353.882,146.256,122.566,53.462,9.403,1.544,0.227,0.161,139.412,0.000
160,46.278,770.441,829.133,637.726,356.205,146.736,122.923,51.640,9.423,1.548,0.227,0.166,140.260,0.000
161,46.617,804.665,831.410,638.756,358.257,147.245,123.299,50.036,9.443,1.551,0.228,0.171,141.176,0.000
162,46.957,748.297,833.789,639.785,360.044,147.787,123.697,48.626,9.464,1.555,0.228,0.177,142.207,0.000
163,47.296,764.740,836.202,640.815,361.587,148.364,124.116,47.388,9.485,1.558,0.229,0.184,143.287,0.000
164,47.635,771.336,838.708,641.845,362.914,148.980,124.558,46.308,9.506,1.562,0.229,0.191,144.456,0.000
165,47.974,711.412,841.342,642.874,364.054,149.639,125.027,45.370,9.528,1.566,0.229,0.199,145.727,0.000
166,48.313,789.080,844.024,643.904,364.922,150.346,125.536,44.548,9.550,1.570,0.230,0.207,147.111,0.000
167,48.652,709.564,846.684,644.934,365.477,151.102,126.065,43.822,9.573,1.574,0.230,0.216,148.622,0.000
168,48.992,766.009,849.340,645.964,365.721,151.911,126.626,43.175,9.597,1.578,0.231,0.225,150.274,0.000
169,49.331,709.825,852.026,646.993,365.674,152.779,127.222,42.596,9.621,1.582,0.231,0.235,152.081,0.000
170,49.670,668.827,854.787,648.023,365.366,153.709,127.859,42.078,9.646,1.586,0.232,0.245,154.062,0.000
171,50.010,701.683,857.640,649.053,364.806,154.703,128.531,41.610,9.672,1.591,0.232,0.256,156.235,0.000
172,50.349,717.722,860.551,650.083,363.943,155.767,129.243,41.177,9.698,1.595,0.232,0.268,158.623,0.000
173,50.688,726.982,863.543,651.112,362.780,156.905,129.999,40.769,9.725,1.600,0.233,0.280,161.249,0.000
174,51.028,722.429,866.670,652.142,361.344,158.120,130.800,40.379,9.753,1.605,0.233,0.292,164.139,0.000
175,51.367,752.801,870.005,653.172,359.676,159.417,131.650,40.004,9.782,1.610,0.234,0.304,167.324,0.000
176,51.706,765.509,873.619,654.202,357.817,160.797,132.546,39.640,9.812,1.615,0.234,0.317,170.837,0.000
177,52.046,747.583,877.552,655.231,355.768,162.265,133.492,39.282,9.842,1.621,0.235,0.330,174.714,0.000
178,52.385,754.809,881.820,656.261,353.504,163.826,134.491,38.922,9.873,1.626,0.235,0.343,178.995,0.000
179,52.725,742.701,886.507,657.291,351.058,165.483,135.545,38.559,9.906,1.632,0.235,0.357,183.727,0.000
180,53.064,922.664,891.699,658.321,348.466,167.239,136.654,38.193,9.939,1.638,0.236,0.370,188.959,0.000
181,53.404,873.481,897.511,659.350,345.776,169.099,137.820,37.825,9.973,1.644,0.236,0.384,194.749,0.000
182,53.743,859.855,903.994,660.380,343.027,171.053,139.047,37.458,10.009,1.650,0.237,0.397,201.112,0.000
183,54.083,850.008,911.052,661.410,340.233,173.061,140.341,37.090,10.045,1.656,0.237,0.411,207.973,0.000
184,54.422,823.674,918.604,662.439,337.408,175.089,141.707,36.723,10.083,1.663,0.238,0.425,215.265,0.000
185,54.762,917.234,926.685,663.469,334.596,177.128,143.150,36.359,10.122,1.669,0.238,0.439,222.979,0.000
186,55.101,919.494,935.325,664.499,331.832,179.170,144.678,36.002,10.162,1.676,0.239,0.454,231.109,0.000
187,55.441,964.055,944.556,665.529,329.152,181.206,146.296,35.655,10.204,1.684,0.239,0.468,239.649,0.000
188,55.781,940.946,954.307,666.558,326.581,183.215,147.991,35.321,10.247,1.691,0.239,0.484,248.533,0.000
189,56.120,939.909,964.418,667.588,324.127,185.168,149.740,35.000,10.293,1.699,0.240,0.499,257.648,0.000
190,56.460,940.986,974.815,668.618,321.807,187.049,151.531,34.694,10.341,1.707,0.240,0.516,266.926,0.000
191,56.800,939.731,985.483,669.648,319.645,188.856,153.367,34.405,10.391,1.715,0.241,0.533,276.324,0.000
192,57.139,991.991,996.413,670.677,317.663,190.590,155.247,34.136,10.445,1.724,0.241,0.552,285.811,0.000
193,57.479,1039.879,1007.595,671.707,315.876,192.250,157.170,33.888,10.501,1.734,0.242,0.572,295.359,0.000
194,57.819,1082.180,1018.928,672.737,314.265,193.822,159.116,33.660,10.561,1.744,0.242,0.593,304.919,0.000
195,58.158,1111.884,1030.313,673.767,312.810,195.293,161.066,33.450,10.625,1.755,0.243,0.616,314.450,0.000
196,58.498,1065.295,1041.744,674.796,311.506,196.663,163.015,33.259,10.693,1.766,0.243,0.641,323.951,0.000
197,58.838,1067.522,1053.255,675.826,310.358,197.940,164.961,33.088,10.767,1.778,0.244,0.669,333.445,0.000
198,59.178,1132.524,1064.915,676.856,309.373,199.135,166.908,32.936,10.846,1.792,0.244,0.698,342.979,0.000
199,59.518,1104.120,1076.767,677.885,308.545,200.252,168.853,32.804,10.931,1.806,0.245,0.731,352.596,0.000
200,59.857,1191.230,1088.759,678.915,307.841,201.282,170.777,32.688,11.020,1.821,0.245,0.767,362.312,0.000
201,60.197,1151.307,1100.914,679.945,307.240,202.223,172.675,32.586,11.114,1.837,0.246,0.807,372.180,0.000
202,60.537,1087.385,1111.736,679.373,306.225,202.722,174.241,32.443,11.188,1.851,0.246,0.850,381.964,0.000
203,60.877,1213.644,1122.967,678.801,305.308,203.155,175.789,32.314,11.266,1.867,0.245,0.898,392.119,0.000
204,61.217,1155.425,1134.779,678.229,304.496,203.536,177.328,32.200,11.348,1.884,0.245,0.952,402.785,0.000
205,61.557,1230.988,1147.247,677.657,303.771,203.866,178.853,32.098,11.434,1.903,0.245,1.010,414.061,0.000
206,61.897,1298.095,1160.408,677.086,303.103,204.142,180.355,32.007,11.523,1.924,0.245,1.075,426.030,0.000
207,62.237,1273.954,1174.388,676.514,302.481,204.367,181.837,31.924,11.614,1.947,0.245,1.146,438.823,0.000
208,62.577,1295.544,1189.371,675.942,301.903,204.554,183.310,31.850,11.706,1.972,0.245,1.223,452.602,0.000
209,62.917,1262.288,1205.559,675.370,301.371,204.714,184.787,31.784,11.801,2.001,0.245,1.308,467.543,0.000
210,63.257,1277.438,1223.173,674.798,300.892,204.861,186.284,31.728,11.896,2.032,0.245,1.402,483.828,0.000
211,63.597,1329.255,1242.271,674.226,300.444,204.990,187.799,31.678,11.992,2.066,0.245,1.499,501.553,0.000
212,63.937,1304.069,1262.953,673.654,300.012,205.100,189.334,31.635,12.086,2.103,0.245,1.597,520.836,0.000
213,64.277,1308.334,1285.406,673.083,299.592,205.196,190.903,31.596,12.178,2.143,0.245,1.695,541.852,0.000
214,64.617,1359.189,1309.853,672.511,299.188,205.290,192.524,31.562,12.269,2.186,0.245,1.790,564.794,0.000
215,64.957,1438.334,1336.544,671.939,298.809,205.390,194.217,31.535,12.357,2.232,0.245,1.881,589.873,0.000
216,65.297,1391.340,1365.713,671.367,298.459,205.507,196.001,31.513,12.442,2.281,0.245,1.967,617.292,0.000
217,65.638,1539.453,1397.414,670.795,298.116,205.629,197.877,31.496,12.523,2.333,0.245,2.047,647.143,0.000
218,65.978,1623.600,1431.852,670.223,297.781,205.759,199.858,31.482,12.600,2.388,0.245,2.117,679.617,0.000
219,66.318,1533.270,1469.301,669.651,297.459,205.902,201.966,31.472,12.673,2.446,0.245,2.178,714.956,0.000
220,66.658,1583.868,1510.075,669.079,297.157,206.068,204.227,31.467,12.741,2.506,0.245,2.227,753.431,0.000
221,66.998,1592.456,1554.529,668.508,296.887,206.268,206.667,31.467,12.806,2.569,0.245,2.264,795.351,0.000
222,67.339,1559.170,1602.941,667.936,296.650,206.502,209.303,31.473,12.867,2.636,0.245,2.287,840.973,0.000
223,67.679,1653.057,1655.471,667.364,296.426,206.761,212.141,31.483,12.924,2.704,0.245,2.297,890.485,0.000
224,68.019,1709.128,1712.520,666.792,296.226,207.052,215.207,31.497,12.977,2.774,0.245,2.292,944.245,0.000
225,68.359,1844.984,1774.542,666.220,296.059,207.385,218.530,31.515,13.027,2.847,0.246,2.272,1002.656,0.000
226,68.700,1925.911,1842.042,665.648,295.936,207.767,222.144,31.541,13.074,2.922,0.246,2.239,1066.168,0.000
227,69.040,1894.253,1915.555,665.076,295.868,208.208,226.085,31.573,13.120,2.999,0.246,2.192,1135.260,0.000
228,69.380,2047.622,1995.292,664.505,295.845,208.704,230.369,31.612,13.165,3.078,0.246,2.131,1210.137,0.000
229,69.721,2095.439,2081.516,663.933,295.860,209.250,235.016,31.656,13.208,3.160,0.246,2.059,1291.056,0.000
230,70.061,2206.847,2174.813,663.361,295.920,209.857,240.066,31.706,13.251,3.243,0.247,1.977,1378.541,0.000
231,70.402,2296.328,2275.842,662.789,296.037,210.534,245.564,31.763,13.295,3.329,0.247,1.885,1473.181,0.000
232,70.742,2475.549,2385.293,662.217,296.223,211.294,251.556,31.829,13.341,3.418,0.247,1.786,1575.594,0.000
233,71.082,2545.594,2503.198,661.645,296.484,212.138,258.080,31.904,13.389,3.510,0.248,1.681,1685.758,0.000
234,71.423,2795.368,2627.432,661.073,296.805,213.046,265.136,31.984,13.440,3.605,0.248,1.572,1801.591,0.000
235,71.763,2886.039,2757.149,660.501,297.186,214.012,272.753,32.068,13.493,3.703,0.248,1.461,1922.219,0.000
