ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
7570,2685.991,30.963,17.134,4.393,0.000,17.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7571,2686.497,26.741,17.026,4.389,0.000,17.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7572,2687.002,21.408,16.919,4.385,0.000,16.919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7573,2687.508,33.593,16.812,4.380,0.000,16.811,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7574,2688.014,33.741,16.704,4.376,0.000,16.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7575,2688.519,24.889,16.597,4.372,0.000,16.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7576,2689.025,26.185,16.490,4.367,0.000,16.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7577,2689.532,27.037,16.384,4.363,0.000,16.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7578,2690.038,16.667,16.277,4.359,0.000,16.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7579,2690.544,18.334,16.171,4.354,0.000,16.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7580,2691.051,26.815,16.064,4.350,0.000,16.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7581,2691.557,23.889,15.958,4.346,0.000,15.958,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7582,2692.064,25.185,15.852,4.341,0.000,15.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7583,2692.571,24.741,15.747,4.337,0.000,15.747,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7584,2693.078,22.111,15.641,4.333,0.000,15.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7585,2693.585,31.111,15.536,4.328,0.000,15.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7586,2694.092,29.519,15.431,4.324,0.000,15.431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7587,2694.600,23.037,15.327,4.320,0.000,15.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7588,2695.107,23.963,15.222,4.315,0.000,15.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7589,2695.615,23.741,15.118,4.311,0.000,15.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7590,2696.122,22.185,15.014,4.307,0.000,15.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7591,2696.630,21.667,14.911,4.302,0.000,14.911,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7592,2697.138,26.667,14.808,4.298,0.000,14.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7593,2697.646,27.704,14.705,4.294,0.000,14.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7594,2698.155,14.741,14.602,4.289,0.000,14.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7595,2698.663,17.334,14.500,4.285,0.000,14.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7596,2699.172,15.741,14.398,4.281,0.000,14.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7597,2699.680,25.334,14.296,4.276,0.000,14.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7598,2700.189,22.741,14.195,4.272,0.000,14.195,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7599,2700.698,25.815,14.094,4.268,0.000,14.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7600,2701.207,26.482,13.993,4.263,0.000,13.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7601,2701.716,24.815,13.893,4.259,0.000,13.893,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7602,2702.225,14.889,13.794,4.255,0.000,13.793,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7603,2702.735,15.963,13.694,4.250,0.000,13.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7604,2703.244,23.185,13.595,4.246,0.000,13.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7605,2703.754,22.111,13.497,4.242,0.000,13.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7606,2704.264,24.334,13.398,4.237,0.000,13.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7607,2704.774,23.185,13.301,4.233,0.000,13.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7608,2705.284,16.889,13.203,4.229,0.000,13.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7609,2705.794,16.630,13.107,4.224,0.000,13.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7610,2706.304,19.408,13.010,4.220,0.000,13.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7611,2706.815,20.482,12.914,4.216,0.000,12.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7612,2707.325,18.408,12.819,4.211,0.000,12.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7613,2707.836,20.445,12.724,4.207,0.000,12.723,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7614,2708.347,14.037,12.629,4.203,0.000,12.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7615,2708.858,24.111,12.535,4.198,0.000,12.535,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7616,2709.369,22.889,12.441,4.194,0.000,12.441,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7617,2709.880,28.704,12.348,4.190,0.000,12.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7618,2710.392,20.259,12.255,4.185,0.000,12.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7619,2710.903,22.111,12.163,4.181,0.000,12.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7620,2711.415,16.630,12.071,4.177,0.000,12.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7621,2711.926,13.334,11.980,4.172,0.000,11.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7622,2712.438,14.259,11.890,4.168,0.000,11.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7623,2712.950,13.408,11.799,4.164,0.000,11.799,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7624,2713.462,21.408,11.710,4.159,0.000,11.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7625,2713.975,12.630,11.621,4.155,0.000,11.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7626,2714.487,11.593,11.532,4.151,0.000,11.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7627,2714.999,21.259,11.444,4.146,0.000,11.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7628,2715.512,14.630,11.356,4.142,0.000,11.356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7629,2716.025,13.482,11.269,4.138,0.000,11.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7630,2716.538,20.704,11.183,4.133,0.000,11.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7631,2717.051,15.556,11.097,4.129,0.000,11.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7632,2717.564,19.259,11.012,4.125,0.000,11.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7633,2718.077,16.111,10.927,4.120,0.000,10.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7634,2718.591,14.185,10.843,4.116,0.000,10.842,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7635,2719.104,6.556,10.759,4.112,0.000,10.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7636,2719.618,14.704,10.676,4.107,0.000,10.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7637,2720.132,12.963,10.593,4.103,0.000,10.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7638,2720.646,13.630,10.511,4.099,0.000,10.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7639,2721.160,18.556,10.430,4.094,0.000,10.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7640,2721.674,14.704,10.349,4.090,0.000,10.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7641,2722.188,16.037,10.268,4.086,0.000,10.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7642,2722.703,4.408,10.189,4.081,0.000,10.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7643,2723.217,9.482,10.109,4.077,0.000,10.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7644,2723.732,12.408,10.031,4.073,0.000,10.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7645,2724.247,16.556,9.953,4.068,0.000,9.953,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7646,2724.762,15.037,9.875,4.064,0.000,9.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7647,2725.277,15.482,9.799,4.060,0.000,9.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7648,2725.792,14.185,9.722,4.055,0.000,9.722,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7649,2726.307,19.408,9.647,4.051,0.000,9.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7650,2726.823,11.185,9.571,4.047,0.000,9.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7651,2727.338,9.482,9.497,4.042,0.000,9.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7652,2727.854,9.408,9.423,4.038,0.000,9.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7653,2728.370,8.111,9.350,4.034,0.000,9.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7654,2728.886,12.408,9.277,4.029,0.000,9.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7655,2729.402,16.408,9.205,4.025,0.000,9.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7656,2729.919,10.482,9.133,4.021,0.000,9.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7657,2730.435,16.556,9.062,4.016,0.000,9.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7658,2730.952,10.482,8.992,4.012,0.000,8.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
