ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Th,Xray-Pb,Xray-La
90,22.590,408.403,441.747,338.379,19.633,29.417,16.509,18.265,1.283,0.210,0.031,186.325,74.689,95.371
91,22.928,490.184,468.200,350.912,20.371,30.523,17.129,18.951,1.331,0.218,0.032,193.320,77.494,108.817
92,23.266,433.816,496.708,363.445,21.112,31.675,17.752,19.615,1.379,0.226,0.033,200.335,80.307,124.260
93,23.604,455.223,527.585,375.977,21.855,32.868,18.376,20.271,1.428,0.234,0.035,207.373,83.129,142.001
94,23.941,534.964,559.732,388.510,22.602,34.098,19.004,20.880,1.477,0.242,0.036,214.439,85.963,160.976
95,24.279,524.113,591.877,401.042,23.352,35.362,19.634,21.404,1.525,0.250,0.037,221.535,88.810,179.954
96,24.617,555.780,623.129,413.575,24.106,36.659,20.267,21.819,1.575,0.258,0.038,228.664,91.669,198.059
97,24.955,605.222,652.668,426.107,24.863,37.989,20.903,22.115,1.624,0.266,0.039,235.826,94.542,214.483
98,25.293,592.334,679.705,438.640,25.625,39.355,21.543,22.287,1.674,0.274,0.040,243.023,97.430,228.436
99,25.630,638.259,703.527,451.173,26.390,40.754,22.185,22.337,1.723,0.283,0.042,250.252,100.330,239.213
100,25.968,583.187,723.535,463.705,27.158,42.185,22.830,22.238,1.773,0.291,0.043,257.511,103.243,246.244
101,26.306,725.704,739.370,476.238,27.929,43.647,23.478,21.985,1.824,0.299,0.044,264.798,106.168,249.180
102,26.644,727.591,750.941,488.770,28.704,45.137,24.128,21.585,1.874,0.307,0.045,272.107,109.102,247.932
103,26.982,721.219,758.435,501.303,29.479,46.650,24.779,21.061,1.924,0.315,0.046,279.432,112.043,242.682
104,27.320,780.442,762.310,513.835,30.256,48.182,25.432,20.440,1.975,0.324,0.048,286.770,114.989,233.874
105,27.658,729.442,763.080,526.368,31.034,49.726,26.084,19.738,2.026,0.332,0.049,294.113,117.939,222.017
106,27.996,828.959,761.280,538.901,31.812,51.275,26.738,18.964,2.076,0.340,0.050,301.457,120.890,207.656
107,28.334,808.257,757.657,551.433,32.588,52.821,27.390,18.146,2.127,0.349,0.051,308.796,123.840,191.527
108,28.672,771.439,752.984,563.966,33.364,54.357,28.041,17.309,2.177,0.357,0.053,316.126,126.787,174.390
109,29.010,808.996,747.988,576.498,34.137,55.877,28.691,16.482,2.228,0.365,0.054,323.444,129.735,156.950
110,29.348,815.809,743.296,589.031,34.910,57.376,29.339,15.690,2.278,0.373,0.055,330.748,132.685,139.817
111,29.686,811.810,739.365,601.563,35.679,58.856,29.986,14.931,2.328,0.382,0.056,338.036,135.620,123.465
112,30.024,853.698,736.540,614.096,36.447,60.316,30.631,14.205,2.378,0.390,0.057,345.307,138.551,108.231
113,30.363,849.737,735.040,626.629,37.213,61.756,31.276,13.519,2.428,0.398,0.059,352.563,141.489,94.313
114,30.701,847.663,734.947,639.161,37.977,63.179,31.920,12.880,2.478,0.406,0.060,359.802,144.427,81.791
115,31.039,839.886,736.233,651.694,38.739,64.587,32.560,12.293,2.528,0.414,0.061,367.027,147.349,70.648
116,31.377,800.513,738.831,664.226,39.499,65.977,33.199,11.761,2.578,0.423,0.062,374.238,150.269,60.798
117,31.715,867.737,742.611,676.759,40.258,67.322,33.837,11.295,2.627,0.431,0.063,381.437,153.188,52.125
118,32.054,777.624,747.446,689.291,41.016,68.626,34.474,10.891,2.677,0.439,0.065,388.625,156.107,44.498
119,32.392,811.661,753.212,701.824,41.774,69.894,35.111,10.544,2.726,0.447,0.066,395.804,159.026,37.791
120,32.730,802.552,759.843,714.357,42.532,71.135,35.747,10.250,2.775,0.455,0.067,402.972,161.947,31.932
121,33.069,839.033,767.259,726.889,43.289,72.358,36.383,10.006,2.825,0.463,0.068,410.133,164.871,26.832
122,33.407,762.069,775.338,739.422,44.046,73.560,37.020,9.806,2.874,0.471,0.069,417.288,167.799,22.372
123,33.745,783.293,783.983,751.954,44.804,74.735,37.657,9.647,2.923,0.479,0.071,424.437,170.732,18.466
124,34.084,847.735,793.145,764.487,45.562,75.890,38.293,9.522,2.972,0.487,0.072,431.579,173.671,15.064
125,34.422,739.550,802.794,777.019,46.321,77.028,38.929,9.430,3.022,0.495,0.073,438.717,176.619,12.128
126,34.760,743.735,812.908,789.552,47.080,78.158,39.565,9.366,3.071,0.503,0.074,445.852,179.575,9.627
127,35.099,753.773,810.809,789.435,47.089,78.204,39.570,9.212,3.071,0.503,0.074,445.840,179.680,7.530
128,35.437,759.995,809.103,789.317,47.100,78.242,39.575,9.081,3.071,0.503,0.074,445.823,179.797,5.801
