spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal
G1S16_Eu152_P25,G1S16,known,Eu-152,411.117,411.104,414.692,3.588,1.069,0.1538,22.38,135,157,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,443.961,442.776,443.251,0.475,0.882,0.1971,32.50,144,166,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,563.986,573.421,569.491,-3.930,4.258,0.0798,5.51,186,212,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,688.670,684.387,688.089,3.702,1.764,0.1029,17.37,221,251,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,778.905,778.664,779.631,0.967,0.995,0.5043,83.19,252,284,1,
G1S16_Eu152_P25,G1S16,known,Eu-152,867.380,869.135,866.111,-3.024,1.510,0.2540,26.46,281,315,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,964.057,965.672,965.165,-0.508,1.136,0.6225,89.58,312,348,1,
G1S16_Eu152_P25,G1S16,known,Eu-152,1112.076,1102.431,1101.660,-0.771,1.216,0.7663,125.67,355,395,1,
G1S16_Eu152_P25,G1S16,known,Eu-152,1212.948,1214.954,1236.060,21.105,5.505,0.1968,9.59,391,433,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,1408.013,1412.092,1411.851,-0.241,1.429,0.9430,109.37,454,500,1,
G1S16_Mn54_P25,G1S16,known,Mn-54,834.848,832.492,832.474,-0.018,0.994,0.9880,229.19,271,303,1,
G1S16_Na22_P25,G1S16,known,Ann-511,511.000,511.085,510.160,-0.925,0.720,0.9239,623.35,167,191,1,
G1S16_Na22_P25,G1S16,known,Na-22,1274.537,1271.708,1272.919,1.211,1.313,0.9877,290.12,410,454,1,
G1S16_Th228_P25,G1S16,known,Th-228,39.857,39.471,,,,0.0856,-2.20,14,20,0,z
G1S16_Th228_P25,G1S16,known,Th-228,77.108,76.314,75.713,-0.601,0.257,0.6415,49.22,26,34,1,
G1S16_Th228_P25,G1S16,known,Th-228,115.183,116.818,,,,0.0571,-1.40,39,49,0,z
G1S16_Th228_P25,G1S16,known,Th-228,166.410,165.983,160.696,-5.286,4.974,0.0078,2.34,55,67,0,z
G1S16_Th228_P25,G1S16,known,Th-228,238.632,238.176,238.833,0.656,0.470,0.8026,69.01,78,94,1,
G1S16_Th228_P25,G1S16,known,Th-228,300.087,298.700,297.129,-1.571,2.264,0.2549,7.12,97,115,0,share
G1S16_Th228_P25,G1S16,known,Th-228,452.980,452.206,,,,0.0558,-1.15,148,170,0,z
G1S16_Th228_P25,G1S16,known,Th-228,510.770,510.145,511.771,1.626,1.424,0.5640,16.47,167,191,1,
G1S16_Th228_P25,G1S16,known,Th-228,583.187,583.858,582.632,-1.225,0.925,0.8775,40.80,190,216,1,
G1S16_Th228_P25,G1S16,known,Th-228,727.330,728.120,728.188,0.068,2.428,0.6933,11.40,237,267,1,
G1S16_Th228_P25,G1S16,known,Th-228,860.557,860.141,864.322,4.181,4.344,0.6150,7.00,279,313,1,
G1S16_Th228_P25,G1S16,known,Th-228,1078.620,1076.182,,,,0.1758,-0.63,348,386,0,z
G1S16_Th228_P25,G1S16,known,Th-228,1512.700,1520.179,,,,0.0415,-0.06,489,537,0,z
G1S16_Th228_P25,G1S16,known,Th-228,1620.500,1620.399,1634.023,13.623,17.333,0.1422,2.71,522,572,0,z
G1S16_Th228_P25,G1S16,known,Th-228,1806.000,1806.620,1857.872,51.252,111.130,0.0101,0.65,582,636,0,z
G1S16_Th228_P25,G1S16,known,Th-228,2614.511,2614.019,2614.555,0.536,2.418,0.9779,28.61,845,913,1,
G1S16_Y88_P25,G1S16,known,Y-88,898.042,898.230,895.826,-2.404,1.333,0.9023,31.33,292,326,1,
G1S16_Y88_P25,G1S16,known,Y-88,1836.063,1836.534,1839.820,3.286,2.175,0.9838,27.72,591,645,1,
G1S16_Am241_P5,G1S16,known,Am-241,26.345,23.018,4.920,-18.098,0.342,0.2131,53.09,11,15,0,share
G1S16_Am241_P5,G1S16,known,Am-241,59.541,54.056,53.970,-0.086,0.178,0.9411,706.83,20,26,1,
G1S16_Ba133_P5,G1S16,known,Ba-133,30.973,28.954,28.806,-0.148,0.122,0.8318,1019.82,10,14,1,
G1S16_Ba133_P5,G1S16,known,Ba-133,53.162,53.006,56.342,3.336,0.182,0.2253,113.25,18,24,0,share
G1S16_Ba133_P5,G1S16,known,Ba-133,80.998,78.858,82.546,3.688,0.221,0.8568,804.13,26,34,0,outlier
G1S16_Ba133_P5,G1S16,known,Ba-133,160.612,158.535,161.714,3.179,0.348,0.0475,135.50,52,64,0,share
G1S16_Ba133_P5,G1S16,known,Ba-133,302.851,300.140,300.675,0.535,0.512,0.6415,394.61,99,117,1,
G1S16_Ba133_P5,G1S16,known,Ba-133,356.013,354.021,353.546,-0.475,0.569,0.8554,794.99,117,137,1,
G1S16_Cd109_P5,G1S16,known,Cd-109,22.163,19.120,19.095,-0.024,0.102,0.7627,319.48,7,11,1,
G1S16_Cd109_P5,G1S16,known,Cd-109,88.034,90.829,90.866,0.037,0.242,0.9177,214.11,30,38,1,
G1S16_Ce139_P5,G1S16,known,Ce-139,33.442,31.044,30.977,-0.067,0.130,0.7906,213.01,11,15,1,
G1S16_Ce139_P5,G1S16,known,Ce-139,165.858,168.990,169.083,0.094,0.354,0.9623,344.06,55,67,1,
G1S16_Co57_P5,G1S16,known,Co-57,122.061,124.202,124.209,0.006,0.307,0.8530,65.89,41,51,1,
G1S16_Co60_P5,G1S16,known,Ann-511,511.000,511.697,510.585,-1.112,3.203,0.0219,6.80,168,192,0,share
G1S16_Co60_P5,G1S16,known,Co-60,1173.228,1173.286,1172.496,-0.790,1.236,0.9012,570.17,380,420,1,
G1S16_Co60_P5,G1S16,known,Co-60,1332.492,1331.191,1331.986,0.795,1.342,0.9715,561.78,430,474,1,
G1S16_Cs137_P5,G1S16,known,Cs-137,32.193,25.196,25.099,-0.097,0.124,0.6902,404.90,11,15,1,
G1S16_Cs137_P5,G1S16,known,Cs-137,661.657,658.429,658.641,0.212,0.845,0.9876,1293.82,215,243,1,
G1S16_Eu152_P5,G1S16,known,Eu-152,40.117,36.983,36.888,-0.095,0.146,0.6641,766.39,13,19,1,
G1S16_Eu152_P5,G1S16,known,Eu-152,121.782,119.282,122.953,3.670,0.283,0.7882,735.58,39,49,0,outlier
G1S16_Eu152_P5,G1S16,known,Eu-152,244.697,242.078,244.869,2.791,0.446,0.4209,286.64,79,95,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,295.939,294.160,-8.028,-302.188,3039.901,0.0430,0.20,95,113,0,z
G1S16_Eu152_P5,G1S16,known,Eu-152,344.279,342.516,345.970,3.454,0.554,0.7683,545.64,112,130,0,outlier
G1S16_Eu152_P5,G1S16,known,Eu-152,411.117,411.331,413.131,1.800,0.719,0.1755,56.13,135,157,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,443.961,442.692,444.712,2.019,0.702,0.2072,76.14,143,165,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,563.986,573.588,575.091,1.503,1.412,0.0777,19.39,186,212,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,688.670,684.982,689.450,4.468,1.167,0.0937,33.95,222,252,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,778.905,778.888,779.989,1.101,0.955,0.4760,197.91,252,284,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,867.380,869.653,866.762,-2.892,1.178,0.2213,49.86,282,316,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,964.057,965.857,965.596,-0.262,1.099,0.5507,197.26,312,348,1,
G1S16_Eu152_P5,G1S16,known,Eu-152,1112.076,1102.399,1102.485,0.086,1.192,0.6953,287.72,355,395,1,
G1S16_Eu152_P5,G1S16,known,Eu-152,1212.948,1215.410,1217.963,2.553,2.076,0.1487,25.43,392,434,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,1299.142,1303.839,1299.190,-4.649,1.774,0.2455,37.38,420,464,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,1408.013,1412.507,1412.794,0.287,1.400,0.8719,251.65,455,501,1,
G1S16_Mn54_P5,G1S16,known,Mn-54,834.848,837.610,837.616,0.007,0.968,0.9877,444.39,272,302,1,
G1S16_Na22_P5,G1S16,known,Ann-511,511.000,511.822,512.403,0.581,0.741,0.9494,1279.48,166,192,1,
G1S16_Na22_P5,G1S16,known,Na-22,1274.537,1254.237,1253.488,-0.750,1.302,0.9522,517.13,411,455,1,
G1S16_Th228_P5,G1S16,known,Th-228,39.857,34.348,7.895,-26.452,6.638,0.1024,4.02,14,20,0,z
G1S16_Th228_P5,G1S16,known,Th-228,77.108,71.152,71.022,-0.130,0.222,0.6692,195.89,26,34,1,
G1S16_Th228_P5,G1S16,known,Th-228,115.183,111.183,121.105,9.922,0.871,0.0678,15.65,38,48,0,share
G1S16_Th228_P5,G1S16,known,Th-228,166.410,163.677,,,,0.0096,-12.46,55,67,0,z
G1S16_Th228_P5,G1S16,known,Th-228,238.632,234.780,237.905,3.124,0.436,0.8482,246.70,78,92,0,outlier
G1S16_Th228_P5,G1S16,known,Th-228,300.087,295.914,298.048,2.134,0.650,0.3068,35.83,97,113,0,share
G1S16_Th228_P5,G1S16,known,Th-228,452.980,451.348,435.716,-15.632,23.558,0.0656,1.21,148,170,0,z
G1S16_Th228_P5,G1S16,known,Th-228,510.770,509.780,512.584,2.804,0.762,0.5777,62.37,166,190,1,
G1S16_Th228_P5,G1S16,known,Th-228,583.187,584.569,585.478,0.909,0.782,0.8669,128.57,190,216,1,
G1S16_Th228_P5,G1S16,known,Th-228,727.330,730.218,729.520,-0.698,1.010,0.6194,46.42,237,267,1,
G1S16_Th228_P5,G1S16,known,Th-228,860.557,863.768,863.328,-0.441,1.276,0.5296,32.16,280,314,1,
G1S16_Th228_P5,G1S16,known,Th-228,1078.620,1083.981,1083.961,-0.020,4.743,0.1310,7.15,351,389,0,share
G1S16_Th228_P5,G1S16,known,Th-228,1512.700,1523.397,1548.693,25.297,4.408,0.0424,10.73,494,542,0,share
G1S16_Th228_P5,G1S16,known,Th-228,1620.500,1632.197,1598.209,-33.988,6.289,0.1381,8.13,528,578,0,share
G1S16_Th228_P5,G1S16,known,Th-228,1806.000,1819.502,1766.748,-52.755,51.026,0.0093,1.27,586,640,0,z
G1S16_Th228_P5,G1S16,known,Th-228,2614.511,2637.654,2617.593,-20.061,2.135,0.9635,71.28,852,920,0,outlier
G1S16_Y88_P5,G1S16,known,Ann-511,511.000,508.084,509.634,1.549,2.959,0.1493,7.12,166,190,0,share
G1S16_Y88_P5,G1S16,known,Y-88,898.042,897.177,896.845,-0.333,1.069,0.8979,83.03,291,325,1,
G1S16_Y88_P5,G1S16,known,Y-88,1836.063,1842.566,1843.092,0.525,1.724,0.9787,63.19,592,646,1,
﻿spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal
G1S24_Cs137_P25,G1S24,known,Cs-137,32.193,33.077,33.117,0.040,0.152,0.7383,172.94,10,16,1,
G1S24_Cs137_P25,G1S24,known,Cs-137,661.657,663.457,663.399,-0.058,0.941,0.9825,553.49,213,245,1,
G1S24_Na22_P25,G1S24,known,Ann-511,511.000,503.870,503.544,-0.326,0.785,0.9222,1121.52,166,192,1,
G1S24_Na22_P25,G1S24,known,Na-22,1274.537,1262.029,1262.404,0.376,1.386,0.9793,529.72,409,455,1,
G1S24_Th228_P25,G1S24,known,Th-228,39.857,42.066,32.748,-9.317,0.914,0.0948,11.48,13,19,0,share
G1S24_Th228_P25,G1S24,known,Th-228,77.108,78.713,79.241,0.528,0.252,0.6122,326.14,26,34,1,
G1S24_Th228_P25,G1S24,known,Th-228,115.183,118.140,150.438,32.298,4.641,0.0425,7.09,38,50,0,share
G1S24_Th228_P25,G1S24,known,Th-228,166.410,167.932,177.111,9.179,2.066,0.0060,7.72,54,68,0,share
G1S24_Th228_P25,G1S24,known,Th-228,238.632,239.950,240.643,0.694,0.494,0.7742,445.01,77,95,1,
G1S24_Th228_P25,G1S24,known,Th-228,300.087,299.865,299.759,-0.106,0.643,0.2168,60.11,95,115,0,share
G1S24_Th228_P25,G1S24,known,Th-228,510.770,511.357,511.473,0.116,0.818,0.5042,117.80,166,192,1,
G1S24_Th228_P25,G1S24,known,Th-228,583.187,585.249,583.762,-1.488,0.873,0.8408,262.34,189,219,1,
G1S24_Th228_P25,G1S24,known,Th-228,727.330,728.971,727.759,-1.212,1.037,0.6397,93.74,235,269,1,
G1S24_Th228_P25,G1S24,known,Th-228,860.557,860.822,859.462,-1.361,1.202,0.5781,61.71,278,314,1,
G1S24_Th228_P25,G1S24,known,Th-228,1078.620,1078.038,1076.661,-1.377,3.219,0.1476,12.59,346,388,0,share
G1S24_Th228_P25,G1S24,known,Th-228,1620.500,1619.430,1613.270,-6.159,3.550,0.1352,14.35,521,575,0,share
G1S24_Th228_P25,G1S24,known,Th-228,1806.000,1804.756,1831.709,26.953,16.599,0.0095,3.43,580,638,0,z
G1S24_Th228_P25,G1S24,known,Th-228,2614.511,2610.618,2613.278,2.660,2.224,0.9603,153.18,839,911,1,
G1S24_Y88_P25,G1S24,known,Ann-511,511.000,512.148,512.007,-0.141,1.407,0.1208,19.37,166,192,0,share
G1S24_Y88_P25,G1S24,known,Y-88,898.042,898.332,899.194,0.862,1.140,0.8784,251.20,289,327,1,
G1S24_Y88_P25,G1S24,known,Y-88,1836.063,1836.433,1835.522,-0.912,1.738,0.9768,194.09,590,648,1,
G1S24_Am241_P5,G1S24,known,Am-241,26.345,23.996,-14.711,-38.707,0.329,0.2288,57.25,11,15,0,share
G1S24_Am241_P5,G1S24,known,Am-241,59.541,56.302,56.301,0.000,0.214,0.9413,1623.49,20,28,1,
G1S24_Ba133_P5,G1S24,known,Ba-133,30.973,27.029,26.943,-0.087,0.134,0.8153,1288.48,10,14,1,
G1S24_Ba133_P5,G1S24,known,Ba-133,53.162,51.372,55.998,4.627,0.197,0.2093,149.28,18,24,0,share
G1S24_Ba133_P5,G1S24,known,Ba-133,80.998,77.468,81.307,3.839,0.242,0.8457,1088.21,26,34,0,outlier
G1S24_Ba133_P5,G1S24,known,Ba-133,160.612,158.089,158.089,0.000,0.382,0.0363,137.57,51,65,0,share
G1S24_Ba133_P5,G1S24,known,Ba-133,302.851,301.397,301.034,-0.363,0.565,0.5119,447.15,98,118,1,
G1S24_Ba133_P5,G1S24,known,Ba-133,356.013,355.966,356.377,0.411,0.630,0.7786,1024.49,116,138,1,
G1S24_Bi207_P5,G1S24,known,Bi-207,74.970,81.852,81.937,0.085,0.248,0.7514,1655.29,25,33,1,
G1S24_Bi207_P5,G1S24,known,Bi-207,569.698,569.780,569.713,-0.068,0.864,0.8983,1401.82,184,214,1,
G1S24_Bi207_P5,G1S24,known,Bi-207,1063.656,1054.884,1057.691,2.807,1.275,0.9534,921.82,342,384,1,
G1S24_Bi207_P5,G1S24,known,Bi-207,1460.000,1443.552,1346.650,-96.902,12.494,0.2979,8.11,467,519,0,share
G1S24_Bi207_P5,G1S24,known,Bi-207,1770.228,1748.107,1744.860,-3.247,1.721,0.9046,223.77,567,625,1,
G1S24_Cd109_P5,G1S24,known,Cd-109,22.163,18.892,18.978,0.086,0.114,0.7722,140.62,7,11,1,
G1S24_Cd109_P5,G1S24,known,Cd-109,88.034,90.555,90.550,-0.005,0.268,0.7331,133.01,29,39,1,
G1S24_Co60_P5,G1S24,known,Ann-511,511.000,510.710,510.060,-0.649,3.297,0.0162,7.63,164,192,0,share
G1S24_Co60_P5,G1S24,known,Co-60,1173.228,1171.093,1171.166,0.073,1.358,0.8762,763.28,377,423,1,
G1S24_Co60_P5,G1S24,known,Co-60,1332.492,1328.817,1328.631,-0.187,1.464,0.9638,751.41,429,477,1,
G1S24_Cs137_P5,G1S24,known,Cs-137,32.193,32.196,32.157,-0.039,0.144,0.6529,406.94,10,16,1,
G1S24_Cs137_P5,G1S24,known,Cs-137,661.657,658.963,659.022,0.058,0.943,0.9865,1355.25,215,247,1,
G1S24_Eu152_P5,G1S24,known,Eu-152,40.117,39.178,39.012,-0.166,0.162,0.7055,2335.20,13,19,1,
G1S24_Eu152_P5,G1S24,known,Eu-152,121.782,121.403,124.569,3.166,0.317,0.8006,2256.52,39,51,0,outlier
G1S24_Eu152_P5,G1S24,known,Eu-152,244.697,243.860,243.946,0.085,0.494,0.4079,783.36,79,97,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,344.279,344.309,345.619,1.309,0.618,0.7822,1678.98,112,134,1,
G1S24_Eu152_P5,G1S24,known,Eu-152,443.961,443.855,443.338,-0.517,0.729,0.2058,218.72,143,167,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,563.986,574.989,574.302,-0.686,0.931,0.0801,68.41,187,215,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,688.670,685.834,689.817,3.983,0.999,0.0954,107.60,222,254,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,778.905,779.949,779.908,-0.041,1.049,0.4874,590.57,253,287,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,867.380,870.263,871.275,1.012,1.142,0.2108,167.59,281,319,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,964.057,966.620,966.364,-0.256,1.201,0.5534,596.35,312,352,1,
G1S24_Eu152_P5,G1S24,known,Eu-152,1112.076,1102.944,1102.318,-0.625,1.303,0.6903,833.42,355,399,1,
G1S24_Eu152_P5,G1S24,known,Eu-152,1408.013,1412.303,1411.820,-0.482,1.514,0.8775,748.46,455,505,1,
G1S24_Na22_P5,G1S24,known,Ann-511,511.000,516.080,516.843,0.764,0.846,0.9473,2948.20,165,195,1,
G1S24_Na22_P5,G1S24,known,Na-22,1274.537,1256.141,1255.255,-0.886,1.422,0.9333,1228.55,411,459,1,
G1S24_Th228_P5,G1S24,known,Th-228,39.857,33.685,16.667,-17.018,0.411,0.1072,45.02,14,20,0,share
G1S24_Th228_P5,G1S24,known,Th-228,77.108,70.758,70.258,-0.500,0.236,0.6686,1949.57,27,35,1,
G1S24_Th228_P5,G1S24,known,Th-228,115.183,110.918,118.767,7.849,0.305,0.0717,309.11,40,50,0,share
G1S24_Th228_P5,G1S24,known,Th-228,166.410,161.274,,,,0.0099,-118.65,56,68,0,z
G1S24_Th228_P5,G1S24,known,Th-228,238.632,234.512,234.775,0.264,0.474,0.8305,2447.11,79,95,1,
G1S24_Th228_P5,G1S24,known,Th-228,300.087,295.157,295.120,-0.037,0.546,0.2869,360.92,97,115,0,share
G1S24_Th228_P5,G1S24,known,Th-228,510.770,510.144,510.372,0.229,0.786,0.5327,599.66,167,193,1,
G1S24_Th228_P5,G1S24,known,Th-228,583.187,585.214,585.231,0.017,0.859,0.8416,1265.18,191,219,1,
G1S24_Th228_P5,G1S24,known,Th-228,727.330,731.543,731.541,-0.002,0.997,0.6235,484.70,238,270,1,
G1S24_Th228_P5,G1S24,known,Th-228,860.557,865.439,867.246,1.807,1.115,0.5150,318.61,280,316,1,
G1S24_Th228_P5,G1S24,known,Th-228,1078.620,1086.117,1098.736,12.619,1.439,0.1217,59.00,348,390,0,share
G1S24_Th228_P5,G1S24,known,Th-228,1620.500,1636.050,1643.793,7.743,1.782,0.1287,68.29,523,577,0,share
G1S24_Th228_P5,G1S24,known,Th-228,1806.000,1823.516,,,,0.0087,-5.52,582,640,0,z
G1S24_Th228_P5,G1S24,known,Th-228,2614.511,2643.279,2641.198,-2.081,2.199,0.9096,677.37,849,923,1,
G1S24_Y88_P5,G1S24,known,Ann-511,511.000,512.869,493.634,-19.235,1.135,0.0717,35.77,171,197,0,share
G1S24_Y88_P5,G1S24,known,Y-88,898.042,899.111,895.216,-3.895,1.132,0.8666,731.31,292,330,1,
G1S24_Y88_P5,G1S24,known,Y-88,1836.063,1838.515,1843.400,4.885,1.769,0.9586,554.77,592,650,1,
G1S24_Zn65_P5,G1S24,known,Ann-511,511.000,512.516,514.486,1.970,1.307,0.4614,20.06,167,193,0,share
G1S24_Zn65_P5,G1S24,known,Zn-65,1115.539,1116.882,1116.895,0.013,1.355,0.9860,83.18,359,403,1,
