spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal
G1S16_Th228_P25,G1S16,known,Th-228,510.770,510.145,511.771,1.626,1.424,0.5640,16.47,167,191,0,share
G1S16_Th228_P25,G1S16,known,Th-228,583.187,583.858,582.632,-1.225,0.925,0.8775,40.80,190,216,0,share
G1S16_Th228_P25,G1S16,known,Th-228,727.330,728.120,728.188,0.068,2.428,0.6933,11.40,237,267,0,share
G1S16_Th228_P25,G1S16,known,Th-228,860.557,860.141,864.322,4.181,4.344,0.6150,7.00,279,313,0,share
G1S16_Th228_P25,G1S16,known,Th-228,1078.620,1076.182,,,,0.1758,-0.63,348,386,0,z
G1S16_Th228_P25,G1S16,known,Th-228,1512.700,1520.179,,,,0.0415,-0.06,489,537,0,z
G1S16_Th228_P25,G1S16,known,Th-228,1620.500,1620.399,1634.023,13.623,17.333,0.1422,2.71,522,572,0,z
G1S16_Th228_P25,G1S16,known,Th-228,1806.000,1806.620,1857.872,51.252,111.130,0.0101,0.65,582,636,0,z
G1S16_Th228_P25,G1S16,known,Th-228,2614.511,2614.019,2614.555,0.536,2.418,0.9779,28.61,845,913,0,share
G1S16_Y88_P25,G1S16,known,Y-88,898.042,898.018,895.825,-2.193,1.333,0.9023,31.33,292,326,0,share
G1S16_Y88_P25,G1S16,known,Y-88,1836.063,1836.112,1839.820,3.708,2.175,0.9839,27.72,591,645,0,share
G1S16_Am241_P5,G1S16,known,Am-241,26.345,26.119,20.612,-5.506,0.133,0.0300,117.79,12,16,0,share
G1S16_Am241_P5,G1S16,known,Am-241,59.541,60.169,55.818,-4.351,0.193,0.9414,639.35,23,29,0,share
G1S16_Ba133_P5,G1S16,known,Ba-133,30.973,29.837,28.901,-0.935,0.122,0.8514,1060.29,10,14,0,share
G1S16_Ba133_P5,G1S16,known,Ba-133,53.162,53.991,55.638,1.647,0.184,0.2044,94.95,18,24,0,share
G1S16_Ba133_P5,G1S16,known,Ba-133,80.998,79.937,82.547,2.610,0.221,0.8408,797.51,26,34,0,share
G1S16_Ba133_P5,G1S16,known,Ba-133,160.612,159.836,162.004,2.168,0.349,0.0439,130.77,52,64,0,share
G1S16_Ba133_P5,G1S16,known,Ba-133,302.851,301.859,301.399,-0.460,0.512,0.5953,366.71,99,117,0,share
G1S16_Ba133_P5,G1S16,known,Ba-133,356.013,355.900,353.935,-1.965,0.569,0.8510,798.88,117,137,0,share
G1S16_Cd109_P5,G1S16,known,Cd-109,22.163,22.016,19.840,-2.177,0.109,0.7589,350.89,8,12,0,share
G1S16_Cd109_P5,G1S16,known,Cd-109,88.034,88.029,90.585,2.556,0.237,0.8548,215.29,29,37,0,share
G1S16_Ce139_P5,G1S16,known,Ce-139,33.442,34.000,31.889,-2.111,0.136,0.7995,227.55,12,16,0,share
G1S16_Ce139_P5,G1S16,known,Ce-139,165.858,166.007,168.894,2.887,0.350,0.9452,343.54,54,66,0,share
G1S16_Co57_P5,G1S16,known,Co-57,122.061,121.952,123.881,1.929,0.302,0.8592,66.05,40,50,0,share
G1S16_Co60_P5,G1S16,known,Ann-511,511.000,511.987,510.697,-1.290,3.194,0.0220,6.82,168,192,0,share
G1S16_Co60_P5,G1S16,known,Co-60,1173.228,1173.934,1172.530,-1.403,1.236,0.9001,569.33,380,420,0,share
G1S16_Co60_P5,G1S16,known,Co-60,1332.492,1331.930,1331.992,0.062,1.342,0.9717,561.87,430,474,0,share
G1S16_Cs137_P5,G1S16,known,Cs-137,32.193,31.988,26.761,-5.227,0.137,0.6904,307.89,13,17,0,share
G1S16_Cs137_P5,G1S16,known,Cs-137,661.657,661.858,658.953,-2.905,0.847,0.9866,1293.82,216,244,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,40.117,40.037,36.633,-3.404,0.151,0.6670,769.10,14,20,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,121.782,121.925,123.913,1.988,0.287,0.7240,672.66,40,50,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,244.697,243.919,245.103,1.184,0.446,0.4042,271.33,79,95,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,344.279,344.148,346.291,2.143,0.557,0.7670,549.29,113,131,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,411.117,412.318,414.582,2.264,0.715,0.1736,56.55,135,157,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,443.961,443.827,444.866,1.040,0.702,0.2075,75.47,144,166,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,563.986,573.762,574.699,0.937,1.411,0.0766,19.37,186,212,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,688.670,684.312,688.752,4.440,1.178,0.0925,33.49,221,251,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,778.905,778.070,779.941,1.871,0.955,0.4726,198.49,252,284,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,867.380,868.086,865.610,-2.476,1.164,0.2182,51.80,281,315,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,964.057,964.136,965.396,1.259,1.099,0.5483,198.26,312,348,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,1112.076,1100.162,1102.451,2.289,1.192,0.6922,287.90,355,395,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,1212.948,1212.142,1202.937,-9.205,1.734,0.1454,32.23,391,433,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,1299.142,1300.139,1276.783,-23.356,2.225,0.2347,28.40,419,463,0,share
G1S16_Eu152_P5,G1S16,known,Eu-152,1408.013,1407.957,1412.223,4.265,1.396,0.8648,250.05,453,499,0,share
G1S16_Mn54_P5,G1S16,known,Mn-54,834.848,834.076,837.132,3.057,0.966,0.9879,444.81,271,301,0,share
G1S16_Na22_P5,G1S16,known,Ann-511,511.000,512.098,512.399,0.301,0.741,0.9533,1284.22,166,192,0,share
G1S16_Na22_P5,G1S16,known,Na-22,1274.537,1274.127,1255.845,-18.282,1.315,0.9196,506.99,418,462,0,share
G1S16_Th228_P5,G1S16,known,Th-228,39.857,39.436,,,,0.0913,-8.59,16,22,0,z
G1S16_Th228_P5,G1S16,known,Th-228,77.108,76.463,72.340,-4.122,0.232,0.6902,201.36,28,36,0,share
G1S16_Th228_P5,G1S16,known,Th-228,115.183,116.024,119.489,3.465,0.405,0.0695,32.42,40,50,0,share
G1S16_Th228_P5,G1S16,known,Th-228,166.410,166.637,,,,0.0093,-17.07,56,68,0,z
G1S16_Th228_P5,G1S16,known,Th-228,238.632,238.114,238.343,0.229,0.440,0.8422,245.76,79,93,0,share
G1S16_Th228_P5,G1S16,known,Th-228,300.087,298.151,298.207,0.055,0.660,0.2995,34.64,97,113,0,share
G1S16_Th228_P5,G1S16,known,Th-228,452.980,451.923,455.426,3.503,12.409,0.0672,1.63,147,169,0,z
G1S16_Th228_P5,G1S16,known,Th-228,510.770,510.059,512.522,2.462,0.763,0.5737,62.06,166,190,0,share
G1S16_Th228_P5,G1S16,known,Th-228,583.187,584.091,585.489,1.398,0.782,0.8681,128.94,190,216,0,share
G1S16_Th228_P5,G1S16,known,Th-228,727.330,727.972,728.955,0.983,1.009,0.6160,46.01,236,266,0,share
G1S16_Th228_P5,G1S16,known,Th-228,860.557,860.163,862.734,2.572,1.284,0.5222,31.80,279,313,0,share
G1S16_Th228_P5,G1S16,known,Th-228,1078.620,1078.183,1086.162,7.979,5.249,0.1283,6.48,350,388,0,share
G1S16_Th228_P5,G1S16,known,Th-228,1512.700,1512.840,1542.471,29.632,6.278,0.0402,7.35,492,540,0,share
G1S16_Th228_P5,G1S16,known,Th-228,1620.500,1620.206,1600.018,-20.189,5.665,0.1352,8.29,525,575,0,share
G1S16_Th228_P5,G1S16,known,Th-228,1806.000,1805.938,1748.745,-57.193,86.612,0.0093,0.84,584,638,0,z
G1S16_Th228_P5,G1S16,known,Th-228,2614.511,2614.138,2614.576,0.438,2.131,0.9372,69.99,845,913,0,share
G1S16_Y88_P5,G1S16,known,Ann-511,511.000,512.079,507.110,-4.970,2.916,0.1468,7.40,168,192,0,share
G1S16_Y88_P5,G1S16,known,Y-88,898.042,897.851,896.842,-1.008,1.069,0.8966,82.98,291,325,0,share
G1S16_Y88_P5,G1S16,known,Y-88,1836.063,1835.967,1842.127,6.161,1.721,0.9779,63.12,590,644,0,share
G1S24_Cs137_P25,G1S24,known,Cs-137,32.193,32.779,33.257,0.478,0.152,0.7518,176.53,10,16,0,share
G1S24_Cs137_P25,G1S24,known,Cs-137,661.657,662.047,663.392,1.345,0.941,0.9821,553.49,213,245,0,share
G1S24_Na22_P25,G1S24,known,Ann-511,511.000,512.072,504.780,-7.291,0.793,0.9068,1104.36,169,195,0,share
G1S24_Na22_P25,G1S24,known,Na-22,1274.537,1273.964,1264.057,-9.908,1.394,0.9878,530.92,413,459,0,share
G1S24_Th228_P25,G1S24,known,Th-228,39.857,40.065,35.452,-4.613,0.548,0.0942,15.61,13,19,0,share
G1S24_Th228_P25,G1S24,known,Th-228,77.108,76.397,78.593,2.196,0.247,0.6140,323.16,25,33,0,share
G1S24_Th228_P25,G1S24,known,Th-228,115.183,116.025,199.155,83.130,68.982,0.0394,1.23,37,49,0,z
G1S24_Th228_P25,G1S24,known,Th-228,166.410,165.884,175.961,10.077,1.728,0.0058,9.95,53,67,0,share
G1S24_Th228_P25,G1S24,known,Th-228,238.632,238.239,240.529,2.290,0.494,0.7613,439.92,77,95,0,share
G1S24_Th228_P25,G1S24,known,Th-228,300.087,298.397,299.511,1.114,0.654,0.2088,55.76,95,115,0,share
G1S24_Th228_P25,G1S24,known,Th-228,510.770,509.845,510.769,0.924,0.815,0.5005,116.80,165,191,0,share
G1S24_Th228_P25,G1S24,known,Th-228,583.187,583.923,583.344,-0.580,0.871,0.8278,261.02,188,218,0,share
G1S24_Th228_P25,G1S24,known,Th-228,727.330,728.186,727.912,-0.273,1.039,0.6199,91.09,235,269,0,share
G1S24_Th228_P25,G1S24,known,Th-228,860.557,859.957,858.954,-1.003,1.205,0.5591,60.51,277,313,0,share
G1S24_Th228_P25,G1S24,known,Th-228,1078.620,1077.928,1077.936,0.008,3.260,0.1428,12.39,346,388,0,share
G1S24_Th228_P25,G1S24,known,Th-228,1620.500,1619.721,1608.127,-11.594,3.482,0.1307,14.67,519,573,0,share
G1S24_Th228_P25,G1S24,known,Th-228,1806.000,1806.339,1834.432,28.094,18.892,0.0092,3.01,581,639,0,z
G1S24_Th228_P25,G1S24,known,Th-228,2614.511,2614.159,2614.363,0.203,2.227,0.9601,153.16,841,913,0,share
G1S24_Y88_P25,G1S24,known,Ann-511,511.000,512.058,511.888,-0.170,1.408,0.1207,19.34,166,192,0,share
G1S24_Y88_P25,G1S24,known,Y-88,898.042,897.867,898.856,0.989,1.138,0.8768,250.95,288,326,0,share
G1S24_Y88_P25,G1S24,known,Y-88,1836.063,1836.114,1835.525,-0.589,1.738,0.9771,194.16,590,648,0,share
G1S24_Am241_P5,G1S24,known,Am-241,26.345,26.027,16.839,-9.188,0.153,0.2022,292.70,11,17,0,share
G1S24_Am241_P5,G1S24,known,Am-241,59.541,59.998,56.469,-3.529,0.219,0.9411,1641.96,21,29,0,share
G1S24_Ba133_P5,G1S24,known,Ba-133,30.973,29.993,27.095,-2.897,0.141,0.7873,1352.91,10,16,0,share
G1S24_Ba133_P5,G1S24,known,Ba-133,53.162,54.034,57.228,3.194,0.208,0.1494,110.92,18,26,0,share
G1S24_Ba133_P5,G1S24,known,Ba-133,80.998,80.029,81.995,1.966,0.247,0.8172,1077.98,27,35,0,share
G1S24_Ba133_P5,G1S24,known,Ba-133,160.612,159.973,157.309,-2.663,0.386,0.0343,135.97,52,66,0,share
G1S24_Ba133_P5,G1S24,known,Ba-133,302.851,301.893,300.616,-1.277,0.566,0.4758,411.78,98,118,0,share
G1S24_Ba133_P5,G1S24,known,Ba-133,356.013,356.011,356.614,0.603,0.630,0.7527,1002.68,116,138,0,share
G1S24_Bi207_P5,G1S24,known,Bi-207,74.970,73.224,79.150,5.925,0.231,0.7627,1488.02,22,30,0,share
G1S24_Bi207_P5,G1S24,known,Bi-207,569.698,569.915,569.628,-0.287,0.864,0.8538,1392.84,184,214,0,share
G1S24_Bi207_P5,G1S24,known,Bi-207,1063.656,1064.120,1058.729,-5.392,1.281,0.9385,920.73,345,387,0,share
G1S24_Bi207_P5,G1S24,known,Bi-207,1460.000,1459.859,1386.368,-73.491,6.471,0.2423,12.22,472,524,0,share
G1S24_Bi207_P5,G1S24,known,Bi-207,1770.228,1769.957,1752.797,-17.160,1.732,0.8685,212.69,574,632,0,share
G1S24_Cd109_P5,G1S24,known,Cd-109,22.163,21.944,19.894,-2.049,0.122,0.7751,154.21,8,12,0,share
G1S24_Cd109_P5,G1S24,known,Cd-109,88.034,87.947,90.345,2.398,0.264,0.6351,132.62,28,38,0,share
G1S24_Co60_P5,G1S24,known,Ann-511,511.000,512.120,512.260,0.139,3.442,0.0164,7.29,165,193,0,share
G1S24_Co60_P5,G1S24,known,Co-60,1173.228,1173.971,1171.654,-2.317,1.360,0.8746,759.35,378,424,0,share
G1S24_Co60_P5,G1S24,known,Co-60,1332.492,1332.020,1328.920,-3.100,1.466,0.9625,751.77,429,479,0,share
G1S24_Cs137_P5,G1S24,known,Cs-137,32.193,32.025,32.219,0.194,0.144,0.6527,413.65,10,16,0,share
G1S24_Cs137_P5,G1S24,known,Cs-137,661.657,662.002,659.303,-2.699,0.946,0.9861,1353.00,216,248,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,40.117,39.970,39.026,-0.944,0.162,0.7134,2397.70,13,19,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,121.782,121.923,124.631,2.707,0.317,0.7916,2238.63,39,51,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,244.697,243.956,243.936,-0.020,0.494,0.4013,776.75,79,97,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,344.279,344.059,345.596,1.537,0.618,0.7810,1684.56,112,134,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,443.961,443.300,442.830,-0.471,0.729,0.2027,217.21,143,167,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,563.986,574.127,575.143,1.016,0.933,0.0786,67.38,187,215,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,688.670,684.085,688.920,4.835,0.998,0.0940,106.77,221,253,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,778.905,777.891,779.378,1.488,1.046,0.4844,597.43,252,286,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,867.380,867.917,865.911,-2.006,1.136,0.2077,180.85,280,318,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,964.057,963.942,965.544,1.603,1.199,0.5489,600.56,311,351,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,1112.076,1099.805,1101.836,2.031,1.301,0.6872,836.50,354,398,0,share
G1S24_Eu152_P5,G1S24,known,Eu-152,1408.013,1408.150,1411.356,3.206,1.512,0.8746,748.61,454,504,0,share
G1S24_Na22_P5,G1S24,known,Ann-511,511.000,511.880,516.366,4.486,0.841,0.9511,2969.56,163,193,0,share
G1S24_Na22_P5,G1S24,known,Na-22,1274.537,1274.133,1257.525,-16.608,1.435,0.9187,1222.09,417,467,0,share
G1S24_Th228_P5,G1S24,known,Th-228,39.857,40.851,,,,0.0819,-75.48,17,23,0,z
G1S24_Th228_P5,G1S24,known,Th-228,77.108,76.583,72.363,-4.220,0.245,0.6854,2018.85,29,37,0,share
G1S24_Th228_P5,G1S24,known,Th-228,115.183,115.894,118.219,2.325,0.308,0.0686,481.17,41,51,0,share
G1S24_Th228_P5,G1S24,known,Th-228,166.410,164.169,,,,0.0071,-150.90,56,70,0,z
G1S24_Th228_P5,G1S24,known,Th-228,238.632,238.037,235.072,-2.965,0.478,0.7875,2380.52,80,96,0,share
G1S24_Th228_P5,G1S24,known,Th-228,300.087,297.940,296.466,-1.474,0.549,0.2574,348.00,98,116,0,share
G1S24_Th228_P5,G1S24,known,Th-228,510.770,509.992,509.960,-0.032,0.786,0.4534,523.37,167,193,0,share
G1S24_Th228_P5,G1S24,known,Th-228,583.187,584.135,585.344,1.209,0.859,0.7886,1215.62,191,219,0,share
G1S24_Th228_P5,G1S24,known,Th-228,727.330,727.964,730.982,3.019,0.992,0.5754,471.39,236,268,0,share
G1S24_Th228_P5,G1S24,known,Th-228,860.557,860.199,866.032,5.833,1.110,0.4574,305.67,278,314,0,share
G1S24_Th228_P5,G1S24,known,Th-228,1078.620,1078.123,1105.026,26.903,1.508,0.1040,54.36,346,388,0,share
G1S24_Th228_P5,G1S24,known,Th-228,1620.500,1619.707,1646.489,26.782,1.759,0.1138,81.03,516,570,0,share
G1S24_Th228_P5,G1S24,known,Th-228,1806.000,1814.448,,,,0.0074,-2.71,579,637,0,z
G1S24_Th228_P5,G1S24,known,Th-228,2614.511,2614.099,2637.636,23.537,2.183,0.8561,647.53,839,913,0,share
G1S24_Y88_P5,G1S24,known,Ann-511,511.000,511.912,495.755,-16.157,1.029,0.0785,39.54,170,196,0,share
G1S24_Y88_P5,G1S24,known,Y-88,898.042,897.992,895.209,-2.784,1.132,0.8682,732.12,292,330,0,share
G1S24_Y88_P5,G1S24,known,Y-88,1836.063,1836.012,1842.965,6.954,1.767,0.9586,554.60,591,649,0,share
G1S24_Zn65_P5,G1S24,known,Ann-511,511.000,511.832,514.788,2.955,1.322,0.4609,19.87,166,192,0,share
G1S24_Zn65_P5,G1S24,known,Zn-65,1115.539,1115.858,1116.527,0.669,1.353,0.9855,83.18,358,402,0,share
