detector,energy_kev,gadras_intrinsic_pct,ours_intrinsic_pct,ratio,rel_err
NaI 1x1,30,73.108,68.479687526660484,0.93669212024211412,5.0709255344928019
NaI 1x1,40,69.499,70.299460707133647,1.0115175859671888,5.5362809285666232
NaI 1x1,50,77.432,80.498367222870755,1.039600775168803,5.2395785637962575
NaI 1x1,60,82.523,83.6243229142812,1.0133456480530421,5.1865565654961392
NaI 1x1,80,88.178,87.401138722696629,0.991189851467448,5.096196917644999
NaI 1x1,100,90.549,89.947484277326026,0.99335701418376809,5.0210823142741088
NaI 1x1,150,89.088,79.148143170775228,0.888426535232301,5.5065942874086637
NaI 1x1,200,77.729,74.329488972876121,0.95626457271901244,5.7535596178877242
NaI 1x1,300,47.865,37.667326358401986,0.7869492605954661,8.68735204024686
NaI 1x1,400,30.018,33.267468839779788,1.1082506775861078,9.3320618644433946
NaI 1x1,500,20.54,19.425647611228058,0.94574720599941864,12.516655570390405
NaI 1x1,600,15.149,15.569709562437684,1.0277714411801231,14.083086782896647
NaI 1x1,662,12.926941271082844,12.987842968191075,1.0047112225414425,15.491933384883289
NaI 1x1,800,9.6053729635873673,10.083952345231262,1.04982413316569,17.679950372179928
NaI 1x1,1000,6.8547,6.8451587113351184,0.99860806619328613,21.591444513789963
NaI 1x1,1200,5.2842,5.5501757407054946,1.0503341547832206,24.046523534999359
NaI 1x1,1500,3.8488,4.5789573404189206,1.1897103877621389,26.538381907879089
NaI 1x1,2000,2.4514,1.63868263423929,0.66846807303552658,44.609416046448523
NaI 1x1,2614,1.393428886650411,2.626088849447068,1.8846235172860397,35.213633723364993
NaI 1x1,3000,1.1138,0.98551572942747645,0.88482288510278018,57.648359329103727
NaI 25%,30,45.246,46.950237236480156,1.0376660309525738,3.8891680604637089
NaI 25%,40,54.247,57.335286995531717,1.0569300974345441,4.4255845755338381
NaI 25%,50,65.592,67.273072755805174,1.0256292345988105,4.3094580376140019
NaI 25%,60,72.516,75.280385750447863,1.0381210457064352,4.1175451304657713
NaI 25%,80,80.021,82.23541769372909,1.0276729570203957,3.971548297355993
NaI 25%,100,83.614,84.091676691160018,1.0057128793163825,3.9548736569554208
NaI 25%,150,86.235,89.116176898752585,1.0334107601177316,3.8249891336996051
NaI 25%,200,84.271,85.053200472185424,1.0092819649960891,4.0052049470016673
NaI 25%,300,70.224,64.515607379757824,0.9187116566951159,4.9721446301485246
NaI 25%,400,54.566,52.815730989247825,0.96792381683187012,5.7214545996504462
NaI 25%,500,43.109,39.720567851823212,0.92139849803575147,6.8660656233186232
NaI 25%,600,35.127,34.42359329253204,0.979975326459192,7.4983441881357207
NaI 25%,662,31.447393450066759,28.33489339095583,0.90102518149705912,8.4050675958787018
NaI 25%,800,25.677555574343394,29.373715474955681,1.1439451621440724,8.2537870096576054
NaI 25%,1000,20.393,20.752942628031338,1.0176503029486264,10.055402086036194
NaI 25%,1200,17.074,15.507068256052648,0.90822702682749479,11.800581822270312
NaI 25%,1500,13.766,14.642589392551114,1.0636778579508293,12.19549747779684
NaI 25%,2000,10.367,11.67655118332805,1.1263192035620766,13.784048752117625
NaI 25%,2614,7.9003098997537542,7.26652389128798,0.91977706994942954,17.679950372169355
NaI 25%,3000,7.1415,5.16585152384437,0.72335665110192116,21.084246596601748
NaI 2x2,30,73.118,70.037004295477459,0.95786269175138083,2.5605400855010854
NaI 2x2,40,69.51,64.481946177497264,0.92766430984746451,3.3245531895378475
NaI 2x2,50,77.466,74.95315885164878,0.96756201238799977,3.02001118474245
NaI 2x2,60,82.593,78.935383778554083,0.95571517899282121,2.9304207204116768
NaI 2x2,80,88.376,84.180363525946817,0.95252515983917363,2.786035145435191
NaI 2x2,100,91.049,83.00248857237024,0.91162438436852944,2.8546141918873036
NaI 2x2,150,91.779,80.005730725969016,0.8717215346208721,2.9958860556404727
NaI 2x2,200,87.712,70.109323791499733,0.79931279404756173,3.426241598359661
NaI 2x2,300,70.679,57.588864039152867,0.814794550561735,4.0737876279166185
NaI 2x2,400,53.967,45.792687292830834,0.84853127453500909,4.8535603331172625
NaI 2x2,500,42.198,34.197171141552168,0.81039791320802335,5.9198856336328589
NaI 2x2,600,34.142,27.007983999797251,0.79104867904039744,6.8660656939582276
NaI 2x2,662,30.460874520929913,25.799214140797535,0.846962358978587,7.0625944706812174
NaI 2x2,800,24.725527623415939,18.108657804839492,0.7323871134579939,8.68735208711243
NaI 2x2,1000,19.513,13.958829316784126,0.71536049386481448,10.055402134068432
NaI 2x2,1200,16.263,12.738316905161689,0.78326980908575827,10.580700376849219
NaI 2x2,1500,13.048,10.115757011730613,0.77527260972797463,11.993588067150633
NaI 2x2,2000,9.7772,6.39400155623307,0.65397062106053572,15.293869356072291
NaI 2x2,2614,7.4228388981009843,6.4042626621701784,0.86277807589339,15.293869350815548
NaI 2x2,3000,6.7014,3.2827526287546158,0.48986071996218938,21.5914445251388
NaI 30%,30,37.075,39.101339981742427,1.054655157970126,1.291747540038034
NaI 30%,40,50.451,50.635418448021269,1.003655397276987,2.2193181845655734
NaI 30%,50,63.829,65.260711916271987,1.0224304299968978,1.9475891435522548
NaI 30%,60,71.975,74.390530658404643,1.033560689939627,1.7478072829172897
NaI 30%,80,80.617,83.422884638704673,1.0348051234690532,1.5365348795416678
NaI 30%,100,84.599,86.475194523518581,1.0221775023761341,1.4815943960192282
NaI 30%,150,86.971,83.971602052414113,0.96551266574391592,1.6794382461311721
NaI 30%,200,80.26,81.359113646090918,1.0136944137315089,1.8306105123997722
