
=== HPGe 10%: HPGe, D 4,90 см, H 2,20 см, окно 1,10 г/см2 (Z 13), расстояние 100,5 см, Ω/4π 1,485E-004
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
       200   75,463   73,744      0,977    6,77
       300   62,240   55,695      0,895    8,11
       400   47,816   54,042      1,130    8,33
       500   37,525   38,208      1,018   10,18
       600   30,552   29,374      0,961   11,80
       662   27,366   21,593      0,789   13,93
       800   22,191   18,237      0,822   15,29
      1000   17,440   13,936      0,799   17,68
      1200   14,413   16,318      1,132   16,36
      1500   11,485    7,777      0,677   24,05
      2000    8,555    5,086      0,595   29,98
      2614    6,358    6,063      0,954   27,55
      3000    5,676    4,682      0,825   31,46

=== NaI 1x1: NaI, D 1,70 см, H 2,54 см, окно 0,30 г/см2 (Z 13), расстояние 28,5 см, Ω/4π 2,222E-004
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   73,108   68,480      0,937    5,07
        40   69,499   70,299      1,012    5,54
        50   77,432   80,498      1,040    5,24
        60   82,523   83,624      1,013    5,19
        80   88,178   87,401      0,991    5,10
       100   90,549   89,947      0,993    5,02
       150   89,088   79,148      0,888    5,51
       200   77,729   74,329      0,956    5,75
       300   47,865   37,667      0,787    8,69
       400   30,018   33,267      1,108    9,33
       500   20,540   19,426      0,946   12,52
       600   15,149   15,570      1,028   14,08
       662   12,927   12,988      1,005   15,49
       800    9,605   10,084      1,050   17,68
      1000    6,855    6,845      0,999   21,59
      1200    5,284    5,550      1,050   24,05
      1500    3,849    4,579      1,190   26,54
      2000    2,451    1,639      0,668   44,61
      2614    1,393    2,626      1,885   35,21
      3000    1,114    0,986      0,885   57,65

=== NaI 25%: NaI, D 4,45 см, H 5,00 см, окно 0,70 г/см2 (Z 13), расстояние 100,5 см, Ω/4π 1,225E-004
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   45,246   46,950      1,038    3,89
        40   54,247   57,335      1,057    4,43
        50   65,592   67,273      1,026    4,31
        60   72,516   75,280      1,038    4,12
        80   80,021   82,235      1,028    3,97
       100   83,614   84,092      1,006    3,95
       150   86,235   89,116      1,033    3,82
       200   84,271   85,053      1,009    4,01
       300   70,224   64,516      0,919    4,97
       400   54,566   52,816      0,968    5,72
       500   43,109   39,721      0,921    6,87
       600   35,127   34,424      0,980    7,50
       662   31,447   28,335      0,901    8,41
       800   25,678   29,374      1,144    8,25
      1000   20,393   20,753      1,018   10,06
      1200   17,074   15,507      0,908   11,80
      1500   13,766   14,643      1,064   12,20
      2000   10,367   11,677      1,126   13,78
      2614    7,900    7,267      0,920   17,68
      3000    7,142    5,166      0,723   21,08

=== NaI 2x2: NaI, D 4,50 см, H 5,08 см, окно 0,30 г/см2 (Z 13), расстояние 10,0 см, Ω/4π 1,220E-002
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   73,118   70,037      0,958    2,56
        40   69,510   64,482      0,928    3,32
        50   77,466   74,953      0,968    3,02
        60   82,593   78,935      0,956    2,93
        80   88,376   84,180      0,953    2,79
       100   91,049   83,002      0,912    2,85
       150   91,779   80,006      0,872    3,00
       200   87,712   70,109      0,799    3,43
       300   70,679   57,589      0,815    4,07
       400   53,967   45,793      0,849    4,85
       500   42,198   34,197      0,810    5,92
       600   34,142   27,008      0,791    6,87
       662   30,461   25,799      0,847    7,06
       800   24,726   18,109      0,732    8,69
      1000   19,513   13,959      0,715   10,06
      1200   16,263   12,738      0,783   10,58
      1500   13,048   10,116      0,775   11,99
      2000    9,777    6,394      0,654   15,29
      2614    7,423    6,404      0,863   15,29
      3000    6,701    3,283      0,490   21,59

=== NaI 30%: NaI, D 6,66 см, H 2,54 см, окно 0,60 г/см2 (Z 15), расстояние 100,1 см, Ω/4π 2,764E-004
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   37,075   39,101      1,055    1,29
        40   50,451   50,635      1,004    2,22
        50   63,829   65,261      1,022    1,95
        60   71,975   74,391      1,034    1,75
        80   80,617   83,423      1,035    1,54
       100   84,599   86,475      1,022    1,48
       150   86,971   83,972      0,966    1,68
       200   80,260   81,359      1,014    1,83
       300   55,755   55,642      0,998    3,12
       400   38,539   37,009      0,960    4,46
       500   28,370   31,416      1,107    5,03
       600   22,015   23,067      1,048    6,19
       662   19,238   21,439      1,114    6,49
       800   15,135   15,690      1,037    7,84
      1000   11,592   11,816      1,019    9,23
      1200    9,474    9,596      1,013   10,38
      1500    7,463    6,912      0,926   12,41
      2000    5,410    4,778      0,883   15,10
      2614    3,985    3,310      0,831   18,30
      3000    3,438    3,657      1,064   17,39

=== NaI 3x3: NaI, D 6,35 см, H 7,60 см, окно 0,50 г/см2 (Z 13), расстояние 122,3 см, Ω/4π 1,684E-004
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   69,886   55,367      0,792    4,03
        40   67,184   63,481      0,945    4,44
        50   75,197   74,557      0,991    4,20
        60   80,363   80,068      0,996    4,09
        80   86,283   85,912      0,996    3,96
       100   89,241   84,066      0,942    4,07
       150   91,630   93,975      1,026    3,75
       200   90,554   87,063      0,961    4,02
       300   81,306   76,051      0,935    4,50
       400   68,287   65,605      0,961    5,02
       500   56,489   55,431      0,981    5,64
       600   47,015   45,600      0,970    6,40
       662   42,278   44,745      1,058    6,49
       800   35,644   33,661      0,944    7,71
      1000   29,672   30,493      1,028    8,18
      1200   26,042   28,928      1,111    8,44
      1500   22,025   17,928      0,814   11,03
      2000   17,289   14,438      0,835   12,41
      2614   13,868   14,240      1,027   12,52
      3000   12,919   12,832      0,993   13,24

=== NaI 5%: NaI, D 2,60 см, H 3,00 см, окно 2,00 г/см2 (Z 13), расстояние 100,0 см, Ω/4π 4,224E-005
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   11,956   12,294      1,028    5,51
        40   28,005   29,247      1,044    6,15
        50   42,806   45,194      1,056    5,85
        60   52,468   55,096      1,050    5,69
        80   62,946   61,076      0,970    5,77
       100   67,870   61,371      0,904    5,94
       150   71,341   69,253      0,971    5,67
       200   67,032   64,469      0,962    6,04
       300   47,411   47,075      0,993    7,47
       400   32,473   30,696      0,945    9,65
       500   23,688   24,116      1,018   11,11
       600   18,327   17,908      0,977   13,11
       662   16,025   16,062      1,002   13,93
       800   12,457   12,277      0,986   16,13
      1000    9,353    9,755      1,043   18,30
      1200    7,492    6,460      0,862   22,72
      1500    5,724    7,226      1,262   21,59
      2000    3,971    1,744      0,439   44,61
      2614    2,654    3,173      1,195   33,18
      3000    2,262    1,063      0,470   57,65

записано C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\handover\f72-a263\runs\gad.csv
