arm;node_kev;bin;dep_kev;compton
node_1504.3;1504.2525628024082;260;520.0;0.00010110287985298783
node_1504.3;1504.2525628024082;261;522.0;9.8431133665144444E-05
node_1504.3;1504.2525628024082;262;524.0;8.1734855484683067E-05
node_1504.3;1504.2525628024082;263;526.0;8.7055464973673224E-05
node_1504.3;1504.2525628024082;264;528.0;0.00010394536366220564
node_1504.3;1504.2525628024082;265;530.0;7.6999174780212343E-05
node_1504.3;1504.2525628024082;266;532.0;8.2830258179456E-05
node_1504.3;1504.2525628024082;267;534.0;0.0001025030724122189
node_1504.3;1504.2525628024082;268;536.0;7.431767153320834E-05
node_1504.3;1504.2525628024082;269;538.0;0.00010161889804294333
node_1504.3;1504.2525628024082;270;540.0;8.4730098024010658E-05
node_1504.3;1504.2525628024082;271;542.0;7.5421325163915753E-05
node_1504.3;1504.2525628024082;272;544.0;9.36237265705131E-05
node_1504.3;1504.2525628024082;273;546.0;8.3446218923199922E-05
node_1504.3;1504.2525628024082;274;548.0;8.73128228704445E-05
node_1504.3;1504.2525628024082;275;550.0;0.00011773900769185275
node_1504.3;1504.2525628024082;276;552.0;7.0123569457791746E-05
node_1504.3;1504.2525628024082;277;554.0;9.3942304374650121E-05
node_1504.3;1504.2525628024082;278;556.0;9.30576934479177E-05
node_1504.3;1504.2525628024082;279;558.0;9.2742120614275336E-05
node_1504.3;1504.2525628024082;280;560.0;9.1225607320666313E-05
node_1504.3;1504.2525628024082;281;562.0;9.7105672466568649E-05
node_1504.3;1504.2525628024082;282;564.0;6.325993308564648E-05
node_1504.3;1504.2525628024082;283;566.0;8.9119690528605133E-05
node_1504.3;1504.2525628024082;284;568.0;0.00010659810504876077
node_1504.3;1504.2525628024082;285;570.0;8.3449871453922242E-05
node_1504.3;1504.2525628024082;286;572.0;8.6149739217944443E-05
node_1504.3;1504.2525628024082;287;574.0;8.8661072368267924E-05
node_1504.3;1504.2525628024082;288;576.0;9.3099006335251033E-05
node_1504.3;1504.2525628024082;289;578.0;8.6267886217683554E-05
node_1504.3;1504.2525628024082;290;580.0;9.9201977718621492E-05
node_1504.3;1504.2525628024082;291;582.0;8.2095182733610272E-05
node_1504.3;1504.2525628024082;292;584.0;7.6357464422471821E-05
node_1504.3;1504.2525628024082;293;586.0;9.4004521088209E-05
node_1504.3;1504.2525628024082;294;588.0;9.9711782240774482E-05
node_1504.3;1504.2525628024082;295;590.0;8.1021491496358067E-05
node_1504.3;1504.2525628024082;296;592.0;0.00010266840399708599
image_1460.8;1460.8;216;432.0;0.0001024915435863079
image_1460.8;1460.8;217;434.0;0.00010630309697356662
image_1460.8;1460.8;218;436.0;0.00011459661041563849
image_1460.8;1460.8;219;438.0;0.00010676824373898633
image_1460.8;1460.8;220;440.0;0.00011300675165862444
image_1460.8;1460.8;221;442.0;9.1346379748310708E-05
image_1460.8;1460.8;222;444.0;0.00010574226386923341
image_1460.8;1460.8;223;446.0;0.00010717577728127685
image_1460.8;1460.8;224;448.0;9.4064491737118051E-05
image_1460.8;1460.8;225;450.0;9.8301106047500662E-05
image_1460.8;1460.8;226;452.0;0.00011741157112253951
image_1460.8;1460.8;227;454.0;9.4142640444285435E-05
image_1460.8;1460.8;228;456.0;0.00010364605020929155
image_1460.8;1460.8;229;458.0;9.7888028051340312E-05
image_1460.8;1460.8;230;460.0;0.00011554213874710973
image_1460.8;1460.8;231;462.0;7.4554706627606585E-05
image_1460.8;1460.8;232;464.0;0.00011068091786405819
image_1460.8;1460.8;233;466.0;9.955626180060651E-05
