ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,K-40,Th-228,Rn-220,Th-232
1770,642.657,2093.055,2001.149,820.245,0.000,2093.055,0.000,0.039,1.096,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1771,643.028,2022.851,1995.588,820.020,0.000,2022.851,0.000,0.039,1.096,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1772,643.399,1961.433,1990.387,819.796,0.000,1961.433,0.000,0.039,1.097,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1773,643.770,2166.519,1985.532,819.571,0.000,2166.519,0.000,0.039,1.098,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1774,644.141,1975.931,1981.010,819.346,0.000,1975.931,0.000,0.039,1.099,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1775,644.513,2009.486,1976.810,819.121,0.000,2009.486,0.000,0.039,1.100,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1776,644.884,1956.686,1972.919,818.897,0.000,1956.686,0.000,0.039,1.101,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1777,645.255,2034.078,1969.325,818.672,0.000,2034.078,0.000,0.039,1.102,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1778,645.626,2045.742,1966.018,818.447,0.000,2045.742,0.000,0.039,1.104,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1779,645.998,1962.316,1962.986,818.223,0.000,1962.316,0.000,0.038,1.105,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1780,646.369,2033.510,1960.219,817.998,0.000,2033.510,0.000,0.038,1.107,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1781,646.740,1960.901,1957.707,817.773,0.000,1960.901,0.000,0.038,1.109,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1782,647.111,2038.994,1955.441,817.548,0.000,2038.994,0.000,0.038,1.111,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1783,647.483,1924.251,1953.410,817.324,0.000,1924.251,0.000,0.038,1.113,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1784,647.854,1944.315,1951.607,817.099,0.000,1944.315,0.000,0.038,1.116,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1785,648.225,2049.438,1950.021,816.874,0.000,2049.438,0.000,0.038,1.118,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1786,648.597,2074.695,1948.646,816.649,0.000,2074.695,0.000,0.038,1.121,0.000,0.010,0.000,0.009,0.000,0.000,0.000
1787,648.968,1919.176,1947.472,816.425,0.000,1919.176,0.000,0.037,1.123,0.000,0.009,0.000,0.009,0.000,0.000,0.000
1788,649.340,2005.904,1946.492,816.200,0.000,2005.904,0.000,0.037,1.126,0.000,0.009,0.000,0.009,0.000,0.000,0.000
1789,649.711,1974.617,1945.699,815.975,0.000,1974.617,0.000,0.037,1.129,0.000,0.009,0.000,0.009,0.000,0.000,0.000
1790,650.082,2091.861,1945.086,815.750,0.000,2091.861,0.000,0.037,1.132,0.000,0.009,0.000,0.009,0.000,0.000,0.000
1791,650.454,1932.622,1944.645,815.526,0.000,1932.622,0.000,0.037,1.135,0.000,0.009,0.000,0.009,0.000,0.000,0.000
1792,650.825,1961.587,1944.371,815.301,0.000,1961.587,0.000,0.037,1.138,0.000,0.009,0.000,0.009,0.000,0.000,0.000
1793,651.197,2103.679,1944.256,815.076,0.000,2103.679,0.000,0.037,1.142,0.000,0.009,0.000,0.009,0.000,0.000,0.000
1794,651.568,1963.887,1944.296,814.851,0.000,1963.887,0.000,0.036,1.145,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1795,651.940,1893.147,1944.483,814.627,0.000,1893.147,0.000,0.036,1.149,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1796,652.311,2096.786,1944.812,814.402,0.000,2096.786,0.000,0.036,1.152,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1797,652.683,2056.236,1945.279,814.177,0.000,2056.236,0.000,0.036,1.156,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1798,653.054,1949.271,1945.877,813.952,0.000,1949.271,0.000,0.036,1.160,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1799,653.426,1897.394,1946.602,813.728,0.000,1897.394,0.000,0.035,1.164,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1800,653.797,1963.335,1947.449,813.503,0.000,1963.335,0.000,0.035,1.168,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1801,654.169,1929.822,1948.413,813.278,0.000,1929.822,0.000,0.035,1.172,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1802,654.541,1854.555,1949.490,813.054,0.000,1854.555,0.000,0.035,1.176,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1803,654.912,1970.373,1950.676,812.829,0.000,1970.373,0.000,0.035,1.181,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1804,655.284,1976.142,1951.966,812.604,0.000,1976.142,0.000,0.035,1.185,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1805,655.655,1928.091,1953.356,812.379,0.000,1928.091,0.000,0.034,1.190,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1806,656.027,2027.209,1954.843,812.155,0.000,2027.209,0.000,0.034,1.194,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1807,656.399,2056.379,1956.422,811.930,0.000,2056.379,0.000,0.034,1.199,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1808,656.770,1918.593,1958.090,811.705,0.000,1918.593,0.000,0.034,1.203,0.000,0.009,0.000,0.008,0.000,0.000,0.000
1809,657.142,2053.957,1959.844,811.480,0.000,2053.957,0.000,0.034,1.208,0.000,0.008,0.000,0.008,0.000,0.000,0.000
1810,657.514,2039.581,1961.680,811.256,0.000,2039.581,0.000,0.033,1.213,0.000,0.008,0.000,0.008,0.000,0.000,0.000
1811,657.886,1937.830,1963.594,811.031,0.000,1937.830,0.000,0.033,1.218,0.000,0.008,0.000,0.008,0.000,0.000,0.000
1812,658.257,1957.902,1965.583,810.806,0.000,1957.902,0.000,0.033,1.223,0.000,0.008,0.000,0.008,0.000,0.000,0.000
1813,658.629,1956.583,1967.644,810.581,0.000,1956.583,0.000,0.033,1.228,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1814,659.001,1913.915,1969.774,810.357,0.000,1913.915,0.000,0.033,1.233,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1815,659.373,2002.232,1971.970,810.132,0.000,2002.232,0.000,0.032,1.238,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1816,659.745,2028.951,1974.228,809.907,0.000,2028.951,0.000,0.032,1.243,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1817,660.116,2016.630,1976.546,809.682,0.000,2016.630,0.000,0.032,1.248,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1818,660.488,1957.912,1978.920,809.458,0.000,1957.912,0.000,0.032,1.253,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1819,660.860,1955.733,1981.348,809.233,0.000,1955.733,0.000,0.032,1.258,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1820,661.232,1983.808,1983.826,809.008,0.000,1983.808,0.000,0.032,1.264,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1821,661.604,1922.233,1986.353,808.783,0.000,1922.233,0.000,0.031,1.269,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1822,661.976,1981.087,1988.924,808.559,0.000,1981.087,0.000,0.031,1.274,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1823,662.348,1971.537,1991.538,808.334,0.000,1971.537,0.000,0.031,1.280,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1824,662.720,2005.377,1994.191,808.109,0.000,2005.377,0.000,0.031,1.285,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1825,663.092,2000.296,1996.880,807.884,0.000,2000.296,0.000,0.031,1.290,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1826,663.464,2011.553,1999.603,807.660,0.000,2011.553,0.000,0.030,1.296,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1827,663.836,2021.583,2002.357,807.435,0.000,2021.583,0.000,0.030,1.301,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1828,664.208,1993.782,2005.139,807.210,0.000,1993.782,0.000,0.030,1.307,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1829,664.580,1930.955,2007.947,806.986,0.000,1930.955,0.000,0.030,1.312,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1830,664.952,2000.419,2010.777,806.761,0.000,2000.419,0.000,0.030,1.318,0.000,0.008,0.000,0.007,0.000,0.000,0.000
1831,665.324,1931.613,2013.627,806.536,0.000,1931.613,0.000,0.030,1.323,0.000,0.008,0.000,0.006,0.000,0.000,0.000
1832,665.696,1934.516,2016.494,806.311,0.000,1934.516,0.000,0.029,1.329,0.000,0.008,0.000,0.006,0.000,0.000,0.000
1833,666.068,1934.934,2019.375,806.087,0.000,1934.934,0.000,0.029,1.334,0.000,0.008,0.000,0.006,0.000,0.000,0.000
1834,666.440,1964.769,2022.268,805.862,0.000,1964.769,0.000,0.029,1.340,0.000,0.008,0.000,0.006,0.000,0.000,0.000
1835,666.812,1919.153,2025.170,805.637,0.000,1919.153,0.000,0.029,1.345,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1836,667.184,1980.239,2028.077,805.412,0.000,1980.239,0.000,0.029,1.351,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1837,667.556,1962.526,2030.989,805.188,0.000,1962.526,0.000,0.029,1.356,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1838,667.929,2022.368,2033.900,804.963,0.000,2022.368,0.000,0.029,1.362,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1839,668.301,1913.895,2036.810,804.738,0.000,1913.895,0.000,0.029,1.367,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1840,668.673,2011.938,2039.715,804.513,0.000,2011.938,0.000,0.028,1.373,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1841,669.045,1998.773,2042.612,804.289,0.000,1998.773,0.000,0.028,1.378,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1842,669.417,2077.634,2045.499,804.064,0.000,2077.634,0.000,0.028,1.384,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1843,669.790,2063.026,2048.374,803.839,0.000,2063.026,0.000,0.028,1.389,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1844,670.162,1961.136,2051.232,803.614,0.000,1961.136,0.000,0.028,1.395,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1845,670.534,2026.911,2054.073,803.390,0.000,2026.911,0.000,0.028,1.400,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1846,670.907,1947.332,2056.893,803.165,0.000,1947.332,0.000,0.028,1.405,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1847,671.279,1999.110,2059.689,802.940,0.000,1999.110,0.000,0.028,1.411,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1848,671.651,1872.364,2062.460,802.715,0.000,1872.364,0.000,0.028,1.416,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1849,672.024,1858.134,2065.202,802.491,0.000,1858.134,0.000,0.028,1.422,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1850,672.396,1973.760,2067.913,802.266,0.000,1973.760,0.000,0.028,1.427,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1851,672.768,1976.126,2070.591,802.041,0.000,1976.126,0.000,0.027,1.432,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1852,673.141,1911.499,2073.233,801.817,0.000,1911.499,0.000,0.027,1.438,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1853,673.513,2019.468,2075.837,801.592,0.000,2019.468,0.000,0.027,1.443,0.000,0.007,0.000,0.006,0.000,0.000,0.000
1854,673.886,1983.784,2078.401,801.367,0.000,1983.784,0.000,0.027,1.448,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1855,674.258,1940.931,2080.922,801.142,0.000,1940.931,0.000,0.027,1.453,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1856,674.630,1965.831,2083.398,800.918,0.000,1965.831,0.000,0.027,1.459,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1857,675.003,2008.735,2085.828,800.693,0.000,2008.735,0.000,0.027,1.464,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1858,675.375,1989.036,2088.208,800.468,0.000,1989.036,0.000,0.027,1.469,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1859,675.748,2029.857,2090.538,800.243,0.000,2029.857,0.000,0.027,1.474,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1860,676.121,1965.473,2092.814,800.019,0.000,1965.473,0.000,0.027,1.479,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1861,676.493,1995.915,2095.037,799.794,0.000,1995.915,0.000,0.027,1.484,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1862,676.866,1919.044,2097.203,799.569,0.000,1919.044,0.000,0.027,1.490,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1863,677.238,1950.195,2099.311,799.344,0.000,1950.195,0.000,0.027,1.495,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1864,677.611,1986.262,2101.359,799.120,0.000,1986.262,0.000,0.027,1.500,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1865,677.983,2058.888,2103.347,798.895,0.000,2058.888,0.000,0.027,1.505,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1866,678.356,2029.590,2105.272,798.670,0.000,2029.590,0.000,0.027,1.509,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1867,678.729,2038.723,2107.134,798.445,0.000,2038.723,0.000,0.027,1.514,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1868,679.101,1924.265,2108.932,798.221,0.000,1924.265,0.000,0.028,1.519,0.000,0.007,0.000,0.005,0.000,0.000,0.000
1869,679.474,1943.458,2110.663,797.996,0.000,1943.458,0.000,0.028,1.524,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1870,679.847,1958.086,2112.329,797.771,0.000,1958.086,0.000,0.028,1.529,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1871,680.219,2045.452,2113.927,797.546,0.000,2045.452,0.000,0.028,1.534,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1872,680.592,1935.129,2115.457,797.322,0.000,1935.129,0.000,0.028,1.538,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1873,680.965,1929.001,2116.919,797.097,0.000,1929.001,0.000,0.028,1.543,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1874,681.338,1976.138,2118.312,796.872,0.000,1976.138,0.000,0.028,1.548,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1875,681.710,2003.019,2119.637,796.647,0.000,2003.019,0.000,0.028,1.552,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1876,682.083,1998.778,2120.892,796.423,0.000,1998.778,0.000,0.028,1.557,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1877,682.456,2031.714,2122.078,796.198,0.000,2031.714,0.000,0.028,1.561,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1878,682.829,1992.787,2123.195,795.973,0.000,1992.787,0.000,0.028,1.566,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1879,683.202,1992.184,2124.244,795.749,0.000,1992.184,0.000,0.029,1.570,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1880,683.575,2035.253,2125.224,795.524,0.000,2035.253,0.000,0.029,1.574,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1881,683.947,2044.874,2126.137,795.299,0.000,2044.874,0.000,0.029,1.579,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1882,684.320,2026.665,2126.983,795.074,0.000,2026.665,0.000,0.029,1.583,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1883,684.693,2135.701,2127.763,794.850,0.000,2135.701,0.000,0.029,1.587,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1884,685.066,2069.916,2128.479,794.625,0.000,2069.916,0.000,0.029,1.591,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1885,685.439,2018.263,2129.131,794.400,0.000,2018.263,0.000,0.030,1.595,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1886,685.812,1960.155,2129.720,794.175,0.000,1960.155,0.000,0.030,1.599,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1887,686.185,2006.282,2130.249,793.951,0.000,2006.282,0.000,0.030,1.603,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1888,686.558,1974.371,2130.718,793.726,0.000,1974.371,0.000,0.030,1.607,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1889,686.931,2147.937,2131.130,793.501,0.000,2147.937,0.000,0.030,1.611,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1890,687.304,2005.113,2131.487,793.276,0.000,2005.113,0.000,0.030,1.615,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1891,687.677,2061.686,2131.791,793.052,0.000,2061.686,0.000,0.031,1.618,0.000,0.008,0.000,0.005,0.000,0.000,0.000
1892,688.050,2076.321,2132.043,792.827,0.000,2076.321,0.000,0.031,1.622,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1893,688.423,2094.578,2132.246,792.602,0.000,2094.578,0.000,0.031,1.625,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1894,688.796,2149.014,2132.404,792.377,0.000,2149.014,0.000,0.031,1.629,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1895,689.170,2066.228,2132.517,792.153,0.000,2066.228,0.000,0.031,1.632,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1896,689.543,2056.691,2132.590,791.928,0.000,2056.691,0.000,0.032,1.636,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1897,689.916,2159.017,2132.625,791.703,0.000,2159.017,0.000,0.032,1.639,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1898,690.289,2189.187,2132.626,791.478,0.000,2189.187,0.000,0.032,1.642,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1899,690.662,2114.155,2132.594,791.254,0.000,2114.155,0.000,0.032,1.645,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1900,691.035,2120.011,2132.535,791.029,0.000,2120.011,0.000,0.032,1.648,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1901,691.409,2122.178,2132.450,790.804,0.000,2122.178,0.000,0.033,1.651,0.000,0.009,0.000,0.005,0.000,0.000,0.000
1902,691.782,2208.489,2132.344,790.580,0.000,2208.489,0.000,0.033,1.653,0.000,0.009,0.000,0.006,0.000,0.000,0.000
1903,692.155,2147.797,2132.220,790.355,0.000,2147.797,0.000,0.033,1.656,0.000,0.009,0.000,0.006,0.000,0.000,0.000
1904,692.528,2131.796,2132.082,790.130,0.000,2131.796,0.000,0.033,1.659,0.000,0.009,0.000,0.006,0.000,0.000,0.000
1905,692.902,2087.821,2131.934,789.905,0.000,2087.821,0.000,0.034,1.661,0.000,0.009,0.000,0.006,0.000,0.000,0.000
1906,693.275,2135.827,2131.780,789.681,0.000,2135.827,0.000,0.034,1.663,0.000,0.009,0.000,0.006,0.000,0.000,0.000
1907,693.648,2105.410,2131.624,789.456,0.000,2105.410,0.000,0.034,1.666,0.000,0.009,0.000,0.006,0.000,0.000,0.000
1908,694.022,2151.802,2131.470,789.231,0.000,2151.802,0.000,0.034,1.668,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1909,694.395,2168.521,2131.321,789.006,0.000,2168.521,0.000,0.035,1.670,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1910,694.768,2188.725,2131.183,788.782,0.000,2188.725,0.000,0.035,1.672,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1911,695.142,2146.351,2131.060,788.557,0.000,2146.351,0.000,0.035,1.673,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1912,695.515,2204.760,2130.956,788.332,0.000,2204.760,0.000,0.035,1.675,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1913,695.889,2266.668,2130.875,788.107,0.000,2266.668,0.000,0.035,1.676,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1914,696.262,2264.375,2130.822,787.883,0.000,2264.375,0.000,0.036,1.678,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1915,696.636,2289.948,2130.801,787.658,0.000,2289.948,0.000,0.036,1.679,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1916,697.009,2356.152,2130.818,787.433,0.000,2356.152,0.000,0.036,1.680,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1917,697.383,2181.208,2130.876,787.208,0.000,2181.208,0.000,0.036,1.681,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1918,697.756,2277.947,2130.980,786.984,0.000,2277.947,0.000,0.037,1.682,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1919,698.130,2302.048,2131.134,786.759,0.000,2302.048,0.000,0.037,1.682,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1920,698.503,2364.526,2131.344,786.534,0.000,2364.526,0.000,0.037,1.683,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1921,698.877,2355.604,2131.613,786.309,0.000,2355.604,0.000,0.037,1.683,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1922,699.250,2343.219,2131.947,786.085,0.000,2343.219,0.000,0.038,1.684,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1923,699.624,2340.719,2132.349,785.860,0.000,2340.719,0.000,0.038,1.684,0.000,0.010,0.000,0.006,0.000,0.000,0.000
1924,699.997,2385.706,2132.825,785.635,0.000,2385.706,0.000,0.038,1.684,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1925,700.371,2384.625,2133.378,785.411,0.000,2384.625,0.000,0.038,1.683,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1926,700.745,2344.886,2134.013,785.186,0.000,2344.886,0.000,0.038,1.683,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1927,701.118,2381.415,2134.734,784.961,0.000,2381.415,0.000,0.039,1.682,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1928,701.492,2441.510,2135.546,784.736,0.000,2441.510,0.000,0.039,1.682,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1929,701.866,2296.401,2136.452,784.512,0.000,2296.401,0.000,0.039,1.681,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1930,702.240,2394.798,2137.457,784.287,0.000,2394.798,0.000,0.039,1.680,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1931,702.613,2267.409,2138.564,784.062,0.000,2267.409,0.000,0.039,1.678,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1932,702.987,2394.235,2139.778,783.837,0.000,2394.235,0.000,0.040,1.677,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1933,703.361,2367.399,2141.103,783.613,0.000,2367.399,0.000,0.040,1.675,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1934,703.735,2450.147,2142.541,783.388,0.000,2450.147,0.000,0.040,1.674,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1935,704.108,2388.280,2144.096,783.163,0.000,2388.280,0.000,0.040,1.672,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1936,704.482,2417.624,2145.773,782.938,0.000,2417.624,0.000,0.040,1.670,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1937,704.856,2502.038,2147.573,782.714,0.000,2502.038,0.000,0.040,1.667,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1938,705.230,2461.744,2149.500,782.489,0.000,2461.744,0.000,0.041,1.665,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1939,705.604,2533.685,2151.557,782.264,0.000,2533.685,0.000,0.041,1.662,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1940,705.978,2454.887,2153.747,782.039,0.000,2454.887,0.000,0.041,1.660,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1941,706.352,2425.896,2156.072,781.815,0.000,2425.896,0.000,0.041,1.657,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1942,706.726,2508.233,2158.535,781.590,0.000,2508.233,0.000,0.041,1.653,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1943,707.100,2540.952,2161.138,781.365,0.000,2540.952,0.000,0.041,1.650,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1944,707.474,2523.608,2163.883,781.140,0.000,2523.608,0.000,0.041,1.647,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1945,707.848,2594.464,2166.771,780.916,0.000,2594.464,0.000,0.042,1.643,0.000,0.011,0.000,0.006,0.000,0.000,0.000
1946,708.222,2549.122,2169.805,780.691,0.000,2549.122,0.000,0.042,1.639,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1947,708.596,2515.226,2172.986,780.466,0.000,2515.226,0.000,0.042,1.635,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1948,708.970,2601.085,2176.315,780.241,0.000,2601.085,0.000,0.042,1.631,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1949,709.344,2517.929,2179.793,780.017,0.000,2517.929,0.000,0.042,1.626,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1950,709.718,2622.399,2183.421,779.792,0.000,2622.399,0.000,0.042,1.622,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1951,710.092,2545.919,2187.200,779.567,0.000,2545.919,0.000,0.042,1.617,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1952,710.466,2553.166,2191.129,779.343,0.000,2553.166,0.000,0.042,1.612,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1953,710.840,2630.058,2195.208,779.118,0.000,2630.058,0.000,0.042,1.607,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1954,711.214,2501.807,2199.439,778.893,0.000,2501.807,0.000,0.042,1.602,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1955,711.588,2621.449,2203.820,778.668,0.000,2621.449,0.000,0.042,1.596,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1956,711.963,2593.424,2208.350,778.444,0.000,2593.424,0.000,0.042,1.591,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1957,712.337,2626.061,2213.030,778.219,0.000,2626.061,0.000,0.042,1.585,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1958,712.711,2621.077,2217.857,777.994,0.000,2621.077,0.000,0.042,1.579,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1959,713.085,2685.289,2222.830,777.769,0.000,2685.289,0.000,0.042,1.573,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1960,713.460,2626.666,2227.949,777.545,0.000,2626.666,0.000,0.042,1.567,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1961,713.834,2621.942,2233.210,777.320,0.000,2621.942,0.000,0.042,1.560,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1962,714.208,2674.388,2238.612,777.095,0.000,2674.388,0.000,0.042,1.554,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1963,714.582,2579.377,2244.152,776.870,0.000,2579.377,0.000,0.042,1.547,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1964,714.957,2612.445,2249.829,776.646,0.000,2612.445,0.000,0.042,1.540,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1965,715.331,2656.787,2255.639,776.421,0.000,2656.787,0.000,0.042,1.533,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1966,715.706,2724.638,2261.578,776.196,0.000,2724.638,0.000,0.042,1.526,0.000,0.012,0.000,0.006,0.000,0.000,0.000
1967,716.080,2602.524,2267.645,775.971,0.000,2602.524,0.000,0.042,1.519,0.000,0.012,0.000,0.006,0.000,0.000,0.000
