scene,stamp_live_in,stamp_generated_in,stamp_rmx,verdict
G1S_denta120_oisn16_160_p24,phys=19;99af57a2653d281eaf96455b2c983b7884728d7d9de0309c38edc746326cb7a0,phys=19;99af57a2653d281eaf96455b2c983b7884728d7d9de0309c38edc746326cb7a0,phys=19;99af57a2653d281eaf96455b2c983b7884728d7d9de0309c38edc746326cb7a0,СОШЛОСЬ
G1S_denta120_oisn16_166_p24,phys=19;4b4ed2329b5510546439fa18270607e39693eab73305a5f6ff6b5fa7f1ff5d61,phys=19;4b4ed2329b5510546439fa18270607e39693eab73305a5f6ff6b5fa7f1ff5d61,phys=19;4b4ed2329b5510546439fa18270607e39693eab73305a5f6ff6b5fa7f1ff5d61,СОШЛОСЬ
G1S_denta120_oisn16_167_p24,phys=19;a0207783d58cff260b9c431a49d959960511e599dca01de91061a5a15d861cd0,phys=19;a0207783d58cff260b9c431a49d959960511e599dca01de91061a5a15d861cd0,phys=19;a0207783d58cff260b9c431a49d959960511e599dca01de91061a5a15d861cd0,СОШЛОСЬ
G1S_mar1l_coal_046_p24,phys=19;9dd0c852563a803d9cf7dfa520c4d46a00b65b6156423a0850e8d1155f21797b,phys=19;9dd0c852563a803d9cf7dfa520c4d46a00b65b6156423a0850e8d1155f21797b,phys=19;9dd0c852563a803d9cf7dfa520c4d46a00b65b6156423a0850e8d1155f21797b,СОШЛОСЬ
G1S_mar1l_oisn06_055_p16,phys=19;80e6cf8e6c76be9df66c3c8b1716d3f216fd96965ea1a494ca6ccab3011aa0cf,phys=19;80e6cf8e6c76be9df66c3c8b1716d3f216fd96965ea1a494ca6ccab3011aa0cf,phys=19;80e6cf8e6c76be9df66c3c8b1716d3f216fd96965ea1a494ca6ccab3011aa0cf,СОШЛОСЬ
G1S_mar1l_oisn06_057_p16,phys=19;0a5693713003451159bb12f4c6c0d463c83f74d36272fd4185e1736171aa58c1,phys=19;0a5693713003451159bb12f4c6c0d463c83f74d36272fd4185e1736171aa58c1,phys=19;0a5693713003451159bb12f4c6c0d463c83f74d36272fd4185e1736171aa58c1,СОШЛОСЬ
G1S_mar1l_oisn06_057_p24,phys=19;34a4cf0513bd88b6693239801e711bf6085f1307f53dde41fcaca1f4e0a94b35,phys=19;34a4cf0513bd88b6693239801e711bf6085f1307f53dde41fcaca1f4e0a94b35,phys=19;34a4cf0513bd88b6693239801e711bf6085f1307f53dde41fcaca1f4e0a94b35,СОШЛОСЬ
G1S_mar1l_oisn06_062_p16,phys=19;2ae3e7825a7ee6bc96d8d0a7b7f578cc849e92a23120a2046df9caa022e66acb,phys=19;2ae3e7825a7ee6bc96d8d0a7b7f578cc849e92a23120a2046df9caa022e66acb,phys=19;2ae3e7825a7ee6bc96d8d0a7b7f578cc849e92a23120a2046df9caa022e66acb,СОШЛОСЬ
G1S_mar1l_oisn06_062_p24,phys=19;2c6ca564b14301be879a3c154a01817e18cfa5e3adfa7124906133688d1a1d7d,phys=19;2c6ca564b14301be879a3c154a01817e18cfa5e3adfa7124906133688d1a1d7d,phys=19;2c6ca564b14301be879a3c154a01817e18cfa5e3adfa7124906133688d1a1d7d,СОШЛОСЬ
G1S_mar1l_oisn06_064_p24,phys=19;bd97528469aaef8175a06faafb450e4c28dc168b533b656e221108ba31c50800,phys=19;bd97528469aaef8175a06faafb450e4c28dc168b533b656e221108ba31c50800,phys=19;bd97528469aaef8175a06faafb450e4c28dc168b533b656e221108ba31c50800,СОШЛОСЬ
G1S_mar1l_oisn06_066_p16,phys=19;fc447fb131c7de529b194c12e4a8cf5b1685ef6277e26bfda3a2fb901d8f6ff2,phys=19;fc447fb131c7de529b194c12e4a8cf5b1685ef6277e26bfda3a2fb901d8f6ff2,phys=19;fc447fb131c7de529b194c12e4a8cf5b1685ef6277e26bfda3a2fb901d8f6ff2,СОШЛОСЬ
G1S_mar1l_oisn06_066_p24,phys=19;0eb09ea5b703aee0a4f6ff443087a02bc26ecfaee40134f19c69452816c3f5ce,phys=19;0eb09ea5b703aee0a4f6ff443087a02bc26ecfaee40134f19c69452816c3f5ce,phys=19;0eb09ea5b703aee0a4f6ff443087a02bc26ecfaee40134f19c69452816c3f5ce,СОШЛОСЬ
G1S_mar1l_oisn16_155_p16,phys=19;a48236a35ac16650df6cd9037d230146ab2529cdf2254859d6adee97a9091473,phys=19;a48236a35ac16650df6cd9037d230146ab2529cdf2254859d6adee97a9091473,phys=19;a48236a35ac16650df6cd9037d230146ab2529cdf2254859d6adee97a9091473,СОШЛОСЬ
G1S_mar1l_oisn16_155_p24,phys=19;7ffcce1cc2dee08327cd4fd39bddc4b0151fc5601765ad3fff5f8c956dd72a54,phys=19;7ffcce1cc2dee08327cd4fd39bddc4b0151fc5601765ad3fff5f8c956dd72a54,phys=19;7ffcce1cc2dee08327cd4fd39bddc4b0151fc5601765ad3fff5f8c956dd72a54,СОШЛОСЬ
G1S_mar1l_oisn16_160_p16,phys=19;abe0dee9d57b41ef50c734b71806cfe774b6ac097d94a2b6bb32615c177c9d78,phys=19;abe0dee9d57b41ef50c734b71806cfe774b6ac097d94a2b6bb32615c177c9d78,phys=19;abe0dee9d57b41ef50c734b71806cfe774b6ac097d94a2b6bb32615c177c9d78,СОШЛОСЬ
G1S_mar1l_oisn16_160_p24,phys=19;80a710cdf4bdc83e7217bb8581566b2b1cd029ad25907aa2d41ca14db478f6da,phys=19;80a710cdf4bdc83e7217bb8581566b2b1cd029ad25907aa2d41ca14db478f6da,phys=19;80a710cdf4bdc83e7217bb8581566b2b1cd029ad25907aa2d41ca14db478f6da,СОШЛОСЬ
G1S_mar1l_oisn16_166_p16,phys=19;2218950b2308b610a192eef337eb57dacf1f9d24ade1a0b88edd5d1ef647ca7c,phys=19;2218950b2308b610a192eef337eb57dacf1f9d24ade1a0b88edd5d1ef647ca7c,phys=19;2218950b2308b610a192eef337eb57dacf1f9d24ade1a0b88edd5d1ef647ca7c,СОШЛОСЬ
G1S_mar1l_oisn16_166_p24,phys=19;6d00f833f1302392e1c272d3317af15ccd791c4fb97a7d15e4fcfb4842646fe7,phys=19;6d00f833f1302392e1c272d3317af15ccd791c4fb97a7d15e4fcfb4842646fe7,phys=19;6d00f833f1302392e1c272d3317af15ccd791c4fb97a7d15e4fcfb4842646fe7,СОШЛОСЬ
G1S_mar1l_oisn16_167_p16,phys=19;dbe2de94f28e2ea5ecf97094085f3b43722bf1a289ebe6d138c5d2bd1566be96,phys=19;dbe2de94f28e2ea5ecf97094085f3b43722bf1a289ebe6d138c5d2bd1566be96,phys=19;dbe2de94f28e2ea5ecf97094085f3b43722bf1a289ebe6d138c5d2bd1566be96,СОШЛОСЬ
G1S_mar1l_oisn16_167_p24,phys=19;d62cf41253d09df8b93354d60f0fbe7873ad142a66005779b2e81c83a3ec1702,phys=19;d62cf41253d09df8b93354d60f0fbe7873ad142a66005779b2e81c83a3ec1702,phys=19;d62cf41253d09df8b93354d60f0fbe7873ad142a66005779b2e81c83a3ec1702,СОШЛОСЬ
G1S_mar1l_risn379_100_p16,phys=19;a7f5f3011d4e6be43cc5791c82ff7052523a73b0053031152c1fb46dfa9566ee,phys=19;a7f5f3011d4e6be43cc5791c82ff7052523a73b0053031152c1fb46dfa9566ee,phys=19;a7f5f3011d4e6be43cc5791c82ff7052523a73b0053031152c1fb46dfa9566ee,СОШЛОСЬ
G1S_petri60_oisn06_057_p24,phys=19;57b8427265b5a3307a748bfa01db3063025b6872e1a7868afe3bc86ac015ce8d,phys=19;57b8427265b5a3307a748bfa01db3063025b6872e1a7868afe3bc86ac015ce8d,phys=19;57b8427265b5a3307a748bfa01db3063025b6872e1a7868afe3bc86ac015ce8d,СОШЛОСЬ
G1S_petri60_oisn06_062_p24,phys=19;0f0fb030f30e8105d34c055215f2b09f8c536aa60a7e5137d2e28a732ce6c6f4,phys=19;0f0fb030f30e8105d34c055215f2b09f8c536aa60a7e5137d2e28a732ce6c6f4,phys=19;0f0fb030f30e8105d34c055215f2b09f8c536aa60a7e5137d2e28a732ce6c6f4,СОШЛОСЬ
G1S_petri60_oisn06_064_p24,phys=19;0b25278b74b229f150246efb635a5cc972df11c8c76fe6c77c82d2a7a4d509ba,phys=19;0b25278b74b229f150246efb635a5cc972df11c8c76fe6c77c82d2a7a4d509ba,phys=19;0b25278b74b229f150246efb635a5cc972df11c8c76fe6c77c82d2a7a4d509ba,СОШЛОСЬ
G1S_petri60_oisn06_067_p24,phys=19;f730b2ea9390392d13c76fd9e7cacbd8798146593f43649dadc38d2f393c2812,phys=19;f730b2ea9390392d13c76fd9e7cacbd8798146593f43649dadc38d2f393c2812,phys=19;f730b2ea9390392d13c76fd9e7cacbd8798146593f43649dadc38d2f393c2812,СОШЛОСЬ
G1S_petri60_oisn10_100_p16,phys=19;3d1ac22841a1cd4b9537c3059ef0f9b1df7724065f6d607857d8a5b583b8d802,phys=19;3d1ac22841a1cd4b9537c3059ef0f9b1df7724065f6d607857d8a5b583b8d802,phys=19;3d1ac22841a1cd4b9537c3059ef0f9b1df7724065f6d607857d8a5b583b8d802,СОШЛОСЬ
G1S_petri60_oisn16_155_p24,phys=19;c90046f13e2df44d73f0bfb87000025d4a02ee2bfb525ad472837470062643a0,phys=19;c90046f13e2df44d73f0bfb87000025d4a02ee2bfb525ad472837470062643a0,phys=19;c90046f13e2df44d73f0bfb87000025d4a02ee2bfb525ad472837470062643a0,СОШЛОСЬ
G1S_petri60_oisn16_160_p24,phys=19;8d24c1fd90bbef2714a2e3521dc6445c6560d40830a65112a18efc3341b97b6e,phys=19;8d24c1fd90bbef2714a2e3521dc6445c6560d40830a65112a18efc3341b97b6e,phys=19;8d24c1fd90bbef2714a2e3521dc6445c6560d40830a65112a18efc3341b97b6e,СОШЛОСЬ
G1S_petri60_oisn16_167_p24,phys=19;d0a3210683942c67c7c3478320210dd4e0601f703a16c4446989c2a704cac134,phys=19;d0a3210683942c67c7c3478320210dd4e0601f703a16c4446989c2a704cac134,phys=19;d0a3210683942c67c7c3478320210dd4e0601f703a16c4446989c2a704cac134,СОШЛОСЬ
G1S_petri60_risn379_100_p16,phys=19;8ebdb8c16f6edfdad14c397cc03a604e2c389974f08f2cbd3d134b6bba8c6150,phys=19;8ebdb8c16f6edfdad14c397cc03a604e2c389974f08f2cbd3d134b6bba8c6150,phys=19;8ebdb8c16f6edfdad14c397cc03a604e2c389974f08f2cbd3d134b6bba8c6150,СОШЛОСЬ
G1S_point25,phys=19;835b6700cdaa35654ba96ad370b5678c03df538d68db9f0b3a6fa02724f35464,phys=19;556633af22e70b638d6962799547b58785063038fb001361bba58a0c2d3db7e7,phys=19;835b6700cdaa35654ba96ad370b5678c03df538d68db9f0b3a6fa02724f35464,РАЗОШЛОСЬ
G1S_point5,phys=19;ff25f22d4fe5ee31116a90d171844040022154c8d3cb92c551c25c8564482ed7,phys=19;f459633cc3908920f4f5675fd8db784a0c470318480326bc7ff19f9c94b63656,phys=19;ff25f22d4fe5ee31116a90d171844040022154c8d3cb92c551c25c8564482ed7,РАЗОШЛОСЬ
RC103_lu_front,phys=19;8772e589a69d259ed2853cf2d4a0d343c906b086b61ee1f9aac9cbae77635157,phys=19;8772e589a69d259ed2853cf2d4a0d343c906b086b61ee1f9aac9cbae77635157,phys=19;8772e589a69d259ed2853cf2d4a0d343c906b086b61ee1f9aac9cbae77635157,СОШЛОСЬ
RC103_marinelli05_kcl,phys=19;06956b7aeb9aac4ebfa929310cd2e5fa0d6cf6233353a3d691c1cfb35b20790d,phys=19;06956b7aeb9aac4ebfa929310cd2e5fa0d6cf6233353a3d691c1cfb35b20790d,phys=19;06956b7aeb9aac4ebfa929310cd2e5fa0d6cf6233353a3d691c1cfb35b20790d,СОШЛОСЬ
RC103_point0,phys=19;5ddea4b59ab723a205ddc23090478b8679043af959046dea1dcac7869e850279,phys=19;5ddea4b59ab723a205ddc23090478b8679043af959046dea1dcac7869e850279,phys=19;5ddea4b59ab723a205ddc23090478b8679043af959046dea1dcac7869e850279,СОШЛОСЬ
