спектр               геом        ρ кольцо пл       |   Ac-228   Pb-212   Tl-208  Pb/Tl |   Pb-214   Bi-214 |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн
edge1709             edge93   2.80 Fe1.0  noeqasis |    942.6    994.9    922.1  1.079 |    141.9    124.1 |   1.519   1.76   7.1% |   +1.3%   -1.4%   -4.3%   +0.2%   +4.1% |  20.7%
edge1709             edge93   3.30 Fe1.0  noeqasis |    969.0   1112.3    943.4  1.179 |    154.9    132.6 |   1.560   2.06   8.4% |   +1.1%   -1.4%   -4.5%   +0.1%   +4.3% |  20.5%
edge1709             edge93   3.80 Fe1.0  noeqasis |   1000.6   1225.3    964.9  1.270 |    162.4    139.9 |   1.670   2.30   9.3% |   +1.0%   -1.8%   -4.5%   +0.3%   +4.5% |  20.2%
edge1709             edge93   4.20 Fe1.0  noeqasis |   1028.5   1323.3    985.3  1.343 |    165.6    145.1 |   1.713   2.37   9.6% |   +1.0%   -1.9%   -4.6%   +0.4%   +4.5% |  19.8%
edge1709             edge93   4.34 Fe1.0  noeqasis |   1047.7   1583.7   1000.7  1.583 |    206.2    151.2 |   1.708   2.36   9.6% |   +0.8%   -2.5%   -5.5%   +0.9%   +5.6% |  20.5%
edge1709             edge93   3.30 Fe2.0  noeqasis |   1003.2   1189.9    963.4  1.235 |    184.7    157.8 |   1.550   2.13   8.7% |   +0.8%   -1.0%   -4.0%   +0.2%   +4.4% |  18.8%
edge1709_s1          edge93   2.80 Al1.0  noeqasis |    740.2    951.9    813.2  1.171 |      nan      nan |   7.350  42.63  47.5% |   +1.6%   -9.5%  -11.7%  -15.4%   -0.2% |  38.5%
edge1709_s1          edge93   3.30 Al1.0  noeqasis |    758.8   1054.8    827.9  1.274 |      nan      nan |   7.506  43.08  47.8% |   +1.6%  -10.0%  -11.9%  -15.1%   -0.4% |  38.7%
edge1709_s1          edge93   3.80 Al1.0  noeqasis |    782.3   1169.4    849.2  1.377 |      nan      nan |   7.547  43.14  47.8% |   +1.5%  -10.3%  -12.1%  -15.4%   +0.1% |  38.6%
edge1709_s1          edge93   3.30 Fe0.5  noeqasis |    765.0   1071.9    833.9  1.285 |      nan      nan |   7.517  43.05  47.8% |   +1.6%  -10.0%  -11.9%  -15.1%   -0.1% |  38.6%
edge1709_s1          edge93   2.80 Fe1.0  noeqasis |    758.9    997.5    834.3  1.196 |      nan      nan |   7.399  42.74  47.6% |   +1.7%   -9.7%  -11.8%  -15.2%   +0.1% |  38.2%
edge1709_s1          edge93   3.30 Fe1.0  noeqasis |    777.0   1108.6    851.4  1.302 |      nan      nan |   7.551  43.08  47.8% |   +1.6%  -10.0%  -12.3%  -15.3%   +0.1% |  38.4%
edge1709_s1          edge93   3.80 Fe1.0  noeqasis |    797.8   1223.8    872.0  1.403 |      nan      nan |   7.569  43.16  47.8% |   +1.6%  -10.4%  -12.4%  -15.4%   +0.8% |  38.4%
edge1709_s1          edge93   4.20 Fe1.0  noeqasis |    821.6   1331.0    888.9  1.497 |      nan      nan |   7.609  43.24  47.9% |   +1.4%  -10.4%  -12.5%  -15.3%   +0.8% |  38.0%
edge1709_s1          edge93   4.34 Fe1.0  noeqasis |    827.8   1582.3    894.5  1.769 |      nan      nan |   7.654  43.32  47.9% |   +1.3%  -12.0%  -13.7%  -15.1%   +1.1% |  39.4%
edge1709_s1          edge93   3.30 Fe2.0  noeqasis |    808.1   1172.2    879.6  1.333 |      nan      nan |   7.531  43.03  47.8% |   +1.6%  -10.5%  -12.3%  -15.2%   +1.5% |  37.6%
edge93               edge93   2.80 Al1.0  noeqasis |    826.5    829.0    831.6  0.997 |     98.5     94.4 |   1.111   1.15   5.7% |   +1.2%   -0.8%   -3.8%   -0.5%   +2.9% |  22.9%
edge93               edge93   3.30 Al1.0  noeqasis |    847.2    922.4    849.2  1.086 |    108.3     91.6 |   1.176   1.23   7.1% |   +1.3%   -1.2%   -4.1%   -0.1%   +3.1% |  23.1%
edge93               edge93   3.80 Al1.0  noeqasis |    876.4   1034.5    870.8  1.188 |    120.8    102.7 |   1.171   1.24   7.2% |   +1.1%   -1.2%   -4.0%   -0.2%   +3.3% |  22.4%
edge93               edge93   3.30 Fe0.5  noeqasis |    850.6    948.6    849.1  1.117 |    117.5    100.0 |   1.153   1.21   6.9% |   +1.2%   -0.8%   -3.9%   -0.3%   +3.1% |  22.7%
edge93               edge93   2.80 Fe1.0  noeqasis |    846.9    872.9    850.7  1.026 |    106.7     94.7 |   1.138   1.18   6.3% |   +1.4%   -0.9%   -4.1%   -0.3%   +3.5% |  22.5%
edge93               edge93   3.30 Fe1.0  noeqasis |    870.6    981.5    870.1  1.128 |    118.0    102.4 |   1.160   1.22   7.0% |   +1.2%   -0.9%   -4.3%   -0.4%   +3.7% |  22.2%
edge93               edge93   3.80 Fe1.0  noeqasis |    899.6   1080.1    890.2  1.213 |    122.5    107.3 |   1.196   1.28   7.8% |   +1.2%   -1.3%   -4.3%   -0.2%   +3.9% |  21.9%
edge93               edge93   4.20 Fe1.0  noeqasis |    925.2   1166.1    910.9  1.280 |    123.3    111.1 |   1.215   1.30   8.1% |   +1.2%   -1.4%   -4.4%   +0.0%   +4.1% |  21.5%
edge93               edge93   4.34 Fe1.0  noeqasis |    945.5   1394.3    925.0  1.507 |    158.0    117.1 |   1.209   1.29   8.0% |   +1.0%   -1.9%   -5.2%   +0.6%   +5.2% |  22.1%
edge93               edge93   3.30 Fe2.0  noeqasis |    905.9   1034.3    891.9  1.160 |    127.4    113.6 |   1.183   1.26   7.5% |   +1.2%   -1.3%   -4.2%   -0.2%   +4.1% |  21.0%
edge93_s1            edge93   2.80 Al1.0  noeqasis |    664.8    818.0    756.9  1.081 |      nan      nan |   4.211  30.58  64.1% |   +1.1%   -7.3%  -10.6%  -15.1%   +0.6% |  39.6%
edge93_s1            edge93   3.30 Al1.0  noeqasis |    685.0    921.0    770.0  1.196 |      nan      nan |   4.265  30.68  64.3% |   +1.4%   -7.7%  -10.7%  -14.6%   +0.2% |  39.4%
edge93_s1            edge93   3.80 Al1.0  noeqasis |    707.5   1021.8    792.5  1.289 |      nan      nan |   4.280  30.65  64.2% |   +1.4%   -8.0%  -10.9%  -14.8%   +1.0% |  39.2%
edge93_s1            edge93   3.30 Fe0.5  noeqasis |    690.8    936.5    776.0  1.207 |      nan      nan |   4.268  30.64  64.2% |   +1.5%   -7.8%  -10.7%  -14.6%   +0.5% |  39.3%
edge93_s1            edge93   2.80 Fe1.0  noeqasis |    682.5    867.2    777.4  1.115 |      nan      nan |   4.219  30.57  64.1% |   +1.4%   -7.5%  -10.6%  -14.8%   +1.0% |  39.0%
edge93_s1            edge93   3.30 Fe1.0  noeqasis |    701.0    969.1    792.5  1.223 |      nan      nan |   4.281  30.63  64.2% |   +1.5%   -7.8%  -11.0%  -14.8%   +0.8% |  39.2%
edge93_s1            edge93   3.80 Fe1.0  noeqasis |    721.9   1069.8    815.0  1.313 |      nan      nan |   4.289  30.63  64.2% |   +1.5%   -8.1%  -11.0%  -14.8%   +2.0% |  39.0%
edge93_s1            edge93   4.20 Fe1.0  noeqasis |    743.5   1162.2    828.6  1.403 |      nan      nan |   4.307  30.65  64.2% |   +1.4%   -8.1%  -11.2%  -14.8%   +1.6% |  38.7%
edge93_s1            edge93   4.34 Fe1.0  noeqasis |    756.8   1382.9    839.0  1.648 |      nan      nan |   4.323  30.65  64.2% |   +1.2%   -9.1%  -12.1%  -14.2%   +2.5% |  39.8%
edge93_s1            edge93   3.30 Fe2.0  noeqasis |    730.4   1024.0    821.2  1.247 |      nan      nan |   4.272  30.59  64.2% |   +1.5%   -8.2%  -11.0%  -14.7%   +2.6% |  38.3%
