спектр               геом        ρ кольцо пл       |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль |    r1394    r1461  b1-2M
contact_cal0809_s1   contact  3.80 Fe1.0  eq       |    952.6  249.1    167.7   46.2 |   2.052  11.36  26.4% |   -0.7%   +1.3%   +1.2%   +2.8%   +3.7% |   8.3% |  1.0063  -12.10 |      527     -163  19.2%
contact_cal0809_s1   contact  4.20 Fe1.0  eq       |    969.2  237.4    170.8   45.3 |   2.147  11.80  26.9% |   -1.1%   +1.4%   +1.3%   +3.1%   +4.2% |   7.4% |  1.0062  -12.12 |      530     -167  19.2%
contact_cal0809_s1   contact  4.34 Fe1.0  eq       |    997.3  220.8    172.7   44.1 |   2.218  12.08  27.3% |   -3.2%   +1.6%   +1.8%   +4.6%   +6.9% |   7.5% |  1.0060  -12.17 |      570     -154  19.3%
edge1709             edge93   2.80 Al1.0  eq       |    929.9  304.2    137.7   44.7 |   1.392   1.50   5.8% |   +0.3%   -0.6%   -2.4%   +0.2%   +5.7% |  19.6% |  1.0078  -24.94 |     1147    -1800  21.1%
edge1709             edge93   3.30 Al1.0  eq       |    977.1  298.2    138.8   40.2 |   1.589   1.99   8.2% |   -1.0%   -0.4%   -1.5%   +1.8%   +8.0% |  19.5% |  1.0078  -25.32 |      827    -2378  21.4%
edge1709             edge93   3.80 Al1.0  eq       |   1018.1  276.4    146.6   39.0 |   1.735   2.32   9.4% |   -2.7%   -0.4%   -1.1%   +2.2%   +9.4% |  19.2% |  1.0077  -25.56 |      880    -2164  21.4%
edge1709             edge93   3.30 Fe0.5  eq       |    982.1  293.9    142.7   40.5 |   1.622   2.08   8.5% |   -1.3%   -0.4%   -1.4%   +1.7%   +8.2% |  19.5% |  1.0078  -25.36 |      775    -2238  21.3%
edge1709             edge93   2.80 Fe1.0  eq       |    960.5  295.9    141.8   43.4 |   1.454   1.67   6.7% |   -0.1%   -0.5%   -2.2%   +0.7%   +7.1% |  19.0% |  1.0077  -25.12 |     1326    -1617  21.2%
edge1709             edge93   3.30 Fe1.0  eq       |   1010.2  290.9    147.5   40.7 |   1.640   2.15   8.8% |   -1.5%   -0.2%   -1.8%   +1.7%   +9.3% |  18.4% |  1.0077  -25.21 |     1073    -1726  21.1%
edge1709             edge93   3.80 Fe1.0  eq       |   1037.2  270.3    161.9   41.9 |   1.715   2.47  10.0% |   -4.4%   -0.1%   -1.2%   +1.8%   +9.8% |  18.7% |  1.0096  -29.75 |     1062    -1844  21.4%
edge1709             edge93   4.20 Fe1.0  eq       |   1016.0  223.8    218.3   51.5 |   1.900   3.59  13.2% |  -10.3%   +0.0%   -0.4%   +0.6%   +6.5% |  18.7% |  1.0111  -39.31 |      321    -2222  21.6%
edge1709             edge93   4.34 Fe1.0  eq       |   1038.2  232.3    235.9   52.5 |   1.939   3.99  14.2% |  -14.2%   -1.2%   -0.8%   +1.3%   +8.0% |  20.3% |  1.0111  -40.17 |      551    -1799  21.6%
edge1709             edge93   3.30 Fe2.0  eq       |   1041.7  280.6    158.7   40.9 |   1.715   2.32   9.4% |   -2.1%   -0.6%   -1.4%   +1.8%  +10.1% |  18.0% |  1.0078  -25.81 |      535    -2007  21.3%
edge1709_s1          edge93   2.80 Al1.0  eq       |    912.1  272.1    182.0   53.8 |   1.656   1.96   8.0% |   -0.3%   +0.4%   -0.9%   -0.9%   +4.0% |  16.7% |  1.0058   -9.99 |     8857    -5595  30.5%
edge1709_s1          edge93   3.30 Al1.0  eq       |    959.4  274.5    186.8   50.6 |   1.794   2.25   9.2% |   -1.6%   +0.4%   +0.1%   +0.7%   +6.4% |  16.3% |  1.0056   -9.76 |     8479    -6214  30.8%
edge1709_s1          edge93   3.80 Al1.0  eq       |    998.4  257.0    196.8   49.6 |   1.903   2.48  10.0% |   -3.4%   +0.4%   +0.4%   +1.0%   +7.8% |  16.0% |  1.0053   -9.61 |     8553    -5972  30.8%
edge1709_s1          edge93   3.30 Fe0.5  eq       |    965.3  272.4    191.6   51.2 |   1.802   2.30   9.4% |   -1.8%   +0.5%   +0.2%   +0.7%   +6.7% |  16.2% |  1.0055   -9.70 |     8439    -6052  30.7%
edge1709_s1          edge93   2.80 Fe1.0  eq       |    944.7  270.6    188.4   53.5 |   1.668   2.01   8.2% |   -0.6%   +0.4%   -0.7%   -0.3%   +5.5% |  15.7% |  1.0056   -9.94 |     9073    -5366  30.7%
edge1709_s1          edge93   3.30 Fe1.0  eq       |    992.7  269.9    198.2   51.5 |   1.818   2.33   9.5% |   -2.1%   +0.6%   -0.1%   +0.7%   +7.8% |  15.1% |  1.0054   -9.57 |     8769    -5477  30.7%
edge1709_s1          edge93   3.80 Fe1.0  eq       |   1024.4  257.3    204.8   50.0 |   1.932   2.60  10.4% |   -4.0%   +0.5%   +0.2%   +1.0%   +8.8% |  15.5% |  1.0054   -9.65 |     8847    -5663  30.9%
edge1709_s1          edge93   4.20 Fe1.0  eq       |   1042.5  256.4    209.2   51.5 |   1.988   2.79  11.0% |   -6.1%   +0.3%   -0.0%   +0.8%   +8.2% |  16.0% |  1.0054   -9.67 |     8465    -5940  30.6%
edge1709_s1          edge93   4.34 Fe1.0  eq       |   1035.1  233.6    250.5   56.4 |   2.156   3.59  13.2% |  -12.8%   -0.9%   -0.2%   +0.6%   +7.5% |  18.2% |  1.0065  -15.67 |     8491    -5594  30.8%
edge1709_s1          edge93   3.30 Fe2.0  eq       |   1024.8  264.1    210.8   51.9 |   1.855   2.44   9.9% |   -2.6%   +0.2%   +0.2%   +0.8%   +8.5% |  14.5% |  1.0054   -9.79 |     8226    -5774  30.4%
edge93               edge93   2.80 Al1.0  eq       |    822.4  177.0    118.9   25.7 |   1.181  19.51  54.2% |   +0.4%   -0.1%   -2.9%   -1.3%   +1.8% |  21.3% |  1.0081  -19.64 |      841     -409  38.1%
edge93               edge93   3.30 Al1.0  eq       |    873.8  173.3    123.3   25.0 |   1.220  19.55  54.2% |   -0.5%   +0.2%   -1.5%   +0.8%   +5.0% |  20.3% |  1.0080  -19.73 |      764     -544  38.2%
edge93               edge93   3.80 Al1.0  eq       |    922.5  169.1    129.3   24.7 |   1.263  19.61  54.3% |   -1.6%   +0.4%   -0.9%   +1.7%   +7.3% |  19.3% |  1.0078  -19.77 |      795     -466  38.2%
edge93               edge93   3.30 Fe0.5  eq       |    882.1  172.3    126.5   25.3 |   1.228  19.57  54.3% |   -0.7%   +0.3%   -1.4%   +0.9%   +5.7% |  20.0% |  1.0080  -19.77 |      757     -496  38.2%
edge93               edge93   2.80 Fe1.0  eq       |    855.8  176.6    124.5   25.9 |   1.184  19.51  54.2% |   +0.3%   +0.1%   -2.5%   -0.5%   +3.8% |  20.0% |  1.0080  -19.70 |      888     -350  38.1%
edge93               edge93   3.30 Fe1.0  eq       |    907.3  171.7    131.3   25.6 |   1.233  19.58  54.3% |   -0.8%   +0.5%   -1.7%   +0.8%   +6.3% |  18.9% |  1.0078  -19.65 |      832     -373  38.1%
edge93               edge93   3.80 Fe1.0  eq       |    951.4  167.0    134.5   24.7 |   1.283  19.64  54.4% |   -1.9%   +0.6%   -1.0%   +1.9%   +8.5% |  18.6% |  1.0078  -19.95 |      875     -387  38.3%
edge93               edge93   4.20 Fe1.0  eq       |    967.5  169.7    161.5   28.0 |   1.334  19.73  54.5% |   -4.8%   +1.6%   -0.2%   +2.0%   +8.2% |  18.1% |  1.0092  -26.27 |      741     -441  38.2%
edge93               edge93   4.34 Fe1.0  eq       |    991.9  159.4    175.6   28.3 |   1.401  19.86  54.7% |   -8.2%   +0.5%   -0.6%   +2.9%   +9.9% |  19.8% |  1.0090  -26.67 |      809     -329  38.2%
edge93               edge93   3.30 Fe2.0  eq       |    942.5  169.8    140.2   25.9 |   1.253  19.61  54.3% |   -1.1%   +0.2%   -1.2%   +1.2%   +7.9% |  18.0% |  1.0079  -20.19 |      699     -421  38.0%
edge93_s1            edge93   2.80 Al1.0  eq       |    808.4  157.1    150.2   29.3 |   1.430  19.92  54.5% |   -0.3%   +0.7%   -1.8%   -2.8%   -0.1% |  19.1% |  1.0078   -8.01 |     3033    -1665  45.3%
edge93_s1            edge93   3.30 Al1.0  eq       |    859.7  156.3    156.0   29.0 |   1.437  19.90  54.5% |   -1.2%   +1.0%   -0.5%   -0.8%   +3.1% |  17.9% |  1.0074   -7.59 |     2956    -1796  45.5%
edge93_s1            edge93   3.80 Al1.0  eq       |    909.2  165.1    163.7   28.9 |   1.461  19.92  54.5% |   -2.3%   +1.1%   +0.2%   +0.2%   +5.6% |  16.7% |  1.0071   -7.34 |     2992    -1699  45.5%
edge93_s1            edge93   3.30 Fe0.5  eq       |    869.9  156.8    160.1   29.5 |   1.429  19.88  54.4% |   -1.3%   +1.1%   -0.2%   -0.6%   +3.9% |  17.4% |  1.0074   -7.55 |     2954    -1738  45.4%
edge93_s1            edge93   2.80 Fe1.0  eq       |    842.2  158.6    156.6   29.7 |   1.410  19.87  54.4% |   -0.4%   +0.8%   -1.4%   -1.9%   +1.7% |  17.7% |  1.0077   -7.97 |     3089    -1596  45.4%
edge93_s1            edge93   3.30 Fe1.0  eq       |    894.1  161.9    166.0   30.0 |   1.432  19.88  54.4% |   -1.5%   +1.2%   -0.6%   -0.6%   +4.6% |  16.4% |  1.0072   -7.43 |     3019    -1622  45.4%
edge93_s1            edge93   3.80 Fe1.0  eq       |    937.8  159.3    169.3   29.1 |   1.462  19.92  54.5% |   -2.5%   +1.3%   +0.1%   +0.4%   +6.9% |  16.0% |  1.0071   -7.33 |     3014    -1716  45.5%
edge93_s1            edge93   4.20 Fe1.0  eq       |    966.9  165.6    172.7   28.6 |   1.489  19.96  54.6% |   -3.7%   +1.5%   +0.2%   +0.7%   +7.4% |  16.0% |  1.0070   -7.18 |     2894    -1824  45.2%
edge93_s1            edge93   4.34 Fe1.0  eq       |    959.0  154.3    216.3   34.7 |   1.604  20.23  54.9% |  -10.4%   +0.5%   +0.3%   +0.7%   +6.6% |  18.0% |  1.0085  -15.22 |     2885    -1751  45.4%
edge93_s1            edge93   3.30 Fe2.0  eq       |    930.6  170.9    176.0   30.5 |   1.431  19.88  54.4% |   -1.7%   +0.9%   -0.0%   -0.2%   +6.2% |  15.3% |  1.0072   -7.60 |     2900    -1656  45.1%
