спектр,сосуд,источник,вещество,плотность_паспорт,масса_г,объём_мл,плотность,расстояние_см,состав_Z_доля,детектор,конфиг,снято,файл
G1S24_Cs137_Petri_2,Петри-60,Cs137_420-7-15,ОИСН-16,1.6,100.0,60.0,1.6667,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,25-10-24 14:16:05.80,Cs137_420-7-15_Петри-60мл_0cm.spe
G1S24_Eu152_P5,Точечная-5см,Eu-152 №04.21_1,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,21-10-24 14:16:05.80,Eu-152 №04.21_Точечная-5см_5cm.spe
G1S24_K40_Denta120,Дента-120мл,K40_420-7-20,ОИСН-06,0.6,79.0,120.0,0.6583,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,31-10-24 14:16:05.80,K40_420-7-20_Дента-120мл_0cm.spe
G1S24_K40_Denta120_2,Дента-120мл,K40_420-7-21,ОИСН-16,1.6,186.0,120.0,1.55,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,30-10-24 14:16:05.80,K40_420-7-21_Дента-120мл_0cm.spe
G1S24_K40_Mar,Маринелли,K40_420-7-20,ОИСН-06,0.6,660.0,1000.0,0.66,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,29-10-24 14:16:05.80,K40_420-7-20_Маринелли_0cm.spe
G1S24_K40_Mar_2,Маринелли,K40_420-7-21,ОИСН-16,1.6,1550.0,1000.0,1.55,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,30-10-24 14:16:05.80,K40_420-7-21_Маринелли_0cm.spe
G1S24_K40_Petri,Петри-60,K40_420-7-20,ОИСН-06,0.6,40.0,60.0,0.6667,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,28-10-24 14:16:05.80,K40_420-7-20_Петри-60мл_0cm.spe
G1S24_K40_Petri_2,Петри-60,K40_420-7-21,ОИСН-16,1.6,93.0,60.0,1.55,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,30-10-24 14:16:05.80,K40_420-7-21_Петри-60мл_0cm.spe
G1S24_Na22_P25,Точечная-25см,Na-22 #01.22,,,0.0,0.0,,25.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,22-10-24 14:16:05.80,Na-22 #01.22_Точечная-25см_25cm.spe
G1S24_Na22_P5,Точечная-5см,Na-22 #01.22_1,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,21-10-24 14:16:05.80,Na-22 #01.22.spe
G1S24_Ra226_Denta120,Дента-120мл,Ra226_420-7-18,ОИСН-06,0.6,74.0,120.0,0.6167,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,31-10-24 14:16:05.80,Ra226_420-7-18_Дента-120мл_0cm.spe
G1S24_Ra226_Denta120_2,Дента-120мл,Ra226_420-7-19,ОИСН-16,1.6,200.0,120.0,1.6667,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,28-10-24 14:16:05.80,Ra226_420-7-19_Дента-120мл_0cm.spe
G1S24_Ra226_Mar,Маринелли,Ra226_420-7-18,ОИСН-06,0.6,620.0,1000.0,0.62,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,29-10-24 14:16:05.80,Ra226_420-7-18_Маринелли_0cm.spe
G1S24_Ra226_Mar_2,Маринелли,Ra226_420-7-19,ОИСН-16,1.6,1670.0,1000.0,1.67,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,28-10-24 14:16:05.80,Ra226_420-7-19_Маринелли_0cm.spe
