spectrum,energy_kev,eff_before,eff_after,ratio
RC103_Lu176,60.0,0.005752625037871003,0.004383584941771246,0.7620147172661149
RC103_Lu176,63.1871724,0.006401565810353884,0.0050492615533624064,0.788754142806083
RC103_Lu176,63.4404276,0.0014631913282297994,0.0011238166190230543,0.7680585562126533
RC103_Lu176,70.0,0.0019834190953859723,0.0015782611333687655,0.7957275076358166
RC103_Lu176,80.0,0.0027967425372239715,0.002173629093982303,0.7772002839202472
RC103_Lu176,90.0,0.0036899929222291984,0.00280277442029553,0.7595609204047791
RC103_Lu176,100.0,0.004597444926940284,0.0036381124380564125,0.7913335550226305
RC103_Lu176,120.0,0.006792093583129049,0.00540080181442509,0.7951601002436417
RC103_Lu176,150.0,0.009097151989200082,0.007174509087909285,0.7886544158464855
RC103_Lu176,186.0,0.009735461140843098,0.007345630453516522,0.7545231137228272
RC103_Lu176,240.0,0.008053639468637231,0.006168813434211061,0.7659659286008361
RC103_Lu176,300.0,0.005963159648364431,0.00441622123473164,0.7405841022456806
RC103_Lu176,352.0,0.004650152840396529,0.0034608579632628388,0.744246067182541
RC103_Lu176,400.0,0.0036409575418254415,0.0027668569438255956,0.7599256272673798
RC103_Lu176,460.0,0.0027483456377429384,0.00214418561414323,0.7801732011786294
RC103_Lu176,510.0,0.00221996405981781,0.0016846213733160257,0.7588507416891608
RC103_Lu176,583.0,0.001742977927441059,0.001330373365439319,0.7632760831300356
RC103_Lu176,609.0,0.001665990081419532,0.0012416780202209085,0.7453093713276601
RC103_Lu176,662.0,0.001334822654549041,0.0010606318694836264,0.794586356374025
RC103_Lu176,720.0,0.0012102050584056653,0.0009326426953299851,0.770648485438209
RC103_Lu176,800.0,0.0010336629547615858,0.0007305938982683064,0.7068008918214717
RC103_Lu176,900.0,0.0008111852106367246,0.0006027870918800415,0.7430942822624873
RC103_Lu176,1000.0,0.0007482036938825373,0.0005037754541398575,0.6733132411117803
RC103_Lu176,1120.0,0.0005719646670055295,0.0004211341502780859,0.7362939960660447
RC103_Lu176,1250.0,0.000523668348390634,0.00035182561712833503,0.6718481615503107
RC103_Lu176,1461.0,0.00035423996715683775,0.0002826303656240414,0.7978500220978972
RC103_Lu176,1600.0,0.0003163576826646941,0.0002365651452202799,0.7477774626103014
RC103_Lu176,1765.0,0.00031613053717172515,0.00020291680730855568,0.6418766409722997
RC103_Lu176,2000.0,0.00022188096858983037,0.00016978951676169685,0.7652279410929115
RC103_Lu176,2200.0,0.00017018995068207875,0.0001401871332045763,0.8237098174289454
RC103_Lu176,2450.0,0.00016814527991946355,0.00011386123416133243,0.6771598597110099
RC103_Lu176,2615.0,0.00012994660581396137,0.00010894352191263193,0.8383714313292754
RC103_Lu176,2800.0,0.00010655711275038024,8.99756767857054e-05,0.8443892149788408
RC103_Lu176,3000.0,8.949621203574032e-05,8.938961148079592e-05,0.998808881934558
