spectrum,det,n,corpus_mode,mode_a,mode_b,d_max_kev,d_max_fwhm,ch_max,e_at_max,d_work_kev,d_work_fwhm,d_below_lowest_fwhm,e_lo,e_hi,n_b,e_lo_b,fam_lo_b
G1S24_Cs137_Mar_2,G1S24,4,affine/grp,affine,fam(G1S24_Ra226_Mar_2)/gain,8.315,0.222,1023,3068.8,7.657,0.097,0.222,198.1,2614.5,4,198.1,47.9
G1S24_Cs137_P25,G1S24,5,affine,affine/grp,fam(G1S24_Th228_P25)/gain,7.228,0.302,1023,3080.0,6.465,0.113,0.302,198.1,2614.5,5,198.1,180.8
G1S24_Cs137_P5,G1S24,3,affine/grp,affine/grp,fam(G1S24_Th228_P5)/gain,3.965,0.093,1023,2993.2,3.73,0.042,0.093,198.1,1460.8,3,198.1,59.5
G1S24_Cs137_Petri,G1S24,3,affine/grp,poly2,fam(G1S24_Ra226_Petri_2)/affine,31.218,4.339,1023,3101.0,24.874,1.685,4.339,661.7,2614.5,3,661.7,47.9
G1S24_Cs137_Petri_2,G1S24,4,gain/grp,affine/grp,fam(G1S24_Ra226_Petri_2)/gain,3.584,0.225,1023,3034.3,3.391,0.093,0.225,198.1,2614.5,4,198.1,47.9
G1S24_Eu152_P5,G1S24,8,poly2/grp,gain/grp,fam(G1S24_Th228_P5)/affine,10.062,0.73,1023,3023.9,9.102,0.274,0.73,121.8,1414.3,8,121.8,59.5
G1S24_K40_Denta120,G1S24,6,poly2/grp,poly2/robust/grp,fam(G1S24_Ra226_Denta120),47.043,0.54,1023,3078.9,24.907,0.3,0.187,239.3,2614.5,6,239.3,47.9
G1S24_K40_Denta120_2,G1S24,4,poly2/grp,poly2,fam(G1S24_Ra226_Denta120)/poly2,4.002,0.312,765,2282.2,4.002,0.129,0.312,239.1,2614.5,4,239.1,47.9
G1S24_K40_Mar,G1S24,4,gain,stored,fam(G1S24_Ra226_Mar_2)/poly1,34.756,1.72,1023,3063.3,22.917,0.822,1.72,237.3,2204.1,4,237.3,47.9
G1S24_K40_Mar_2,G1S24,2,stored/grp,gain/grp,fam(G1S24_Ra226_Mar_2),7.404,0.747,1023,3075.9,6.467,0.287,0.747,1460.8,2614.5,2,1460.8,47.9
G1S24_K40_Petri,G1S24,5,poly2,poly2/grp,fam(G1S24_Ra226_Petri_2)/gain,41.801,0.419,1023,3074.3,19.188,0.202,0.239,239.3,2614.5,5,239.3,47.9
G1S24_K40_Petri_2,G1S24,2,ref-cal(G1S24_Ra226_Petri_2),gain,fam(G1S24_Ra226_Petri_2),12.158,0.778,1023,3033.0,10.93,0.298,0.778,1459.6,2614.5,2,1459.6,47.9
G1S24_Na22_P25,G1S24,5,affine/robust/grp,gain/grp,fam(G1S24_Th228_P25)/gain,6.283,1.133,1023,3057.2,5.338,0.431,1.133,511.0,1764.5,5,511.0,180.8
G1S24_Na22_P5,G1S24,5,affine/grp,affine,fam(G1S24_Th228_P5)/affine,0.572,0.013,1023,2929.4,0.551,0.01,0.013,198.1,1764.5,5,198.1,59.5
G1S24_Ra226_Denta120,G1S24,14,affine/robust/grp,affine/robust/grp,fam(G1S24_Ra226_Denta120)/affine,8.68,0.386,1023,3015.0,7.953,0.141,0.386,47.9,2614.5,14,47.9,47.9
G1S24_Ra226_Denta120_2,G1S24,11,affine/grp,affine,fam(G1S24_Ra226_Denta120)/gain,5.308,0.444,1023,3018.5,4.802,0.17,0.444,186.2,2614.5,11,186.2,47.9
G1S24_Ra226_Mar,G1S24,12,affine/grp,affine/grp,fam(G1S24_Ra226_Mar_2)/affine,0.0,0.0,1023,3065.5,0.0,0.0,0.0,47.9,2204.1,12,47.9,47.9
G1S24_Ra226_Mar_2,G1S24,13,affine,affine,fam(G1S24_Ra226_Mar_2),1.208,0.141,1023,3067.2,1.049,0.054,0.141,186.2,2614.5,13,186.2,47.9
G1S24_Ra226_Petri,G1S24,10,affine/robust/grp,affine/robust/grp,fam(G1S24_Ra226_Petri_2),0.607,0.162,0,-12.0,0.602,0.065,0.162,187.4,2204.1,10,187.4,47.9
G1S24_Ra226_Petri_2,G1S24,14,affine/grp,affine/grp,fam(G1S24_Ra226_Petri_2)/affine,1.01,0.054,1023,3007.9,0.954,0.022,0.054,47.9,2614.5,14,47.9,47.9
G1S24_Th228_P25,G1S24,9,affine,affine,fam(G1S24_Th228_P25),0.25,0.045,1023,3079.6,0.211,0.017,0.045,180.8,2614.5,9,180.8,180.8
G1S24_Th228_P5,G1S24,9,affine/robust/grp,affine/robust/grp,fam(G1S24_Th228_P5)/affine,5.458,0.429,1023,3050.8,5.15,0.172,0.429,238.7,2614.5,9,238.7,59.5
G1S24_Th232_Denta120,G1S24,7,affine/robust/grp,affine/robust/grp,fam(G1S24_Ra226_Denta120),4.221,0.226,1023,3036.1,3.829,0.084,0.226,238.4,2614.5,7,238.4,47.9
G1S24_Th232_Denta120_2,G1S24,11,affine/robust,gain/robust/grp,fam(G1S24_Ra226_Denta120),17.215,0.682,1023,3049.1,15.602,0.241,0.682,238.4,2614.5,11,238.4,47.9
G1S24_Th232_Mar,G1S24,9,poly2/grp,poly2/grp,poly2/grp,0.0,0.0,0,-14.2,0.0,0.0,0.0,238.4,2614.5,9,238.4,0.0
G1S24_Th232_Mar_2,G1S24,9,affine/grp,affine/grp,fam(G1S24_Ra226_Mar_2),1.808,0.086,1023,3066.6,1.621,0.032,0.086,238.4,2614.5,9,238.4,47.9
G1S24_Th232_Petri,G1S24,11,gain/grp,gain,fam(G1S24_Ra226_Petri_2),13.043,0.951,1023,3033.9,11.746,0.363,0.951,238.7,2614.5,11,238.7,47.9
G1S24_Th232_Petri_2,G1S24,10,gain/grp,gain/grp,fam(G1S24_Ra226_Petri_2),9.657,1.05,1023,3030.5,8.634,0.406,1.05,238.4,2614.5,10,238.4,47.9
G1S24_Y88_P25,G1S24,6,affine,affine,fam(G1S24_Th228_P25)/gain,5.532,0.231,1023,3080.3,4.928,0.087,0.231,237.3,1835.5,6,237.3,180.8
G1S24_Y88_P5,G1S24,5,affine/grp,affine,fam(G1S24_Th228_P5)/affine,0.704,0.022,1023,3030.0,0.642,0.008,0.022,198.1,1835.5,5,198.1,59.5
G1S24_Zn65_P5,G1S24,3,affine/grp,affine/grp,fam(G1S24_Th228_P5)/affine,28.278,2.395,1023,3020.7,25.362,0.919,2.395,239.3,1115.6,3,239.3,59.5
GS4000_Lu176,GS4000,4,gain,gain/grp,gain/grp,0.0,0.0,0,-4.7,0.0,0.0,0.0,88.3,511.0,4,88.3,0.0
GS4000_Ra226,GS4000,11,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-4.7,0.0,0.0,0.0,47.9,1759.0,11,47.9,0.0
GS4000_Th232,GS4000,8,affine/robust/grp,affine/grp,affine/grp,0.0,0.0,0,-11.8,0.0,0.0,0.0,238.9,967.5,8,238.9,0.0
GS4000_U,GS4000,7,affine/robust,affine,affine,0.0,0.0,0,-8.0,0.0,0.0,0.0,26.4,1460.7,7,26.4,0.0
HPGE_Uranium,HPGE,15,affine/robust/grp,affine/robust/grp,affine/robust/grp,0.0,0.0,0,0.1,0.0,0.0,0.0,63.3,1764.5,15,63.3,0.0
HPGeGEM_K40,HPGE_GEM,2,gain/grp,gain/grp,fam(HPGeGEM_Ra226)/gain,0.166,0.993,8191,2954.8,0.152,0.484,0.993,238.6,1460.8,2,238.6,186.2
HPGeGEM_Ra226,HPGE_GEM,12,poly2/grp,poly2/grp,fam(HPGeGEM_Ra226)/poly2,0.0,0.0,8191,2953.3,0.0,0.0,0.0,186.2,2204.1,12,186.2,186.2
HPGeGEM_Th232,HPGE_GEM,17,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-1.4,0.0,0.0,0.0,209.3,2614.5,17,209.3,0.0
HPGeGMX_Background,HPGE_GMX,11,affine/grp,poly2/grp,poly2/grp,0.0,0.0,0,-0.1,0.0,0.0,0.0,238.6,1460.7,11,238.6,0.0
HPGeGMX_Eu152,HPGE_GMX,7,affine/grp,affine/grp,fam(HPGeGMX_Eu152)/gain,0.162,1.079,8191,2692.1,0.162,0.53,1.079,778.9,1460.8,7,778.9,510.8
HPGeGMX_Th228,HPGE_GMX,6,affine/grp,affine,fam(HPGeGMX_Eu152)/gain,0.024,0.207,0,0.6,0.024,0.102,0.207,510.8,2614.5,6,510.8,510.8
HPGeGMX_Th232,HPGE_GMX,13,affine/robust/grp,affine/robust,affine/robust,0.0,0.0,0,0.6,0.0,0.0,0.0,209.3,2614.5,13,209.3,0.0
LaBrBril_Eu152,LABR_BRIL,13,affine/robust/grp,affine/robust/grp,fam(LaBrBril_Eu152),1.504,0.046,1023,2937.6,1.429,0.036,0.046,121.8,1764.5,13,121.8,121.8
LaBrBril_Th228,LABR_BRIL,11,affine/robust,affine/grp,fam(LaBrBril_Eu152)/gain,3.119,0.165,1023,2931.9,2.966,0.075,0.165,238.9,2614.5,11,238.9,121.8
OBS_UGlass,OBS,3,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-27.0,0.0,0.0,0.0,50.3,1765.2,3,50.3,0.0
RC101_I131,RC101,2,gain/grp,gain/grp,gain/grp,0.0,0.0,0,-8.5,0.0,0.0,0.0,364.0,623.7,2,364.0,0.0
RC103_Charoite,RC103,5,affine,affine/robust/grp,fam(RC103_Charoite)/gain,54.669,1.744,1023,2820.4,54.217,0.62,1.744,187.4,1390.6,5,187.4,187.4
RC103_Cs137_0cm,RC103,2,gain/recal/grp,gain/recal,fam(RC103_Th232WT20)/gain,7.472,0.337,1023,2834.0,7.361,0.13,0.337,198.1,660.3,2,198.1,60.3
RC103_K40,RC103,1,gain,ref-cal(RC103_Charoite),fam(RC103_Charoite),24.393,1.752,1023,2820.4,24.163,0.66,1.752,1459.6,1459.6,1,1459.6,187.4
RC103_K40Village,RC103,2,affine,stored/grp,stored/grp,0.0,0.0,0,-7.1,0.0,0.0,0.0,598.8,1460.8,2,598.8,0.0
RC103_Lu176,RC103,4,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-1.6,0.0,0.0,0.0,88.3,511.0,4,88.3,0.0
RC103_Th232Village,RC103,4,poly2,affine,fam(RC103_Charoite)/gain,5.625,0.402,1023,2801.7,5.62,0.151,0.402,238.4,2614.5,4,238.4,187.4
RC103_Th232WT20,RC103,6,poly2/robust/grp,poly2/grp,fam(RC103_Th232WT20)/poly2,1.6,0.166,502,1320.1,1.6,0.055,0.166,60.3,2614.5,6,60.3,60.3
