spectrum,det,n,corpus_mode,mode_a,mode_b,d_max_kev,d_max_fwhm,ch_max,e_at_max,d_work_kev,d_work_fwhm,d_below_lowest_fwhm,e_lo,e_hi,n_b,e_lo_b,fam_lo_b
G1S24_K40_Denta120,G1S24,6,poly2/grp,poly2/robust/grp,poly2/robust/grp,0.0,0.0,0,-11.5,0.0,0.0,0.0,239.3,2614.5,6,239.3,0.0
G1S24_K40_Denta120_2,G1S24,4,poly2/grp,poly2,poly2,0.0,0.0,0,-10.3,0.0,0.0,0.0,239.1,2614.5,4,239.1,0.0
G1S24_K40_Mar,G1S24,4,gain,stored,stored,0.0,0.0,0,-8.3,0.0,0.0,0.0,237.3,2204.1,4,237.3,0.0
G1S24_K40_Mar_2,G1S24,2,stored/grp,gain/grp,gain/grp,0.0,0.0,0,-8.3,0.0,0.0,0.0,1460.8,2614.5,2,1460.8,0.0
G1S24_K40_Petri,G1S24,5,poly2,poly2/grp,poly2/grp,0.0,0.0,0,-12.7,0.0,0.0,0.0,239.3,2614.5,5,239.3,0.0
G1S24_K40_Petri_2,G1S24,2,ref-cal(G1S24_Ra226_Petri_2),gain,gain,0.0,0.0,0,-15.2,0.0,0.0,0.0,1459.6,2614.5,2,1459.6,0.0
G1S24_Na22_P25,G1S24,5,affine/robust/grp,gain/grp,gain/grp,0.0,0.0,0,-8.5,0.0,0.0,0.0,511.0,1764.5,5,511.0,0.0
G1S24_Na22_P5,G1S24,5,affine/grp,affine,affine,0.0,0.0,0,17.4,0.0,0.0,0.0,198.1,1764.5,5,198.1,0.0
G1S24_Ra226_Denta120,G1S24,14,affine/robust/grp,affine/robust/grp,affine/robust/grp,0.0,0.0,0,-8.2,0.0,0.0,0.0,47.9,2614.5,14,47.9,0.0
G1S24_Ra226_Denta120_2,G1S24,11,affine/grp,affine,affine,0.0,0.0,0,-8.9,0.0,0.0,0.0,186.2,2614.5,11,186.2,0.0
G1S24_Ra226_Mar,G1S24,12,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-4.8,0.0,0.0,0.0,47.9,2204.1,12,47.9,0.0
G1S24_Ra226_Mar_2,G1S24,13,affine,affine,affine,0.0,0.0,0,-4.7,0.0,0.0,0.0,186.2,2614.5,13,186.2,0.0
G1S24_Ra226_Petri,G1S24,10,affine/robust/grp,affine/robust/grp,affine/robust/grp,0.0,0.0,0,-12.0,0.0,0.0,0.0,187.4,2204.1,10,187.4,0.0
G1S24_Ra226_Petri_2,G1S24,14,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-9.1,0.0,0.0,0.0,47.9,2614.5,14,47.9,0.0
G1S24_Th228_P25,G1S24,9,affine,affine,affine,0.0,0.0,0,-3.4,0.0,0.0,0.0,180.8,2614.5,9,180.8,0.0
G1S24_Th228_P5,G1S24,9,affine/robust/grp,affine/robust/grp,affine/robust/grp,0.0,0.0,0,-15.6,0.0,0.0,0.0,238.7,2614.5,9,238.7,0.0
G1S24_Th232_Denta120,G1S24,7,affine/robust/grp,affine/robust/grp,affine/robust/grp,0.0,0.0,0,-11.4,0.0,0.0,0.0,238.4,2614.5,7,238.4,0.0
G1S24_Th232_Denta120_2,G1S24,11,affine/robust,gain/robust/grp,gain/robust/grp,0.0,0.0,0,-13.2,0.0,0.0,0.0,238.4,2614.5,11,238.4,0.0
G1S24_Th232_Mar,G1S24,9,poly2/grp,poly2/grp,poly2/grp,0.0,0.0,0,-14.2,0.0,0.0,0.0,238.4,2614.5,9,238.4,0.0
G1S24_Th232_Mar_2,G1S24,9,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-4.9,0.0,0.0,0.0,238.4,2614.5,9,238.4,0.0
G1S24_Th232_Petri,G1S24,11,gain/grp,gain,gain,0.0,0.0,0,-15.2,0.0,0.0,0.0,238.7,2614.5,11,238.7,0.0
G1S24_Th232_Petri_2,G1S24,10,gain/grp,gain/grp,gain/grp,0.0,0.0,0,-15.2,0.0,0.0,0.0,238.4,2614.5,10,238.4,0.0
G1S24_Y88_P25,G1S24,6,affine,affine,affine,0.0,0.0,0,-2.6,0.0,0.0,0.0,237.3,1835.5,6,237.3,0.0
G1S24_Y88_P5,G1S24,5,affine/grp,affine,affine,0.0,0.0,0,-20.7,0.0,0.0,0.0,198.1,1835.5,5,198.1,0.0
G1S24_Zn65_P5,G1S24,3,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-5.0,0.0,0.0,0.0,239.3,1115.6,3,239.3,0.0
GS4000_Lu176,GS4000,4,gain,gain/grp,gain/grp,0.0,0.0,0,-4.7,0.0,0.0,0.0,88.3,511.0,4,88.3,0.0
GS4000_Ra226,GS4000,11,stored/grp,stored/grp,stored/grp,0.0,0.0,0,-4.7,0.0,0.0,0.0,47.9,1759.0,11,47.9,0.0
GS4000_Th232,GS4000,8,affine/robust/grp,affine/grp,affine/grp,0.0,0.0,0,-11.8,0.0,0.0,0.0,238.9,967.5,8,238.9,0.0
GS4000_U,GS4000,7,affine/robust,affine,affine,0.0,0.0,0,-8.0,0.0,0.0,0.0,26.4,1460.7,7,26.4,0.0
HPGE_Uranium,HPGE,15,affine/robust/grp,affine/robust/grp,affine/robust/grp,0.0,0.0,0,0.1,0.0,0.0,0.0,63.3,1764.5,15,63.3,0.0
HPGeGEM_K40,HPGE_GEM,2,gain/grp,gain/grp,gain/grp,0.0,0.0,0,-1.8,0.0,0.0,0.0,238.6,1460.8,2,238.6,0.0
HPGeGEM_Ra226,HPGE_GEM,12,poly2/grp,poly2/grp,poly2/grp,0.0,0.0,0,-1.7,0.0,0.0,0.0,186.2,2204.1,12,186.2,0.0
HPGeGEM_Th232,HPGE_GEM,17,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-1.4,0.0,0.0,0.0,209.3,2614.5,17,209.3,0.0
HPGeGMX_Background,HPGE_GMX,11,affine/grp,poly2/grp,poly2/grp,0.0,0.0,0,-0.1,0.0,0.0,0.0,238.6,1460.7,11,238.6,0.0
HPGeGMX_Eu152,HPGE_GMX,7,affine/grp,affine/grp,affine/grp,0.0,0.0,0,0.7,0.0,0.0,0.0,778.9,1460.8,7,778.9,0.0
HPGeGMX_Th228,HPGE_GMX,6,affine/grp,affine,affine,0.0,0.0,0,0.6,0.0,0.0,0.0,510.8,2614.5,6,510.8,0.0
HPGeGMX_Th232,HPGE_GMX,13,affine/robust/grp,affine/robust,affine/robust,0.0,0.0,0,0.6,0.0,0.0,0.0,209.3,2614.5,13,209.3,0.0
LaBrBril_Eu152,LABR_BRIL,13,affine/robust/grp,affine/robust/grp,affine/robust/grp,0.0,0.0,0,-0.9,0.0,0.0,0.0,121.8,1764.5,13,121.8,0.0
LaBrBril_Th228,LABR_BRIL,11,affine/robust,affine/grp,affine/grp,0.0,0.0,0,-0.7,0.0,0.0,0.0,238.9,2614.5,11,238.9,0.0
OBS_UGlass,OBS,3,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-27.0,0.0,0.0,0.0,50.3,1765.2,3,50.3,0.0
RC101_I131,RC101,2,gain/grp,gain/grp,gain/grp,0.0,0.0,0,-8.5,0.0,0.0,0.0,364.0,623.7,2,364.0,0.0
RC103_Charoite,RC103,5,affine,affine/robust/grp,affine/robust/grp,0.0,0.0,0,-26.2,0.0,0.0,0.0,187.4,1390.6,5,187.4,0.0
RC103_Cs137_0cm,RC103,2,gain/recal/grp,gain/recal,gain/recal,0.0,0.0,0,1.6,0.0,0.0,0.0,198.1,660.3,2,198.1,0.0
RC103_K40,RC103,1,gain,ref-cal(RC103_Charoite),ref-cal(RC103_Charoite),0.0,0.0,0,-26.2,0.0,0.0,0.0,1459.6,1459.6,1,1459.6,0.0
RC103_K40Village,RC103,2,affine,stored/grp,stored/grp,0.0,0.0,0,-7.1,0.0,0.0,0.0,598.8,1460.8,2,598.8,0.0
RC103_Lu176,RC103,4,affine/grp,affine/grp,affine/grp,0.0,0.0,0,-1.6,0.0,0.0,0.0,88.3,511.0,4,88.3,0.0
RC103_Th232Village,RC103,4,poly2,affine,affine,0.0,0.0,0,-17.2,0.0,0.0,0.0,238.4,2614.5,4,238.4,0.0
RC103_Th232WT20,RC103,6,poly2/robust/grp,poly2/grp,poly2/grp,0.0,0.0,0,-3.3,0.0,0.0,0.0,60.3,2614.5,6,60.3,0.0
