family,det,members,anchors,kept,family_fit,spectrum,n_own,mode_donor,mode_family,d_max_kev,d_max_fwhm,d_work_kev,d_work_fwhm,e_lo_own,e_lo_family
G1S24_Ra226_Denta120,G1S24,8,59,56,affine/robust,G1S24_K40_Denta120,6,poly2/robust/grp,fam(G1S24_Ra226_Denta120),47.043,0.519,26.753,0.307,239.3,47.9
G1S24_Ra226_Denta120,G1S24,8,59,56,affine/robust,G1S24_K40_Denta120_2,4,poly2,fam(G1S24_Ra226_Denta120)/poly2,4.002,0.536,4.002,0.215,239.1,47.9
G1S24_Ra226_Denta120,G1S24,8,59,56,affine/robust,G1S24_Ra226_Denta120,14,affine/robust/grp,fam(G1S24_Ra226_Denta120)/affine,8.68,0.38,7.934,0.142,47.9,47.9
G1S24_Ra226_Denta120,G1S24,8,59,56,affine/robust,G1S24_Ra226_Denta120_2,11,affine,fam(G1S24_Ra226_Denta120)/gain,5.308,0.442,4.795,0.165,186.2,47.9
G1S24_Ra226_Denta120,G1S24,8,59,56,affine/robust,G1S24_Th232_Denta120,7,affine/robust/grp,fam(G1S24_Ra226_Denta120),4.221,0.222,3.834,0.081,238.4,47.9
G1S24_Ra226_Denta120,G1S24,8,59,56,affine/robust,G1S24_Th232_Denta120_2,11,gain/robust/grp,fam(G1S24_Ra226_Denta120),17.215,0.691,15.696,0.246,238.4,47.9
G1S24_Ra226_Mar_2,G1S24,7,47,46,affine/robust,G1S24_Cs137_Mar,3,affine,fam(G1S24_Ra226_Mar_2)/affine,1.131,0.125,0.969,0.049,186.2,47.9
G1S24_Ra226_Mar_2,G1S24,7,47,46,affine/robust,G1S24_Cs137_Mar_2,4,affine,fam(G1S24_Ra226_Mar_2)/gain,8.315,0.209,7.635,0.09,198.1,47.9
G1S24_Ra226_Mar_2,G1S24,7,47,46,affine/robust,G1S24_K40_Mar,4,stored,fam(G1S24_Ra226_Mar_2)/poly1,34.756,1.799,23.671,0.852,237.3,47.9
G1S24_Ra226_Mar_2,G1S24,7,47,46,affine/robust,G1S24_K40_Mar_2,2,gain/grp,fam(G1S24_Ra226_Mar_2),7.404,0.749,6.488,0.288,1460.8,47.9
G1S24_Ra226_Mar_2,G1S24,7,47,46,affine/robust,G1S24_Ra226_Mar,12,affine/grp,fam(G1S24_Ra226_Mar_2)/affine,0.0,0.0,0.0,0.0,47.9,47.9
G1S24_Ra226_Mar_2,G1S24,7,47,46,affine/robust,G1S24_Ra226_Mar_2,13,affine,fam(G1S24_Ra226_Mar_2),1.208,0.148,1.049,0.057,186.2,47.9
G1S24_Ra226_Mar_2,G1S24,7,47,46,affine/robust,G1S24_Th232_Mar_2,9,affine/grp,fam(G1S24_Ra226_Mar_2),1.808,0.085,1.619,0.032,238.4,47.9
G1S24_Ra226_Petri_2,G1S24,8,59,58,affine/robust,G1S24_Cs137_Petri,3,poly2,fam(G1S24_Ra226_Petri_2)/affine,31.218,4.535,24.874,1.766,661.7,47.9
G1S24_Ra226_Petri_2,G1S24,8,59,58,affine/robust,G1S24_Cs137_Petri_2,4,affine/grp,fam(G1S24_Ra226_Petri_2)/gain,3.584,0.275,3.386,0.111,198.1,47.9
G1S24_Ra226_Petri_2,G1S24,8,59,58,affine/robust,G1S24_K40_Petri,5,poly2/grp,fam(G1S24_Ra226_Petri_2)/gain,41.801,0.426,20.664,0.219,239.3,47.9
G1S24_Ra226_Petri_2,G1S24,8,59,58,affine/robust,G1S24_K40_Petri_2,2,gain,fam(G1S24_Ra226_Petri_2),12.158,0.945,10.99,0.358,1459.6,47.9
G1S24_Ra226_Petri_2,G1S24,8,59,58,affine/robust,G1S24_Ra226_Petri,10,affine/robust/grp,fam(G1S24_Ra226_Petri_2),0.607,0.152,0.602,0.06,187.4,47.9
G1S24_Ra226_Petri_2,G1S24,8,59,58,affine/robust,G1S24_Ra226_Petri_2,14,affine/grp,fam(G1S24_Ra226_Petri_2)/affine,1.01,0.052,0.954,0.022,47.9,47.9
G1S24_Ra226_Petri_2,G1S24,8,59,58,affine/robust,G1S24_Th232_Petri,11,gain,fam(G1S24_Ra226_Petri_2),13.043,0.945,11.809,0.357,238.7,47.9
G1S24_Ra226_Petri_2,G1S24,8,59,58,affine/robust,G1S24_Th232_Petri_2,10,gain/grp,fam(G1S24_Ra226_Petri_2),9.657,0.943,8.672,0.36,238.4,47.9
G1S24_Th228_P25,G1S24,4,25,23,affine/robust,G1S24_Cs137_P25,5,affine/grp,fam(G1S24_Th228_P25)/gain,7.228,0.279,6.439,0.1,198.1,180.8
G1S24_Th228_P25,G1S24,4,25,23,affine/robust,G1S24_Na22_P25,5,gain/grp,fam(G1S24_Th228_P25)/gain,6.283,1.155,5.361,0.445,511.0,180.8
G1S24_Th228_P25,G1S24,4,25,23,affine/robust,G1S24_Th228_P25,9,affine,fam(G1S24_Th228_P25),0.25,0.045,0.211,0.017,180.8,180.8
G1S24_Th228_P25,G1S24,4,25,23,affine/robust,G1S24_Y88_P25,6,affine,fam(G1S24_Th228_P25)/gain,5.532,0.246,4.921,0.09,237.3,180.8
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Am241_P5,2,affine/recal/grp,fam(G1S24_Th228_P5),19.326,0.832,17.72,0.31,59.5,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Ba133_P5,4,affine/grp,fam(G1S24_Th228_P5)/affine,3.017,0.132,2.741,0.048,80.9,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Bi207_P5,5,affine/grp,fam(G1S24_Th228_P5)/affine,14.651,0.147,13.676,0.143,198.1,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Cd109_P5,2,gain/grp,fam(G1S24_Th228_P5),69.948,1.251,64.64,0.674,88.0,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Co60_P5,7,affine/grp,fam(G1S24_Th228_P5)/affine,3.496,0.371,3.172,0.142,239.3,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Cs137_P5,3,affine/grp,fam(G1S24_Th228_P5)/gain,3.965,0.086,3.733,0.039,198.1,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Eu152_P5,8,gain/grp,fam(G1S24_Th228_P5)/affine,10.062,0.689,9.14,0.259,121.8,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Na22_P5,5,affine,fam(G1S24_Th228_P5)/affine,0.572,0.014,0.551,0.011,198.1,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Th228_P5,9,affine/robust/grp,fam(G1S24_Th228_P5)/affine,5.458,0.428,5.143,0.175,238.7,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Y88_P5,5,affine,fam(G1S24_Th228_P5)/affine,0.704,0.026,0.642,0.009,198.1,59.5
G1S24_Th228_P5,G1S24,11,53,48,affine/robust,G1S24_Zn65_P5,3,affine/grp,fam(G1S24_Th228_P5)/affine,28.278,2.481,25.706,1.091,239.3,59.5
HPGeGEM_Ra226,HPGE_GEM,2,14,14,affine,HPGeGEM_K40,2,gain/grp,fam(HPGeGEM_Ra226)/gain,0.166,0.989,0.152,0.481,238.6,186.2
HPGeGEM_Ra226,HPGE_GEM,2,14,14,affine,HPGeGEM_Ra226,12,poly2/grp,fam(HPGeGEM_Ra226)/poly2,0.0,0.0,0.0,0.0,186.2,186.2
HPGeGMX_Eu152,HPGE_GMX,2,13,13,affine,HPGeGMX_Eu152,7,affine/grp,fam(HPGeGMX_Eu152)/gain,0.162,1.051,0.162,0.514,778.9,510.8
HPGeGMX_Eu152,HPGE_GMX,2,13,13,affine,HPGeGMX_Th228,6,affine,fam(HPGeGMX_Eu152)/gain,0.024,0.213,0.024,0.105,510.8,510.8
LaBrBril_Eu152,LABR_BRIL,2,24,22,affine/robust,LaBrBril_Eu152,13,affine/robust/grp,fam(LaBrBril_Eu152),1.504,0.046,1.428,0.036,121.8,121.8
LaBrBril_Eu152,LABR_BRIL,2,24,22,affine/robust,LaBrBril_Th228,11,affine/grp,fam(LaBrBril_Eu152)/gain,3.119,0.165,2.963,0.075,238.9,121.8
RC103_Charoite,RC103,3,10,10,affine,RC103_Charoite,5,affine/robust/grp,fam(RC103_Charoite)/gain,54.669,1.654,54.669,0.58,187.4,187.4
RC103_Charoite,RC103,3,10,10,affine,RC103_K40,1,ref-cal(RC103_Charoite),fam(RC103_Charoite),24.393,1.648,24.393,0.609,1459.6,187.4
RC103_Charoite,RC103,3,10,10,affine,RC103_Th232Village,4,affine,fam(RC103_Charoite)/gain,5.625,0.4,5.604,0.155,238.4,187.4
RC103_Th232WT20,RC103,2,8,7,affine/robust,RC103_Cs137_0cm,2,gain/recal,fam(RC103_Th232WT20)/gain,7.472,0.334,7.331,0.126,198.1,60.3
RC103_Th232WT20,RC103,2,8,7,affine/robust,RC103_Th232WT20,6,poly2/grp,fam(RC103_Th232WT20)/poly2,1.6,0.167,1.6,0.056,60.3,60.3
