spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
edge1709,edge93,3.3,Fe2.0,asis,905.892,124.362,77.3546,9.54491,905.892,905.892,905.892,77.3546,77.3546,7.72124,43.4663,0.480254,-0.0767454,-0.0558278,-0.0909888,-0.116911,0.0456318,31.9238,1.00837,-23.2263,64212.5,-112102,77.1251,80070.6,edge1709__AS80_p67_edge93_r33_ring20__asis
edge1709_bg0,edge93,2.8,Al1.0,asis,856.695,208.503,133.018,29.8873,856.695,856.695,856.695,133.018,133.018,2.97973,3.76143,0.13659,-0.0127316,-0.0172294,-0.0522188,-0.109349,-0.0371932,25.4858,1.00848,-17.7432,-1207.99,2670.21,34.6998,80070.6,edge1709_bg0__AS80_p88_edge93_r28_al__asis
edge1709_bg0,edge93,3.3,Al1.0,asis,889.69,193.194,132.783,27.5958,889.69,889.69,889.69,132.783,132.783,3.16778,4.23073,0.147742,-0.030673,-0.0192038,-0.0480653,-0.0986408,-0.020702,26.0634,1.00841,-17.7792,-1202.38,2483.85,35.0722,80070.6,edge1709_bg0__AS80_p88_edge93_r33_al__asis
edge1709_bg0,edge93,3.8,Al1.0,asis,793.105,144.693,275.246,55.446,793.105,793.105,793.105,275.246,275.246,3.8072,9.84106,0.244439,-0.194865,-0.022033,-0.0209517,-0.115634,-0.140534,26.5043,1.01376,-57.9261,-2956.16,2046.53,33.5957,80070.6,edge1709_bg0__AS80_p88_edge93_r38_al__asis
edge1709_bg0,edge93,3.3,Fe0.5,asis,894.201,190.369,135.551,27.7565,894.201,894.201,894.201,135.551,135.551,3.19374,4.31091,0.149555,-0.0340888,-0.0192269,-0.0481159,-0.099124,-0.0194518,26.0612,1.00841,-17.8629,-1279.48,2596.76,35.1608,80070.6,edge1709_bg0__AS80_p67_edge93_r33_ring05__asis
edge1709_bg0,edge93,2.8,Fe1.0,asis,882.468,203.671,136.96,29.3547,882.468,882.468,882.468,136.96,136.96,3.04411,3.92004,0.140449,-0.0170053,-0.0176843,-0.0519924,-0.105019,-0.0302726,25.0034,1.00835,-17.7447,-1004.4,2784.19,34.8281,80070.6,edge1709_bg0__AS80_p67_edge93_r28__asis
edge1709_bg0,edge93,3.3,Fe1.0,asis,910.928,186.279,143.026,28.3699,910.928,910.928,910.928,143.026,143.026,3.24766,4.44383,0.152528,-0.0393698,-0.0178891,-0.0523755,-0.102253,-0.0203227,25.4791,1.00834,-17.9766,-1379.51,2615.6,35.1316,80070.6,edge1709_bg0__AS80_p67_edge93_r33__asis
edge1709_bg0,edge93,3.8,Fe1.0,asis,817.08,145.393,282.843,55.6004,817.08,817.08,817.08,282.843,282.843,3.77541,9.79282,0.243771,-0.199085,-0.0208704,-0.0227076,-0.113987,-0.131177,26.024,1.0138,-58.1091,-2709.79,2216.16,33.688,80070.6,edge1709_bg0__AS80_p67_edge93_r38__asis
edge1709_bg0,edge93,4.2,Fe1.0,asis,836.721,140.721,289.81,53.9342,836.721,836.721,836.721,289.81,289.81,4.00765,10.5106,0.253541,-0.20486,-0.0235538,-0.0233325,-0.115128,-0.128975,26.2867,1.01371,-57.7477,-2848.06,2222.92,33.8496,80070.6,edge1709_bg0__AS80_p67_edge93_r42__asis
edge1709_bg0,edge93,4.345,Fe1.0,asis,853.878,143.952,295.033,54.1351,853.878,853.878,853.878,295.033,295.033,3.80975,9.73065,0.242907,-0.235174,-0.0404097,-0.0313877,-0.109743,-0.114522,28.378,1.01376,-58.334,-2929.41,2331.49,34.1545,80070.6,edge1709_bg0__AS80_p67_edge93_p13__asis
edge1709_bg0,edge93,3.3,Fe2.0,asis,818.845,145.697,287.771,56.387,818.845,818.845,818.845,287.771,287.771,3.78047,9.77448,0.243517,-0.189756,-0.0234695,-0.0222288,-0.115302,-0.131471,25.0787,1.01371,-57.8016,-3327.81,2218.91,33.7105,80070.6,edge1709_bg0__AS80_p67_edge93_r33_ring20__asis
edge93,edge93,2.8,Al1.0,asis,765.294,95.9968,,,765.294,765.294,765.294,,,4.24466,30.433,0.640061,-0.00499484,-0.05415,-0.113807,-0.118714,0.0155141,35.0977,1.00437,-14.4409,18532.6,-33583.8,80.7943,23492.2,edge93__AS80_p88_edge93_r28_al__asis
edge93,edge93,3.3,Al1.0,asis,803.777,93.9108,,,803.777,803.777,803.777,,,4.31945,30.5484,0.641315,-0.0160575,-0.0518315,-0.105179,-0.106245,0.0438227,34.85,1.00436,-14.4264,18564.1,-33589.3,81.509,23492.2,edge93__AS80_p88_edge93_r33_al__asis
edge93,edge93,3.8,Al1.0,asis,835.781,90.8229,,,835.781,835.781,835.781,,,4.37909,30.5855,0.641718,-0.0394675,-0.0496921,-0.105104,-0.103402,0.0663042,34.9435,1.00525,-18.6579,18686.3,-33450.2,81.4207,23492.2,edge93__AS80_p88_edge93_r38_al__asis
edge93,edge93,3.3,Fe0.5,asis,812.869,93.7229,,,812.869,812.869,812.869,,,4.32374,30.509,0.640888,-0.0169607,-0.0513756,-0.104167,-0.104911,0.05067,34.5975,1.00435,-14.4398,18618.2,-33479.4,81.502,23492.2,edge93__AS80_p67_edge93_r33_ring05__asis
edge93,edge93,2.8,Fe1.0,asis,795.174,95.6737,,,795.174,795.174,795.174,,,4.25334,30.4154,0.63987,-0.006684,-0.0535255,-0.111398,-0.11212,0.0306784,34.1688,1.00421,-14.3626,18661.6,-33475.4,80.9338,23492.2,edge93__AS80_p67_edge93_r28__asis
edge93,edge93,3.3,Fe1.0,asis,831.194,92.9782,,,831.194,831.194,831.194,,,4.35023,30.4961,0.640748,-0.0212308,-0.0495104,-0.109446,-0.107087,0.0548695,34.1689,1.00467,-15.5275,18727.3,-33348.6,81.3725,23492.2,edge93__AS80_p67_edge93_r33__asis
edge93,edge93,3.8,Fe1.0,asis,859.727,89.8774,,,859.727,859.727,859.727,,,4.39733,30.5704,0.641515,-0.0431261,-0.0487131,-0.107051,-0.101661,0.0752951,34.5635,1.00527,-18.735,18840.7,-33314.7,81.5286,23492.2,edge93__AS80_p67_edge93_r38__asis
edge93,edge93,4.2,Fe1.0,asis,879.856,87.662,,,879.856,879.856,879.856,,,4.43636,30.6393,0.642263,-0.057355,-0.0478266,-0.107178,-0.102661,0.0774517,34.8311,1.00524,-18.5122,18790.2,-33322.2,81.3953,23492.2,edge93__AS80_p67_edge93_r42__asis
edge93,edge93,4.345,Fe1.0,asis,889.901,83.0893,,,889.901,889.901,889.901,,,4.51029,30.7755,0.643738,-0.0939918,-0.0591125,-0.116909,-0.0992502,0.0857774,37.4895,1.00524,-18.7787,18813,-33282.3,81.268,23492.2,edge93__AS80_p67_edge93_p13__asis
