спектр               геом        ρ кольцо пл       |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль |    r1394    r1461  b1-2M
contact_cal0809      contact  4.34 Fe1.0  asis     |    953.9  172.8    114.4   24.4 |   3.704  14.56  30.1% |   -4.5%   -1.2%   -2.9%   -4.1%   +2.1% |  14.9% |  1.0068  -17.05 |     2718    -4418  36.6%
contact_cal0809_bg0  contact  3.30 Al1.0  asis     |    914.2  203.0    137.6   33.0 |   2.815   5.41  17.5% |   -1.2%   -0.0%   -1.5%   -4.6%   -3.5% |  13.7% |  1.0043   -3.27 |     -583      180  27.3%
contact_cal0809_bg0  contact  2.80 Fe1.0  asis     |    897.1  226.2    131.0   34.0 |   2.533   3.98  14.4% |   +0.0%   -0.5%   -2.2%   -5.1%   -3.0% |  14.4% |  1.0030     nan |     -550      167  26.9%
contact_cal0809_bg0  contact  3.30 Fe1.0  asis     |    912.8  202.7    138.3   33.1 |   2.817   5.45  17.6% |   -1.2%   -0.1%   -1.4%   -4.5%   -3.3% |  13.4% |  1.0042   -3.23 |     -558      193  27.3%
contact_cal0809_bg0  contact  3.80 Fe1.0  asis     |    928.9  193.7    131.2   30.1 |   3.010   6.66  19.8% |   -1.7%   -0.2%   -1.8%   -3.8%   -1.6% |  13.1% |  1.0023   11.63 |     -549      195  27.5%
contact_cal0809_bg0  contact  4.20 Fe1.0  asis     |    935.9  183.3    122.6   26.9 |   3.211   7.39  21.1% |   -1.9%   -0.9%   -2.5%   -4.4%   -1.7% |  13.6% |  1.0068  -16.83 |     -515      201  27.6%
contact_cal0809_bg0  contact  4.34 Fe1.0  asis     |    955.8  182.0    122.2   26.2 |   3.247   7.67  21.5% |   -4.4%   -0.9%   -2.3%   -3.4%   +0.9% |  14.2% |  1.0068  -16.96 |     -455      225  27.9%
edge1709             edge93   2.80 Al1.0  asis     |    849.2  127.4     50.2    7.2 |   7.453  42.49  47.5% |   -1.2%   -5.0%   -9.5%  -11.9%   +4.4% |  31.7% |  1.0071  -16.41 |    64831  -112093  76.9%
edge1709             edge93   3.30 Al1.0  asis     |    883.7  136.0      nan    nan |   7.718  43.13  47.8% |   -3.0%   -7.1%  -10.7%  -11.1%   +6.2% |  34.6% |  1.0071  -16.34 |    65328  -112254  77.0%
edge1709             edge93   3.80 Al1.0  asis     |    881.5  123.4     68.0    8.6 |   7.765  43.65  48.1% |   -8.2%   -5.5%   -9.0%  -11.7%   +4.0% |  33.3% |  1.0084  -22.76 |    64575  -112266  77.4%
edge1709             edge93   3.30 Fe0.5  asis     |    871.0  127.7     50.2    6.7 |   7.695  43.19  47.9% |   -4.6%   -5.4%   -9.3%  -11.6%   +4.3% |  33.2% |  1.0078  -18.62 |    64740  -112153  77.4%
edge1709             edge93   2.80 Fe1.0  asis     |    874.5  124.7     51.0    7.1 |   7.519  42.63  47.5% |   -1.7%   -5.0%   -9.5%  -11.6%   +4.9% |  31.3% |  1.0070  -16.49 |    65194  -111808  77.0%
edge1709             edge93   3.30 Fe1.0  asis     |    879.3  113.1     75.8    9.7 |   7.734  43.43  48.0% |   -7.1%   -5.0%   -9.1%  -11.7%   +3.3% |  31.9% |  1.0082  -23.12 |    64686  -111956  77.5%
edge1709             edge93   3.80 Fe1.0  asis     |    904.2  122.1     69.7    8.6 |   7.795  43.72  48.2% |   -8.7%   -5.5%   -9.3%  -11.6%   +4.6% |  33.0% |  1.0084  -22.88 |    65147  -111778  77.5%
edge1709             edge93   4.20 Fe1.0  asis     |    935.2  125.5      nan    nan |   7.967  44.02  48.3% |   -9.5%   -7.9%  -11.6%  -11.6%   +5.9% |  36.2% |  1.0083  -22.31 |    65572  -111839  76.6%
edge1709             edge93   4.34 Fe1.0  asis     |    939.6  120.6      nan    nan |   8.100  44.67  48.7% |  -13.6%   -9.2%  -12.9%  -11.4%   +6.3% |  39.0% |  1.0083  -22.30 |    65409  -111945  76.4%
edge1709             edge93   3.30 Fe2.0  asis     |    905.9  124.4     77.4    9.5 |   7.721  43.47  48.0% |   -7.7%   -5.6%   -9.1%  -11.7%   +4.6% |  31.9% |  1.0084  -23.23 |    64212  -112102  77.1%
edge1709_bg0         edge93   2.80 Al1.0  asis     |    856.7  208.5    133.0   29.9 |   2.980   3.76  13.7% |   -1.3%   -1.7%   -5.2%  -10.9%   -3.7% |  25.5% |  1.0085  -17.74 |    -1208     2670  34.7%
edge1709_bg0         edge93   3.30 Al1.0  asis     |    889.7  193.2    132.8   27.6 |   3.168   4.23  14.8% |   -3.1%   -1.9%   -4.8%   -9.9%   -2.1% |  26.1% |  1.0084  -17.78 |    -1202     2484  35.1%
edge1709_bg0         edge93   3.80 Al1.0  asis     |    793.1  144.7    275.2   55.4 |   3.807   9.84  24.4% |  -19.5%   -2.2%   -2.1%  -11.6%  -14.1% |  26.5% |  1.0138  -57.93 |    -2956     2047  33.6%
edge1709_bg0         edge93   3.30 Fe0.5  asis     |    894.2  190.4    135.6   27.8 |   3.194   4.31  15.0% |   -3.4%   -1.9%   -4.8%   -9.9%   -1.9% |  26.1% |  1.0084  -17.86 |    -1279     2597  35.2%
edge1709_bg0         edge93   2.80 Fe1.0  asis     |    882.5  203.7    137.0   29.4 |   3.044   3.92  14.0% |   -1.7%   -1.8%   -5.2%  -10.5%   -3.0% |  25.0% |  1.0083  -17.74 |    -1004     2784  34.8%
edge1709_bg0         edge93   3.30 Fe1.0  asis     |    910.9  186.3    143.0   28.4 |   3.248   4.44  15.3% |   -3.9%   -1.8%   -5.2%  -10.2%   -2.0% |  25.5% |  1.0083  -17.98 |    -1380     2616  35.1%
edge1709_bg0         edge93   3.80 Fe1.0  asis     |    817.1  145.4    282.8   55.6 |   3.775   9.79  24.4% |  -19.9%   -2.1%   -2.3%  -11.4%  -13.1% |  26.0% |  1.0138  -58.11 |    -2710     2216  33.7%
edge1709_bg0         edge93   4.20 Fe1.0  asis     |    836.7  140.7    289.8   53.9 |   4.008  10.51  25.4% |  -20.5%   -2.4%   -2.3%  -11.5%  -12.9% |  26.3% |  1.0137  -57.75 |    -2848     2223  33.8%
edge1709_bg0         edge93   4.34 Fe1.0  asis     |    853.9  144.0    295.0   54.1 |   3.810   9.73  24.3% |  -23.5%   -4.0%   -3.1%  -11.0%  -11.5% |  28.4% |  1.0138  -58.33 |    -2929     2331  34.2%
edge1709_bg0         edge93   3.30 Fe2.0  asis     |    818.8  145.7    287.8   56.4 |   3.780   9.77  24.4% |  -19.0%   -2.3%   -2.2%  -11.5%  -13.1% |  25.1% |  1.0137  -57.80 |    -3328     2219  33.7%
edge93               edge93   2.80 Al1.0  asis     |    765.3   96.0      nan    nan |   4.245  30.43  64.0% |   -0.5%   -5.4%  -11.4%  -11.9%   +1.6% |  35.1% |  1.0044  -14.44 |    18533   -33584  80.8%
edge93               edge93   3.30 Al1.0  asis     |    803.8   93.9      nan    nan |   4.319  30.55  64.1% |   -1.6%   -5.2%  -10.5%  -10.6%   +4.4% |  34.8% |  1.0044  -14.43 |    18564   -33589  81.5%
edge93               edge93   3.80 Al1.0  asis     |    835.8   90.8      nan    nan |   4.379  30.59  64.2% |   -3.9%   -5.0%  -10.5%  -10.3%   +6.6% |  34.9% |  1.0053  -18.66 |    18686   -33450  81.4%
edge93               edge93   3.30 Fe0.5  asis     |    812.9   93.7      nan    nan |   4.324  30.51  64.1% |   -1.7%   -5.1%  -10.4%  -10.5%   +5.1% |  34.6% |  1.0043  -14.44 |    18618   -33479  81.5%
edge93               edge93   2.80 Fe1.0  asis     |    795.2   95.7      nan    nan |   4.253  30.42  64.0% |   -0.7%   -5.4%  -11.1%  -11.2%   +3.1% |  34.2% |  1.0042  -14.36 |    18662   -33475  80.9%
edge93               edge93   3.30 Fe1.0  asis     |    831.2   93.0      nan    nan |   4.350  30.50  64.1% |   -2.1%   -5.0%  -10.9%  -10.7%   +5.5% |  34.2% |  1.0047  -15.53 |    18727   -33349  81.4%
edge93               edge93   3.80 Fe1.0  asis     |    859.7   89.9      nan    nan |   4.397  30.57  64.2% |   -4.3%   -4.9%  -10.7%  -10.2%   +7.5% |  34.6% |  1.0053  -18.74 |    18841   -33315  81.5%
edge93               edge93   4.20 Fe1.0  asis     |    879.9   87.7      nan    nan |   4.436  30.64  64.2% |   -5.7%   -4.8%  -10.7%  -10.3%   +7.7% |  34.8% |  1.0052  -18.51 |    18790   -33322  81.4%
edge93               edge93   4.34 Fe1.0  asis     |    889.9   83.1      nan    nan |   4.510  30.78  64.4% |   -9.4%   -5.9%  -11.7%   -9.9%   +8.6% |  37.5% |  1.0052  -18.78 |    18813   -33282  81.3%
edge93               edge93   3.30 Fe2.0  asis     |    862.3   91.6      nan    nan |   4.360  30.51  64.1% |   -3.2%   -5.2%  -10.8%  -10.2%   +7.6% |  33.7% |  1.0051  -18.64 |    18623   -33374  81.1%
edge93_bg0           edge93   2.80 Al1.0  asis     |    773.3  155.6    118.8   22.2 |   1.609   1.73  12.8% |   -0.9%   -0.7%   -4.9%   -9.8%   -6.8% |  25.6% |  1.0041  -16.03 |     -285      632  43.2%
edge93_bg0           edge93   3.30 Al1.0  asis     |    815.3  162.4    118.7   21.0 |   1.654   1.80  13.4% |   -1.9%   -0.7%   -4.1%   -8.1%   -3.8% |  25.3% |  1.0041  -16.00 |     -284      595  43.4%
edge93_bg0           edge93   3.80 Al1.0  asis     |    815.1  148.1    168.3   30.3 |   1.742   2.04  15.2% |   -7.9%   +0.2%   -2.9%   -8.6%   -5.4% |  24.8% |  1.0063  -27.68 |     -481      547  43.1%
edge93_bg0           edge93   3.30 Fe0.5  asis     |    822.3  161.5    121.2   21.2 |   1.666   1.82  13.5% |   -2.0%   -0.6%   -4.0%   -7.9%   -3.4% |  25.2% |  1.0041  -16.06 |     -294      636  43.5%
edge93_bg0           edge93   2.80 Fe1.0  asis     |    798.8  164.0    115.4   20.8 |   1.643   1.79  13.3% |   -1.0%   -1.0%   -5.1%   -9.8%   -5.9% |  25.3% |  1.0053  -16.07 |     -225      671  43.5%
edge93_bg0           edge93   3.30 Fe1.0  asis     |    836.3  158.4    119.1   20.1 |   1.719   1.89  14.1% |   -2.2%   -0.8%   -4.8%   -8.7%   -3.4% |  25.3% |  1.0053  -16.19 |     -306      653  43.8%
edge93_bg0           edge93   3.80 Fe1.0  asis     |    798.0  126.4    205.5   34.4 |   1.839   2.44  17.9% |  -12.5%   +0.2%   -2.8%   -9.6%   -8.9% |  25.1% |  1.0083  -37.63 |     -558      530  42.9%
edge93_bg0           edge93   4.20 Fe1.0  asis     |    857.4  143.5    177.4   29.8 |   1.792   2.14  15.9% |   -9.4%   +0.2%   -3.2%   -8.3%   -4.4% |  24.8% |  1.0062  -27.72 |     -448      591  43.2%
edge93_bg0           edge93   4.34 Fe1.0  asis     |    873.0  138.1    185.2   29.4 |   1.834   2.28  16.9% |  -12.6%   -1.1%   -3.9%   -7.6%   -3.0% |  27.1% |  1.0063  -28.35 |     -463      608  43.4%
edge93_bg0           edge93   3.30 Fe2.0  asis     |    796.7  126.8    212.6   35.4 |   1.840   2.43  17.9% |  -11.7%   -0.0%   -2.7%   -9.8%   -9.3% |  24.1% |  1.0083  -38.01 |     -739      517  42.8%
