spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
edge1709_bg0,edge93,3.3,Fe0.5,eq,960.277,146.579,220.881,37.9818,960.277,960.277,960.277,220.881,220.881,6.30744,19.2606,0.331481,-0.0206124,0.0206347,0.0319804,0.00684304,0.0132372,16.3496,1.00652,-19.0159,-61022.1,107963,74.309,80070.6,edge1709_bg0__AS80_p67_edge93_r33_ring05__eq
edge1709_bg0,edge93,2.8,Fe1.0,eq,940.313,150.895,221.516,39.3672,940.313,940.313,940.313,221.516,221.516,6.1763,18.9698,0.32885,-0.00717321,0.0206949,0.0240384,-0.00426873,0.00218024,15.5488,1.0065,-18.8788,-60399.1,108515,74.4897,80070.6,edge1709_bg0__AS80_p67_edge93_r28__eq
edge1709_bg0,edge93,3.3,Fe1.0,eq,981.229,145.004,224.784,37.7617,981.229,981.229,981.229,224.784,224.784,6.32908,19.3949,0.332699,-0.0242862,0.0203326,0.0277599,0.00358112,0.0169547,15.899,1.00641,-18.9441,-60883.5,108270,74.5476,80070.6,edge1709_bg0__AS80_p67_edge93_r33__eq
edge1709_bg0,edge93,3.8,Fe1.0,eq,1005.18,136.651,235.378,37.5586,1005.18,1005.18,1005.18,235.378,235.378,6.4592,19.7246,0.335668,-0.0477237,0.0179912,0.02883,0.0068109,0.0210468,16.6306,1.00707,-20.3074,-60798.6,108191,74.5619,80070.6,edge1709_bg0__AS80_p67_edge93_r38__eq
edge1709_bg0,edge93,4.2,Fe1.0,eq,973.82,126.73,299.445,45.5866,973.82,973.82,973.82,299.445,299.445,6.55785,20.9838,0.346838,-0.119367,0.0169676,0.0386752,-0.0156399,-0.0148511,16.8432,1.00995,-33.5441,-62274,107604,74.3899,80070.6,edge1709_bg0__AS80_p67_edge93_r42__eq
edge1709_bg0,edge93,4.345,Fe1.0,eq,992.896,122.659,318.945,46.5904,992.896,992.896,992.896,318.945,318.945,6.55373,21.5453,0.351654,-0.158151,0.0031056,0.0325034,-0.00671367,-0.0028155,18.6749,1.01006,-34.5168,-62445.9,107860,74.602,80070.6,edge1709_bg0__AS80_p67_edge93_p13__eq
edge1709_bg0,edge93,3.3,Fe2.0,eq,1008.13,141.41,231.169,36.9892,1008.13,1008.13,1008.13,231.169,231.169,6.42319,19.6432,0.334937,-0.030282,0.0133569,0.0277536,8.0337e-05,0.0243951,16.0392,1.00749,-19.6715,-61531.3,107918,74.9068,80070.6,edge1709_bg0__AS80_p67_edge93_r33_ring20__eq
edge93,edge93,2.8,Al1.0,eq,808.425,157.114,150.174,29.2963,808.425,808.425,808.425,150.174,150.174,1.43025,19.9176,0.544837,-0.00278452,0.00687683,-0.0183821,-0.0275574,-0.000504347,19.0732,1.00784,-8.01136,3032.51,-1665.11,45.2729,23492.2,edge93__AS80_p88_edge93_r28_al__eq
edge93,edge93,3.3,Al1.0,eq,859.662,156.288,156.045,28.9678,859.662,859.662,859.662,156.045,156.045,1.43711,19.9018,0.544609,-0.0122594,0.00950359,-0.0047702,-0.00759421,0.0308056,17.9124,1.00741,-7.59049,2956.2,-1795.55,45.4984,23492.2,edge93__AS80_p88_edge93_r33_al__eq
edge93,edge93,3.8,Al1.0,eq,909.182,165.117,163.748,28.9018,909.182,909.182,909.182,163.748,163.748,1.4607,19.9219,0.544931,-0.0230252,0.0112594,0.00200876,0.00171608,0.0564397,16.6748,1.00709,-7.343,2992.43,-1698.87,45.4684,23492.2,edge93__AS80_p88_edge93_r38_al__eq
