спектр               геом        ρ кольцо пл       |   Ac-228   Pb-212   Tl-208  Pb/Tl |   Pb-214   Bi-214 |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн
edge1709             edge93   2.80 Fe1.0  noeqasis |    758.9    997.5    834.3  1.196 |      nan      nan |   7.399  42.74  47.6% |   +1.7%   -9.7%  -11.8%  -15.2%   +0.1% |  38.2%
edge1709             edge93   3.30 Fe1.0  noeqasis |    777.0   1108.6    851.4  1.302 |      nan      nan |   7.551  43.08  47.8% |   +1.6%  -10.0%  -12.3%  -15.3%   +0.1% |  38.4%
edge1709             edge93   3.80 Fe1.0  noeqasis |    797.8   1223.8    872.0  1.403 |      nan      nan |   7.569  43.16  47.8% |   +1.6%  -10.4%  -12.4%  -15.4%   +0.8% |  38.4%
edge1709             edge93   4.20 Fe1.0  noeqasis |    821.6   1331.0    888.9  1.497 |      nan      nan |   7.609  43.24  47.9% |   +1.4%  -10.4%  -12.5%  -15.3%   +0.8% |  38.0%
edge1709             edge93   4.34 Fe1.0  noeqasis |    827.8   1582.3    894.5  1.769 |      nan      nan |   7.654  43.32  47.9% |   +1.3%  -12.0%  -13.7%  -15.1%   +1.1% |  39.4%
edge1709             edge93   3.30 Fe2.0  noeqasis |    808.1   1172.2    879.6  1.333 |      nan      nan |   7.531  43.03  47.8% |   +1.6%  -10.5%  -12.3%  -15.2%   +1.5% |  37.6%
edge1709_bg0         edge93   2.80 Al1.0  noeqasis |    742.4    937.4    841.2  1.114 |    191.5     94.0 |   2.794   3.37  12.7% |   +0.9%   -1.8%   -5.7%  -14.0%   -5.3% |  30.3%
edge1709_bg0         edge93   3.30 Al1.0  noeqasis |    760.8   1044.7    864.6  1.208 |    204.4     87.8 |   2.908   3.68  13.4% |   +0.9%   -2.2%   -5.9%  -13.7%   -4.8% |  30.5%
edge1709_bg0         edge93   3.80 Al1.0  noeqasis |    787.0   1158.3    885.1  1.309 |    214.8     93.9 |   2.984   3.87  13.9% |   +0.9%   -2.5%   -6.1%  -13.8%   -4.4% |  30.3%
edge1709_bg0         edge93   3.30 Fe0.5  noeqasis |    765.9   1060.7    869.5  1.220 |    206.5     91.1 |   2.934   3.75  13.6% |   +1.0%   -2.2%   -5.8%  -13.6%   -4.6% |  30.4%
edge1709_bg0         edge93   2.80 Fe1.0  noeqasis |    759.7    984.6    863.5  1.140 |    201.0     93.4 |   2.841   3.49  13.0% |   +1.0%   -1.9%   -5.8%  -13.8%   -5.0% |  30.0%
edge1709_bg0         edge93   3.30 Fe1.0  noeqasis |    782.0   1097.8    885.8  1.239 |    210.1     98.7 |   2.983   3.86  13.9% |   +1.0%   -2.3%   -6.1%  -13.8%   -4.6% |  29.9%
edge1709_bg0         edge93   3.80 Fe1.0  noeqasis |    803.3   1209.3    909.3  1.330 |    218.6     97.7 |   3.023   4.02  14.3% |   +1.0%   -2.8%   -6.3%  -13.9%   -3.7% |  30.0%
edge1709_bg0         edge93   4.20 Fe1.0  noeqasis |    820.6   1310.0    921.3  1.422 |    221.5     97.8 |   3.118   4.20  14.7% |   +0.9%   -3.0%   -6.8%  -14.3%   -4.4% |  30.1%
edge1709_bg0         edge93   4.34 Fe1.0  noeqasis |    831.2   1561.4    929.2  1.680 |    261.2    102.5 |   3.157   4.23  14.8% |   +0.7%   -3.7%   -7.8%  -13.9%   -3.9% |  31.1%
edge1709_bg0         edge93   3.30 Fe2.0  noeqasis |    804.1   1152.7    908.8  1.268 |    218.1     96.9 |   3.049   4.04  14.3% |   +1.1%   -3.0%   -6.6%  -14.2%   -4.0% |  29.7%
edge93               edge93   2.80 Al1.0  noeqasis |    664.8    818.0    756.9  1.081 |      nan      nan |   4.211  30.58  64.1% |   +1.1%   -7.3%  -10.6%  -15.1%   +0.6% |  39.6%
edge93               edge93   3.30 Al1.0  noeqasis |    685.0    921.0    770.0  1.196 |      nan      nan |   4.265  30.68  64.3% |   +1.4%   -7.7%  -10.7%  -14.6%   +0.2% |  39.4%
edge93               edge93   3.80 Al1.0  noeqasis |    707.5   1021.8    792.5  1.289 |      nan      nan |   4.280  30.65  64.2% |   +1.4%   -8.0%  -10.9%  -14.8%   +1.0% |  39.2%
edge93               edge93   3.30 Fe0.5  noeqasis |    690.8    936.5    776.0  1.207 |      nan      nan |   4.268  30.64  64.2% |   +1.5%   -7.8%  -10.7%  -14.6%   +0.5% |  39.3%
edge93               edge93   2.80 Fe1.0  noeqasis |    682.5    867.2    777.4  1.115 |      nan      nan |   4.219  30.57  64.1% |   +1.4%   -7.5%  -10.6%  -14.8%   +1.0% |  39.0%
edge93               edge93   3.30 Fe1.0  noeqasis |    701.0    969.1    792.5  1.223 |      nan      nan |   4.281  30.63  64.2% |   +1.5%   -7.8%  -11.0%  -14.8%   +0.8% |  39.2%
edge93               edge93   3.80 Fe1.0  noeqasis |    721.9   1069.8    815.0  1.313 |      nan      nan |   4.289  30.63  64.2% |   +1.5%   -8.1%  -11.0%  -14.8%   +2.0% |  39.0%
edge93               edge93   4.20 Fe1.0  noeqasis |    743.5   1162.2    828.6  1.403 |      nan      nan |   4.307  30.65  64.2% |   +1.4%   -8.1%  -11.2%  -14.8%   +1.6% |  38.7%
edge93               edge93   4.34 Fe1.0  noeqasis |    756.8   1382.9    839.0  1.648 |      nan      nan |   4.323  30.65  64.2% |   +1.2%   -9.1%  -12.1%  -14.2%   +2.5% |  39.8%
edge93               edge93   3.30 Fe2.0  noeqasis |    730.4   1024.0    821.2  1.247 |      nan      nan |   4.272  30.59  64.2% |   +1.5%   -8.2%  -11.0%  -14.7%   +2.6% |  38.3%
edge93_bg0           edge93   2.80 Al1.0  noeqasis |    668.8    811.9    781.0  1.040 |    142.1     75.9 |   1.576   1.70  12.5% |   +0.5%   -1.6%   -5.0%  -13.2%   -5.7% |  31.7%
edge93_bg0           edge93   3.30 Al1.0  noeqasis |    687.5    914.8    803.9  1.138 |    159.1     70.9 |   1.600   1.73  12.7% |   +0.9%   -1.7%   -5.1%  -12.8%   -4.9% |  31.4%
edge93_bg0           edge93   3.80 Al1.0  noeqasis |    711.6   1017.3    823.8  1.235 |    166.8     76.0 |   1.630   1.77  13.1% |   +0.9%   -2.1%   -5.3%  -12.9%   -4.6% |  31.2%
edge93_bg0           edge93   3.30 Fe0.5  noeqasis |    692.3    930.3    808.4  1.151 |    160.8     73.9 |   1.610   1.74  12.9% |   +0.9%   -1.8%   -5.0%  -12.8%   -4.9% |  31.3%
edge93_bg0           edge93   2.80 Fe1.0  noeqasis |    685.1    860.2    802.3  1.072 |    153.7     76.0 |   1.582   1.70  12.5% |   +0.8%   -1.6%   -5.1%  -12.9%   -5.3% |  31.1%
edge93_bg0           edge93   3.30 Fe1.0  noeqasis |    706.9    964.1    823.3  1.171 |    163.8     80.6 |   1.631   1.76  13.1% |   +0.9%   -1.8%   -5.3%  -12.9%   -4.9% |  30.8%
edge93_bg0           edge93   3.80 Fe1.0  noeqasis |    726.8   1064.3    846.4  1.257 |    171.9     80.7 |   1.642   1.79  13.2% |   +1.0%   -2.1%   -5.4%  -12.9%   -3.7% |  30.8%
edge93_bg0           edge93   4.20 Fe1.0  noeqasis |    748.7   1156.3    860.8  1.343 |    176.7     85.5 |   1.663   1.81  13.5% |   +0.9%   -2.2%   -5.5%  -12.9%   -4.1% |  30.4%
edge93_bg0           edge93   4.34 Fe1.0  noeqasis |    761.8   1375.7    870.3  1.581 |    208.3     88.4 |   1.681   1.83  13.6% |   +0.7%   -2.8%   -6.4%  -12.4%   -3.4% |  31.3%
edge93_bg0           edge93   3.30 Fe2.0  noeqasis |    732.8   1017.3    848.8  1.198 |    175.1     84.9 |   1.636   1.78  13.2% |   +1.0%   -2.2%   -5.3%  -12.8%   -3.7% |  30.0%
