spectrum,channels,kev_per_ch,peak_kev,peak_ch,fwhm_field,w_ch_empirical,w_kev_empirical,ratio_to_ch,ratio_to_kev,fwhmcal_at_ch
AS80_Th232WT20,8192,0.376109,726.882,1970,115.2459,136.0423,51.1671,0.8471,2.2523,126.2487
AS80_Th232WT20,8192,0.376605,781.454,2115,53.9877,136.0423,51.1671,0.3968,1.0551,132.3537
AS80_Th232WT20,8192,0.377738,909.694,2455,159.7719,235.2115,88.8754,0.6793,1.7977,146.1451
AS80_Th232WT20,8192,0.379401,1108.069,2979,147.9103,206.6615,78.3725,0.7157,1.8873,166.2075
AS80_Th232WT20,8192,0.380476,1243.708,3336,135.2854,168.9075,64.2496,0.8009,2.1056,179.1990
AS80_Th232WT20,8192,0.381996,1447.293,3870,177.7719,166.6774,63.6736,1.0666,2.7919,197.7942
AS80_Th232WT20,8192,0.383,1590.731,4245,219.6269,600.3106,229.6155,0.3659,0.9565,210.3398
AS80_Th232WT20,8192,0.386203,2113.482,5604,262.7506,363.3864,140.3619,0.7231,1.8720,253.0029
AS80_Th232WT20,8192,0.387221,2309.163,6110,249.8322,66.5772,25.7827,3.7525,9.6899,267.9717
AS80_Th232WT20,8192,0.388628,2617.190,6904,319.0324,277.6140,107.8813,1.1492,2.9573,290.6496
AS80_Th232_v2,8192,0.367845,35.985,144,20.1998,161.4575,59.3952,0.1251,0.3401,20.5355
AS80_Th232_v2,8192,0.367935,70.199,237,29.4683,69.6714,25.6356,0.4230,1.1495,28.9785
AS80_Th232_v2,8192,0.367977,86.021,280,19.7208,20.3700,7.4955,0.9681,2.6310,32.5182
AS80_Th232_v2,8192,0.368079,125.032,386,33.4216,29.6872,10.9273,1.1258,3.0586,40.5979
AS80_Th232_v2,8192,0.368373,236.605,689,63.1884,57.7965,21.2906,1.0933,2.9679,60.5950
AS80_Th232_v2,8192,0.368643,339.418,968,82.2199,73.6433,27.1478,1.1165,3.0286,76.6479
AS80_Th232_v2,8192,0.368969,463.706,1305,62.1380,236.2317,87.1734,0.2630,0.7128,94.2272
AS80_Th232_v2,8192,0.369089,509.466,1429,64.1905,236.2317,87.1734,0.2717,0.7364,100.3287
AS80_Th232_v2,8192,0.369293,587.365,1640,122.8916,113.5298,41.9255,1.0825,2.9312,110.3490
AS80_Th232_v2,8192,0.369669,730.724,2028,117.6783,129.9751,48.0473,0.9054,2.4492,127.7956
AS80_Th232_v2,8192,0.370139,910.497,2514,157.6644,245.9957,91.0630,0.6409,1.7314,148.2535
AS80_Th232_v2,8192,0.370283,965.288,2662,140.8733,245.9957,91.0630,0.5727,1.5470,154.2329
AS80_Th232_v2,8192,0.370669,1113.108,3061,177.0904,266.2646,98.6839,0.6651,1.7945,169.8647
AS80_Th232_v2,8192,0.371013,1245.127,3417,102.0380,221.9229,82.3300,0.4598,1.2394,183.2867
AS80_Th232_v2,8192,0.371532,1444.130,3953,210.9954,264.3111,98.1927,0.7983,2.1488,202.7089
AS80_Th232_v2,8192,0.371934,1598.399,4368,188.1189,320.0638,119.0301,0.5878,1.5804,217.1907
AS80_Th232_v2,8192,0.372341,1755.069,4789,188.9152,328.1206,122.1751,0.5757,1.5463,231.4536
AS80_Th232_v2,8192,0.373275,2114.829,5754,270.8741,711.1566,265.5801,0.3809,1.0199,262.7675
AS80_Th232_v2,8192,0.373815,2323.267,6312,219.0530,98.2510,36.7297,2.2295,5.9639,280.1282
AS80_Th232_v2,8192,0.374565,2612.890,7086,326.2863,289.3267,108.3703,1.1277,3.0108,303.4449
AS80_UGlass,8192,0.365206,61.653,196,28.1167,23.6037,8.6202,1.1912,3.2617,27.0202
AS80_UGlass,8192,0.36554,93.075,282,34.3910,30.7513,11.2405,1.1184,3.0596,34.4204
AS80_UGlass,8192,0.366083,144.289,422,34.1216,122.4683,44.8673,0.2786,0.7605,45.0091
AS80_UGlass,8192,0.366525,186.048,536,50.6458,41.9490,15.3751,1.2073,3.2940,52.7719
AS80_UGlass,8192,0.368231,347.694,976,73.7918,17.9957,6.6271,4.1005,11.1349,78.6311
AS80_UGlass,8192,0.37088,600.100,1659,129.0590,165.7602,61.4570,0.7786,2.1000,111.9174
AS80_UGlass,8192,0.37266,770.743,2118,144.9033,252.1003,93.8861,0.5748,1.5434,131.6685
AS80_UGlass,8192,0.375065,1002.538,2738,154.5634,313.3559,117.4211,0.4933,1.3163,156.1989
AS80_UGlass,8192,0.376395,1131.413,3081,134.9637,158.3168,59.5828,0.8525,2.2651,168.9603
AS80_UGlass,8192,0.379792,1462.623,3957,218.7439,223.4684,84.8456,0.9789,2.5781,199.5701
AS80_UGlass,8192,0.382926,1770.761,4765,234.2325,339.2012,129.8012,0.6905,1.8045,225.8346
AS80_UGlass,8192,0.387486,2223.763,5941,450.4343,29.4061,11.3953,15.3177,39.5280,261.5366
ASN16_Am241,8192,0.367276,59.491,182,32.4496,27.8685,10.2353,1.1644,3.1704,29.0292
ASN16_Am241,8192,0.369045,102.198,298,38.9554,34.2799,12.6509,1.1364,3.0793,38.1960
ASN16_Am241,8192,0.370058,127.697,367,22.5481,21.7142,8.0326,1.0384,2.8071,42.8903
ASN16_Am241,8192,0.373165,211.315,592,40.5301,123.5533,46.1544,0.3280,0.8781,55.9668
ASN16_Am241,8192,0.374111,238.591,665,46.8749,123.5751,46.1626,0.3793,1.0154,59.7086
ASN16_Am241,8192,0.377282,337.407,928,95.3568,69.6169,26.2543,1.3697,3.6320,71.8762
ASN16_Am241,8192,0.381866,505.972,1372,90.9070,370.5803,141.7879,0.2453,0.6411,89.3494
ASN16_Am241,8192,0.384227,609.018,1641,98.3920,148.6899,57.0693,0.6617,1.7241,98.7112
ASN16_Am241,8192,0.392429,1112.370,2936,134.7663,485.1276,190.5549,0.2778,0.7072,136.4517
ASN16_Am241,8192,0.396449,1463.852,3827,163.1244,154.2671,61.1523,1.0574,2.6675,158.1393
ASN16_Am241,8192,0.39982,1757.250,4564,173.2766,30.7521,12.2948,5.6346,14.0935,174.4252
ASN16_Am241,8192,0.416511,2619.876,6684,244.8970,26.1466,10.8890,9.3663,22.4903,215.6877
ASN16_BrazilNuts,8192,0.381378,47.752,137,21.1690,8.4959,3.2402,2.4917,6.5333,25.1071
ASN16_BrazilNuts,8192,0.383616,80.265,222,37.2110,52.6241,20.1958,0.7071,1.8425,32.6004
ASN16_BrazilNuts,8192,0.387122,134.605,363,37.9457,85.7417,33.2135,0.4426,1.1425,42.5373
ASN16_BrazilNuts,8192,0.393258,241.928,638,59.9462,71.0374,27.9127,0.8439,2.1476,57.7146
ASN16_BrazilNuts,8192,0.39595,295.202,773,50.7133,160.2633,63.6981,0.3164,0.7962,64.0307
ASN16_BrazilNuts,8192,0.398409,348.029,906,71.7410,66.4768,26.4792,1.0792,2.7093,69.7741
ASN16_BrazilNuts,8192,0.404796,510.329,1310,75.5820,66.9811,27.1190,1.1284,2.7870,85.1810
ASN16_BrazilNuts,8192,0.407692,600.929,1533,107.7560,149.4469,60.8768,0.7210,1.7701,92.7432
ASN16_BrazilNuts,8192,0.414899,915.397,2297,101.6567,288.3503,119.6517,0.3525,0.8496,115.4261
ASN16_BrazilNuts,8192,0.417965,1124.904,2800,135.3689,218.3692,91.2525,0.6199,1.4835,128.4796
ASN16_BrazilNuts,8192,0.42149,1460.747,3600,156.8550,159.7141,67.3120,0.9821,2.3303,147.1936
ASN16_BrazilNuts,8192,0.422791,1593.719,3915,89.4186,38.0097,16.0672,2.3525,5.5653,154.0280
ASN16_BrazilNuts,8192,0.424601,1758.950,4305,156.6828,17.1662,7.2882,9.1274,21.4982,162.1490
ASN16_BrazilNuts,8192,0.445582,2621.212,6297,219.1258,9.3059,4.1461,23.5470,52.8510,199.1946
ASN16_Charoite,8192,0.390833,38.781,140,23.7373,22.7117,8.8765,1.0452,2.6742,23.1504
ASN16_Charoite,8192,0.391272,72.021,225,36.8034,53.9585,21.1139,0.6821,1.7431,30.4594
ASN16_Charoite,8192,0.392223,144.102,409,47.1573,49.5616,19.4653,0.9515,2.4226,43.0345
ASN16_Charoite,8192,0.392756,184.529,512,49.3168,49.5616,19.4653,0.9951,2.5336,49.0037
ASN16_Charoite,8192,0.39349,240.352,654,57.2639,52.9793,20.8464,1.0809,2.7469,56.4557
ASN16_Charoite,8192,0.394229,296.674,797,61.1225,58.8690,23.2057,1.0383,2.6339,63.2955
ASN16_Charoite,8192,0.394963,352.707,939,73.5148,66.9285,26.4333,1.0984,2.7811,69.5910
ASN16_Charoite,8192,0.397026,510.709,1338,75.1005,138.9098,55.1506,0.5406,1.3617,85.4066
ASN16_Charoite,8192,0.398344,612.118,1593,104.6096,104.6720,41.6937,0.9994,2.5090,94.4721
ASN16_Charoite,8192,0.400433,773.471,1997,112.0481,196.2107,78.5252,0.5711,1.4269,107.6643
ASN16_Charoite,8192,0.402527,936.071,2402,153.0029,223.4250,89.8726,0.6848,1.7024,119.7979
ASN16_Charoite,8192,0.404967,1126.639,2874,140.5850,191.4994,77.5239,0.7341,1.8134,132.8947
ASN16_Charoite,8192,0.406508,1247.549,3172,125.1076,66.3617,26.9686,1.8852,4.6390,140.6974
ASN16_Charoite,8192,0.409227,1462.087,3698,165.4964,306.2510,125.2250,0.5404,1.3216,153.7520
ASN16_Charoite,8192,0.412934,1756.832,4415,184.0826,158.0445,65.2676,1.1648,2.8204,170.3451
ASN16_Charoite,8192,0.41846,2201.212,5484,210.0042,40.0000,16.7360,5.2501,12.5481,193.1022
ASN16_Charoite,8192,0.423578,2618.021,6474,211.4533,17.3603,7.3540,12.1803,28.7535,212.5538
ASN16_Charoite_v2,8192,0.382668,72.916,225,38.4152,211.3202,80.9940,0.1818,0.4743,30.5793
ASN16_Charoite_v2,8192,0.387045,234.942,646,56.7484,52.3955,20.2719,1.0831,2.7994,56.2864
ASN16_Charoite_v2,8192,0.388538,291.172,791,56.6257,68.4935,26.6020,0.8267,2.1286,63.2816
ASN16_Charoite_v2,8192,0.390002,346.838,934,71.6354,68.7366,26.8041,1.0422,2.6726,69.6671
ASN16_Charoite_v2,8192,0.394166,509.165,1348,55.1901,45.5104,17.9469,1.2127,3.0752,86.1401
ASN16_Charoite_v2,8192,0.396498,603.255,1586,105.0030,100.3446,39.7820,1.0464,2.6395,94.6356
ASN16_Charoite_v2,8192,0.400307,763.418,1988,111.0889,238.7059,95.4414,0.4654,1.1639,107.8479
ASN16_Charoite_v2,8192,0.403594,910.136,2353,138.5397,219.4447,88.5627,0.6313,1.5643,118.8941
ASN16_Charoite_v2,8192,0.407951,1121.968,2875,140.6815,217.1963,88.5457,0.6477,1.5888,133.5051
ASN16_Charoite_v2,8192,0.413768,1458.144,3693,164.6395,203.5111,84.1906,0.8090,1.9556,154.3134
ASN16_Charoite_v2,8192,0.417676,1761.702,4423,180.2448,255.3196,106.6337,0.7060,1.6903,171.2856
ASN16_Charoite_v2,8192,0.420392,2124.329,5288,199.7627,60.7339,25.5287,3.2891,7.8250,189.9314
ASN16_Charoite_v2,8192,0.420676,2205.074,5480,229.3650,51.2829,21.5749,4.4725,10.6311,193.8908
ASN16_Charoite_v2,8192,0.420094,2614.393,6453,234.8924,64.8793,27.2589,3.6205,8.6171,213.1174
ASN16_Cs137,8192,0.384707,69.692,219,33.9207,38.8996,14.9658,0.8720,2.2665,29.7779
ASN16_Cs137,8192,0.386228,125.585,364,53.7133,82.5157,31.8787,0.6509,1.6849,40.0077
ASN16_Cs137,8192,0.387995,191.007,533,65.9596,106.2677,41.2461,0.6207,1.5992,49.9353
ASN16_Cs137,8192,0.394607,442.625,1176,109.9616,80.4115,31.7207,1.3675,3.4666,79.0969
ASN16_Cs137,8192,0.399953,657.963,1718,113.3301,106.3178,42.5214,1.0660,2.6652,98.5908
ASN16_Cs137,8192,0.404844,869.639,2244,114.1479,30.5875,12.3815,3.7318,9.2193,115.1482
ASN16_Cs137,8192,0.409961,1114.924,2846,147.6102,49.7278,20.3925,2.9684,7.2384,132.2042
ASN16_Cs137,8192,0.41405,1339.906,3392,159.0729,155.4688,64.3616,1.0232,2.4715,146.4017
ASN16_Cs137,8192,0.416042,1464.839,3693,120.8611,161.6978,67.2426,0.7475,1.7974,153.8178
ASN16_Cs137,8192,0.419859,1759.568,4398,165.5529,91.0969,38.2533,1.8173,4.3278,170.2577
ASN16_Cs137,8192,0.422679,2129.191,5275,183.3339,12.7483,5.3885,14.3810,34.0233,189.2359
ASN16_Cs137,8192,0.422474,2614.769,6423,220.5183,86.4263,36.5126,2.5515,6.0395,212.1809
ASN16_Cs137_10cm,8192,0.381347,32.717,103,24.3768,21.7216,8.2827,1.1222,2.9431,20.2577
ASN16_Cs137_10cm,8192,0.382736,83.528,236,42.1324,223.7346,85.7681,0.1883,0.4912,32.4532
ASN16_Cs137_10cm,8192,0.385849,198.432,535,67.2829,73.9517,28.5283,0.9098,2.3585,51.6763
ASN16_Cs137_10cm,8192,0.397758,663.600,1722,110.4568,99.7849,39.6801,1.1069,2.7837,100.4285
ASN16_Granite,8192,0.380721,74.735,223,36.8648,100.7608,38.3694,0.3659,0.9608,31.5806
ASN16_Granite,8192,0.382466,187.687,519,42.5246,150.7358,57.7237,0.2821,0.7367,50.9707
ASN16_Granite,8192,0.383315,242.823,663,55.0859,69.7249,26.7181,0.7900,2.0617,58.5580
ASN16_Granite,8192,0.384099,293.857,796,50.1259,171.0834,65.7903,0.2930,0.7619,64.9503
ASN16_Granite,8192,0.385001,352.693,949,71.4007,61.1798,23.5477,1.1671,3.0322,71.7547
ASN16_Granite,8192,0.387395,509.489,1355,64.8936,70.8664,27.4528,0.9157,2.3638,87.8017
ASN16_Granite,8192,0.388874,606.911,1606,117.5189,111.7405,43.4446,1.0517,2.7050,96.6782
ASN16_Granite,8192,0.393466,911.632,2385,114.9393,370.8056,145.8973,0.3100,0.7878,120.9635
ASN16_Granite,8192,0.394315,968.353,2529,117.7375,370.8056,145.8973,0.3175,0.8070,125.0497
ASN16_Granite,8192,0.396626,1123.377,2921,151.5084,333.7109,132.3756,0.4540,1.1445,135.6901
ASN16_Granite,8192,0.401637,1462.639,3771,170.2957,170.9103,68.6299,0.9964,2.4814,156.8226
ASN16_Granite,8192,0.4037,1603.573,4121,98.0040,90.3137,36.4818,1.0852,2.6864,164.9121
ASN16_Granite,8192,0.406029,1763.494,4516,176.5421,153.9221,62.5095,1.1470,2.8242,173.6919
ASN16_Granite,8192,0.41098,2106.638,5356,222.2688,36.0982,14.8362,6.1573,14.9815,191.3216
ASN16_Granite,8192,0.418284,2620.367,6595,233.1612,59.2283,24.7779,3.9367,9.4100,215.2676
ASN16_Lu176,8192,0.370579,55.392,163,33.5513,33.1277,12.2775,1.0128,2.7327,28.5625
ASN16_Lu176,8192,0.371916,89.176,254,32.3962,31.8557,11.8463,1.0170,2.7347,36.0670
ASN16_Lu176,8192,0.373253,123.081,345,33.3978,31.7252,11.8424,1.0527,2.8202,42.3690
ASN16_Lu176,8192,0.374399,152.240,423,61.4721,113.8489,42.6297,0.5399,1.4420,47.1631
ASN16_Lu176,8192,0.376324,201.412,554,58.7418,51.7363,19.4693,1.1354,3.0171,54.3529
ASN16_Lu176,8192,0.38032,304.315,826,74.4720,68.7621,26.1505,1.0830,2.8478,67.0583
ASN16_Lu176,8192,0.382861,370.330,999,51.5111,55.7651,21.3398,0.9237,2.4139,74.1113
ASN16_Lu176,8192,0.388224,511.053,1364,95.0883,81.6564,31.7090,1.1645,2.9988,87.2998
ASN16_Lu176,8192,0.391647,601.908,1597,66.5581,71.7336,28.1114,0.9279,2.3677,94.8490
ASN16_Lu176_P0,8192,0.378261,55.076,163,32.7237,32.7731,12.3980,0.9985,2.6394,26.4069
ASN16_Lu176_P0,8192,0.379171,88.403,251,34.2638,140.5664,53.3667,0.2438,0.6420,33.7508
ASN16_Lu176_P0,8192,0.382252,202.236,550,56.4849,48.1452,18.4026,1.1732,3.0694,52.7148
ASN16_Lu176_P0,8192,0.38502,306.202,821,71.6535,63.2180,24.3371,1.1334,2.9442,66.1947
ASN16_Th232,8192,0.409374,55.254,172,32.1022,50.6628,20.7421,0.6336,1.5477,25.8498
ASN16_Th232,8192,0.410447,124.119,340,37.2526,46.2498,18.9865,0.8055,1.9621,38.1933
