spectrum,peak_kev,fwhm_kev,label,line_kev,intensity_pct,verdict,rivals,rival_factor,real_rivals,real_factor,best_rival,best_rival_i,matcher_alts,matcher_factor,near_miss,near_factor,fwhm_channels,rivals_old_window,rival_factor_old,real_rivals_old_window,real_factor_old
G1S16_Co60_P5,1334.406,73.303,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,1,25.090,24.118,0,1.000,0,1.000
G1S16_Co60_P5,1589.746,73.612,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000,24.228,0,1.000,0,1.000
G1S16_Co60_P5,2546.728,104.866,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,1,23.205,35.726,0,1.000,0,1.000
G1S16_Cs137_Mar,198.469,32.433,Lu-176,202.000,77.9688,ПОКАЗАНО,4,21.420,4,21.420,Ra-226,3.64,0,1.000,1,7.266,10.924,0,1.000,0,1.000
G1S16_Cs137_Mar,439.368,37.144,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,2,47.135,12.469,0,1.000,0,1.000
G1S16_Cs137_Mar,663.134,47.791,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,1,11.893,15.994,0,1.000,0,1.000
G1S16_Cs137_Mar,1453.210,72.890,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,24.135,0,1.000,0,1.000
G1S16_Cs137_Mar_2,189.499,25.406,Ra-226,186.211,3.64,ПОКАЗАНО,2,21.420,2,21.420,Lu-176,77.9688,1,5.824,2,5.824,8.456,1,15.659,1,15.659
G1S16_Cs137_Mar_2,667.217,47.342,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,1,11.893,15.757,0,1.000,0,1.000
G1S16_Cs137_Mar_2,1460.408,79.470,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,26.450,0,1.000,0,1.000
G1S16_Cs137_P25,185.850,26.228,U-235,185.715,57,ПОКАЗАНО,1,15.659,1,15.659,Ra-226,3.64,1,1.368,3,14.653,9.066,1,15.659,1,15.659
G1S16_Cs137_P25,440.141,37.758,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,2,47.135,12.798,0,1.000,0,1.000
G1S16_Cs137_P25,656.937,47.674,Cs-137,662.000,85.1,ПОКАЗАНО,1,11.893,1,11.893,I-131,7.1557,4,48.117,1,1.055,15.957,0,1.000,0,1.000
G1S16_Cs137_P25,1458.695,78.993,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,25.968,0,1.000,0,1.000
G1S16_Cs137_P25,1756.360,79.045,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,26.089,0,1.000,0,1.000
G1S16_Cs137_P25,2607.084,105.360,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,36.401,0,1.000,0,1.000
G1S16_Cs137_P5,186.535,29.792,Ra-226,186.211,3.64,ПОКАЗАНО,1,15.659,1,15.659,U-235,57,1,21.420,3,21.420,10.066,1,15.659,1,15.659
G1S16_Cs137_P5,440.311,40.598,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,2,47.135,13.490,0,1.000,0,1.000
G1S16_Cs137_P5,661.291,47.435,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,2,11.893,15.587,0,1.000,0,1.000
G1S16_Cs137_P5,872.155,48.508,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,5,16.025,1,16.025,15.814,0,1.000,0,1.000
G1S16_Cs137_P5,1344.004,93.126,Co-60,1332.000,99.9826,ПОКАЗАНО,1,25.090,1,25.090,Bi-214,3.985,2,17.150,0,1.000,30.096,0,1.000,0,1.000
G1S16_Cs137_P5,1480.188,48.429,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,15.646,0,1.000,0,1.000
G1S16_Eu152_P25,120.326,14.850,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,2,11.789,5.129,0,1.000,0,1.000
G1S16_Eu152_P25,242.602,23.242,Eu-152,244.000,7.55,ПОКАЗАНО,2,5.775,2,5.775,Pb-212,43.6,1,1.421,1,1.421,7.941,1,1.040,1,1.040
G1S16_Eu152_P25,342.507,30.975,Eu-152,345.000,26.59,ПОКАЗАНО,3,9.014,3,9.014,Ac-228,2.95,3,16.619,3,16.619,10.501,1,2.359,1,2.359
G1S16_Eu152_P25,419.412,28.093,Ac-228,409.000,1.92,ПОКАЗАНО,1,47.135,1,47.135,Ag-108m,90.5,1,2.292,0,1.000,9.472,0,1.000,0,1.000
G1S16_Eu152_P25,685.519,32.883,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,3,48.117,0,1.000,10.919,0,1.000,0,1.000
G1S16_Eu152_P25,782.106,47.472,Eu-152,780.000,12.93,ПОКАЗАНО,3,6.609,3,6.609,Cs-134,85.46,3,8.031,0,1.000,15.695,0,1.000,0,1.000
G1S16_Eu152_P25,869.972,23.693,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,0,1.000,7.807,0,1.000,0,1.000
G1S16_Eu152_P25,967.240,54.620,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000,17.943,1,3.166,1,3.166
G1S16_Eu152_P25,1104.468,69.153,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,1,7.304,1,7.304,22.642,0,1.000,0,1.000
G1S16_Eu152_P25,1422.746,77.030,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,9.379,1,2.675,25.147,0,1.000,0,1.000
G1S16_Eu152_P25,1771.448,80.022,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,26.234,0,1.000,0,1.000
G1S16_Eu152_P25,2622.037,104.055,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,35.697,0,1.000,0,1.000
G1S16_Eu152_P5,120.292,15.202,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,2,11.789,5.210,0,1.000,0,1.000
G1S16_Eu152_P5,243.437,23.604,Eu-152,244.000,7.55,ПОКАЗАНО,2,5.775,2,5.775,Pb-212,43.6,1,1.421,1,1.421,8.014,1,1.040,1,1.040
G1S16_Eu152_P5,346.903,31.222,Eu-152,345.000,26.59,ПОКАЗАНО,3,2.359,3,2.359,Ac-228,11.27,2,9.014,2,9.014,10.525,0,1.000,0,1.000
G1S16_Eu152_P5,685.359,34.694,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,3,48.117,0,1.000,11.486,0,1.000,0,1.000
G1S16_Eu152_P5,785.244,48.786,Eu-152,780.000,12.93,ПОКАЗАНО,3,6.609,3,6.609,Cs-134,85.46,3,8.031,0,1.000,16.087,0,1.000,0,1.000
G1S16_Eu152_P5,876.372,24.193,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,4,16.025,0,1.000,7.952,0,1.000,0,1.000
G1S16_Eu152_P5,970.815,55.128,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000,18.071,1,3.166,1,3.166
G1S16_Eu152_P5,1111.377,68.160,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,1,7.304,1,7.304,22.273,1,1.090,1,1.090
G1S16_Eu152_P5,1421.079,75.729,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,9.379,1,2.675,24.669,0,1.000,0,1.000
G1S16_K40_Mar,1179.052,77.597,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,3,17.127,25.914,0,1.000,0,1.000
G1S16_K40_Mar,1452.043,75.595,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,25.153,0,1.000,0,1.000
G1S16_K40_Mar,2608.934,102.813,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,33.691,0,1.000,0,1.000
G1S16_K40_Mar_2,241.629,23.538,Pb-214,241.000,7.2615,ПОКАЗАНО,2,6.004,2,6.004,Pb-212,43.6,1,1.478,1,1.478,7.634,2,6.004,2,6.004
G1S16_K40_Mar_2,1490.336,78.135,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,25.342,0,1.000,0,1.000
G1S16_Mix_Denta100,120.633,14.847,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,2,11.789,5.035,0,1.000,0,1.000
G1S16_Mix_Denta100,241.666,22.286,Pb-214,241.000,7.2615,ПОКАЗАНО,2,6.004,2,6.004,Pb-212,43.6,1,1.478,1,1.478,7.541,2,6.004,2,6.004
G1S16_Mix_Denta100,345.210,29.806,Eu-152,345.000,26.59,ПОКАЗАНО,3,2.359,3,2.359,Ac-228,11.27,3,16.619,2,9.014,10.065,0,1.000,0,1.000
G1S16_Mix_Denta100,660.053,46.059,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,2,11.893,15.461,0,1.000,0,1.000
G1S16_Mix_Denta100,779.351,46.632,Eu-152,780.000,12.93,ПОКАЗАНО,3,6.609,3,6.609,Cs-134,85.46,3,8.031,0,1.000,15.618,0,1.000,0,1.000
G1S16_Mix_Denta100,964.794,49.845,Ac-228,964.000,4.99,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,15.8,1,5.170,0,1.000,16.636,1,3.166,1,3.166
G1S16_Mix_Denta100,1694.787,78.849,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,1,4.748,0,1.000,25.964,0,1.000,0,1.000
G1S16_Mix_Mar,146.974,10.401,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,3.500,0,1.000,0,1.000
G1S16_Mix_Mar,185.617,23.398,U-235,185.715,57,ПОКАЗАНО,1,15.659,1,15.659,Ra-226,3.64,1,1.368,2,2.689,7.869,1,15.659,1,15.659
G1S16_Mix_Mar,242.134,22.535,Pb-214,241.000,7.2615,ПОКАЗАНО,2,6.004,2,6.004,Pb-212,43.6,1,1.478,1,1.478,7.573,1,1.040,1,1.040
G1S16_Mix_Mar,343.377,29.265,Eu-152,345.000,26.59,ПОКАЗАНО,3,2.359,3,2.359,Ac-228,11.27,3,16.619,3,16.619,9.821,0,1.000,0,1.000
G1S16_Mix_Mar,665.910,46.267,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,1,11.893,15.459,0,1.000,0,1.000
G1S16_Mix_Mar,779.731,45.218,Eu-152,780.000,12.93,ПОКАЗАНО,3,6.609,3,6.609,Cs-134,85.46,3,8.031,0,1.000,15.085,0,1.000,0,1.000
G1S16_Mix_Mar,866.713,29.398,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,3,53.081,0,1.000,9.796,0,1.000,0,1.000
G1S16_Mix_Mar,965.817,50.354,Ac-228,964.000,4.99,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,15.8,1,5.170,0,1.000,16.756,1,3.166,1,3.166
G1S16_Mix_Mar,2640.147,175.908,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,57.257,0,1.000,0,1.000
G1S16_Mix_Petri,120.479,14.782,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,2,11.789,5.011,0,1.000,0,1.000
G1S16_Mix_Petri,244.503,22.487,Eu-152,244.000,7.55,ПОКАЗАНО,2,5.775,2,5.775,Pb-212,43.6,1,1.421,1,1.421,7.607,1,1.040,1,1.040
G1S16_Mix_Petri,339.170,29.678,Ac-228,338.000,11.27,ПОКАЗАНО,3,3.820,3,3.820,Ac-228,2.95,3,7.232,3,7.232,10.024,0,1.000,0,1.000
G1S16_Mix_Petri,662.743,46.076,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,1,11.893,15.480,0,1.000,0,1.000
G1S16_Mix_Petri,778.937,45.181,Eu-152,780.000,12.93,ПОКАЗАНО,3,6.609,3,6.609,Cs-134,85.46,3,8.031,0,1.000,15.151,0,1.000,0,1.000
G1S16_Mix_Petri,958.127,51.711,Ac-228,964.000,4.99,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,15.8,1,5.170,1,5.170,17.290,0,1.000,0,1.000
G1S16_Mix_Petri,1704.329,81.444,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,1,4.748,0,1.000,26.907,0,1.000,0,1.000
G1S16_Mix_Petri,2609.721,98.597,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,32.116,0,1.000,0,1.000
G1S16_Mn54_P25,352.954,22.856,Pb-214,353.000,35.7166,ПОКАЗАНО,3,2.282,3,2.282,I-131,81.5,2,12.107,1,3.169,7.772,0,1.000,0,1.000
G1S16_Mn54_P25,596.078,46.952,Bi-214,609.000,45.44,ПОКАЗАНО,2,1.976,2,1.976,Ag-108m,89.8,2,6.350,1,6.350,15.720,0,1.000,0,1.000
G1S16_Mn54_P25,836.424,55.205,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,5,53.081,2,53.081,18.281,0,1.000,0,1.000
G1S16_Mn54_P25,1456.964,77.060,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,25.256,0,1.000,0,1.000
G1S16_Mn54_P25,1770.740,73.141,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,24.074,0,1.000,0,1.000
G1S16_Mn54_P25,2623.604,100.904,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,34.784,0,1.000,0,1.000
G1S16_Mn54_P5,187.853,30.782,Ra-226,186.211,3.64,ПОКАЗАНО,2,21.420,2,21.420,Lu-176,77.9688,1,5.824,2,5.824,10.135,1,15.659,1,15.659
G1S16_Mn54_P5,584.557,51.709,Tl-208,583.000,30.549,ПОКАЗАНО,1,1.487,1,1.487,Bi-214,45.44,2,4.269,2,4.269,16.632,0,1.000,0,1.000
G1S16_Mn54_P5,837.726,55.687,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,5,53.081,2,53.081,17.733,0,1.000,0,1.000
G1S16_Mn54_P5,1476.455,75.150,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,23.687,0,1.000,0,1.000
G1S16_Na22_P25,74.560,9.327,Am-243,74.660,67.2,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,3.264,0,1.000,0,1.000
G1S16_Na22_P25,186.613,28.716,Ra-226,186.211,3.64,ПОКАЗАНО,1,15.659,1,15.659,U-235,57,1,21.420,3,21.420,9.943,1,15.659,1,15.659
G1S16_Na22_P25,1460.400,62.650,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,20.626,0,1.000,0,1.000
G1S16_Na22_P25,2601.252,88.493,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,30.605,0,1.000,0,1.000
G1S16_Na22_P5,43.015,13.177,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,4.741,0,1.000,0,1.000
G1S16_Na22_P5,244.872,18.202,Eu-152,244.000,7.55,ПОКАЗАНО,2,5.775,2,5.775,Pb-212,43.6,1,1.421,1,1.421,6.440,0,1.000,0,1.000
G1S16_Na22_P5,779.426,35.540,Eu-152,780.000,12.93,ПОКАЗАНО,2,3.042,2,3.042,Ac-228,4.25,4,8.031,1,6.609,12.202,0,1.000,0,1.000
G1S16_Na22_P5,1254.473,70.924,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000,24.079,0,1.000,0,1.000
