group,spectrum,energy_kev,counts,fwhm_kev,fwhm_expected_kev,width_ratio,width_rel,nuclide,origin,detail
corpus,AS80_Th232Medal,73.02,1282,24.74,8.07,3.065,1.247,Pb x-ray,сумма случайная,39.4 + 39.4
corpus,AS80_Th232Medal,86.71,220,21.67,9.10,2.380,0.968,Pb x-ray,сумма случайная,39.4 + 39.4
corpus,AS80_Th232Medal,129.04,37,31.45,12.16,2.587,1.053,Ac-228,сумма случайная,39.4 + 86.7
corpus,AS80_Th232Medal,291.75,3,35.56,22.82,1.559,0.634,Pb-214,сумма случайная,39.4 + 239.4
corpus,AS80_Th232Medal,458.90,1,61.58,33.09,1.861,0.757,Ac-228,вылет двойной,двойной вылет 1471.2
corpus,AS80_Th232Medal,1643.67,0,183.05,105.89,1.729,0.703,Ac-228,вылет двойной,двойной вылет 2655.5
corpus,AS80_Th232WT20,59.91,516,27.97,9.35,2.993,1.225,Am-241,обратное рассеяние,рассеяние от 93.5; родителей 1; площадь/родителя 19.11
corpus,AS80_Th232WT20,129.42,16,39.50,15.08,2.618,1.072,Ac-228,сумма случайная,59.9 + 59.9
corpus,AS80_Th232WT20,340.65,35,79.22,28.30,2.800,1.146,Ac-228,сумма случайная,93.5 + 240.6
corpus,AS80_Th232WT20,406.99,1,38.04,31.83,1.195,0.489,Ac-228,сумма случайная,59.9 + 340.6
corpus,AS80_Th232WT20,464.48,2,62.78,34.76,1.806,0.740,Ac-228,сумма каскадная,129.4 + 340.6
corpus,AS80_Th232WT20,585.34,18,111.23,40.55,2.743,1.123,Tl-208,сумма случайная,240.6 + 340.6
corpus,AS80_Th232WT20,1103.89,0,142.66,62.17,2.295,0.939,Eu-152,вылет двойной,двойной вылет 2113.9
corpus,AS80_Th232WT20,1244.08,0,135.76,67.42,2.014,0.824,Bi-214,сумма каскадная,340.6 + 910.1
corpus,AS80_Th232WT20,1591.10,0,218.86,79.69,2.746,1.124,Ac-228,вылет двойной,двойной вылет 2617.6
corpus,AS80_Th232WT20,2113.85,0,261.30,96.71,2.702,1.106,Tl-208 SE,вылет одиночный,одиночный вылет 2617.6
corpus,AS80_Th232_v2,70.20,210,29.11,10.46,2.782,1.004,W x-ray,сумма случайная,36.0 + 36.0
corpus,AS80_Th232_v2,125.03,6,33.33,14.68,2.270,0.819,Eu-152,сумма случайная,36.0 + 86.0
corpus,AS80_Th232_v2,463.71,0,62.28,34.27,1.817,0.656,Ac-228,сумма случайная,236.6 + 236.6
corpus,AS80_Th232_v2,587.36,2,122.19,40.20,3.040,1.097,Tl-208,вылет двойной,двойной вылет 1598.4
corpus,AS80_Th232_v2,730.72,0,116.63,46.63,2.501,0.903,Bi-212,вылет двойной,двойной вылет 1755.1
corpus,AS80_Th232_v2,1598.40,0,188.39,79.90,2.358,0.851,Ac-228,вылет двойной,двойной вылет 2612.9
corpus,AS80_Th232_v2,2114.83,0,269.01,97.09,2.771,1.000,Tl-208 SE,вылет одиночный,одиночный вылет 2612.9
corpus,AS80_UGlass,61.65,296,27.79,9.68,2.871,1.044,Am-241,обратное рассеяние,рассеяние от 93.1; родителей 1; площадь/родителя 1.06
corpus,AS80_UGlass,93.08,279,33.98,12.35,2.750,1.000,Pb x-ray,обратное рассеяние,рассеяние от 186.0; родителей 1; площадь/родителя 17.44
corpus,AS80_UGlass,144.29,4,34.09,16.20,2.105,0.765,U-235,сумма случайная,61.7 + 93.1
corpus,AS80_UGlass,186.05,16,50.18,19.02,2.638,0.959,Ra-226,сумма случайная,93.1 + 93.1
corpus,ASN16_Am241,98.35,39,39.22,14.35,2.733,1.040,,сумма случайная,55.5 + 55.5
corpus,ASN16_Charoite,72.02,95,37.95,12.44,3.050,1.154,Pb x-ray,сумма случайная,38.8 + 38.8
corpus,ASN16_Charoite,144.10,2,46.86,17.36,2.699,1.022,U-235,сумма случайная,72.0 + 72.0
corpus,ASN16_Charoite,1238.20,0,122.69,55.62,2.206,0.835,Bi-214,вылет одиночный,одиночный вылет 1756.8
corpus,ASN16_Cs137,77.08,409,35.78,12.42,2.881,1.001,Pb x-ray,сумма случайная,31.2 + 31.2
corpus,ASN16_Cs137,448.20,56,111.30,31.77,3.504,1.218,Ac-228,вылет двойной,двойной вылет 1465.4
corpus,ASN16_Lu176,55.39,203,34.54,11.13,3.102,1.105,W x-ray,обратное рассеяние,рассеяние от 89.2; родителей 1; площадь/родителя 11.28
corpus,ASN16_Lu176,123.08,3,32.69,16.32,2.002,0.713,Eu-152,сумма случайная,55.4 + 55.4
corpus,ASN16_Lu176,152.24,2,59.57,18.13,3.285,1.170,,сумма случайная,55.4 + 89.2
corpus,ASN16_Lu176,304.32,47,74.90,25.76,2.908,1.035,Lu-176,сумма случайная,89.2 + 201.4
corpus,ASN16_Lu176,370.33,0,50.94,28.52,1.786,0.636,,сумма случайная,55.4 + 304.3
corpus,ASN16_Lu176,511.05,2,94.93,33.80,2.808,1.000,Annihilation,сумма каскадная,201.4 + 304.3
corpus,ASN16_Th232,124.12,50,37.59,16.17,2.324,1.000,Eu-152,сумма случайная,55.3 + 55.3
corpus,ASN16_Th232,405.53,4,38.06,29.87,1.274,0.548,Ac-228,сумма случайная,55.3 + 337.2
corpus,ASN16_Th232,462.00,10,55.13,32.05,1.720,0.740,Ac-228,сумма случайная,238.1 + 238.1
corpus,ASN16_Th232,583.65,52,93.89,36.42,2.578,1.109,Tl-208,сумма случайная,238.1 + 337.2
corpus,ASN16_Th232,1103.33,0,113.81,51.97,2.190,0.942,Eu-152,вылет двойной,двойной вылет 2113.2
corpus,ASN16_Th232,1247.91,0,147.15,55.76,2.639,1.136,Bi-214,сумма каскадная,337.2 + 912.5
corpus,ASN16_Th232,1586.39,2,161.55,64.04,2.523,1.085,Ac-228,вылет двойной,двойной вылет 2614.4
corpus,ASN16_Th232,2113.20,0,176.13,75.78,2.324,1.000,Tl-208 SE,вылет одиночный,одиночный вылет 2614.4
corpus,ASN16_Th232_Am241,55.04,1614,31.47,10.81,2.912,1.136,W x-ray,обратное рассеяние,рассеяние от 76.6; родителей 1; площадь/родителя 2.79
corpus,ASN16_Th232_Am241,130.85,28,35.97,16.58,2.169,0.846,Ac-228,сумма случайная,55.0 + 76.6
corpus,ASN16_Th232_Am241,288.34,1,19.88,25.13,0.791,0.308,I-131,сумма случайная,55.0 + 237.9
corpus,ASN16_Th232_Am241,457.84,1,57.02,32.28,1.766,0.689,Ac-228,сумма каскадная,130.8 + 338.3
corpus,ASN16_Th232_Am241,579.25,7,106.01,36.71,2.888,1.126,Tl-208,вылет двойной,двойной вылет 1589.3
corpus,ASN16_Th232_Am241,724.77,1,102.22,41.50,2.463,0.961,Ac-228,вылет двойной,двойной вылет 1760.2
corpus,ASN16_Th232_Am241,1245.94,0,128.86,55.75,2.312,0.901,Bi-214,вылет одиночный,одиночный вылет 1760.2
corpus,ASN16_Th232_Am241,1589.28,0,176.28,63.67,2.769,1.080,Ac-228,вылет двойной,двойной вылет 2614.3
corpus,ASN16_Th232_Am241,2110.11,0,191.94,74.86,2.564,1.000,Tl-208 SE,вылет одиночный,одиночный вылет 2614.3
corpus,ASN16_UGlass,62.39,223,33.86,11.54,2.934,1.079,Am-241,обратное рассеяние,рассеяние от 93.0; родителей 1; площадь/родителя 0.96
corpus,ASN16_UGlass,145.38,4,34.88,17.47,1.996,0.734,U-235,сумма случайная,62.4 + 93.0
corpus,ASN16_UGlass,187.75,16,53.63,19.93,2.691,0.990,Ra-226,сумма случайная,93.0 + 93.0
corpus,ASN8_Th232_1024,1104.36,2,18.65,55.06,0.339,1.015,Eu-152,вылет двойной,двойной вылет 2125.8
corpus,ASN8_Th232_1024,1588.63,4,23.49,68.23,0.344,1.031,Ac-228,вылет двойной,двойной вылет 2615.7
corpus,ASN8_Th232_2048,1585.34,1,48.93,73.72,0.664,0.989,Ac-228,вылет двойной,двойной вылет 2614.2
corpus,ASN8_Th232_2048,2113.52,0,52.13,86.12,0.605,0.902,Tl-208 SE,вылет одиночный,одиночный вылет 2614.2
corpus,ASN8_Th232_3000,73.86,1696,21.82,14.94,1.460,1.536,,сумма случайная,31.6 + 31.6
corpus,ASN8_Th232_3000,1113.04,0,56.42,61.38,0.919,0.967,Eu-152,сумма каскадная,133.4 + 965.2
corpus,ASN8_Th232_3000,1589.66,1,71.43,75.14,0.951,1.000,Ac-228,вылет двойной,двойной вылет 2611.7
corpus,ASN8_Th232_3000,2110.70,0,80.34,88.78,0.905,0.952,Tl-208 SE,вылет одиночный,одиночный вылет 2611.7
corpus,ASN8_Th232_4096,132.33,28,20.46,20.02,1.022,0.781,Ac-228,обратное рассеяние,рассеяние от 236.8; родителей 1; площадь/родителя 0.08
corpus,ASN8_Th232_4096,1585.02,1,96.66,72.70,1.330,1.016,Ac-228,вылет двойной,двойной вылет 2617.9
corpus,ASN8_Th232_4096,2111.21,0,101.85,85.24,1.195,0.913,Tl-208 SE,вылет одиночный,одиночный вылет 2617.9
corpus,ASN8_Th232_8192,73.92,233,70.13,20.52,3.417,1.260,,сумма случайная,35.5 + 35.5
corpus,ASN8_Th232_8192,134.60,3,37.02,24.85,1.489,0.549,Ac-228,сумма случайная,73.9 + 73.9
corpus,ASN8_Th232_8192,462.21,0,46.85,37.94,1.235,0.455,Ac-228,сумма случайная,237.1 + 237.1
corpus,ASN8_Th232_8192,1113.41,0,152.39,52.50,2.902,1.070,Eu-152,сумма каскадная,134.6 + 965.6
corpus,ASN8_Th232_8192,1584.58,0,177.41,60.29,2.943,1.085,Ac-228,вылет двойной,двойной вылет 2613.1
corpus,ASN8_Th232_8192,2111.79,0,175.25,67.78,2.586,0.953,Tl-208 SE,вылет одиночный,одиночный вылет 2613.1
corpus,ASN8_UGlass,55.23,218,49.07,18.95,2.589,0.901,W x-ray,обратное рассеяние,рассеяние от 85.3; родителей 1; площадь/родителя 0.91
corpus,ASN8_UGlass,182.23,27,72.56,27.44,2.644,0.920,U-235,сумма случайная,85.3 + 85.3
corpus,G1S16_Ba133_P25,162.24,20,6.28,17.16,0.366,1.000,,сумма случайная,82.5 + 82.5
corpus,G1S16_Eu152_P25,245.57,97,7.99,22.28,0.359,1.000,Eu-152,сумма случайная,124.0 + 124.0
corpus,G1S16_Eu152_P5,245.80,577,8.10,22.34,0.363,0.992,Eu-152,сумма случайная,124.0 + 124.0
corpus,G1S16_Mix_Mar,49.88,7859,4.76,9.23,0.516,1.446,Pb-210,обратное рассеяние,рассеяние от 64.9; родителей 1; площадь/родителя 1.85
corpus,G1S16_Mix_Mar,113.01,1775,4.96,14.05,0.353,0.988,Th-234,сумма случайная,49.9 + 64.9
corpus,G1S16_Mix_Mar,666.19,68,15.37,41.71,0.368,1.033,Cs-137,вылет двойной,двойной вылет 1691.4
corpus,G1S16_Ra226_Mar,1247.40,0,18.46,62.76,0.294,0.825,Bi-214,вылет одиночный,одиночный вылет 1756.9
corpus,G1S16_Ra226_Mar_2,180.49,143,6.21,18.47,0.336,0.956,,обратное рассеяние,рассеяние от 613.1; родителей 1; площадь/родителя 2.01
corpus,G1S16_Ra226_Mar_2,1247.09,1,17.97,62.82,0.286,0.813,Bi-214,вылет одиночный,одиночный вылет 1751.8
corpus,G1S16_Th228_P5,1585.92,0,24.16,73.47,0.329,0.907,Ac-228,вылет двойной,двойной вылет 2618.3
corpus,G1S16_Th232_Mar,1587.85,0,26.81,73.51,0.365,1.035,Ac-228,вылет двойной,двойной вылет 2611.7
corpus,G1S16_Th232_Mar_2,124.24,133,4.94,14.87,0.332,0.960,Eu-152,обратное рассеяние,рассеяние от 234.0; родителей 1; площадь/родителя 0.29
corpus,G1S16_Th232_Mar_2,1597.80,0,26.94,73.79,0.365,1.055,Ac-228,вылет двойной,двойной вылет 2627.2
corpus,G1S16_Th232_Mar_2,2122.94,0,28.39,89.10,0.319,0.921,Tl-208 SE,вылет одиночный,одиночный вылет 2627.2
corpus,G1S16_Th232_Mar_3,461.60,7,7.39,33.18,0.223,0.637,Ac-228,сумма случайная,127.5 + 337.2
corpus,G1S16_Th232_Mar_3,1590.56,1,28.72,73.60,0.390,1.115,Ac-228,вылет двойной,двойной вылет 2611.6
corpus,G1S24_Co60_P5,2516.38,0,37.98,104.85,0.362,0.921,,сумма каскадная,1173.7 + 1329.2
corpus,G1S24_Eu152_P5,166.16,1523,6.78,19.35,0.350,0.972,,сумма случайная,39.4 + 126.4
corpus,G1S24_Na22_P25,1006.06,3,27.34,60.46,0.452,1.191,Annihilation (sum 511+511),сумма случайная,503.7 + 503.7
corpus,G1S24_Na22_P5,1254.95,221,26.64,71.10,0.375,1.000,Bi-214,вылет одиночный,одиночный вылет 1775.4
corpus,G1S24_Ra226_Denta120_2,1244.82,0,16.02,70.31,0.228,0.660,Bi-214,вылет одиночный,одиночный вылет 1762.5
corpus,G1S24_Ra226_Mar,151.40,28,6.23,18.46,0.338,1.000,U-235,сумма случайная,77.1 + 77.1
corpus,G1S24_Ra226_Mar,238.06,53,7.88,24.49,0.322,0.953,Pb-212,сумма случайная,48.7 + 185.9
corpus,G1S24_Ra226_Mar,1392.00,0,24.26,74.05,0.328,0.970,Bi-214,сумма каскадная,610.2 + 772.3
corpus,G1S24_Ra226_Mar_2,1247.62,1,16.09,69.35,0.232,0.672,Bi-214,вылет одиночный,одиночный вылет 1760.7
corpus,G1S24_Th228_P25,583.14,54,15.09,43.35,0.348,1.000,Tl-208,вылет двойной,двойной вылет 1608.3
corpus,G1S24_Th228_P25,865.66,2,18.21,55.41,0.329,0.944,Ac-228,сумма каскадная,133.4 + 727.0
corpus,G1S24_Th228_P25,1608.31,0,25.47,79.90,0.319,0.916,Ac-228,вылет одиночный,одиночный вылет 2118.0
corpus,G1S24_Th228_P5,69.31,122089,4.62,11.52,0.401,1.140,W x-ray,сумма случайная,35.2 + 35.2
corpus,G1S24_Th228_P5,123.75,4356,6.67,16.03,0.416,1.183,Eu-152,обратное рассеяние,рассеяние от 234.0; родителей 1; площадь/родителя 0.17
corpus,G1S24_Th228_P5,1106.77,5,25.68,64.89,0.396,1.126,Eu-152,вылет одиночный,одиночный вылет 1626.4
corpus,G1S24_Th228_P5,1626.45,8,29.90,82.19,0.364,1.035,Ac-228,вылет двойной,двойной вылет 2644.5
corpus,G1S24_Th232_Denta120_2,1616.52,0,28.55,82.81,0.345,1.001,Ac-228,вылет двойной,двойной вылет 2630.2
corpus,G1S24_Th232_Mar,124.71,43,6.11,16.51,0.370,1.010,Eu-152,обратное рассеяние,рассеяние от 237.2; родителей 1; площадь/родителя 0.24
corpus,G1S24_Th232_Mar,587.61,10,14.95,42.44,0.352,0.962,Tl-208,вылет двойной,двойной вылет 1605.9
corpus,G1S24_Th232_Mar,1605.88,0,28.19,80.79,0.349,0.952,Ac-228,вылет двойной,двойной вылет 2621.8
corpus,G1S24_Th232_Mar,2110.75,0,36.01,96.54,0.373,1.018,Tl-208 SE,вылет одиночный,одиночный вылет 2621.8
corpus,G1S24_Th232_Mar_2,586.35,120,14.89,43.37,0.343,0.960,Tl-208,вылет двойной,двойной вылет 1606.7
corpus,G1S24_Th232_Mar_2,1606.71,2,30.05,80.63,0.373,1.042,Ac-228,вылет двойной,двойной вылет 2614.0
corpus,G1S24_Th232_Petri,1616.58,0,22.47,82.93,0.271,0.791,Ac-228,вылет одиночный,одиночный вылет 2137.8
corpus,G1S24_Th232_Petri_2,584.81,85,14.65,42.73,0.343,1.009,Tl-208,вылет двойной,двойной вылет 1605.6
corpus,G1S24_Th232_Petri_2,1123.58,1,21.43,65.72,0.326,0.960,Bi-214,вылет двойной,двойной вылет 2144.4
corpus,G1S24_Th232_Petri_2,1605.64,1,27.69,82.59,0.335,0.987,Ac-228,вылет двойной,двойной вылет 2623.1
corpus,GS4000_Lu176,118.26,14,14.86,13.16,1.129,0.943,Th-234,сумма случайная,55.8 + 55.8
corpus,GS4000_Lu176,147.77,8,18.85,15.26,1.235,1.032,U-235,сумма случайная,55.8 + 89.7
corpus,GS4000_Lu176,303.28,34,30.57,24.80,1.233,1.029,Lu-176,сумма случайная,89.7 + 200.7
corpus,GS4000_Lu176,508.36,1,39.04,35.39,1.103,0.921,Tl-208,сумма каскадная,200.7 + 303.3
corpus,GS4000_Ra226,155.37,12,19.41,15.81,1.228,1.119,U-235,сумма случайная,79.9 + 79.9
corpus,GS4000_Ra226,245.38,20,22.62,21.51,1.052,0.958,Eu-152,сумма случайная,46.9 + 190.4
corpus,GS4000_Ra226,354.86,25,31.42,27.66,1.136,1.035,Pb-214,вылет двойной,двойной вылет 1387.1
corpus,GS4000_Ra226,1387.11,0,79.00,71.96,1.098,1.000,Bi-214,сумма каскадная,607.4 + 769.3
corpus,GS4000_Th232,87.50,49,7.66,10.90,0.703,0.665,Pb x-ray,обратное рассеяние,рассеяние от 128.7; родителей 1; площадь/родителя 2.72
corpus,GS4000_Th232,128.71,18,13.35,13.90,0.961,0.909,Ac-228,сумма случайная,40.6 + 87.5
corpus,GS4000_Th232,335.98,4,29.83,26.33,1.133,1.073,Ac-228,сумма случайная,87.5 + 238.4
corpus,GS4000_Th232,584.46,1,43.37,38.63,1.123,1.063,Tl-208,вылет двойной,двойной вылет 1599.9
corpus,GS4000_U,184.95,32,18.06,17.82,1.014,1.000,U-235,сумма случайная,92.5 + 92.5
corpus,LaBrBril_Eu152,442.21,39,5.71,15.86,0.360,0.988,,вылет двойной,двойной вылет 1465.5
corpus,LaBrBril_Eu152,777.34,37,7.87,21.10,0.373,1.023,Eu-152,вылет одиночный,одиночный вылет 1291.2
corpus,RC103_Th232Village,582.79,2,19.11,47.06,0.406,1.021,Tl-208,вылет двойной,двойной вылет 1596.4
corpus,RC103_Th232Village,1596.44,0,32.95,101.23,0.326,0.819,Ac-228,вылет двойной,двойной вылет 2622.4
corpus,RC103_Th232WT20,239.03,631,12.16,28.84,0.422,1.069,Pb-212,вылет двойной,двойной вылет 1258.5
corpus,RC103_Th232WT20,1258.52,0,35.67,78.46,0.455,1.153,,сумма каскадная,335.7 + 920.2
corpus,RC103_Th232WT20,1584.20,2,33.81,91.07,0.371,0.941,Ac-228,вылет двойной,двойной вылет 2618.6
corpus,RC103_Th232WT20,2121.10,0,34.61,110.56,0.313,0.794,Tl-208 SE,вылет одиночный,одиночный вылет 2618.6
