source,ours,ours_density,g4,g4_density,delta_pct,grade,composition,g4_how
star,HOLMIUM,8.795,G4_Ho,8.795,0.000,совпало,Ho1.000,element
star,ERBIUM,9.066,G4_Er,9.066,0.000,совпало,Er1.000,element
star,THULIUM,9.321,G4_Tm,9.321,0.000,совпало,Tm1.000,element
star,YTTERBIUM,6.73,G4_Yb,6.73,0.000,совпало,Yb1.000,element
star,LUTETIUM,9.84,G4_Lu,9.84,0.000,совпало,Lu1.000,element
star,HAFNIUM,13.31,G4_Hf,13.31,0.000,совпало,Hf1.000,element
star,TANTALUM,16.654,G4_Ta,16.654,0.000,совпало,Ta1.000,element
star,TUNGSTEN,19.3,G4_W,19.3,0.000,совпало,W1.000,element
star,RHENIUM,21.02,G4_Re,21.02,0.000,совпало,Re1.000,element
star,OSMIUM,22.57,G4_Os,22.57,0.000,совпало,Os1.000,element
star,IRIDIUM,22.42,G4_Ir,22.42,0.000,совпало,Ir1.000,element
star,PLATINUM,21.45,G4_Pt,21.45,0.000,совпало,Pt1.000,element
star,GOLD,19.32,G4_Au,19.32,0.000,совпало,Au1.000,element
star,MERCURY,13.546,G4_Hg,13.546,0.000,совпало,Hg1.000,element
star,THALLIUM,11.72,G4_Tl,11.72,0.000,совпало,Tl1.000,element
star,LEAD,11.35,G4_Pb,11.35,0.000,совпало,Pb1.000,element
star,BISMUTH,9.747,G4_Bi,9.747,0.000,совпало,Bi1.000,element
star,POLONIUM,9.32,G4_Po,9.32,0.000,совпало,Po1.000,element
star,ASTATINE,9.32,G4_At,9.32,0.000,совпало,At1.000,element
star,FRANCIUM,1.0,G4_Fr,1.0,0.000,совпало,Fr1.000,element
star,RADIUM,5.0,G4_Ra,5.0,0.000,совпало,Ra1.000,element
star,ACTINIUM,10.07,G4_Ac,10.07,0.000,совпало,Ac1.000,element
star,THORIUM,11.72,G4_Th,11.72,0.000,совпало,Th1.000,element
star,PROTACTINIUM,15.37,G4_Pa,15.37,0.000,совпало,Pa1.000,element
star,URANIUM,18.95,G4_U,18.95,0.000,совпало,U1.000,element
star,NEPTUNIUM,20.25,G4_Np,20.25,0.000,совпало,Np1.000,element
star,PLUTONIUM,19.84,G4_Pu,19.84,0.000,совпало,Pu1.000,element
star,AMERICIUM,13.67,G4_Am,13.67,0.000,совпало,Am1.000,element
star,CURIUM,13.51,G4_Cm,13.51,0.000,совпало,Cm1.000,element
star,BERKELIUM,14.0,G4_Bk,14.0,0.000,совпало,Bk1.000,element
star,CALIFORNIUM,10.0,G4_Cf,10.0,0.000,совпало,Cf1.000,element
star,A-150 TISSUE-EQUIVALENT PLASTIC,1.127,G4_A-150_TISSUE,1.127,0.000,совпало,C0.776 H0.101 O0.052 N0.035 Ca0.018 F0.017,weights
star,ACETONE,0.7899,G4_ACETONE,0.7899,0.000,совпало,C0.620 O0.275 H0.104,atoms
star,ACETYLENE,0.0010967,G4_ACETYLENE,0.0010967,0.000,совпало,C0.923 H0.077,atoms
star,ADENINE,1.35,G4_ADENINE,1.35,0.000,совпало,N0.518 C0.444 H0.037,atoms
star,"AIR, DRY (NEAR SEA LEVEL)",0.00120479,G4_AIR,0.00120479,0.000,совпало,N0.755 O0.232 Ar0.013 C0.000,weights
star,ALANINE,1.42,G4_ALANINE,1.42,0.000,совпало,C0.404 O0.359 N0.157 H0.079,atoms
star,ALUMINUM OXIDE,3.97,G4_ALUMINUM_OXIDE,3.97,0.000,совпало,Al0.529 O0.471,atoms
star,AMBER,1.1,G4_AMBER,1.1,0.000,совпало,C0.789 H0.106 O0.105,weights
star,AMMONIA,0.000826019,G4_AMMONIA,0.000826019,0.000,совпало,N0.822 H0.178,atoms
star,ANILINE,1.0235,G4_ANILINE,1.0235,0.000,совпало,C0.774 N0.150 H0.076,atoms
star,ANTHRACENE,1.283,G4_ANTHRACENE,1.283,0.000,совпало,C0.943 H0.057,atoms
star,B-100 BONE-EQUIVALENT PLASTIC,1.45,G4_B-100_BONE,1.45,0.000,совпало,C0.537 Ca0.177 F0.167 H0.065 O0.032 N0.021,weights
star,BAKELITE,1.25,G4_BAKELITE,1.25,0.000,совпало,C0.775 O0.168 H0.057,weights
star,BARIUM FLUORIDE,4.89,G4_BARIUM_FLUORIDE,4.89,0.000,совпало,Ba0.783 F0.217,atoms
star,BARIUM SULFATE,4.5,G4_BARIUM_SULFATE,4.5,0.000,совпало,Ba0.588 O0.274 S0.137,atoms
star,BENZENE,0.87865,G4_BENZENE,0.87865,0.000,совпало,C0.923 H0.077,atoms
star,BERYLLIUM OXIDE,3.01,G4_BERYLLIUM_OXIDE,3.01,0.000,совпало,O0.640 Be0.360,atoms
star,BISMUTH GERMANIUM OXIDE,7.13,G4_BGO,7.13,0.000,совпало,Bi0.671 Ge0.175 O0.154,atoms
star,"BONE, COMPACT (ICRU)",1.85,G4_BONE_COMPACT_ICRU,1.85,0.000,совпало,O0.410 C0.278 Ca0.147 P0.070 H0.064 N0.027 Mg0.002 S0.002,weights
star,BORON CARBIDE,2.52,G4_BORON_CARBIDE,2.52,0.000,совпало,B0.783 C0.217,atoms
star,BORON OXIDE,1.812,G4_BORON_OXIDE,1.812,0.000,совпало,O0.689 B0.311,atoms
star,BUTANE,0.00249343,G4_BUTANE,0.00249343,0.000,совпало,C0.827 H0.173,atoms
star,N-BUTYL ALCOHOL,0.8098,G4_N-BUTYL_ALCOHOL,0.8098,0.000,совпало,C0.648 O0.216 H0.136,atoms
star,C-552 AIR-EQUIVALENT PLASTIC,1.76,G4_C-552,1.76,0.000,совпало,C0.502 F0.465 H0.025 O0.005 Si0.004,weights
star,CADMIUM TELLURIDE,6.2,G4_CADMIUM_TELLURIDE,6.2,0.000,совпало,Te0.532 Cd0.468,atoms
star,CADMIUM TUNGSTATE,7.9,G4_CADMIUM_TUNGSTATE,7.9,0.000,совпало,W0.510 Cd0.312 O0.178,atoms
star,CALCIUM CARBONATE,2.8,G4_CALCIUM_CARBONATE,2.8,0.000,совпало,O0.480 Ca0.400 C0.120,atoms
star,CALCIUM FLUORIDE,3.18,G4_CALCIUM_FLUORIDE,3.18,0.000,совпало,Ca0.513 F0.487,atoms
star,CALCIUM OXIDE,3.3,G4_CALCIUM_OXIDE,3.3,0.000,совпало,Ca0.715 O0.285,atoms
star,CALCIUM SULFATE,2.96,G4_CALCIUM_SULFATE,2.96,0.000,совпало,O0.470 Ca0.294 S0.235,atoms
star,CALCIUM TUNGSTATE,6.062,G4_CALCIUM_TUNGSTATE,6.062,0.000,совпало,W0.639 O0.222 Ca0.139,atoms
star,CARBON DIOXIDE,0.00184212,G4_CARBON_DIOXIDE,0.00184212,0.000,совпало,O0.727 C0.273,atoms
star,CARBON TETRACHLORIDE,1.594,G4_CARBON_TETRACHLORIDE,1.594,0.000,совпало,Cl0.922 C0.078,atoms
star,"CELLULOSE ACETATE, CELLOPHANE",1.42,G4_CELLULOSE_CELLOPHANE,1.42,0.000,совпало,O0.493 C0.444 H0.062,atoms
star,CELLULOSE ACETATE BUTYRATE,1.2,G4_CELLULOSE_BUTYRATE,1.2,0.000,совпало,C0.545 O0.387 H0.067,weights
star,CELLULOSE NITRATE,1.49,G4_CELLULOSE_NITRATE,1.49,0.000,совпало,O0.578 C0.271 N0.121 H0.029,weights
star,CERIC SULFATE DOSIMETER SOLUTION,1.03,G4_CERIC_SULFATE,1.03,0.000,совпало,O0.875 H0.108 S0.015 Ce0.002 N0.001,weights
star,CESIUM FLUORIDE,4.115,G4_CESIUM_FLUORIDE,4.115,0.000,совпало,Cs0.875 F0.125,atoms
star,CESIUM IODIDE,4.51,G4_CESIUM_IODIDE,4.51,0.000,совпало,Cs0.512 I0.488,atoms
star,CHLOROBENZENE,1.1058,G4_CHLOROBENZENE,1.1058,0.000,совпало,C0.640 Cl0.315 H0.045,atoms
star,CHLOROFORM,1.4832,G4_CHLOROFORM,1.4832,0.000,совпало,Cl0.891 C0.101 H0.008,atoms
star,"CONCRETE, PORTLAND",2.3,G4_CONCRETE,2.3,0.000,совпало,O0.529 Si0.337 Ca0.044 Al0.034 Na0.016 Fe0.014 K0.013 H0.010 Mg0.002 C0.001,weights
star,CYCLOHEXANE,0.779,G4_CYCLOHEXANE,0.779,0.000,совпало,C0.856 H0.144,atoms
star,"1,2-DICHLOROBENZENE",1.3048,"G4_1,2-DICHLOROBENZENE",1.3048,0.000,совпало,C0.490 Cl0.482 H0.027,atoms
star,DICHLORODIETHYL ETHER,1.2199,G4_DICHLORODIETHYL_ETHER,1.2199,0.000,совпало,Cl0.496 C0.336 O0.112 H0.056,atoms
star,"1,2-DICHLOROETHANE",1.2351,"G4_1,2-DICHLOROETHANE",1.2351,0.000,совпало,Cl0.717 C0.243 H0.041,atoms
star,DIETHYL ETHER,0.71378,G4_DIETHYL_ETHER,0.71378,0.000,совпало,C0.648 O0.216 H0.136,atoms
star,"N,N-DIMETHYL FORMAMIDE",0.9487,"G4_N,N-DIMETHYL_FORMAMIDE",0.9487,0.000,совпало,C0.493 O0.219 N0.192 H0.097,atoms
star,DIMETHYL SULFOXIDE,1.1014,G4_DIMETHYL_SULFOXIDE,1.1014,0.000,совпало,S0.410 C0.307 O0.205 H0.077,atoms
star,ETHANE,0.00125324,G4_ETHANE,0.00125324,0.000,совпало,C0.799 H0.201,atoms
star,ETHYL ALCOHOL,0.7893,G4_ETHYL_ALCOHOL,0.7893,0.000,совпало,C0.521 O0.347 H0.131,atoms
star,ETHYL CELLULOSE,1.13,G4_ETHYL_CELLULOSE,1.13,0.000,совпало,C0.585 O0.325 H0.090,weights
star,ETHYLENE,0.00117497,G4_ETHYLENE,0.00117497,0.000,совпало,C0.856 H0.144,atoms
star,FERRIC OXIDE,5.2,G4_FERRIC_OXIDE,5.2,0.000,совпало,Fe0.699 O0.301,atoms
star,FERROBORIDE,7.15,G4_FERROBORIDE,7.15,0.000,совпало,Fe0.838 B0.162,atoms
star,FERROUS OXIDE,5.7,G4_FERROUS_OXIDE,5.7,0.000,совпало,Fe0.777 O0.223,atoms
star,FERROUS SULFATE DOSIMETER SOLUTION,1.024,G4_FERROUS_SULFATE,1.024,0.000,совпало,O0.879 H0.108 S0.013 Fe0.000 Cl0.000 N0.000 Na0.000,weights
star,FREON-12,1.12,G4_FREON-12,1.12,0.000,совпало,Cl0.586 F0.314 C0.099,weights
star,FREON-12B2,1.8,G4_FREON-12B2,1.8,0.000,совпало,Br0.762 F0.181 C0.057,weights
star,FREON-13,0.95,G4_FREON-13,0.95,0.000,совпало,F0.546 Cl0.339 C0.115,weights
star,FREON-13B1,1.5,G4_FREON-13B1,1.5,0.000,совпало,Br0.537 F0.383 C0.081,atoms
star,FREON-13I1,1.8,G4_FREON-13I1,1.8,0.000,совпало,I0.648 F0.291 C0.061,weights
star,GADOLINIUM OXYSULFIDE,7.44,G4_GADOLINIUM_OXYSULFIDE,7.44,0.000,совпало,Gd0.831 S0.085 O0.085,atoms
star,GALLIUM ARSENIDE,5.31,G4_GALLIUM_ARSENIDE,5.31,0.000,совпало,As0.518 Ga0.482,atoms
star,GEL IN PHOTOGRAPHIC EMULSION,1.2914,G4_GEL_PHOTO_EMULSION,1.2914,0.000,совпало,C0.416 O0.381 N0.111 H0.081 S0.011,weights
star,Pyrex Glass,2.23,G4_Pyrex_Glass,2.23,0.000,совпало,O0.540 Si0.377 B0.040 Na0.028 Al0.012 K0.003,weights
star,"GLASS, LEAD",6.22,G4_GLASS_LEAD,6.22,0.000,совпало,Pb0.752 O0.156 Si0.081 Ti0.008 As0.003,weights
star,"GLASS, PLATE",2.4,G4_GLASS_PLATE,2.4,0.000,совпало,O0.460 Si0.337 Ca0.107 Na0.096,weights
star,GLUTAMINE,1.46,G4_GLUTAMINE,1.46,0.000,совпало,C0.411 O0.328 N0.192 H0.069,atoms
star,GLYCEROL,1.2613,G4_GLYCEROL,1.2613,0.000,совпало,O0.521 C0.391 H0.088,atoms
star,GUANINE,1.58,G4_GUANINE,1.58,0.000,совпало,N0.463 C0.397 O0.106 H0.033,atoms
star,"GYPSUM, PLASTER OF PARIS",2.32,G4_GYPSUM,2.32,0.000,совпало,O0.558 Ca0.233 S0.186 H0.023,atoms
star,N-HEPTANE,0.68376,G4_N-HEPTANE,0.68376,0.000,совпало,C0.839 H0.161,atoms
star,N-HEXANE,0.6603,G4_N-HEXANE,0.6603,0.000,совпало,C0.836 H0.164,atoms
star,KAPTON POLYIMIDE FILM,1.42,G4_KAPTON,1.42,0.000,совпало,C0.691 O0.209 N0.073 H0.026,atoms
star,LANTHANUM OXYBROMIDE,6.28,G4_LANTHANUM_OXYBROMIDE,6.28,0.000,совпало,La0.592 Br0.340 O0.068,atoms
star,LANTHANUM OXYSULFIDE,5.86,G4_LANTHANUM_OXYSULFIDE,5.86,0.000,совпало,La0.813 S0.094 O0.094,atoms
star,LEAD OXIDE,9.53,G4_LEAD_OXIDE,9.53,0.000,совпало,Pb0.928 O0.072,weights
star,LITHIUM AMIDE,1.178,G4_LITHIUM_AMIDE,1.178,0.000,совпало,N0.610 Li0.302 H0.088,atoms
star,LITHIUM CARBONATE,2.11,G4_LITHIUM_CARBONATE,2.11,0.000,совпало,O0.650 Li0.188 C0.163,atoms
star,LITHIUM FLUORIDE,2.635,G4_LITHIUM_FLUORIDE,2.635,0.000,совпало,F0.732 Li0.268,atoms
star,LITHIUM HYDRIDE,0.82,G4_LITHIUM_HYDRIDE,0.82,0.000,совпало,Li0.873 H0.127,atoms
star,LITHIUM IODIDE,3.494,G4_LITHIUM_IODIDE,3.494,0.000,совпало,I0.948 Li0.052,atoms
star,LITHIUM OXIDE,2.013,G4_LITHIUM_OXIDE,2.013,0.000,совпало,O0.535 Li0.465,atoms
star,LITHIUM TETRABORATE,2.44,G4_LITHIUM_TETRABORATE,2.44,0.000,совпало,O0.662 B0.256 Li0.082,atoms
star,M3 WAX,1.05,G4_M3_WAX,1.05,0.000,совпало,C0.656 Mg0.135 H0.114 O0.092 Ca0.003,weights
star,MAGNESIUM CARBONATE,2.958,G4_MAGNESIUM_CARBONATE,2.958,0.000,совпало,O0.569 Mg0.288 C0.142,atoms
star,MAGNESIUM FLUORIDE,3.0,G4_MAGNESIUM_FLUORIDE,3.0,0.000,совпало,F0.610 Mg0.390,atoms
star,MAGNESIUM OXIDE,3.58,G4_MAGNESIUM_OXIDE,3.58,0.000,совпало,Mg0.603 O0.397,atoms
star,MAGNESIUM TETRABORATE,2.53,G4_MAGNESIUM_TETRABORATE,2.53,0.000,совпало,O0.624 B0.241 Mg0.135,atoms
star,MERCURIC IODIDE,6.36,G4_MERCURIC_IODIDE,6.36,0.000,совпало,I0.559 Hg0.441,atoms
star,METHANE,0.000667151,G4_METHANE,0.000667151,0.000,совпало,C0.749 H0.251,atoms
star,METHANOL,0.7914,G4_METHANOL,0.7914,0.000,совпало,O0.499 C0.375 H0.126,atoms
star,MIX D WAX,0.99,G4_MIX_D_WAX,0.99,0.000,совпало,C0.778 H0.134 Mg0.039 O0.035 Ti0.014,weights
star,MS20 TISSUE SUBSTITUTE,1.0,G4_MS20_TISSUE,1.0,0.000,совпало,C0.583 O0.186 Mg0.130 H0.081 N0.018 Cl0.001,weights
star,"MUSCLE-EQUIVALENT LIQUID, WITH SUCROSE",1.11,G4_MUSCLE_WITH_SUCROSE,1.11,0.000,совпало,O0.710 C0.156 H0.098 N0.035,weights
star,"MUSCLE-EQUIVALENT LIQUID, WITHOUT SUCROSE",1.07,G4_MUSCLE_WITHOUT_SUCROSE,1.07,0.000,совпало,O0.743 C0.120 H0.102 N0.035,weights
star,NAPTHALENE,1.145,G4_NAPHTHALENE,1.145,0.000,совпало (неоднозначно: состав общий у 3 веществ Geant4),C0.937 H0.063,atoms
star,NITROBENZENE,1.19867,G4_NITROBENZENE,1.19867,0.000,совпало,C0.585 O0.260 N0.114 H0.041,atoms
star,NITROUS OXIDE,0.00183094,G4_NITROUS_OXIDE,0.00183094,0.000,совпало,N0.636 O0.364,atoms
star,"NYLON, DU PONT ELVAMIDE 8062",1.08,G4_NYLON-8062,1.08,0.000,совпало,C0.648 O0.149 H0.104 N0.100,weights
star,"NYLON, TYPE 6 AND TYPE 6/6",1.14,G4_NYLON-6-6,1.14,0.000,совпало,C0.637 O0.141 N0.124 H0.098,atoms
star,"NYLON, TYPE 6/10",1.14,G4_NYLON-6-10,1.14,0.000,совпало,C0.680 O0.113 H0.107 N0.099,weights
star,"NYLON, TYPE 11 (RILSAN)",1.425,G4_NYLON-11_RILSAN,1.425,0.000,совпало,C0.721 H0.115 O0.087 N0.076,weights
star,"OCTANE, LIQUID",0.7026,G4_OCTANE,0.7026,0.000,совпало,C0.841 H0.159,atoms
star,PARAFFIN WAX,0.93,G4_PARAFFIN,0.93,0.000,совпало,C0.851 H0.149,atoms
star,N-PENTANE,0.6262,G4_N-PENTANE,0.6262,0.000,совпало,C0.832 H0.168,atoms
star,PHOTOGRAPHIC EMULSION,3.815,G4_PHOTO_EMULSION,3.815,0.000,совпало,Ag0.474 Br0.349 C0.072 O0.066 N0.019 H0.014 I0.003 S0.002,weights
star,PLASTIC SCINTILLATOR (VINYLTOLUENE BASED),1.032,G4_PLASTIC_SC_VINYLTOLUENE,1.032,0.000,совпало,C0.915 H0.085,atoms
star,PLUTONIUM DIOXIDE,11.46,G4_PLUTONIUM_DIOXIDE,11.46,0.000,совпало,Pu0.882 O0.118,atoms
star,POLYACRYLONITRILE,1.17,G4_POLYACRYLONITRILE,1.17,0.000,совпало,C0.679 N0.264 H0.057,atoms
star,"POLYCARBONATE (MAKROLON, LEXAN)",1.2,G4_POLYCARBONATE,1.2,0.000,совпало,C0.756 O0.189 H0.055,atoms
star,POLYETHYLENE,0.94,G4_POLYETHYLENE,0.94,0.000,совпало,C0.856 H0.144,atoms
star,POLYETHYLENE TEREPHTHALATE (MYLAR),1.4,G4_MYLAR,1.4,0.000,совпало,C0.625 O0.333 H0.042,atoms
star,"POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)",1.19,G4_PLEXIGLASS,1.19,0.000,совпало,C0.600 O0.320 H0.081,atoms
star,"POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)",1.19,G4_LUCITE,1.19,0.000,совпало,C0.600 O0.320 H0.081,weights
star,POLYOXYMETHYLENE,1.425,G4_POLYOXYMETHYLENE,1.425,0.000,совпало,O0.533 C0.400 H0.067,atoms
star,POLYPROPYLENE,0.9,G4_POLYPROPYLENE,0.9,0.000,совпало,C0.856 H0.144,atoms
star,POLYSTYRENE,1.06,G4_POLYSTYRENE,1.06,0.000,совпало,C0.923 H0.077,atoms
star,POLYTETRAFLUOROETHYLENE (TEFLON),2.2,G4_TEFLON,2.2,0.000,совпало,F0.760 C0.240,atoms
star,POLYTRIFLUOROCHLOROETHYLENE,2.1,G4_POLYTRIFLUOROCHLOROETHYLENE,2.1,0.000,совпало,F0.489 Cl0.304 C0.206,atoms
star,POLYVINYL ACETATE,1.19,G4_POLYVINYL_ACETATE,1.19,0.000,совпало,C0.558 O0.372 H0.070,atoms
star,POLYVINYL ALCOHOL,1.3,G4_POLYVINYL_ALCOHOL,1.3,0.000,совпало,C0.545 O0.363 H0.092,atoms
star,POLYVINYL BUTYRAL,1.12,G4_POLYVINYL_BUTYRAL,1.12,0.000,совпало,C0.681 O0.227 H0.093,atoms
star,POLYVINYL CHLORIDE,1.3,G4_POLYVINYL_CHLORIDE,1.3,0.000,совпало,Cl0.567 C0.384 H0.048,atoms
star,"POLYVINYLIDENE CHLORIDE, SARAN",1.7,G4_POLYVINYLIDENE_CHLORIDE,1.7,0.000,совпало,Cl0.731 C0.248 H0.021,atoms
