n_low,n_miss,low_kev,low_fwhm,excess,band_n,band_kev,band_fwhm,band_sum,key,det,mode,lines,e_lo,ch_lo,ch_work,e_work_kev,lever_ch,lever_frac,gap_kev,gap_fwhm,gap_at_kev,loo_e,loo_kev,loo_fwhm,loo_mode
0,0,0.0,0.0,-0.12,0,0.0,0.0,0.0,ASN16_Cs137_10cm,ASN16,gain/grp,3,186.2,537,7,-3.8,530,0.065,1.94,0.07,199.2,186.2,13.65,0.51,gain
0,0,0.0,0.0,0.0,5,-3.46,-0.61,1.404,ASN16_BrazilNuts,ASN16,stored/grp,11,47.9,134,4,-2.7,130,0.016,0.0,0.0,-2.7,47.9,-1.07,-0.09,stored
0,0,0.0,0.0,0.65,4,-33.24,-1.89,4.765,RC103_Th232WT20,RC103,poly2/grp,6,60.3,25,0,-3.3,25,0.025,-4.85,-1.03,-3.3,60.3,2.51,0.15,gain
0,1,0.0,0.0,-0.67,3,-25.06,-1.58,3.466,AS80_Th232Medal,AS80x80,gain/robust,13,238.4,672,52,5.0,620,0.076,6.65,0.28,239.0,238.4,0.16,0.01,gain
0,1,0.0,0.0,2.27,1,23.42,1.12,1.118,AS80_K40,AS80x80,affine/robust,11,239.3,672,53,19.0,619,0.076,10.78,1.35,19.0,239.3,0.07,0.0,affine
0,0,0.0,0.0,0.39,4,-32.56,-2.7,7.068,AS80_Th232WT20,AS80x80,affine/robust/grp,12,60.3,178,53,13.0,125,0.015,1.92,0.16,59.2,60.3,-2.73,-0.23,gain
0,0,0.0,0.0,1.28,2,-2.36,-0.22,0.3,AS80_Cs137_0cm,AS80x80,affine/xlow/grp,8,33.4,94,52,14.9,42,0.005,10.19,1.04,30.8,33.4,-12.15,-1.19,gain
0,0,0.0,0.0,0.09,2,0.28,0.02,0.047,RC103_Cs137_0cm,RC103,affine/recal/xlow/grp,3,33.4,13,4,11.7,9,0.009,0.59,0.09,11.7,33.4,-0.33,-0.03,gain/recal
0,0,0.0,0.0,0.0,2,-2.93,-0.27,0.368,ASN16_Lu176,ASN16,stored/grp,5,88.3,255,5,-3.0,250,0.031,0.0,0.0,-3.0,88.3,1.29,0.1,stored
0,0,0.0,0.0,0.7,2,-4.54,-0.45,0.732,ASN16_Lu176_P0,ASN16,poly1/grp,4,88.3,253,13,-3.9,240,0.029,-2.37,-0.72,-3.9,88.3,1.1,0.08,stored
0,0,0.0,0.0,0.0,3,10.31,2.01,2.598,AS80_Lu176,AS80x80,stored/grp,7,88.3,259,52,11.3,207,0.025,0.0,0.0,11.3,88.3,-1.26,-0.09,stored
0,0,0.0,0.0,-0.79,3,11.02,2.29,2.77,AS80_Lu176_v2,AS80x80,poly2/robust,7,88.3,285,50,7.7,235,0.029,-1.37,-0.42,7.7,88.3,-17.79,-1.61,affine
0,0,0.0,0.0,1.01,1,-4.78,-0.24,0.239,AS80_Am241,AS80x80,affine/xlow/grp,3,17.1,101,52,4.4,49,0.006,-5.4,-1.53,4.4,17.1,9.6,1.47,gain
0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,RC103_K40Village,RC103,stored/grp,2,598.8,233,0,-7.1,233,0.228,0.0,0.0,-7.1,,,,
0,1,0.0,0.0,3.13,3,-23.27,-1.48,2.622,RC103_Charoite,RC103,affine/robust/grp,5,187.4,78,0,-26.2,78,0.077,-14.57,-1.58,-26.2,187.4,-2.01,-0.08,affine
0,0,0.0,0.0,0.83,2,4.4,0.23,0.328,RC103_Lu176,RC103,affine/grp,4,88.3,39,0,-1.6,39,0.038,5.54,1.35,-1.6,88.3,5.03,0.29,affine
0,1,0.0,0.0,2.11,6,1.48,2.91,3.764,HPGeGMX_Th232,HPGE_GMX,affine/robust,13,209.3,636,45,15.3,591,0.072,0.29,1.41,15.3,209.3,-0.24,-0.32,affine
0,3,0.0,0.0,0.28,0,0.0,0.0,0.0,HPGeGMX_Background,HPGE_GMX,poly2/grp,11,238.6,1192,0,-0.1,1192,0.146,0.24,0.28,238.4,238.6,0.13,0.16,affine
0,1,0.0,0.0,2.8,5,-0.32,-0.71,1.833,HPGeGEM_Th232,HPGE_GEM,affine/grp,17,209.3,583,50,16.6,533,0.065,0.38,1.81,16.6,209.3,0.02,0.03,affine
0,1,0.0,0.0,-0.19,4,-1.42,-2.92,3.763,HPGeGEM_Ra226,HPGE_GEM,poly2/grp,12,186.2,520,51,16.7,469,0.057,0.05,0.22,16.7,186.2,-0.02,-0.03,poly2
0,1,0.0,0.0,-0.16,0,0.0,0.0,0.0,HPGeGEM_K40,HPGE_GEM,gain/grp,2,238.6,665,18,4.7,647,0.079,-0.08,-0.11,238.1,,,,
0,1,0.0,0.0,1.13,4,-13.34,-1.87,3.43,LaBrBril_Th228,LABR_BRIL,affine/grp,11,238.9,85,5,13.3,80,0.078,2.14,0.79,13.3,238.9,-1.43,-0.12,affine
0,0,0.0,0.0,1.36,4,-12.45,-1.24,2.52,LaBrBril_Eu152,LABR_BRIL,affine/xlow/grp,14,39.9,14,5,14.5,9,0.009,3.37,1.19,14.5,39.9,-2.97,-0.63,stored
0,0,0.0,0.0,0.97,4,7.77,1.26,3.504,G1S16_Mix_Denta100,G1S16,affine/xlow,12,17.1,15,5,-5.9,10,0.01,-5.81,-1.42,-5.9,17.1,8.91,1.28,affine
0,1,0.0,0.0,-0.13,3,-25.52,-1.66,3.665,G1S16_Th232_Denta100,G1S16,gain/grp,8,238.4,85,5,-0.1,80,0.079,1.19,0.05,235.6,238.4,-0.07,-0.0,gain
0,0,0.0,0.0,0.72,4,8.89,0.91,2.519,G1S16_Mix_Mar,G1S16,poly1/xlow/grp,13,17.1,15,5,-7.2,10,0.01,-4.11,-0.95,-7.2,17.1,8.23,1.24,affine
0,0,0.0,0.0,0.87,2,-7.49,-0.81,0.961,G1S16_Cs137_Mar,G1S16,affine/xlow/grp,4,33.4,12,5,3.7,7,0.007,6.87,1.76,3.7,33.4,-21.93,-2.17,affine
0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,G1S16_K40_Mar,G1S16,stored,3,239.1,84,5,-3.1,79,0.078,0.0,0.0,-3.1,239.1,-7.24,-0.15,stored
0,1,0.0,0.0,-0.21,0,0.0,0.0,0.0,G1S16_K40_Mar_2,G1S16,gain,3,239.1,85,5,-11.2,80,0.078,7.05,0.14,235.5,239.1,-6.07,-0.12,gain
0,1,0.0,0.0,0.51,3,-16.39,-1.18,1.978,G1S16_Ra226_Mar,G1S16,affine,12,186.2,67,5,-0.8,62,0.061,2.81,0.12,182.6,186.2,-1.81,-0.08,affine
0,1,0.0,0.0,1.09,3,-20.47,-1.35,2.474,G1S16_Ra226_Mar_2,G1S16,affine/grp,12,186.2,67,5,-5.8,62,0.061,5.91,0.26,180.5,186.2,-4.92,-0.21,affine
0,1,0.0,0.0,-0.06,2,-22.5,-1.63,2.623,G1S16_Th232_Mar_2,G1S16,gain,9,238.9,85,5,-3.1,80,0.079,1.08,0.05,234.0,238.9,-3.05,-0.15,gain
0,1,0.0,0.0,1.05,3,-19.16,-1.49,2.613,G1S16_Th232_Mar_3,G1S16,affine/grp,10,238.4,85,5,0.7,80,0.079,3.85,1.23,0.7,238.4,-3.11,-0.14,gain
0,0,0.0,0.0,0.71,4,7.17,1.13,3.216,G1S16_Mix_Petri,G1S16,affine/xlow/grp,13,17.1,15,5,-6.8,10,0.01,-4.21,-0.99,-6.8,17.1,8.28,1.22,affine
0,1,0.0,0.0,0.5,3,-25.13,-1.52,3.338,G1S16_Th232_Petri,G1S16,poly2/grp,7,238.4,85,5,-0.4,80,0.079,3.78,0.17,236.3,238.4,-0.41,-0.02,poly2
0,0,0.0,0.0,0.0,2,3.25,0.61,1.108,G1S16_Am241_P25,G1S16,stored/xlow/grp,4,17.1,11,5,2.3,6,0.006,0.0,0.0,2.3,17.1,7.82,1.1,affine
0,0,0.0,0.0,1.72,3,24.08,1.16,1.68,G1S16_Ba133_P25,G1S16,affine/xlow/grp,4,32.3,12,5,8.9,7,0.007,6.65,2.32,8.9,32.3,-6.76,-1.24,affine
0,0,0.0,0.0,1.03,2,3.55,0.18,0.331,G1S16_Cd109_P25,G1S16,affine/xlow,4,23.0,9,5,9.4,4,0.004,7.1,1.24,20.8,23.0,-5.71,-0.94,affine
0,0,0.0,0.0,1.17,2,-2.39,-0.24,0.376,G1S16_Ce139_P25,G1S16,affine/xlow/grp,5,34.9,13,5,9.0,8,0.008,6.77,1.53,9.0,34.9,-4.96,-0.57,affine
0,3,0.0,0.0,3.0,0,0.0,0.0,0.0,G1S16_Co60_P25,G1S16,affine/grp,4,348.7,126,6,17.9,120,0.117,12.73,1.74,17.9,348.7,12.96,0.4,affine
0,0,0.0,0.0,1.21,2,-1.48,-0.14,0.21,G1S16_Cs137_P25,G1S16,affine/xlow/grp,5,33.4,12,5,10.1,7,0.008,7.8,1.53,10.1,33.4,-9.16,-0.98,stored
0,0,0.0,0.0,0.73,2,-4.21,-0.43,0.519,G1S16_Eu152_P25,G1S16,affine/xlow/grp,11,41.9,15,5,6.6,10,0.011,4.35,0.46,35.1,41.9,-8.34,-0.8,gain
0,2,0.0,0.0,-0.05,1,24.38,1.19,1.194,G1S16_Mn54_P25,G1S16,gain,4,292.4,105,5,2.3,100,0.098,0.87,0.04,291.3,292.4,4.42,0.19,affine
0,4,0.0,0.0,1.03,0,0.0,0.0,0.0,G1S16_Na22_P25,G1S16,affine/grp,3,511.0,178,5,6.2,173,0.17,3.93,1.01,6.2,511.0,-2.46,-0.07,gain
0,1,0.0,0.0,0.8,3,-12.37,-0.98,1.463,G1S16_Th228_P25,G1S16,affine/robust/grp,7,238.7,86,5,5.3,81,0.079,3.12,0.14,238.3,238.7,-3.13,-0.14,stored
0,0,0.0,0.0,0.0,2,-5.56,-0.57,1.059,G1S16_Am241_P5,G1S16,stored/xlow/grp,2,17.1,11,5,1.2,6,0.006,0.0,0.0,1.2,,,,
0,0,0.0,0.0,1.53,2,-2.84,-0.32,0.476,G1S16_Ba133_P5,G1S16,affine/xlow/grp,4,32.3,12,5,9.1,7,0.007,7.89,2.0,9.1,32.3,-7.02,-0.95,affine
0,0,0.0,0.0,0.86,2,-2.93,-0.57,0.881,G1S16_Cd109_P5,G1S16,affine/xlow/grp,3,23.0,9,5,7.9,4,0.004,6.72,1.13,19.4,23.0,-9.47,-1.46,gain
