group,spectrum,energy_kev,counts,fwhm_kev,fwhm_expected_kev,width_ratio,width_rel,nuclide,origin,detail
corpus,G1S24_Ra226_Mar,151.40,28,6.23,18.46,0.338,1.000,,сумма случайная,77.1 + 77.1
corpus,G1S24_Ra226_Mar,238.06,53,7.88,24.49,0.322,0.953,Pb-214,сумма случайная,48.7 + 185.9
corpus,G1S24_Ra226_Mar,1392.00,0,24.26,74.05,0.328,0.970,Bi-214,сумма каскадная,610.2 + 772.3
corpus,G1S24_Ra226_Mar_2,186.12,135,7.14,20.99,0.340,0.984,Ra-226,сумма случайная,37.5 + 151.5
corpus,G1S24_Ra226_Mar_2,1247.62,1,16.09,69.35,0.232,0.672,SE-1764,вылет одиночный,одиночный вылет 1760.7
corpus,G1S24_Ra226_Petri,146.46,6,6.55,17.73,0.369,1.033,,обратное рассеяние,рассеяние от 351.1; родителей 1; площадь/родителя 0.25
corpus,G1S24_Ra226_Petri_2,151.46,15,6.46,18.13,0.356,1.000,,сумма случайная,76.6 + 76.6
corpus,G1S24_Ra226_Petri_2,1251.90,0,16.44,70.69,0.233,0.653,SE-1764,вылет одиночный,одиночный вылет 1762.3
corpus,G1S24_Th228_P25,583.14,54,15.09,43.35,0.348,1.000,Tl-208,вылет двойной,двойной вылет 1608.3
corpus,G1S24_Th228_P25,1098.50,0,28.99,63.97,0.453,1.301,SE-1620,вылет двойной,двойной вылет 2118.0
corpus,G1S24_Th228_P25,1608.31,0,25.47,79.90,0.319,0.916,Bi-212,вылет одиночный,одиночный вылет 2118.0
corpus,G1S24_Th228_P5,69.31,122089,4.62,11.52,0.401,1.140,Tl-208,сумма случайная,35.2 + 35.2
corpus,G1S24_Th228_P5,123.75,4356,6.67,16.03,0.416,1.183,,обратное рассеяние,рассеяние от 234.0; родителей 1; площадь/родителя 0.17
corpus,G1S24_Th228_P5,1106.77,5,25.68,64.89,0.396,1.126,SE-1620,вылет одиночный,одиночный вылет 1626.4
corpus,G1S24_Th228_P5,1626.45,8,29.90,82.19,0.364,1.035,Bi-212,вылет двойной,двойной вылет 2644.5
corpus,G1S24_Th228_P5,1862.78,0,34.98,89.05,0.393,1.117,,вылет одиночный,одиночный вылет 2362.8
corpus,G1S24_Th232_Denta120_2,1102.05,0,15.43,64.84,0.238,0.709,Ac-228,вылет одиночный,одиночный вылет 1616.5
