ch,keV,net,model,continuum_raw,untied_tail,fit,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up,continuum
246,86.507,134082.916,131528.616,112056.890,0.000,134082.916,12725.609,0.000,0.000,6961.309,0.000,112056.890
247,86.886,133246.277,131203.157,110792.877,0.000,133246.277,13923.412,0.000,0.000,6702.017,0.000,110792.877
248,87.265,132296.044,130862.805,109435.108,0.000,132296.044,15203.720,0.000,0.000,6447.721,0.000,109435.108
249,87.644,132015.594,130519.064,107982.439,0.000,132015.594,16567.858,0.000,0.000,6197.121,0.000,107982.439
250,88.023,131722.154,130168.596,106434.284,0.000,131722.154,18013.460,0.000,0.000,5949.161,0.000,106434.284
251,88.403,131393.431,129804.464,104790.663,0.000,131393.431,19539.034,0.000,0.000,5703.031,0.000,104790.663
252,88.782,130060.502,129426.871,103052.240,0.000,130060.502,21144.682,0.000,0.000,5458.169,0.000,103052.240
253,89.161,130345.507,129036.785,101220.358,0.000,130345.507,22830.353,0.000,0.000,5214.249,0.000,101220.358
254,89.540,128932.249,128634.095,99297.067,0.000,128932.249,24593.995,0.000,0.000,4971.164,0.000,99297.067
255,89.919,128449.817,128216.550,97285.140,0.000,128449.817,26430.487,0.000,0.000,4729.010,0.000,97285.140
256,90.299,128536.218,127783.476,95188.081,0.000,128536.218,28335.378,0.000,0.000,4488.061,0.000,95188.081
257,90.678,127602.681,127336.381,93010.127,0.000,127602.681,30305.514,0.000,0.000,4248.740,0.000,93010.127
258,91.057,127033.876,126882.820,90756.232,0.000,127033.876,32337.509,0.000,0.000,4011.596,0.000,90756.232
259,91.436,125826.978,126455.492,88432.048,0.000,125826.978,34427.845,0.000,0.000,3777.270,0.000,88432.048
260,91.816,125275.152,125981.706,86043.888,0.000,125275.152,36572.983,0.000,0.000,3546.471,0.000,86043.888
261,92.195,124755.365,125505.873,83598.685,0.000,124755.365,38768.843,0.000,0.000,3319.946,0.000,83598.685
262,92.574,123798.912,125026.427,81103.934,0.000,123798.912,41005.607,0.000,0.000,3098.454,0.000,81103.934
263,92.953,123150.648,124539.689,78567.630,0.000,123150.648,43270.850,0.000,0.000,2882.743,0.000,78567.630
264,93.333,122968.674,124046.447,75998.195,0.000,122968.674,45556.225,0.000,0.000,2673.529,0.000,75998.195
265,93.712,122157.196,123548.754,73404.395,0.000,122157.196,47854.350,0.000,0.000,2471.476,0.000,73404.395
266,94.091,121947.209,123048.930,70795.259,0.000,121947.209,50157.919,0.000,0.000,2277.186,0.000,70795.259
267,94.471,121011.751,122549.599,68179.982,0.000,121011.751,52459.837,0.000,0.000,2091.181,0.000,68179.982
268,94.850,119988.086,122053.726,65567.835,0.000,119988.086,54753.361,0.000,0.000,1913.898,0.000,65567.835
269,95.229,119615.782,121558.717,62968.069,0.000,119615.782,57032.283,0.000,0.000,1745.681,0.000,62968.069
270,95.609,119408.672,121075.612,60389.816,0.000,119408.672,59290.915,0.000,0.000,1586.782,0.000,60389.816
271,95.988,118950.388,120611.992,57842.000,0.000,118950.388,61524.501,0.000,0.000,1437.357,0.000,57842.000
272,96.367,117910.762,120162.749,55333.244,0.000,117910.762,63723.866,0.000,0.000,1297.471,0.000,55333.244
273,96.747,117891.234,119724.445,52871.788,0.000,117891.234,65877.357,0.000,0.000,1167.098,0.000,52871.788
274,97.126,117742.910,119297.154,50465.407,0.000,117742.910,67977.379,0.000,0.000,1046.133,0.000,50465.407
275,97.506,117537.079,118882.638,48121.345,0.000,117537.079,70018.630,0.000,0.000,934.394,0.000,48121.345
276,97.885,116452.181,118482.801,45846.250,0.000,116452.181,71996.615,0.000,0.000,831.632,0.000,45846.250
277,98.265,117169.427,118099.761,43646.121,0.000,117169.427,73907.761,0.000,0.000,737.542,0.000,43646.121
278,98.644,116574.677,117735.829,41526.271,0.000,116574.677,75749.422,0.000,0.000,651.766,0.000,41526.271
279,99.023,115514.478,117393.626,39491.289,0.000,115514.478,77520.023,0.000,0.000,573.910,0.000,39491.289
280,99.403,115882.606,117086.821,37545.027,0.000,115882.606,79219.175,0.000,0.000,503.547,0.000,37545.027
281,99.782,115583.923,116796.329,35690.585,0.000,115583.923,80846.312,0.000,0.000,440.229,0.000,35690.585
282,100.162,115664.941,116528.293,33930.313,0.000,115664.941,115068.598,1197.222,0.000,383.982,60.258,0.000
283,100.541,115776.361,116280.805,32265.825,0.000,115776.361,114933.013,1139.016,0.000,333.266,57.328,0.000
284,100.921,115769.928,116053.144,30698.014,0.000,115769.928,114807.977,1084.179,0.000,288.212,54.568,0.000
285,101.300,115476.851,115845.876,29227.086,0.000,115476.851,114694.588,1032.722,0.000,248.354,51.978,0.000
286,101.680,115756.025,115659.737,27852.592,0.000,115756.025,114594.047,984.631,0.000,213.241,49.558,0.000
287,102.059,114822.877,115495.640,26573.477,0.000,114822.877,114507.740,939.874,0.000,182.434,47.305,0.000
288,102.439,115265.432,115354.798,25388.120,0.000,115265.432,114437.354,898.396,0.000,155.518,45.217,0.000
289,102.819,115176.289,115238.711,24294.395,0.000,115176.289,114384.859,860.125,0.000,132.097,43.291,0.000
290,103.198,115163.908,115163.453,23289.721,0.000,115163.908,114352.599,824.976,0.000,111.800,41.522,0.000
291,103.578,114780.141,115120.052,22371.123,0.000,114780.141,114343.040,792.844,0.000,94.281,39.905,0.000
292,103.957,114816.534,115082.300,21535.291,0.000,114816.534,114351.023,763.619,0.000,79.222,38.434,0.000
293,104.337,114982.205,115063.133,20778.637,0.000,114982.205,114372.502,737.175,0.000,66.330,37.103,0.000
294,104.717,115464.077,115061.593,20097.353,0.000,115464.077,114406.926,713.382,0.000,55.336,35.905,0.000
295,105.096,114674.908,115077.277,19487.468,0.000,114674.908,114454.278,692.102,0.000,45.998,34.834,0.000
296,105.476,115353.806,115110.066,18944.901,0.000,115353.806,114514.804,673.193,0.000,38.099,33.883,0.000
297,105.855,115630.128,115160.024,18465.508,0.000,115630.128,114588.918,656.513,0.000,31.443,33.043,0.000
298,106.235,115640.773,115227.485,18045.131,0.000,115640.773,114677.276,641.916,0.000,25.857,32.308,0.000
299,106.615,115112.780,115313.110,17679.640,0.000,115112.780,114780.845,629.258,0.000,21.187,31.671,0.000
300,106.994,115351.463,115417.954,17364.967,0.000,115351.463,114900.964,618.397,0.000,17.298,31.125,0.000
301,107.374,115849.972,115518.959,17097.143,0.000,115849.972,115037.324,609.201,0.000,14.073,30.662,0.000
302,107.754,115816.476,115653.919,16872.322,0.000,115816.476,115185.378,601.524,0.000,11.408,30.275,0.000
303,108.133,116073.921,115800.873,16686.807,0.000,116073.921,115341.092,595.249,0.000,9.214,29.959,0.000
304,108.513,116273.857,115956.515,16537.068,0.000,116273.857,115503.773,590.239,0.000,7.416,29.707,0.000
305,108.893,116476.282,116120.344,16419.758,0.000,116476.282,115673.090,586.389,0.000,5.947,29.513,0.000
306,109.273,115922.824,116292.014,16331.721,0.000,115922.824,115848.887,583.576,0.000,4.752,29.371,0.000
307,109.652,116338.624,116471.486,16270.002,0.000,116338.624,116031.267,581.708,0.000,3.784,29.276,0.000
308,110.032,116536.412,116659.025,16231.847,0.000,116536.412,116220.649,580.675,0.000,3.002,29.224,0.000
309,110.412,116523.928,116855.307,16214.708,0.000,116523.928,116417.825,580.401,0.000,2.373,29.210,0.000
310,110.792,116332.366,117061.360,16216.235,0.000,116332.366,116623.950,580.790,0.000,1.870,29.229,0.000
311,111.171,116787.476,117285.461,16234.277,0.000,116787.476,116839.116,581.778,0.000,1.468,29.279,0.000
312,111.551,116890.760,117519.002,16266.874,0.000,116890.760,117055.553,583.284,0.000,1.148,29.354,0.000
313,111.931,117546.959,117736.121,16312.248,0.000,117546.959,117270.833,585.258,0.000,0.895,29.453,0.000
314,112.311,117567.437,117951.925,16368.794,0.000,117567.437,117484.327,587.630,0.000,0.695,29.572,0.000
315,112.691,116882.785,118165.919,16435.072,0.000,116882.785,117695.596,590.356,0.000,0.538,29.709,0.000
316,113.071,117569.456,118377.847,16509.795,0.000,117569.456,117904.435,593.396,0.000,0.415,29.861,0.000
317,113.450,118244.230,118587.710,16591.816,0.000,118244.230,118110.908,596.697,0.000,0.319,30.027,0.000
318,113.830,118239.256,118795.857,16680.123,0.000,118239.256,118315.395,600.234,0.000,0.244,30.204,0.000
319,114.210,117416.218,119002.996,16773.822,0.000,117416.218,118518.655,603.966,0.000,0.186,30.392,0.000
320,114.590,117819.044,119210.290,16872.129,0.000,117819.044,118721.869,607.875,0.000,0.141,30.587,0.000
321,114.970,118882.599,119416.613,16974.358,0.000,118882.599,118923.954,611.925,0.000,0.107,30.791,0.000
322,115.350,118156.972,119593.826,17079.915,0.000,118156.972,119120.493,616.108,0.000,0.081,31.000,0.000
323,115.730,118610.179,119779.165,17188.284,0.000,118610.179,119308.480,620.393,0.000,0.061,31.215,0.000
324,116.110,118635.353,119962.905,17299.019,0.000,118635.353,119487.610,624.776,0.000,0.046,31.435,0.000
325,116.490,119438.108,120137.769,17411.741,0.000,119438.108,119657.784,629.231,0.000,0.034,31.658,0.000
326,116.869,119372.870,120303.888,17526.121,0.000,119372.870,119819.136,633.758,0.000,0.026,31.885,0.000
327,117.249,119362.870,120461.650,17641.882,0.000,119362.870,119972.074,638.337,0.000,0.019,32.114,0.000
328,117.629,119415.553,120611.820,17758.789,0.000,119415.553,120117.359,642.972,0.000,0.014,32.346,0.000
329,118.009,120424.908,120755.323,17876.643,0.000,120424.908,120255.940,647.642,0.000,0.011,32.580,0.000
330,118.389,120291.688,120893.631,17995.276,0.000,120291.688,120389.282,652.352,0.000,0.008,32.815,0.000
331,118.769,119647.696,121027.161,18114.549,0.000,119647.696,120517.819,657.089,0.000,0.006,33.052,0.000
332,119.149,119899.773,121154.007,18234.345,0.000,119899.773,120635.726,661.858,0.000,0.004,33.291,0.000
333,119.529,120509.921,121283.226,18354.566,0.000,120509.921,120741.971,666.645,0.000,0.003,33.530,0.000
334,119.909,119846.644,121383.079,18475.133,0.000,119846.644,120836.752,671.459,0.000,0.002,33.770,0.000
